tab 	er_locations
location_type	er_citation_names	location_end_lat	village_city	location_begin_lon	er_location_name	location_begin_lat	location_end_lon
Stratigraphic Section	This study	42.602640	Jeddah	245.60	Snake River	42.602640	245.60
>>>>>>>>>>
tab 	er_samples
sample_dip	sample_orientation_flag	sample_bed_dip_direction	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_type	sample_bed_dip	er_location_name	sample_declination_correction	sample_lat	magic_method_codes	sample_date	sample_location_precision	sample_azimuth	sample_lon	sample_class
-87.0	g		This study	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	site	sr01a	Burnt Floor:Bell Mould		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		310.60	245.60	Extraterrestrial
-82.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01c	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		300.70	245.60	Igneous:Extrusive
-76.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01d	Lava Flow		Snake River	15.00	42.60264	SO-SM:SO-CMD-NORTH:SO-POM:FS-FD:FS-LOC-GPS	1999:09:18		340.00	245.60	Igneous:Extrusive
-75.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01e	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		26.30	245.60	Igneous:Extrusive
-80.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01f	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		23.70	245.60	Igneous:Extrusive
-75.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01g	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		322.70	245.60	Igneous:Extrusive
-56.0	g		This study	Foid-Bearing-Microsyenite	sr01	sr01i	Lava Flow		Snake River		42.60264	SO-SM:SO-POM:SO-SUN:FS-FD:FS-LOC-GPS	1999:09:18		6.80	245.60	Igneous:Extrusive
>>>>>>>>>>
tab 	er_specimens
er_citation_names	er_location_name	er_site_name	er_sample_name	specimen_class	er_specimen_name	specimen_lithology	specimen_type
This study	Snake River	site	sr01a	Extraterrestrial	sr01a1	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	Burnt Floor:Bell Mould
This study	Snake River	site	sr01a	Extraterrestrial	sr01a2	Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite	Burnt Floor:Bell Mould
This study	Snake River	sr01	sr01c	Igneous:Extrusive	sr01c2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01d	Igneous:Extrusive	sr01d1	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01e	Igneous:Extrusive	sr01e2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01f	Igneous:Extrusive	sr01f2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01g	Igneous:Extrusive	sr01g2	Foid-Bearing-Microsyenite	Lava Flow
This study	Snake River	sr01	sr01i	Igneous:Extrusive	sr01i1	Foid-Bearing-Microsyenite	Lava Flow
>>>>>>>>>>
tab 	er_sites
er_citation_names	site_type	site_class	site_definition	er_site_name	er_location_name	site_location_geoid	site_igsn	site_lithology
This study	Burnt Floor:Bell Mould	Extraterrestrial	s	site	Snake River			Foid-Bearing-Monzodiorite:Foid-Bearing-Microsyenite
This study	Lava Flow	Extrusive:Igneous	s	sr01	Snake River			Foid-Bearing-Microsyenite
>>>>>>>>>>
tab 	er_ages
er_citation_names	er_site_name	magic_method_codes	age_description	age_unit	er_location_name	biostrat_zone	timescale_epoch	age
This study	site			Ka	Snake River	NN10	Early Devonian	
This study	sr01	GM-ARAR-AP		Ma	Snake River	NN10	Early Cretaceous	3.4
>>>>>>>>>>
tab 	magic_measurements
treatment_ac_field	treatment_temp	measurement_temp	er_citation_names	measurement_magn_moment	measurement_number	treatment_dc_field_theta	er_site_name	er_sample_name	treatment_dc_field_phi	er_location_name	measurement_dec	magic_experiment_name	measurement_inc	measurement_flag	er_specimen_name	treatment_dc_field	er_analyst_mail_names	magic_method_codes
	273.00	273.	This study	4.070e-05	0	0	site	sr01a	0	Snake River	173.90	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26.3	g	sr01a1	0		LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	373.00	273.	This study	3.940e-05	1	0	site	sr01a	0	Snake River	170.60	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26.7	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	373.00	273.	This study	3.990e-05	2	90.00	site	sr01a	0.00	Snake River	171.80	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.8	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	423.00	273.	This study	3.910e-05	3	0	site	sr01a	0	Snake River	173.40	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26.7	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	423.00	273.	This study	3.960e-05	4	90.00	site	sr01a	0.00	Snake River	170.30	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	28.7	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	473.00	273.	This study	3.870e-05	5	0	site	sr01a	0	Snake River	171.10	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26.9	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	373.00	273.	This study	3.900e-05	6	90.00	site	sr01a	0.00	Snake River	171.60	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	28	g	sr01a1	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	473.00	273.	This study	3.930e-05	7	90.00	site	sr01a	0.00	Snake River	170.90	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	29.7	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	523.00	273.	This study	3.800e-05	8	0	site	sr01a	0	Snake River	170.60	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26.9	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	523.00	273.	This study	3.880e-05	9	90.00	site	sr01a	0.00	Snake River	172.30	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	30.6	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	573.00	273.	This study	3.630e-05	10	0	site	sr01a	0	Snake River	170.50	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.4	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	473.00	273.	This study	3.710e-05	11	90.00	site	sr01a	0.00	Snake River	171.50	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	29.8	g	sr01a1	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	573.00	273.	This study	3.750e-05	12	90.00	site	sr01a	0.00	Snake River	171.00	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	32.2	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	623.00	273.	This study	3.400e-05	13	0	site	sr01a	0	Snake River	172.10	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.5	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	623.00	273.	This study	3.600e-05	14	90.00	site	sr01a	0.00	Snake River	170.70	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	35.1	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	673.00	273.	This study	2.880e-05	15	0	site	sr01a	0	Snake River	171.40	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.7	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	573.00	273.	This study	3.110e-05	16	90.00	site	sr01a	0.00	Snake River	178.10	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	34.1	g	sr01a1	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	673.00	273.	This study	3.350e-05	17	90.00	site	sr01a	0.00	Snake River	171.40	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	43.3	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	723.00	273.	This study	2.150e-05	18	0	site	sr01a	0	Snake River	173.80	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.1	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	723.00	273.	This study	3.580e-05	19	90.00	site	sr01a	0.00	Snake River	172.30	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	59.5	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	773.00	273.	This study	1.705e-05	20	0	site	sr01a	0	Snake River	172.40	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	28.06	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	673.00	273.	This study	2.520e-05	21	90.00	site	sr01a	0.00	Snake River	172.40	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	53.7	g	sr01a1	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	773.00	273.	This study	2.970e-05	22	90.00	site	sr01a	0.00	Snake River	174.50	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	61.6	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	798.00	273.	This study	1.200e-05	23	0	site	sr01a	0	Snake River	172.10	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	28.2	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	798.00	273.	This study	3.190e-05	24	90.00	site	sr01a	0.00	Snake River	171.10	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	72.8	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	823.00	273.	This study	5.620e-06	25	0	site	sr01a	0	Snake River	172.80	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27.7	g	sr01a1	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	773.00	273.	This study	2.350e-05	26	90.00	site	sr01a	0.00	Snake River	169.50	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	78.8	g	sr01a1	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	823.00	273.	This study	3.640e-05	27	90.00	site	sr01a	0.00	Snake River	165.30	sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	83.1	g	sr01a1	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM
	273.00	273.	This study	3.230e-05	0	0	site	sr01a	0	Snake River	172.10	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29.9	g	sr01a2	0		LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	373.00	273.	This study	3.170e-05	1	0	site	sr01a	0	Snake River	172.20	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29.6	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	373.00	273.	This study	3.190e-05	2	90.00	site	sr01a	0.00	Snake River	173.00	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.5	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	423.00	273.	This study	3.120e-05	3	0	site	sr01a	0	Snake River	172.30	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29.4	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	423.00	273.	This study	3.200e-05	4	90.00	site	sr01a	0.00	Snake River	170.50	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	31.6	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	473.00	273.	This study	3.100e-05	5	0	site	sr01a	0	Snake River	171.90	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29.7	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	373.00	273.	This study	3.140e-05	6	90.00	site	sr01a	0.00	Snake River	171.10	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.6	g	sr01a2	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	473.00	273.	This study	3.160e-05	7	90.00	site	sr01a	0.00	Snake River	171.50	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	32.1	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	473.00	273.	This study	3.090e-05	8	90.00	site	sr01a	0.00	Snake River	171.40	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.3	g	sr01a2	4.000e-05		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	523.00	273.	This study	3.030e-05	9	0	site	sr01a	0	Snake River	171.40	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29.5	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	523.00	273.	This study	3.140e-05	10	90.00	site	sr01a	0.00	Snake River	171.90	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	33.7	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	573.00	273.	This study	2.920e-05	11	0	site	sr01a	0	Snake River	172.20	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.1	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	473.00	273.	This study	3.000e-05	12	90.00	site	sr01a	0.00	Snake River	171.30	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	32.4	g	sr01a2	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	573.00	273.	This study	3.070e-05	13	90.00	site	sr01a	0.00	Snake River	172.00	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	34.7	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	573.00	273.	This study	2.890e-05	14	90.00	site	sr01a	0.00	Snake River	171.80	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.7	g	sr01a2	4.000e-05		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	623.00	273.	This study	2.710e-05	15	0	site	sr01a	0	Snake River	172.20	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.4	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	623.00	273.	This study	2.940e-05	16	90.00	site	sr01a	0.00	Snake River	172.10	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	37.3	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	673.00	273.	This study	2.350e-05	17	0	site	sr01a	0	Snake River	172.80	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30.2	g	sr01a2	0		LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	573.00	273.	This study	2.530e-05	18	90.00	site	sr01a	0.00	Snake River	173.10	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	37.4	g	sr01a2	4.000e-05		LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	673.00	273.	This study	2.820e-05	19	90.00	site	sr01a	0.00	Snake River	174.20	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	45.3	g	sr01a2	4.000e-05		LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
	673.00	273.	This study	2.230e-05	20	90.00	site	sr01a	0.00	Snake River	172.90	sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	31.4	g	sr01a2	4.000e-05		LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD
