tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages	magn_moment
ak01d_LP-AN-TRM-26	ak01d	ak01d_LP-AN-TRM	0.3	181.3	-10.8	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	25	u	2.730e+02			pmagpy-4.2.92	 1.693e-08
ak01d_LP-AN-TRM-27	ak01d	ak01d_LP-AN-TRM	0.6	264.6	-9.5	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	26	u	2.730e+02			pmagpy-4.2.92	 1.760e-08
ak01d_LP-AN-TRM-28	ak01d	ak01d_LP-AN-TRM	0.2	195.9	-86.7	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	27	u	2.730e+02			pmagpy-4.2.92	 1.977e-08
ak03a_LP-AN-TRM-29	ak03a	ak03a_LP-AN-TRM	0.3	191.4	-74.5	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	28	u	2.730e+02			pmagpy-4.2.92	 1.207e-09
ak03a_LP-AN-TRM-30	ak03a	ak03a_LP-AN-TRM	0.3	1.4	-3.1	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	29	u	2.730e+02			pmagpy-4.2.92	 1.374e-08
ak03a_LP-AN-TRM-31	ak03a	ak03a_LP-AN-TRM	0.5	88.7	-6.6	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	30	u	2.730e+02			pmagpy-4.2.92	 1.364e-08
ak03a_LP-AN-TRM-32	ak03a	ak03a_LP-AN-TRM	0.2	277.9	87.4	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	31	u	2.730e+02			pmagpy-4.2.92	 1.105e-08
ak03a_LP-AN-TRM-33	ak03a	ak03a_LP-AN-TRM	0.3	185.7	-7.4	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	32	u	2.730e+02			pmagpy-4.2.92	 1.425e-08
ak03a_LP-AN-TRM-34	ak03a	ak03a_LP-AN-TRM	1.6	265.6	-4.6	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	33	u	2.730e+02			pmagpy-4.2.92	 1.392e-08
ak03a_LP-AN-TRM-35	ak03a	ak03a_LP-AN-TRM	0.2	135.4	-85.1	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	34	u	2.730e+02			pmagpy-4.2.92	 1.318e-08
ak03b_LP-AN-TRM-36	ak03b	ak03b_LP-AN-TRM	0.3	178.9	-74.9	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	35	u	2.730e+02			pmagpy-4.2.92	 9.150e-10
ak03b_LP-AN-TRM-37	ak03b	ak03b_LP-AN-TRM	0.3	1.2	-6.1	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	36	u	2.730e+02			pmagpy-4.2.92	 9.129e-09
ak03b_LP-AN-TRM-38	ak03b	ak03b_LP-AN-TRM	0.5	92.6	-11.0	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	37	u	2.730e+02			pmagpy-4.2.92	 8.431e-09
ak03b_LP-AN-TRM-39	ak03b	ak03b_LP-AN-TRM	0.2	283.7	86.9	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	38	u	2.730e+02			pmagpy-4.2.92	 8.554e-09
ak03b_LP-AN-TRM-40	ak03b	ak03b_LP-AN-TRM	0.3	182.2	-6.0	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	39	u	2.730e+02			pmagpy-4.2.92	 9.492e-09
ak03b_LP-AN-TRM-41	ak03b	ak03b_LP-AN-TRM	0.6	273.7	-2.1	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	40	u	2.730e+02			pmagpy-4.2.92	 8.222e-09
ak03b_LP-AN-TRM-42	ak03b	ak03b_LP-AN-TRM	0.2	129.6	-86.6	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	41	u	2.730e+02			pmagpy-4.2.92	 1.028e-08
ak03c_LP-AN-TRM-43	ak03c	ak03c_LP-AN-TRM	0.4	211.8	-75.5	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	42	u	2.730e+02			pmagpy-4.2.92	 1.049e-09
ak03c_LP-AN-TRM-44	ak03c	ak03c_LP-AN-TRM	0.3	359.4	-3.4	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	43	u	2.730e+02			pmagpy-4.2.92	 9.059e-09
ak03c_LP-AN-TRM-45	ak03c	ak03c_LP-AN-TRM	0.5	90.8	-6.9	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	44	u	2.730e+02			pmagpy-4.2.92	 1.067e-08
ak03c_LP-AN-TRM-46	ak03c	ak03c_LP-AN-TRM	0.2	291.2	87.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	45	u	2.730e+02			pmagpy-4.2.92	 9.648e-09
ak03c_LP-AN-TRM-47	ak03c	ak03c_LP-AN-TRM	0.3	181.4	-9.4	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	46	u	2.730e+02			pmagpy-4.2.92	 9.632e-09
ak03c_LP-AN-TRM-48	ak03c	ak03c_LP-AN-TRM	0.6	268.5	-5.4	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	47	u	2.730e+02			pmagpy-4.2.92	 1.092e-08
ak03c_LP-AN-TRM-49	ak03c	ak03c_LP-AN-TRM	0.2	173.0	-86.1	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	48	u	2.730e+02			pmagpy-4.2.92	 1.159e-08
ak04a_LP-AN-TRM-50	ak04a	ak04a_LP-AN-TRM	0.2	158.8	-85.8	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	49	u	2.730e+02			pmagpy-4.2.92	 2.399e-09
ak04a_LP-AN-TRM-51	ak04a	ak04a_LP-AN-TRM	0.3	3.1	-7.1	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	50	u	2.730e+02			pmagpy-4.2.92	 2.389e-08
ak04a_LP-AN-TRM-52	ak04a	ak04a_LP-AN-TRM	0.5	89.0	-8.1	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	51	u	2.730e+02			pmagpy-4.2.92	 2.194e-08
ak04a_LP-AN-TRM-53	ak04a	ak04a_LP-AN-TRM	0.2	172.9	86.9	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	52	u	2.730e+02			pmagpy-4.2.92	 2.187e-08
ak04a_LP-AN-TRM-54	ak04a	ak04a_LP-AN-TRM	0.3	179.9	-4.6	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	53	u	2.730e+02			pmagpy-4.2.92	 2.360e-08
ak04a_LP-AN-TRM-55	ak04a	ak04a_LP-AN-TRM	0.6	266.2	-5.3	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	54	u	2.730e+02			pmagpy-4.2.92	 2.140e-08
ak04a_LP-AN-TRM-56	ak04a	ak04a_LP-AN-TRM	0.2	261.2	-89.9	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	55	u	2.730e+02			pmagpy-4.2.92	 2.627e-08
ak04b_LP-AN-TRM-57	ak04b	ak04b_LP-AN-TRM	0.5	140.7	-86.6	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	56	u	2.730e+02			pmagpy-4.2.92	 5.783e-10
ak04b_LP-AN-TRM-58	ak04b	ak04b_LP-AN-TRM	0.3	5.2	-5.5	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	57	u	2.730e+02			pmagpy-4.2.92	 6.173e-09
ak04b_LP-AN-TRM-59	ak04b	ak04b_LP-AN-TRM	0.5	85.7	-8.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	58	u	2.730e+02			pmagpy-4.2.92	 5.810e-09
ak04b_LP-AN-TRM-60	ak04b	ak04b_LP-AN-TRM	0.2	46.9	88.2	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	59	u	2.730e+02			pmagpy-4.2.92	 5.863e-09
ak04b_LP-AN-TRM-61	ak04b	ak04b_LP-AN-TRM	0.3	180.0	-5.1	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	60	u	2.730e+02			pmagpy-4.2.92	 6.115e-09
ak04b_LP-AN-TRM-62	ak04b	ak04b_LP-AN-TRM	0.6	267.2	-3.6	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	61	u	2.730e+02			pmagpy-4.2.92	 5.632e-09
ak04b_LP-AN-TRM-63	ak04b	ak04b_LP-AN-TRM	0.2	0.7	-87.8	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	62	u	2.730e+02			pmagpy-4.2.92	 6.910e-09
ak04c_LP-AN-TRM-64	ak04c	ak04c_LP-AN-TRM	0.3	184.6	-81.2	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	63	u	2.730e+02			pmagpy-4.2.92	 1.555e-09
ak04c_LP-AN-TRM-65	ak04c	ak04c_LP-AN-TRM	0.3	0.7	-3.4	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	64	u	2.730e+02			pmagpy-4.2.92	 1.800e-08
ak04c_LP-AN-TRM-66	ak04c	ak04c_LP-AN-TRM	0.6	85.6	-6.3	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	65	u	2.730e+02			pmagpy-4.2.92	 1.651e-08
ak04c_LP-AN-TRM-67	ak04c	ak04c_LP-AN-TRM	0.2	31.9	89.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	66	u	2.730e+02			pmagpy-4.2.92	 1.506e-08
ak04c_LP-AN-TRM-68	ak04c	ak04c_LP-AN-TRM	0.3	181.6	-6.2	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	67	u	2.730e+02			pmagpy-4.2.92	 1.819e-08
ak04c_LP-AN-TRM-69	ak04c	ak04c_LP-AN-TRM	0.6	271.9	-4.7	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	68	u	2.730e+02			pmagpy-4.2.92	 1.615e-08
ak04c_LP-AN-TRM-70	ak04c	ak04c_LP-AN-TRM	0.2	218.2	-88.4	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	69	u	2.730e+02			pmagpy-4.2.92	 1.798e-08
ak04d_LP-AN-TRM-71	ak04d	ak04d_LP-AN-TRM	0.3	170.3	-86.3	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	70	u	2.730e+02			pmagpy-4.2.92	 1.302e-09
ak04d_LP-AN-TRM-72	ak04d	ak04d_LP-AN-TRM	0.4	358.6	-4.0	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	71	u	2.730e+02			pmagpy-4.2.92	 1.279e-08
ak04d_LP-AN-TRM-73	ak04d	ak04d_LP-AN-TRM	0.6	90.0	-6.8	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	72	u	2.730e+02			pmagpy-4.2.92	 1.275e-08
ak04d_LP-AN-TRM-74	ak04d	ak04d_LP-AN-TRM	0.2	13.2	87.8	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	73	u	2.730e+02			pmagpy-4.2.92	 1.043e-08
ak04d_LP-AN-TRM-75	ak04d	ak04d_LP-AN-TRM	0.3	175.5	-7.8	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	74	u	2.730e+02			pmagpy-4.2.92	 1.258e-08
ak04d_LP-AN-TRM-76	ak04d	ak04d_LP-AN-TRM	0.6	272.0	-5.0	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	75	u	2.730e+02			pmagpy-4.2.92	 1.231e-08
ak04d_LP-AN-TRM-77	ak04d	ak04d_LP-AN-TRM	0.2	127.3	-88.4	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	76	u	2.730e+02			pmagpy-4.2.92	 1.284e-08
cb01a_LP-AN-TRM-78	cb01a	cb01a_LP-AN-TRM	0.4	170.2	-78.9	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	77	u	2.730e+02			pmagpy-4.2.92	 6.911e-10
cb01a_LP-AN-TRM-79	cb01a	cb01a_LP-AN-TRM	0.3	4.5	-1.8	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	78	u	2.730e+02			pmagpy-4.2.92	 1.595e-08
cb01a_LP-AN-TRM-80	cb01a	cb01a_LP-AN-TRM	0.5	84.9	-5.7	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	79	u	2.730e+02			pmagpy-4.2.92	 1.588e-08
cb01a_LP-AN-TRM-81	cb01a	cb01a_LP-AN-TRM	0.2	14.4	87.7	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	80	u	2.730e+02			pmagpy-4.2.92	 1.511e-08
cb01a_LP-AN-TRM-82	cb01a	cb01a_LP-AN-TRM	0.3	182.0	-4.3	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	81	u	2.730e+02			pmagpy-4.2.92	 1.592e-08
cb01a_LP-AN-TRM-83	cb01a	cb01a_LP-AN-TRM	0.6	266.9	-0.4	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	82	u	2.730e+02			pmagpy-4.2.92	 1.548e-08
cb01a_LP-AN-TRM-84	cb01a	cb01a_LP-AN-TRM	0.2	58.7	-87.4	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	83	u	2.730e+02			pmagpy-4.2.92	 1.652e-08
cb01b_LP-AN-TRM-85	cb01b	cb01b_LP-AN-TRM	0.1	213.5	-82.4	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	84	u	2.730e+02			pmagpy-4.2.92	 1.233e-09
cb01b_LP-AN-TRM-86	cb01b	cb01b_LP-AN-TRM	0.3	359.8	0.4	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	85	u	2.730e+02			pmagpy-4.2.92	 2.795e-08
cb01b_LP-AN-TRM-87	cb01b	cb01b_LP-AN-TRM	0.6	90.2	-3.8	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	86	u	2.730e+02			pmagpy-4.2.92	 2.782e-08
cb01b_LP-AN-TRM-88	cb01b	cb01b_LP-AN-TRM	0.2	45.4	88.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	87	u	2.730e+02			pmagpy-4.2.92	 2.627e-08
cb01b_LP-AN-TRM-89	cb01b	cb01b_LP-AN-TRM	0.3	178.8	-5.3	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	88	u	2.730e+02			pmagpy-4.2.92	 2.781e-08
cb01b_LP-AN-TRM-90	cb01b	cb01b_LP-AN-TRM	0.6	268.5	-2.6	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	89	u	2.730e+02			pmagpy-4.2.92	 2.761e-08
cb01b_LP-AN-TRM-91	cb01b	cb01b_LP-AN-TRM	0.2	230.4	-87.2	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	90	u	2.730e+02			pmagpy-4.2.92	 2.884e-08
cb01c_LP-AN-TRM-92	cb01c	cb01c_LP-AN-TRM	0.9	230.1	-70.7	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	91	u	2.730e+02			pmagpy-4.2.92	 2.477e-10
cb01c_LP-AN-TRM-93	cb01c	cb01c_LP-AN-TRM	0.3	356.7	0.2	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	92	u	2.730e+02			pmagpy-4.2.92	 5.412e-09
cb01c_LP-AN-TRM-94	cb01c	cb01c_LP-AN-TRM	0.7	88.2	-3.2	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	93	u	2.730e+02			pmagpy-4.2.92	 5.832e-09
cb01c_LP-AN-TRM-95	cb01c	cb01c_LP-AN-TRM	0.2	31.0	85.6	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	94	u	2.730e+02			pmagpy-4.2.92	 5.374e-09
cb01c_LP-AN-TRM-96	cb01c	cb01c_LP-AN-TRM	0.3	176.5	-5.7	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	95	u	2.730e+02			pmagpy-4.2.92	 5.460e-09
cb01c_LP-AN-TRM-97	cb01c	cb01c_LP-AN-TRM	0.6	268.9	-2.5	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	96	u	2.730e+02			pmagpy-4.2.92	 5.861e-09
cb01c_LP-AN-TRM-98	cb01c	cb01c_LP-AN-TRM	0.2	222.1	-88.1	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	97	u	2.730e+02			pmagpy-4.2.92	 5.885e-09
cb02a_LP-AN-TRM-99	cb02a	cb02a_LP-AN-TRM	1.0	178.8	-78.5	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	98	u	2.730e+02			pmagpy-4.2.92	 1.874e-10
cb02a_LP-AN-TRM-100	cb02a	cb02a_LP-AN-TRM	0.3	358.8	-3.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	99	u	2.730e+02			pmagpy-4.2.92	 6.492e-09
cb02a_LP-AN-TRM-101	cb02a	cb02a_LP-AN-TRM	0.9	90.4	-2.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	100	u	2.730e+02			pmagpy-4.2.92	 6.219e-09
cb02a_LP-AN-TRM-102	cb02a	cb02a_LP-AN-TRM	0.2	206.0	89.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	101	u	2.730e+02			pmagpy-4.2.92	 5.752e-09
cb02a_LP-AN-TRM-103	cb02a	cb02a_LP-AN-TRM	0.3	175.9	0.5	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	102	u	2.730e+02			pmagpy-4.2.92	 6.465e-09
cb02a_LP-AN-TRM-104	cb02a	cb02a_LP-AN-TRM	0.6	266.9	0.2	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	103	u	2.730e+02			pmagpy-4.2.92	 6.089e-09
cb02a_LP-AN-TRM-105	cb02a	cb02a_LP-AN-TRM	0.2	358.4	-86.5	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	104	u	2.730e+02			pmagpy-4.2.92	 6.083e-09
