tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PI47-1a_LP-DIR-T16	PI47-1a_LP-DIR-T	PI47-1a	    4.9	211.3	 32.5 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:09:41	LT-T-Z:LP-DIR-T	g	16	u	8	273			pmagpy-4.2.19	4.46e-08	2.08e-09	2.62e-09	1.93e-09
PI47-1a_LP-DIR-T17	PI47-1a_LP-DIR-T	PI47-1a	    2.8	211.4	 32.4 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:50:54	LT-T-Z:LP-DIR-T	g	17	u	8	273			pmagpy-4.2.19	3.99e-08	7.75e-10	4.02e-10	1.85e-09
PI47-1a_LP-DIR-T18	PI47-1a_LP-DIR-T	PI47-1a	    3.6	213.5	 32.4 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:35:24	LT-T-Z:LP-DIR-T	g	18	u	8	273			pmagpy-4.2.19	3.58e-08	1.05e-09	1.41e-09	1.62e-09
PI47-1a_LP-DIR-T19	PI47-1a_LP-DIR-T	PI47-1a	    5.0	215.4	 32.0 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:27:28	LT-T-Z:LP-DIR-T	g	19	u	8	273			pmagpy-4.2.19	3.11e-08	1.61e-09	1.78e-09	1.44e-09
PI47-1a_LP-DIR-T20	PI47-1a_LP-DIR-T	PI47-1a	    4.3	214.7	 31.3 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:28:54	LT-T-Z:LP-DIR-T	g	20	u	8	273			pmagpy-4.2.19	2.72e-08	9.58e-10	1.34e-09	1.40e-09
PI47-1a_LP-DIR-T21	PI47-1a_LP-DIR-T	PI47-1a	    2.8	221.1	 32.6 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:25:36	LT-T-Z:LP-DIR-T	g	21	u	8	273			pmagpy-4.2.19	2.19e-08	4.97e-10	3.02e-10	1.02e-09
PI47-1a_LP-DIR-T22	PI47-1a_LP-DIR-T	PI47-1a	    1.2	208.1	 25.2 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:16:31	LT-T-Z:LP-DIR-T	g	22	u	8	273			pmagpy-4.2.19	1.73e-08	4.95e-10	1.35e-10	9.18e-11
PI47-1a_LP-DIR-T23	PI47-1a_LP-DIR-T	PI47-1a	    3.3	206.8	 28.0 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 10:50:37	LT-T-Z:LP-DIR-T	g	23	u	8	273			pmagpy-4.2.19	1.76e-08	3.86e-10	4.70e-10	9.47e-10
PI47-1a_LP-DIR-T24	PI47-1a_LP-DIR-T	PI47-1a	    1.9	204.3	 30.4 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:49:29	LT-T-Z:LP-DIR-T	g	24	u	8	273			pmagpy-4.2.19	8.75e-09	1.57e-10	1.41e-10	2.95e-10
PI47-1a_LP-DIR-T25	PI47-1a_LP-DIR-T	PI47-1a	    1.9	193.7	 45.0 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:21:35	LT-T-Z:LP-DIR-T	g	25	u	8	273			pmagpy-4.2.19	2.27e-09	5.32e-11	3.35e-11	6.73e-11
PI47-1a_LP-DIR-T26	PI47-1a_LP-DIR-T	PI47-1a	    5.0	181.2	 61.8 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:25:57	LT-T-Z:LP-DIR-T	g	26	u	8	273			pmagpy-4.2.19	1.12e-09	5.65e-11	9.30e-11	4.90e-11
PI47-1a_LP-DIR-T27	PI47-1a_LP-DIR-T	PI47-1a	    6.6	236.9	 29.3 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:06:34	LT-T-Z:LP-DIR-T	g	27	u	8	273			pmagpy-4.2.19	7.25e-10	2.82e-11	6.95e-11	5.26e-11
PI47-2a_LP-DIR-T0	PI47-2a_LP-DIR-T	PI47-2a	    2.4	169.0	 36.9 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:21:39	LT-NO:LP-DIR-T	g	28	u	8	273			pmagpy-4.2.19	5.40e-08	1.25e-09	1.53e-09	1.30e-09
PI47-2a_LP-DIR-T1	PI47-2a_LP-DIR-T	PI47-2a	    2.4	167.8	 35.7 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:30:25	LT-T-Z:LP-DIR-T	g	29	u	8	273			pmagpy-4.2.19	5.37e-08	1.51e-09	4.02e-10	1.72e-09
PI47-2a_LP-DIR-T2	PI47-2a_LP-DIR-T	PI47-2a	    2.6	168.8	 35.5 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:12:02	LT-T-Z:LP-DIR-T	g	30	u	8	273			pmagpy-4.2.19	5.31e-08	4.19e-10	2.24e-09	8.30e-10
PI47-2a_LP-DIR-T3	PI47-2a_LP-DIR-T	PI47-2a	    1.4	171.6	 33.9 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:45:53	LT-T-Z:LP-DIR-T	g	31	u	8	273			pmagpy-4.2.19	5.09e-08	5.15e-10	1.06e-09	5.48e-10
PI47-2a_LP-DIR-T4	PI47-2a_LP-DIR-T	PI47-2a	    1.7	171.5	 32.1 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:42:39	LT-T-Z:LP-DIR-T	g	32	u	8	273			pmagpy-4.2.19	4.70e-08	8.34e-10	6.16e-10	9.93e-10
PI47-2a_LP-DIR-T5	PI47-2a_LP-DIR-T	PI47-2a	    1.9	173.7	 29.3 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:25:44	LT-T-Z:LP-DIR-T	g	33	u	8	273			pmagpy-4.2.19	4.29e-08	7.50e-10	8.06e-10	1.01e-09
PI47-2a_LP-DIR-T6	PI47-2a_LP-DIR-T	PI47-2a	    1.6	174.6	 26.8 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:48:43	LT-T-Z:LP-DIR-T	g	34	u	8	273			pmagpy-4.2.19	3.89e-08	3.03e-10	1.03e-09	4.43e-10
PI47-2a_LP-DIR-T7	PI47-2a_LP-DIR-T	PI47-2a	    1.6	174.5	 26.6 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:47:28	LT-T-Z:LP-DIR-T	g	35	u	8	273			pmagpy-4.2.19	3.78e-08	4.29e-10	7.96e-10	6.23e-10
PI47-2a_LP-DIR-T8	PI47-2a_LP-DIR-T	PI47-2a	    2.3	176.6	 26.4 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:38:33	LT-T-Z:LP-DIR-T	g	36	u	8	273			pmagpy-4.2.19	3.59e-08	5.38e-10	1.24e-09	6.26e-10
PI47-2a_LP-DIR-T9	PI47-2a_LP-DIR-T	PI47-2a	    2.5	174.4	 26.4 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 11:57:17	LT-T-Z:LP-DIR-T	g	37	u	8	273			pmagpy-4.2.19	3.53e-08	7.78e-10	9.09e-10	1.04e-09
PI47-2a_LP-DIR-T10	PI47-2a_LP-DIR-T	PI47-2a	    2.9	175.8	 26.0 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:49:29	LT-T-Z:LP-DIR-T	g	38	u	8	273			pmagpy-4.2.19	3.37e-08	8.82e-10	9.48e-10	1.15e-09
PI47-2a_LP-DIR-T11	PI47-2a_LP-DIR-T	PI47-2a	    3.1	177.5	 25.4 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:24:39	LT-T-Z:LP-DIR-T	g	39	u	8	273			pmagpy-4.2.19	3.14e-08	6.39e-10	1.16e-09	1.09e-09
PI47-2a_LP-DIR-T12	PI47-2a_LP-DIR-T	PI47-2a	    2.3	179.1	 24.4 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 06:59:43	LT-T-Z:LP-DIR-T	g	40	u	8	273			pmagpy-4.2.19	2.92e-08	5.83e-10	3.11e-10	9.86e-10
PI47-2a_LP-DIR-T13	PI47-2a_LP-DIR-T	PI47-2a	    2.7	179.4	 24.9 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:45:38	LT-T-Z:LP-DIR-T	g	41	u	8	273			pmagpy-4.2.19	2.65e-08	3.61e-10	9.77e-10	6.86e-10
PI47-2a_LP-DIR-T14	PI47-2a_LP-DIR-T	PI47-2a	    5.6	180.6	 23.8 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:20:45	LT-T-Z:LP-DIR-T	g	42	u	8	273			pmagpy-4.2.19	2.41e-08	5.87e-10	2.11e-09	1.02e-09
PI47-2a_LP-DIR-T15	PI47-2a_LP-DIR-T	PI47-2a	    2.6	179.3	 23.7 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:23:36	LT-T-Z:LP-DIR-T	g	43	u	8	273			pmagpy-4.2.19	2.11e-08	5.04e-10	4.03e-10	8.19e-10
PI47-2a_LP-DIR-T16	PI47-2a_LP-DIR-T	PI47-2a	    2.6	176.0	 24.4 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:11:17	LT-T-Z:LP-DIR-T	g	44	u	8	273			pmagpy-4.2.19	1.78e-08	4.37e-10	3.19e-10	7.04e-10
PI47-2a_LP-DIR-T17	PI47-2a_LP-DIR-T	PI47-2a	    2.7	176.9	 25.1 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:52:29	LT-T-Z:LP-DIR-T	g	45	u	8	273			pmagpy-4.2.19	1.47e-08	3.94e-10	2.37e-10	6.03e-10
PI47-2a_LP-DIR-T18	PI47-2a_LP-DIR-T	PI47-2a	    3.1	174.2	 24.0 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:37:03	LT-T-Z:LP-DIR-T	g	46	u	8	273			pmagpy-4.2.19	1.21e-08	3.26e-10	3.47e-10	5.16e-10
PI47-2a_LP-DIR-T19	PI47-2a_LP-DIR-T	PI47-2a	    4.3	176.1	 24.6 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:29:07	LT-T-Z:LP-DIR-T	g	47	u	8	273			pmagpy-4.2.19	9.28e-09	1.97e-10	6.82e-10	1.84e-10
PI47-2a_LP-DIR-T20	PI47-2a_LP-DIR-T	PI47-2a	    2.8	171.2	 22.1 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:30:29	LT-T-Z:LP-DIR-T	g	48	u	8	273			pmagpy-4.2.19	6.35e-09	1.62e-10	1.51e-10	2.47e-10
PI47-2a_LP-DIR-T21	PI47-2a_LP-DIR-T	PI47-2a	    3.0	171.4	 37.2 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:27:12	LT-T-Z:LP-DIR-T	g	49	u	8	273			pmagpy-4.2.19	3.79e-09	1.12e-10	1.01e-10	1.43e-10
PI47-2a_LP-DIR-T22	PI47-2a_LP-DIR-T	PI47-2a	    0.9	159.7	 31.8 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:18:13	LT-T-Z:LP-DIR-T	g	50	u	8	273			pmagpy-4.2.19	2.61e-09	5.05e-11	4.31e-11	4.62e-12
PI47-2a_LP-DIR-T23	PI47-2a_LP-DIR-T	PI47-2a	    4.7	155.6	 34.3 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 10:52:12	LT-T-Z:LP-DIR-T	g	51	u	8	273			pmagpy-4.2.19	2.60e-09	1.49e-10	1.27e-10	9.14e-11
PI47-2a_LP-DIR-T24	PI47-2a_LP-DIR-T	PI47-2a	    4.9	155.5	 64.6 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:51:04	LT-T-Z:LP-DIR-T	g	52	u	8	273			pmagpy-4.2.19	1.45e-09	8.02e-11	1.08e-10	1.08e-11
PI47-2a_LP-DIR-T25	PI47-2a_LP-DIR-T	PI47-2a	    3.3	207.5	 39.8 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:23:11	LT-T-Z:LP-DIR-T	g	53	u	8	273			pmagpy-4.2.19	9.54e-10	2.94e-11	5.02e-11	9.03e-12
PI47-2a_LP-DIR-T26	PI47-2a_LP-DIR-T	PI47-2a	    3.2	142.2	 51.4 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:27:32	LT-T-Z:LP-DIR-T	g	54	u	8	273			pmagpy-4.2.19	9.81e-10	7.12e-11	3.97e-11	1.97e-11
PI47-2a_LP-DIR-T27	PI47-2a_LP-DIR-T	PI47-2a	    3.2	192.5	 23.6 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:08:11	LT-T-Z:LP-DIR-T	g	55	u	8	273			pmagpy-4.2.19	8.55e-10	2.40e-11	3.74e-11	2.72e-11
PI47-3a_LP-DIR-T0	PI47-3a_LP-DIR-T	PI47-3a	    2.1	207.8	 49.0 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:23:13	LT-NO:LP-DIR-T	g	56	u	8	273			pmagpy-4.2.19	7.36e-08	9.00e-10	2.33e-09	1.05e-09
PI47-3a_LP-DIR-T1	PI47-3a_LP-DIR-T	PI47-3a	    1.7	202.9	 48.4 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:32:47	LT-T-Z:LP-DIR-T	g	57	u	8	273			pmagpy-4.2.19	7.30e-08	8.61e-10	1.99e-09	5.92e-10
PI47-3a_LP-DIR-T2	PI47-3a_LP-DIR-T	PI47-3a	    0.9	205.0	 48.3 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:13:54	LT-T-Z:LP-DIR-T	g	58	u	8	273			pmagpy-4.2.19	7.17e-08	8.62e-10	8.34e-10	2.17e-10
PI47-3a_LP-DIR-T3	PI47-3a_LP-DIR-T	PI47-3a	    1.6	206.4	 47.3 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:47:45	LT-T-Z:LP-DIR-T	g	59	u	8	273			pmagpy-4.2.19	6.82e-08	7.65e-10	1.87e-09	1.20e-10
PI47-3a_LP-DIR-T4	PI47-3a_LP-DIR-T	PI47-3a	    1.3	212.2	 45.0 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:44:11	LT-T-Z:LP-DIR-T	g	60	u	8	273			pmagpy-4.2.19	6.33e-08	1.09e-09	8.65e-10	6.40e-10
PI47-3a_LP-DIR-T5	PI47-3a_LP-DIR-T	PI47-3a	    1.2	213.6	 42.0 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:27:15	LT-T-Z:LP-DIR-T	g	61	u	8	273			pmagpy-4.2.19	5.80e-08	4.88e-10	9.91e-10	6.25e-10
PI47-3a_LP-DIR-T6	PI47-3a_LP-DIR-T	PI47-3a	    1.1	215.7	 39.4 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:50:22	LT-T-Z:LP-DIR-T	g	62	u	8	273			pmagpy-4.2.19	5.36e-08	6.83e-10	9.46e-10	2.97e-10
PI47-3a_LP-DIR-T7	PI47-3a_LP-DIR-T	PI47-3a	    1.7	216.3	 38.9 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:48:57	LT-T-Z:LP-DIR-T	g	63	u	8	273			pmagpy-4.2.19	5.18e-08	5.58e-10	1.43e-09	3.38e-10
PI47-3a_LP-DIR-T8	PI47-3a_LP-DIR-T	PI47-3a	    0.7	219.8	 37.8 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:40:05	LT-T-Z:LP-DIR-T	g	64	u	8	273			pmagpy-4.2.19	4.91e-08	3.45e-10	5.62e-10	2.45e-10
PI47-3a_LP-DIR-T9	PI47-3a_LP-DIR-T	PI47-3a	    0.9	218.5	 37.9 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 11:58:49	LT-T-Z:LP-DIR-T	g	65	u	8	273			pmagpy-4.2.19	4.83e-08	7.34e-10	3.19e-10	3.04e-10
PI47-3a_LP-DIR-T10	PI47-3a_LP-DIR-T	PI47-3a	    1.2	218.9	 37.1 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:51:01	LT-T-Z:LP-DIR-T	g	66	u	8	273			pmagpy-4.2.19	4.62e-08	7.60e-10	5.28e-10	3.48e-10
PI47-3a_LP-DIR-T11	PI47-3a_LP-DIR-T	PI47-3a	    1.1	217.8	 37.1 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:26:11	LT-T-Z:LP-DIR-T	g	67	u	8	273			pmagpy-4.2.19	4.32e-08	7.49e-10	2.82e-10	3.42e-10
PI47-3a_LP-DIR-T12	PI47-3a_LP-DIR-T	PI47-3a	    2.4	218.4	 35.9 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:01:15	LT-T-Z:LP-DIR-T	g	68	u	8	273			pmagpy-4.2.19	4.00e-08	1.26e-09	1.07e-09	1.95e-10
PI47-3a_LP-DIR-T13	PI47-3a_LP-DIR-T	PI47-3a	    3.4	222.2	 35.6 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:47:10	LT-T-Z:LP-DIR-T	g	69	u	8	273			pmagpy-4.2.19	3.57e-08	1.56e-09	1.44e-09	1.27e-10
PI47-3a_LP-DIR-T14	PI47-3a_LP-DIR-T	PI47-3a	    5.2	216.0	 35.1 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:22:17	LT-T-Z:LP-DIR-T	g	70	u	8	273			pmagpy-4.2.19	3.17e-08	2.07e-09	2.00e-09	2.79e-10
PI47-3a_LP-DIR-T15	PI47-3a_LP-DIR-T	PI47-3a	    3.9	219.2	 32.7 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:25:07	LT-T-Z:LP-DIR-T	g	71	u	8	273			pmagpy-4.2.19	2.76e-08	1.23e-09	1.45e-09	1.15e-10
PI47-3a_LP-DIR-T16	PI47-3a_LP-DIR-T	PI47-3a	    2.4	215.5	 31.4 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:12:49	LT-T-Z:LP-DIR-T	g	72	u	8	273			pmagpy-4.2.19	2.32e-08	8.72e-10	5.11e-10	3.42e-10
PI47-3a_LP-DIR-T17	PI47-3a_LP-DIR-T	PI47-3a	    1.9	215.5	 32.2 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:54:00	LT-T-Z:LP-DIR-T	g	73	u	8	273			pmagpy-4.2.19	1.92e-08	4.38e-10	3.91e-10	3.84e-10
PI47-3a_LP-DIR-T18	PI47-3a_LP-DIR-T	PI47-3a	    3.4	214.5	 31.4 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:38:38	LT-T-Z:LP-DIR-T	g	74	u	8	273			pmagpy-4.2.19	1.57e-08	7.31e-10	3.79e-10	4.86e-10
PI47-3a_LP-DIR-T19	PI47-3a_LP-DIR-T	PI47-3a	    4.1	208.8	 30.9 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:30:42	LT-T-Z:LP-DIR-T	g	75	u	8	273			pmagpy-4.2.19	1.19e-08	2.87e-10	7.95e-10	2.42e-10
PI47-3a_LP-DIR-T20	PI47-3a_LP-DIR-T	PI47-3a	    2.3	209.0	 21.0 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:32:02	LT-T-Z:LP-DIR-T	g	76	u	8	273			pmagpy-4.2.19	6.61e-09	2.06e-10	1.69e-10	1.12e-10
PI47-3a_LP-DIR-T21	PI47-3a_LP-DIR-T	PI47-3a	    2.6	201.0	 37.2 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:28:45	LT-T-Z:LP-DIR-T	g	77	u	8	273			pmagpy-4.2.19	4.27e-09	1.26e-10	1.65e-10	2.74e-11
PI47-3a_LP-DIR-T22	PI47-3a_LP-DIR-T	PI47-3a	    1.0	207.4	 29.4 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:19:50	LT-T-Z:LP-DIR-T	g	78	u	8	273			pmagpy-4.2.19	3.59e-09	8.49e-11	2.23e-11	1.42e-11
PI47-3a_LP-DIR-T23	PI47-3a_LP-DIR-T	PI47-3a	    2.0	208.9	 30.6 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 10:53:43	LT-T-Z:LP-DIR-T	g	79	u	8	273			pmagpy-4.2.19	3.67e-09	5.79e-11	1.08e-10	1.17e-10
PI47-3a_LP-DIR-T24	PI47-3a_LP-DIR-T	PI47-3a	    5.4	246.0	 36.7 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:52:36	LT-T-Z:LP-DIR-T	g	80	u	8	273			pmagpy-4.2.19	1.55e-09	4.62e-11	1.16e-10	8.34e-11
PI47-3a_LP-DIR-T25	PI47-3a_LP-DIR-T	PI47-3a	   19.9	176.7	-25.7 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:24:42	LT-T-Z:LP-DIR-T	g	81	u	8	273			pmagpy-4.2.19	2.91e-10	1.67e-11	6.96e-11	8.32e-11
PI47-3a_LP-DIR-T26	PI47-3a_LP-DIR-T	PI47-3a	   15.2	170.8	-31.9 	0	0	0.00	0.00	26	  848.0	This study	hargrave 2015-10-31 13:37:06	LT-T-Z:LP-DIR-T	g	82	u	8	273			pmagpy-4.2.19	3.09e-10	1.83e-11	6.62e-11	5.04e-11
PI47-3a_LP-DIR-T27	PI47-3a_LP-DIR-T	PI47-3a	   13.3	226.5	 50.3 	0	0	0.00	0.00	27	  850.0	This study	hargrave 2015-10-31 19:29:03	LT-T-Z:LP-DIR-T	g	83	u	8	273			pmagpy-4.2.19	8.53e-10	1.81e-11	1.77e-10	9.35e-11
