tab 	measurements																		
citations	dir_csd	dir_dec	dir_inc	experiment	location	magn_moment	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	1.3	171.4	43.3	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.35E-05	273	900	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	673
This study	0.6	173.8	27.1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	2.15E-05	273	901	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	723
This study	1.3	172.3	59.5	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.58E-05	273	902	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	723
This study	2.2	172.4	28.1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	1.70E-05	273	903	LT-T-Z : DE-VM : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	773
This study	1	172.4	53.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	2.52E-05	273	904	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	673
This study	1.2	174.5	61.6	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	2.97E-05	273	905	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	773
This study	0.9	172.1	28.2	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	1.20E-05	273	906	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	798
This study	0.7	171.1	72.8	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.19E-05	273	907	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	798
This study	0.9	172.8	27.7	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	5.62E-06	273	908	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	0	0	0	823
This study	0.5	169.5	78.8	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	2.35E-05	273	909	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	773
This study	0.8	165.3	83.1	sr01a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	3.64E-05	273	910	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01a	sr01	sr01a1	u	0	4.00E-05	0	90	823
This study	1.2	172.1	29.9	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.23E-05	273	911	LT-NO : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	273
This study	0.6	172.2	29.6	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.17E-05	273	912	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	373
This study	1.6	173	30.5	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.19E-05	273	913	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	373
This study	0.8	172.3	29.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.12E-05	273	914	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	423
This study	1	170.5	31.6	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.20E-05	273	915	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	423
This study	1.3	171.9	29.7	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.10E-05	273	916	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	473
This study	0.7	171.1	30.6	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.14E-05	273	917	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	373
This study	0.7	171.5	32.1	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.16E-05	273	918	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	473
This study	1	171.4	30.3	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.09E-05	273	919	LT-PTRM-MD : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	90	473
This study	0.8	171.4	29.5	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.03E-05	273	920	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	523
This study	0.7	171.9	33.7	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.14E-05	273	921	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	523
This study	1.1	172.2	30.1	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.92E-05	273	922	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	573
This study	1.1	171.3	32.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.00E-05	273	923	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	473
This study	1	172	34.7	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.07E-05	273	924	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	573
This study	0.9	171.8	30.7	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.89E-05	273	925	LT-PTRM-MD : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	90	573
This study	0.9	172.2	30.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.71E-05	273	926	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	623
This study	1.4	172.1	37.3	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.94E-05	273	927	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	623
This study	0.8	172.8	30.2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.35E-05	273	928	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	673
This study	0.9	173.1	37.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.53E-05	273	929	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	573
This study	1.4	174.2	45.3	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.82E-05	273	930	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	673
This study	0.9	172.9	31.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.23E-05	273	931	LT-PTRM-MD : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	90	673
This study	1.6	172.2	29.9	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	1.66E-05	273	932	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	723
This study	1.3	173.1	57.9	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.69E-05	273	933	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	723
This study	0.9	172.6	30	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	1.28E-05	273	934	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	773
This study	1.1	174.4	55.5	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.01E-05	273	935	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	673
This study	1.3	172.4	62.7	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.39E-05	273	936	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	773
This study	1.1	172.4	31.4	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	1.21E-05	273	937	LT-PTRM-MD : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	90	773
This study	0.9	172.7	30.2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	8.50E-06	273	938	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	798
This study	1.4	167.4	73.5	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	2.58E-05	273	939	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	798
This study	0.9	172.4	30.9	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	4.06E-06	273	940	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	823
This study	1.8	160.7	79.5	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	1.95E-05	273	941	LT-PTRM-I : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	773
This study	1.4	163.2	82.6	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.00E-05	273	942	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	823
This study	1	173.5	36.9	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.66E-06	273	943	LT-PTRM-MD : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	90	823
This study	1.4	173	32.2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	1.77E-06	273	944	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	0	0	0	848
This study	1.3	128.9	84.2	sr01a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-MD-LP-PI-ZI	Snake River	3.29E-05	273	945	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	g	sr01a	sr01	sr01a2	u	0	4.00E-05	0	90	848
This study	0.9	160	26.1	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	0.0001044	273	946	LT-NO : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01c	sr01	sr01c2	u	0	0	0	0	273
This study	0.5	158.6	26.2	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	0.0001027	273	947	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01c	sr01	sr01c2	u	0	0	0	0	373
This study	2.1	157.6	26.7	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	0.0001032	273	948	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01c	sr01	sr01c2	u	0	4.00E-05	0	90	373
This study	1.3	161.5	26.3	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	0.0001022	273	949	LT-T-Z : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01c	sr01	sr01c2	u	0	0	0	0	423
This study	0.9	159.1	27.1	sr01c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI	Snake River	0.0001027	273	950	LT-T-I : LP-PI-TRM-ZI : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	g	sr01c	sr01	sr01c2	u	0	4.00E-05	0	90	423
