tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Cromwell	This study		0.3	158.8	19.2	jm004a2:LT-NO	0.0000865	4	273	1	LT-NO	g	pmagpy-2.34	jm004a2	u	2009-10-06T17:01:00Z	0	0	0	90	273
Cromwell	This study		0.3	166.8	11.6	jm004b1:LT-NO	0.0000815	4	273	1	LT-NO	g	pmagpy-2.34	jm004b1	u	2009-10-06T16:53:00Z	0	0	0	90	273
Cromwell	This study		0.3	164.9	11.7	jm004b2:LT-NO	0.0000821	4	273	1	LT-NO	g	pmagpy-2.34	jm004b2	u	2009-10-06T16:56:00Z	0	0	0	90	273
Cromwell	This study		0.3	164.5	8.8	jm004b3:LT-NO	0.000074	4	273	1	LT-NO	g	pmagpy-2.34	jm004b3	u	2009-10-06T17:06:00Z	0	0	0	90	273
Cromwell	This study		0.3	164.3	9	jm004c1:LT-NO	0.0000768	4	273	1	LT-NO	g	pmagpy-2.34	jm004c1	u	2009-10-06T17:05:00Z	0	0	0	90	273
Cromwell	This study		0.3	167.7	25.5	jm004d1:LT-NO	0.0000746	4	273	1	LT-NO	g	pmagpy-2.34	jm004d1	u	2009-10-06T17:00:00Z	0	0	0	90	273
Cromwell	This study		0.2	166.3	27.7	jm004d2:LT-NO	0.0000713	4	273	1	LT-NO	g	pmagpy-2.34	jm004d2	u	2009-10-06T16:57:00Z	0	0	0	90	273
Cromwell	This study		0.3	166.3	14.3	jm004e1:LT-NO	0.0000785	4	273	1	LT-NO	g	pmagpy-2.34	jm004e1	u	2009-10-06T17:07:00Z	0	0	0	90	273
Cromwell	This study		0.2	182.7	48	jm004f2:LT-NO	0.0000686	4	273	1	LT-NO	g	pmagpy-2.34	jm004f2	u	2009-10-06T16:54:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.4	21.8	jm004g1:LT-NO	0.0000591	4	273	1	LT-NO	g	pmagpy-2.34	jm004g1	u	2009-10-06T16:55:00Z	0	0	0	90	273
Cromwell	This study		0.3	177	0.8	jm004i1:LT-NO	0.0000812	4	273	1	LT-NO	g	pmagpy-2.34	jm004i1	u	2009-10-06T17:04:00Z	0	0	0	90	273
Cromwell	This study		0.3	174.3	-7.9	jm006a1:LT-NO	0.0000539	4	273	1	LT-NO	g	pmagpy-2.34	jm006a1	u	2009-10-06T18:23:00Z	0	0	0	90	273
Cromwell	This study		0.3	171.3	-8.1	jm006a2:LT-NO	0.000048	4	273	1	LT-NO	g	pmagpy-2.34	jm006a2	u	2009-10-06T18:27:00Z	0	0	0	90	273
Cromwell	This study		0.3	165.5	4.8	jm006b1:LT-NO	0.000055	4	273	1	LT-NO	g	pmagpy-2.34	jm006b1	u	2009-10-06T18:20:00Z	0	0	0	90	273
Cromwell	This study		0.3	167	6.9	jm006b2:LT-NO	0.0000636	4	273	1	LT-NO	g	pmagpy-2.34	jm006b2	u	2009-10-06T18:28:00Z	0	0	0	90	273
Cromwell	This study		0.3	159.2	1.8	jm006c2:LT-NO	0.0000578	4	273	1	LT-NO	g	pmagpy-2.34	jm006c2	u	2009-10-06T18:22:00Z	0	0	0	90	273
Cromwell	This study		0.3	165.3	5.6	jm006d2:LT-NO	0.0000726	4	273	1	LT-NO	g	pmagpy-2.34	jm006d2	u	2009-10-06T18:15:00Z	0	0	0	90	273
Cromwell	This study		0.3	167.1	6	jm006d3:LT-NO	0.0000752	4	273	1	LT-NO	g	pmagpy-2.34	jm006d3	u	2009-10-06T18:26:00Z	0	0	0	90	273
Cromwell	This study		0.3	167.8	-1.4	jm006e1:LT-NO	0.0000739	4	273	1	LT-NO	g	pmagpy-2.34	jm006e1	u	2009-10-06T17:37:00Z	0	0	0	90	273
Cromwell	This study		0.3	165	-3.4	jm006e2:LT-NO	0.0000737	4	273	1	LT-NO	g	pmagpy-2.34	jm006e2	u	2009-10-06T17:34:00Z	0	0	0	90	273
Cromwell	This study		0.3	164.1	-7.3	jm006f1:LT-NO	0.0000467	4	273	1	LT-NO	g	pmagpy-2.34	jm006f1	u	2009-10-06T17:34:00Z	0	0	0	90	273
Cromwell	This study		0.3	162.5	-6.4	jm006f2:LT-NO	0.0000439	4	273	1	LT-NO	g	pmagpy-2.34	jm006f2	u	2009-10-06T18:12:00Z	0	0	0	90	273
Cromwell	This study		0.3	166.5	3.9	jm006g1:LT-NO	0.0000406	4	273	1	LT-NO	g	pmagpy-2.34	jm006g1	u	2009-10-06T18:19:00Z	0	0	0	90	273
Cromwell	This study		0.3	166.8	5.4	jm006g2:LT-NO	0.0000458	4	273	1	LT-NO	g	pmagpy-2.34	jm006g2	u	2009-10-06T18:21:00Z	0	0	0	90	273
Cromwell	This study		0.3	160.2	5.1	jm006h1:LT-NO	0.0000379	4	273	1	LT-NO	g	pmagpy-2.34	jm006h1	u	2009-10-06T18:33:00Z	0	0	0	90	273
Cromwell	This study		0.3	159.3	6.5	jm006h2:LT-NO	0.0000388	4	273	1	LT-NO	g	pmagpy-2.34	jm006h2	u	2009-10-06T18:24:00Z	0	0	0	90	273
Cromwell	This study		0.3	159.6	9	jm006i1:LT-NO	0.0000429	4	273	1	LT-NO	g	pmagpy-2.34	jm006i1	u	2009-10-06T18:14:00Z	0	0	0	90	273
Cromwell	This study		0.3	158.4	8.7	jm006i2:LT-NO	0.0000465	4	273	1	LT-NO	g	pmagpy-2.34	jm006i2	u	2009-10-07T03:51:00Z	0	0	0	90	273
Cromwell	This study		0.3	161.3	-3.1	jm006j1:LT-NO	0.0000397	4	273	1	LT-NO	g	pmagpy-2.34	jm006j1	u	2009-10-06T17:32:00Z	0	0	0	90	273
Cromwell	This study		0.3	161	-3.8	jm006j2:LT-NO	0.0000407	4	273	1	LT-NO	g	pmagpy-2.34	jm006j2	u	2009-10-06T17:33:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.8	14.9	jm007a1:LT-NO	0.000176	4	273	1	LT-NO	g	pmagpy-2.34	jm007a1	u	2009-10-06T18:30:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.2	14.4	jm007b1:LT-NO	0.00017	4	273	1	LT-NO	g	pmagpy-2.34	jm007b1	u	2009-10-06T17:28:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.6	17	jm007c2:LT-NO	0.000153	4	273	1	LT-NO	g	pmagpy-2.34	jm007c2	u	2009-10-06T17:20:00Z	0	0	0	90	273
Cromwell	This study		0.3	187	15	jm007e1:LT-NO	0.000193	4	273	1	LT-NO	g	pmagpy-2.34	jm007e1	u	2009-10-06T17:24:00Z	0	0	0	90	273
Cromwell	This study		0.2	185.4	19.4	jm007f1:LT-NO	0.000187	4	273	1	LT-NO	g	pmagpy-2.34	jm007f1	u	2009-10-06T18:25:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.8	19.3	jm007f2:LT-NO	0.000186	4	273	1	LT-NO	g	pmagpy-2.34	jm007f2	u	2009-10-06T17:18:00Z	0	0	0	90	273
Cromwell	This study		0.3	188	12.5	jm007g1:LT-NO	0.000185	4	273	1	LT-NO	g	pmagpy-2.34	jm007g1	u	2009-10-06T18:31:00Z	0	0	0	90	273
Cromwell	This study		0.3	187.9	11.4	jm007g2:LT-NO	0.00019	4	273	1	LT-NO	g	pmagpy-2.34	jm007g2	u	2009-10-06T17:27:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.8	16	jm007h1:LT-NO	0.000191	4	273	1	LT-NO	g	pmagpy-2.34	jm007h1	u	2009-10-06T17:16:00Z	0	0	0	90	273
Cromwell	This study		0.3	186.4	14.5	jm007h2:LT-NO	0.000176	4	273	1	LT-NO	g	pmagpy-2.34	jm007h2	u	2009-10-06T17:30:00Z	0	0	0	90	273
Cromwell	This study		0.3	188	7.5	jm007i1:LT-NO	0.000112	4	273	1	LT-NO	g	pmagpy-2.34	jm007i1	u	2009-10-06T17:12:00Z	0	0	0	90	273
Cromwell	This study		0.3	184.8	11.2	jm007i2:LT-NO	0.00012	4	273	1	LT-NO	g	pmagpy-2.34	jm007i2	u	2009-10-06T17:31:00Z	0	0	0	90	273
Cromwell	This study		0.3	180.1	0.9	jm007j1:LT-NO	0.000117	4	273	1	LT-NO	g	pmagpy-2.34	jm007j1	u	2009-10-06T17:22:00Z	0	0	0	90	273
Cromwell	This study		0.3	179.8	0.6	jm007j2:LT-NO	0.000132	4	273	1	LT-NO	g	pmagpy-2.34	jm007j2	u	2009-10-06T18:16:00Z	0	0	0	90	273
Cromwell	This study		0.3	175.9	12.3	jm008a1:LT-NO	0.0000852	4	273	1	LT-NO	g	pmagpy-2.34	jm008a1	u	2009-10-06T18:37:00Z	0	0	0	90	273
Cromwell	This study		0.3	179.4	11.9	jm008a2:LT-NO	0.0000608	4	273	1	LT-NO	g	pmagpy-2.34	jm008a2	u	2009-10-06T18:36:00Z	0	0	0	90	273
Cromwell	This study		0.3	177.6	3.7	jm008e1:LT-NO	0.0000306	4	273	1	LT-NO	g	pmagpy-2.34	jm008e1	u	2009-10-06T18:39:00Z	0	0	0	90	273
Cromwell	This study		0.3	175.6	6.5	jm008f1:LT-NO	0.0000374	4	273	1	LT-NO	g	pmagpy-2.34	jm008f1	u	2009-10-06T18:17:00Z	0	0	0	90	273
Cromwell	This study		0.3	177.6	0.7	jm008g2:LT-NO	0.0000557	4	273	1	LT-NO	g	pmagpy-2.34	jm008g2	u	2009-10-06T18:35:00Z	0	0	0	90	273
Cromwell	This study		0.3	183.9	9.7	jm008h1:LT-NO	0.0000257	4	273	1	LT-NO	g	pmagpy-2.34	jm008h1	u	2009-10-06T18:32:00Z	0	0	0	90	273
Cromwell	This study		0.3	182.1	3.2	jm008i1:LT-NO	0.000027	4	273	1	LT-NO	g	pmagpy-2.34	jm008i1	u	2009-10-06T18:40:00Z	0	0	0	90	273
Cromwell	This study		0.3	184.1	5.9	jm008i2:LT-NO	0.0000279	4	273	1	LT-NO	g	pmagpy-2.34	jm008i2	u	2009-10-07T04:06:00Z	0	0	0	90	273
Cromwell	This study		0.3	183.7	6	jm008j1:LT-NO	0.0000247	4	273	1	LT-NO	g	pmagpy-2.34	jm008j1	u	2009-10-06T18:35:00Z	0	0	0	90	273
Cromwell	This study		0.3	183.7	7.6	jm008j2:LT-NO	0.0000256	4	273	1	LT-NO	g	pmagpy-2.34	jm008j2	u	2009-10-06T18:40:00Z	0	0	0	90	273
Cromwell	This study		0.3	175.7	11.4	jm009a1:LT-NO	0.000037	4	273	1	LT-NO	g	pmagpy-2.34	jm009a1	u	2009-10-07T03:48:00Z	0	0	0	90	273
Cromwell	This study		0.3	179.3	12.3	jm009a2:LT-NO	0.0000355	4	273	1	LT-NO	g	pmagpy-2.34	jm009a2	u	2009-10-06T18:41:00Z	0	0	0	90	273
Cromwell	This study		0.3	173.9	25	jm009b1:LT-NO	0.0000369	4	273	1	LT-NO	g	pmagpy-2.34	jm009b1	u	2009-10-07T03:48:00Z	0	0	0	90	273
Cromwell	This study		0.3	174.1	27.6	jm009b2:LT-NO	0.0000372	4	273	1	LT-NO	g	pmagpy-2.34	jm009b2	u	2009-10-06T18:41:00Z	0	0	0	90	273
Cromwell	This study		0.3	179.4	26.8	jm009c2:LT-NO	0.0000359	4	273	1	LT-NO	g	pmagpy-2.34	jm009c2	u	2009-10-06T18:42:00Z	0	0	0	90	273
Cromwell	This study		0.2	181.3	48.5	jm009d2:LT-NO	0.0000657	4	273	1	LT-NO	g	pmagpy-2.34	jm009d2	u	2009-10-06T18:45:00Z	0	0	0	90	273
Cromwell	This study		0.2	190	59.4	jm009e1:LT-NO	0.0000643	4	273	1	LT-NO	g	pmagpy-2.34	jm009e1	u	2009-10-07T03:49:00Z	0	0	0	90	273
Cromwell	This study		0.2	185	59.8	jm009e2:LT-NO	0.0000682	4	273	1	LT-NO	g	pmagpy-2.34	jm009e2	u	2009-10-06T18:43:00Z	0	0	0	90	273
Cromwell	This study		0.3	177.7	21.8	jm009f1:LT-NO	0.0000464	4	273	1	LT-NO	g	pmagpy-2.34	jm009f1	u	2009-10-07T03:56:00Z	0	0	0	90	273
Cromwell	This study		0.3	178.9	22	jm009f2:LT-NO	0.0000441	4	273	1	LT-NO	g	pmagpy-2.34	jm009f2	u	2009-10-07T03:52:00Z	0	0	0	90	273
Cromwell	This study		0.3	182.9	30.1	jm009g1:LT-NO	0.0000437	4	273	1	LT-NO	g	pmagpy-2.34	jm009g1	u	2009-10-07T03:55:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.2	30.9	jm009g2:LT-NO	0.0000463	4	273	1	LT-NO	g	pmagpy-2.34	jm009g2	u	2009-10-07T03:50:00Z	0	0	0	90	273
Cromwell	This study		0.3	178.9	4.5	jm009h1:LT-NO	0.0000512	4	273	1	LT-NO	g	pmagpy-2.34	jm009h1	u	2009-10-07T03:49:00Z	0	0	0	90	273
Cromwell	This study		0.3	178.4	23	jm009i1:LT-NO	0.0000516	4	273	1	LT-NO	g	pmagpy-2.34	jm009i1	u	2009-10-07T03:54:00Z	0	0	0	90	273
Cromwell	This study		0.3	175	23.9	jm009i2:LT-NO	0.0000499	4	273	1	LT-NO	g	pmagpy-2.34	jm009i2	u	2009-10-07T03:53:00Z	0	0	0	90	273
Cromwell	This study		0.3	181.8	32.1	jm009j1:LT-NO	0.0000857	4	273	1	LT-NO	g	pmagpy-2.34	jm009j1	u	2009-10-07T04:36:00Z	0	0	0	90	273
Cromwell	This study		0.3	178.5	34.4	jm009j2:LT-NO	0.0000765	4	273	1	LT-NO	g	pmagpy-2.34	jm009j2	u	2009-10-07T04:01:00Z	0	0	0	90	273
Cromwell	This study		0.2	173.9	51	jm011a1:LT-NO	0.0000586	4	273	1	LT-NO	g	pmagpy-2.34	jm011a1	u	2009-10-07T03:58:00Z	0	0	0	90	273
Cromwell	This study		0.2	192.1	50	jm011b1:LT-NO	0.0000788	4	273	1	LT-NO	g	pmagpy-2.34	jm011b1	u	2009-10-07T04:00:00Z	0	0	0	90	273
Cromwell	This study		0.2	167.2	44.6	jm011c1:LT-NO	0.0000558	4	273	1	LT-NO	g	pmagpy-2.34	jm011c1	u	2009-10-07T04:35:00Z	0	0	0	90	273
Cromwell	This study		0.2	175.3	36.9	jm011d2:LT-NO	0.0000606	4	273	1	LT-NO	g	pmagpy-2.34	jm011d2	u	2009-10-07T03:58:00Z	0	0	0	90	273
Cromwell	This study		0.2	171.3	41.5	jm011e1:LT-NO	0.0000591	4	273	1	LT-NO	g	pmagpy-2.34	jm011e1	u	2009-10-07T03:59:00Z	0	0	0	90	273
Cromwell	This study		0.2	167.1	48.7	jm011e2:LT-NO	0.0000543	4	273	1	LT-NO	g	pmagpy-2.34	jm011e2	u	2009-10-07T04:04:00Z	0	0	0	90	273
Cromwell	This study		0.2	167.8	39.4	jm011f2:LT-NO	0.0000542	4	273	1	LT-NO	g	pmagpy-2.34	jm011f2	u	2009-10-07T04:05:00Z	0	0	0	90	273
Cromwell	This study		0.3	191.9	39.9	jm011g1:LT-NO	0.000053	4	273	1	LT-NO	g	pmagpy-2.34	jm011g1	u	2009-10-07T04:02:00Z	0	0	0	90	273
Cromwell	This study		0.2	194.6	44.2	jm011g2:LT-NO	0.0000489	4	273	1	LT-NO	g	pmagpy-2.34	jm011g2	u	2009-10-07T03:57:00Z	0	0	0	90	273
Cromwell	This study		0.3	195.5	38	jm011h1:LT-NO	0.0000537	4	273	1	LT-NO	g	pmagpy-2.34	jm011h1	u	2009-10-07T04:32:00Z	0	0	0	90	273
Cromwell	This study		0.3	195.7	41.2	jm011h2:LT-NO	0.0000453	4	273	1	LT-NO	g	pmagpy-2.34	jm011h2	u	2009-10-07T04:03:00Z	0	0	0	90	273
Cromwell	This study		0.3	185.4	50.8	jm011i1:LT-NO	0.0000361	4	273	1	LT-NO	g	pmagpy-2.34	jm011i1	u	2009-10-06T16:50:00Z	0	0	0	90	273
Cromwell	This study		0.2	181	57.1	jm011j1:LT-NO	0.000038	4	273	1	LT-NO	g	pmagpy-2.34	jm011j1	u	2009-10-07T04:04:00Z	0	0	0	90	273
Cromwell	This study		0.2	183.4	51	jm011k1:LT-NO	0.0000371	4	273	1	LT-NO	g	pmagpy-2.34	jm011k1	u	2009-10-07T04:03:00Z	0	0	0	90	273
Cromwell	This study		0.2	179.1	59.3	jm011k2:LT-NO	0.0000448	4	273	1	LT-NO	g	pmagpy-2.34	jm011k2	u	2009-10-07T04:00:00Z	0	0	0	90	273
Cromwell	This study		0.3	198.2	42.2	jm012a1:LT-NO	0.0000574	4	273	1	LT-NO	g	pmagpy-2.34	jm012a1	u	2009-10-07T04:40:00Z	0	0	0	90	273
Cromwell	This study		0.3	204.5	37.4	jm012b1:LT-NO	0.0000587	4	273	1	LT-NO	g	pmagpy-2.34	jm012b1	u	2009-10-07T04:41:00Z	0	0	0	90	273
Cromwell	This study		0.3	205.7	38.8	jm012b2:LT-NO	0.0000564	4	273	1	LT-NO	g	pmagpy-2.34	jm012b2	u	2009-10-07T04:32:00Z	0	0	0	90	273
Cromwell	This study		0.4	200.5	6.1	jm012c1:LT-NO	0.0000386	4	273	1	LT-NO	g	pmagpy-2.34	jm012c1	u	2009-10-07T04:37:00Z	0	0	0	90	273
Cromwell	This study		0.3	193.9	7.7	jm012d1:LT-NO	0.000038	4	273	1	LT-NO	g	pmagpy-2.34	jm012d1	u	2009-10-07T04:37:00Z	0	0	0	90	273
Cromwell	This study		0.4	196.4	10.5	jm012d2:LT-NO	0.0000344	4	273	1	LT-NO	g	pmagpy-2.34	jm012d2	u	2009-10-06T16:50:00Z	0	0	0	90	273
Cromwell	This study		0.3	198.3	28	jm012e1:LT-NO	0.0000308	4	273	1	LT-NO	g	pmagpy-2.34	jm012e1	u	2009-10-07T04:36:00Z	0	0	0	90	273
Cromwell	This study		0.3	205.2	36.8	jm012h1:LT-NO	0.0000595	4	273	1	LT-NO	g	pmagpy-2.34	jm012h1	u	2009-10-07T04:39:00Z	0	0	0	90	273
Cromwell	This study		0.3	192.3	42	jm012i1:LT-NO	0.0000558	4	273	1	LT-NO	g	pmagpy-2.34	jm012i1	u	2009-10-07T04:39:00Z	0	0	0	90	273
Cromwell	This study		0.3	192.8	38.3	jm012j1:LT-NO	0.0000613	4	273	1	LT-NO	g	pmagpy-2.34	jm012j1	u	2009-10-07T04:41:00Z	0	0	0	90	273
Cromwell	This study		0.2	189.7	80.3	jm013a1:LT-NO	0.0000852	4	273	1	LT-NO	g	pmagpy-2.34	jm013a1	u	2009-10-07T04:54:00Z	0	0	0	90	273
Cromwell	This study		0.2	195.5	77.7	jm013b1:LT-NO	0.0000847	4	273	1	LT-NO	g	pmagpy-2.34	jm013b1	u	2009-10-07T04:57:00Z	0	0	0	90	273
Cromwell	This study		0.2	194	78.2	jm013b2:LT-NO	0.000077	4	273	1	LT-NO	g	pmagpy-2.34	jm013b2	u	2009-10-07T04:53:00Z	0	0	0	90	273
Cromwell	This study		0.2	214.5	68.9	jm013c1:LT-NO	0.0000922	4	273	1	LT-NO	g	pmagpy-2.34	jm013c1	u	2009-10-07T05:01:00Z	0	0	0	90	273
Cromwell	This study		0.2	222.3	69	jm013c2:LT-NO	0.0000869	4	273	1	LT-NO	g	pmagpy-2.34	jm013c2	u	2009-10-07T04:59:00Z	0	0	0	90	273
Cromwell	This study		0.2	171.9	49.4	jm013e2:LT-NO	0.0000865	4	273	1	LT-NO	g	pmagpy-2.34	jm013e2	u	2009-10-07T04:55:00Z	0	0	0	90	273
Cromwell	This study		0.2	174	49.4	jm013f1:LT-NO	0.000082	4	273	1	LT-NO	g	pmagpy-2.34	jm013f1	u	2009-10-07T04:58:00Z	0	0	0	90	273
Cromwell	This study		0.2	175.2	50	jm013f2:LT-NO	0.0000906	4	273	1	LT-NO	g	pmagpy-2.34	jm013f2	u	2009-10-07T05:00:00Z	0	0	0	90	273
Cromwell	This study		0.2	167.5	53.6	jm013g1:LT-NO	0.0000571	4	273	1	LT-NO	g	pmagpy-2.34	jm013g1	u	2009-10-07T04:48:00Z	0	0	0	90	273
Cromwell	This study		0.2	170.2	53.4	jm013g2:LT-NO	0.0000538	4	273	1	LT-NO	g	pmagpy-2.34	jm013g2	u	2009-10-07T05:05:00Z	0	0	0	90	273
Cromwell	This study		0.2	171.3	58.4	jm013h1:LT-NO	0.0000512	4	273	1	LT-NO	g	pmagpy-2.34	jm013h1	u	2009-10-07T04:49:00Z	0	0	0	90	273
Cromwell	This study		0.2	168.5	60	jm013h2:LT-NO	0.0000536	4	273	1	LT-NO	g	pmagpy-2.34	jm013h2	u	2009-10-07T05:05:00Z	0	0	0	90	273
Cromwell	This study		0.2	197.6	52.3	jm013i1:LT-NO	0.0000837	4	273	1	LT-NO	g	pmagpy-2.34	jm013i1	u	2009-10-07T05:01:00Z	0	0	0	90	273
