tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	treatment_ac_field	er_citation_names	measurement_inc	measurement_dec	treatment_dc_field	magic_software_packages	measurement_standard	magic_method_codes	treatment_dc_field_phi	measurement_description	treatment_temp	measurement_temp	measurement_magn_moment	magic_instrument_codes	measurement_sd_z	measurement_sd_y	measurement_sd_x	er_analyst_mail_names	treatment_dc_field_theta	measurement_flag	measurement_positions	measurement_csd
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	32	0	This study	-66.1	104.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			943.0	273	2.82e-08	hargrave 2015-02-18 09:43:40	2.09e-10	3.79e-10	5.19e-10			g	1	1.3
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	33	0	This study	-55.4	113.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			953.0	273	4.99e-09	hargrave 2015-02-19 12:52:13	6.39e-11	6.41e-11	9.64e-11			g	1	1.4
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	1	0	This study	-50.4	46.5	0	pmagpy-3.2.1		LT-NO:LP-DIR-T			273	273	1.12e-06		9.82e-09	4.00e-08	3.14e-08			g	1	2.6
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	2	0	This study	-50.9	46.3	0	pmagpy-3.2.1		LT-LT-Z:LP-DIR-T			77	273	1.16e-06		1.09e-08	3.25e-08	2.20e-08			g	1	2.0
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	3	0	This study	-51.6	44.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			373.0	273	1.33e-06		1.11e-08	1.88e-08	8.96e-09			g	1	1.0
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	4	0	This study	-51.8	043.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			423.0	273	1.16e-06	hargrave 2014-10-22 15:54:56	9.49e-09	4.26e-08	2.83e-08			g	1	2.6
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	5	0	This study	-51.0	043.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			473.0	273	1.05e-06	hargrave 2014-10-27 16:21:23	7.43e-09	2.78e-08	1.89e-08			g	1	1.9
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	6	0	This study	-51.0	045.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			523.0	273	7.52e-07	hargrave 2014-10-28 13:44:04	6.48e-09	3.76e-08	3.14e-08			g	1	3.7
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	7	0	This study	-50.2	050.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			573.0	273	4.57e-07	hargrave 2014-10-28 20:41:45	3.34e-09	1.47e-08	1.28e-08			g	1	2.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	8	0	This study	-48.8	051.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			623.0	273	2.19e-07	hargrave 2014-10-29 20:54:34	1.26e-09	6.53e-09	6.51e-09			g	1	2.4
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	9	0	This study	-48.1	053.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			673.0	273	1.67e-07	hargrave 2014-11-03 17:14:38	1.13e-09	4.98e-09	5.32e-09			g	1	2.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	10	0	This study	-47.3	053.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			698.0	273	1.38e-07	hargrave 2014-11-04 12:05:10	7.89e-10	1.53e-09	1.25e-09			g	1	0.8
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	11	0	This study	-45.6	057.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			723.0	273	1.18e-07	hargrave 2014-11-10 12:54:47	7.35e-10	2.76e-09	2.22e-09			g	1	1.7
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	12	0	This study	-42.6	059.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			748.0	273	9.94e-08	hargrave 2014-11-10 22:13:28	9.36e-10	2.36e-09	2.09e-09			g	1	1.9
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	13	0	This study	-40.9	065.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			773.0	273	8.35e-08	hargrave 2014-11-13 11:47:43	8.86e-10	2.99e-09	3.95e-09			g	1	3.4
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	14	0	This study	-38.7	067.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			788.0	273	7.25e-08	hargrave 2014-11-17 17:28:20	5.83e-10	1.73e-09	3.33e-09			g	1	3.0
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	15	0	This study	-37.4	068.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			803.0	273	6.70e-08	hargrave 2014-11-24 18:19:01	5.21e-10	3.52e-10	6.35e-10			g	1	0.7
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	16	0	This study	-36.7	069.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			818.0	273	6.56e-08	hargrave 2014-12-01 17:00:52	4.84e-10	3.27e-10	4.17e-10			g	1	0.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	17	0	This study	-35.7	070.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			823.0	273	6.27e-08	hargrave 2014-12-02 00:46:50	4.23e-10	3.20e-10	1.61e-09			g	1	1.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	18	0	This study	-33.0	073.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			828.0	273	5.59e-08	hargrave 2014-12-05 13:42:16	4.07e-10	6.07e-10	6.98e-10			g	1	0.9
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	19	0	This study	-33.1	075.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			833.0	273	5.14e-08	hargrave 2014-12-06 11:59:31	3.89e-10	2.40e-10	1.15e-09			g	1	1.3
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	20	0	This study	-32.9	072.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			838.0	273	4.91e-08	hargrave 2014-12-08 15:20:12	3.15e-10	1.65e-10	5.60e-10			g	1	0.7
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	21	0	This study	-34.0	074.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			843.0	273	4.54e-08	hargrave 2014-12-08 22:13:06	2.57e-10	2.71e-10	7.54e-10			g	1	1.0
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	22	0	This study	-32.9	078.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			846.0	273	4.43e-08	hargrave 2015-01-12 11:03:59	3.74e-10	3.39e-10	1.14e-09			g	1	1.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	23	0	This study	-32.8	076.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			849.0	273	4.29e-08	hargrave 2015-01-14 14:21:59	2.92e-10	2.38e-10	5.72e-10			g	1	0.8
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	24	0	This study	-32.4	077.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			852.0	273	4.17e-08	hargrave 2015-01-15 14:36:53	2.36e-10	2.78e-10	1.05e-09			g	1	1.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	25	0	This study	-31.8	080.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			855.0	273	4.07e-08	hargrave 2015-01-18 12:59:19	3.76e-10	5.23e-10	2.34e-09			g	1	3.4
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	26	0	This study	-31.2	079.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			858.0	273	3.86e-08	hargrave 2015-01-20 12:17:56	3.20e-10	4.01e-10	5.81e-10			g	1	1.0
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	27	0	This study	-30.8	078.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			863.0	273	3.77e-08	hargrave 2015-02-10 17:25:23	1.58e-10	7.32e-10	2.90e-09			g	1	4.5
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	28	0	This study	-27.2	084.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			883.0	273	3.17e-08	hargrave 2015-02-11 17:23:32	2.06e-10	3.69e-10	5.51e-10			g	1	1.1
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	29	0	This study	-20.5	089.5	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			903.0	273	2.74e-08	hargrave 2015-02-12 15:35:25	2.97e-10	2.18e-10	5.27e-10			g	1	1.3
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	30	0	This study	-19.7	091.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			923.0	273	2.51e-08	hargrave 2015-02-13 17:51:30	3.72e-10	5.53e-10	4.37e-10			g	1	1.4
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	31	0	This study	-18.5	094.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			933.0	273	2.19e-08	hargrave 2015-02-17 11:27:15	2.26e-10	3.33e-10	6.58e-10			g	1	1.8
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	32	0	This study	-20.2	088.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			943.0	273	1.42e-08	hargrave 2015-02-18 09:45:10	2.69e-10	2.31e-10	3.92e-10			g	1	1.9
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	33	0	This study	-28.3	086.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			953.0	273	3.86e-09	hargrave 2015-02-19 12:53:47	2.48e-11	7.04e-11	1.27e-10			g	1	2.0
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	1	0	This study	-72.0	200.8	0	pmagpy-3.2.1		LT-NO:LP-DIR-T			273	273	1.20e-06		6.25e-09	1.04e-08	1.31e-08			g	1	0.8
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	2	0	This study	-71.7	204.4	0	pmagpy-3.2.1		LT-LT-Z:LP-DIR-T			77	273	1.24e-06		7.00e-09	6.09e-09	1.64e-08			g	1	0.8
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	3	0	This study	-71.4	204.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			373.0	273	1.41e-06		9.78e-09	1.53e-08	2.89e-08			g	1	1.4
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	4	0	This study	-71.2	203.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			423.0	273	1.20e-06	hargrave 2014-10-22 15:56:39	4.70e-09	6.67e-09	1.59e-08			g	1	0.8
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	5	0	This study	-71.6	204.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			473.0	273	1.09e-06	hargrave 2014-10-27 16:23:12	5.22e-09	6.07e-09	1.43e-08			g	1	0.8
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	6	0	This study	-70.9	206.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			523.0	273	8.29e-07	hargrave 2014-10-28 13:46:02	4.05e-09	2.68e-08	3.76e-09			g	1	1.9
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	7	0	This study	-71.1	216.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			573.0	273	4.91e-07	hargrave 2014-10-28 20:43:28	1.42e-09	4.95e-09	1.91e-09			g	1	0.6
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	8	0	This study	-70.3	220.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			623.0	273	2.37e-07	hargrave 2014-10-29 20:56:10	6.53e-10	1.44e-09	1.74e-09			g	1	0.5
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	9	0	This study	-69.3	223.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			673.0	273	1.75e-07	hargrave 2014-11-03 17:16:16	4.59e-10	9.03e-10	1.13e-09			g	1	0.4
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	10	0	This study	-67.9	226.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			698.0	273	1.47e-07	hargrave 2014-11-04 12:06:45	4.77e-10	1.14e-09	6.97e-10			g	1	0.5
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	11	0	This study	-67.4	232.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			723.0	273	1.27e-07	hargrave 2014-11-10 12:56:31	6.52e-10	6.21e-10	6.41e-10			g	1	0.4
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	12	0	This study	-66.4	237.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			748.0	273	1.08e-07	hargrave 2014-11-10 22:15:06	9.05e-10	5.24e-10	2.75e-09			g	1	1.6
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	13	0	This study	-66.3	239.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			773.0	273	9.09e-08	hargrave 2014-11-13 11:49:17	1.10e-09	7.52e-10	4.51e-09			g	1	2.9
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	14	0	This study	-63.3	241.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			788.0	273	7.92e-08	hargrave 2014-11-17 17:29:58	5.60e-10	5.09e-10	2.47e-09			g	1	1.9
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	15	0	This study	-62.2	243.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			803.0	273	7.32e-08	hargrave 2014-11-24 18:20:46	4.71e-10	1.38e-09	7.70e-10			g	1	1.3
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	16	0	This study	-60.5	246.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			818.0	273	7.02e-08	hargrave 2014-12-01 17:02:30	7.77e-10	1.03e-09	6.63e-10			g	1	1.2
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	17	0	This study	-60.8	243.9	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			823.0	273	6.62e-08	hargrave 2014-12-02 00:48:29	7.28e-10	6.15e-10	1.21e-09			g	1	1.3
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	18	0	This study	-59.4	249.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			828.0	273	5.84e-08	hargrave 2014-12-05 13:44:45	5.85e-10	4.57e-10	1.46e-09			g	1	1.6
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	19	0	This study	-58.2	250.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			833.0	273	5.23e-08	hargrave 2014-12-06 12:02:05	5.62e-10	7.19e-10	3.22e-10			g	1	1.0
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	20	0	This study	-57.9	253.2	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			838.0	273	4.87e-08	hargrave 2014-12-08 15:22:41	7.35e-10	7.20e-10	4.54e-10			g	1	1.3
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	21	0	This study	-57.3	254.6	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			843.0	273	4.64e-08	hargrave 2014-12-08 22:14:48	7.55e-10	7.83e-10	3.61e-10			g	1	1.4
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	22	0	This study	-55.6	256.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			846.0	273	4.28e-08	hargrave 2015-01-12 11:05:30	6.24e-10	4.78e-10	2.27e-09			g	1	3.2
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	23	0	This study	-56.1	254.4	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			849.0	273	4.12e-08	hargrave 2015-01-14 14:23:37	5.87e-10	5.21e-10	7.39e-10			g	1	1.4
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	24	0	This study	-56.3	252.7	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			852.0	273	3.81e-08	hargrave 2015-01-15 14:38:32	6.97e-10	5.00e-10	1.04e-09			g	1	2.0
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	25	0	This study	-55.3	258.8	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			855.0	273	3.78e-08	hargrave 2015-01-18 13:00:44	3.84e-10	7.83e-10	1.22e-09			g	1	2.2
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	26	0	This study	-56.0	260.1	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			858.0	273	3.42e-08	hargrave 2015-01-20 12:19:24	2.67e-10	5.92e-10	1.36e-09			g	1	2.5
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	27	0	This study	-56.2	257.0	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			863.0	273	3.33e-08	hargrave 2015-02-10 17:27:18	5.78e-10	6.74e-10	5.62e-10			g	1	1.7
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	28	0	This study	-49.2	264.3	0	pmagpy-3.2.1		LT-T-Z:LP-DIR-T			883.0	273	2.76e-08	hargrave 2015-02-11 17:25:27	6.94e-10	6.02e-10	2.98e-10			g	1	1.9
