tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc
This study	238	0238x572106	0238x	0238x5721061	0238x5721061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.232	0.019	0.004	u	1.8	Recalculated from original measurements; supercedes published results.	l	1.8	0.984	0.905	9.298e-06	1.6	15	7	4e-05	5	46.5	0.9952
This study	238	0238x572106	0238x	0238x5721062	0238x5721062 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.223	0.017	0.004	u	2.9	Recalculated from original measurements; supercedes published results.	l	0.3	0.96	0.782	8.908e-06	2.9	15	7	4e-05	5	50.5	0.9962
This study	238	0238x572106	0238x	0238x5721063	0238x5721063 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	548	K	-0.227	0.015	0.003	u	5.1	Recalculated from original measurements; supercedes published results.	l	3.6	0.864	0.545	9.074e-06	7.6	11	8	4e-05	5	51.5	0.998
This study	238	0238x582104	0238x	0238x5821041	0238x5821041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	798	423	K	-0.206	0.041	0.009	u	0.9	Recalculated from original measurements; supercedes published results.	l	4.3	0.878	0.451	8.222e-06	10.6	15	8	4e-05	-1	19	0.9778
This study	238	0238x582104	0238x	0238x5821044	0238x5821044 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-FTEST:IE-TT	798	373	K	-0.179	0.035	0.006	u	4.7	Recalculated from original measurements; supercedes published results.	l	25	0.884	0.443	7.151e-06	6.1	16	8	4e-05	3	23.1	0.9834
This study	238	0238x582104	0238x	0238x5821045	0238x5821045 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	673	373	K	-0.195	0.079	0.015	u	4.4	Recalculated from original measurements; supercedes published results.	l	29.8	0.807	0.398	7.817e-06	2.7	11	5	4e-05	4	8.3	0.9448
This study	238	0238x582104	0238x	0238x5821046	0238x5821046 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	673	373	K	-0.212	0.062	0.013	u	1.6	Recalculated from original measurements; supercedes published results.	l	26.5	0.839	0.44	8.49e-06	4.9	11	5	4e-05	2	11.4	0.9662
This study	238	0238x592077	0238x	0238x5920771	0238x5920771 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	598	K	-0.208	0.045	0.009	u	5.7	Recalculated from original measurements; supercedes published results.	l	1.9	0.674	0.462	1.042e-05	7.2	8	7	5e-05	-1	12.8	0.9881
This study	238	0238x601104	0238x	0238x6011041	0238x6011041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	573	K	-0.17	0.038	0.006	u	6.7	Recalculated from original measurements; supercedes published results.	l	1	0.724	0.467	8.491e-06	7.2	9	8	5e-05	-1	16.4	0.99
This study	238	0238x601104	0238x	0238x6011042	0238x6011042 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	498	K	-0.217	0.023	0.005	u	0.5	Recalculated from original measurements; supercedes published results.	l	3.9	0.836	0.414	1.085e-05	12.1	12	7	5e-05	-1	32.4	0.9949
This study	238	0238x601104	0238x	0238x6011043	0238x6011043 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	523	K	-0.23	0.007	0.002	u	12.7	Recalculated from original measurements; supercedes published results.	l	4	0.854	0.551	9.189e-06	10.5	11	7	4e-05	5	108.9	0.9996
This study	238	0238x601104	0238x	0238x6011044	0238x6011044 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	373	K	-0.211	0.034	0.007	u	0.3	Recalculated from original measurements; supercedes published results.	l	1.7	0.895	0.743	8.449e-06	5.9	16	8	4e-05	6	22.7	0.9837
This study	238	0238x602131	0238x	0238x6021311	0238x6021311 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	573	K	-0.19	0.029	0.006	u	9.3	Recalculated from original measurements; supercedes published results.	l	13.4	0.772	0.433	9.516e-06	6.8	10	9	5e-05	-1	23.2	0.9931
This study	238	0238x602131	0238x	0238x6021312	0238x6021312 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	548	K	-0.213	0.037	0.008	u	6.1	Recalculated from original measurements; supercedes published results.	l	4	0.433	0.264	1.064e-05	13.6	7	6	5e-05	-1	9.7	0.9932
This study	238	0238x604057	0238x	0238x6040573	0238x6040573 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	798	373	K	-0.222	0.03	0.007	u	9	Recalculated from original measurements; supercedes published results.	l	8.9	0.941	0.742	8.899e-06	4.4	16	8	4e-05	8	28.6	0.9874
This study	238	0238x604057	0238x	0238x6040574	0238x6040574 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.214	0.018	0.004	u	12.1	Recalculated from original measurements; supercedes published results.	l	1.7	0.885	0.671	8.575e-06	6.3	15	7	4e-05	7	44	0.9956
This study	238	0238x604057	0238x	0238x6040575	0238x6040575 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	823	373	K	-0.176	0.037	0.006	u	5.3	Recalculated from original measurements; supercedes published results.	l	7.4	0.97	0.773	7.036e-06	5	17	8	4e-05	7	23.7	0.9797
This study	322	0322x12c000	0322x	0322x12c0001	0322x12c0001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.807	0.023	0.019	u	2.9	Recalculated from original measurements; supercedes published results.	l	8	0.881	0.884	2.422e-05	2.8	11	5	3e-05	-1	32.1	0.9951
This study	322	0322x12c000	0322x	0322x12c0002	0322x12c0002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.831	0.025	0.021	u	2.8	Recalculated from original measurements; supercedes published results.	l	3.3	0.962	0.871	2.493e-05	3.7	15	7	3e-05	-1	35	0.9921
This study	322	0322x13c000	0322x	0322x13c0001	0322x13c0001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-1.102	0.049	0.054	u	4.9	Recalculated from original measurements; supercedes published results.	l	10.7	0.975	0.779	3.307e-05	3.2	14	6	3e-05	-1	16.7	0.9711
This study	322	0322x13c000	0322x	0322x13c0002	0322x13c0002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.89	0.046	0.041	u	6.7	Recalculated from original measurements; supercedes published results.	l	26.2	0.752	0.772	2.669e-05	4.9	9	4	3e-05	-1	12.9	0.9852
This study	332	0332a071000	0332a	0332a0710001	0332a0710001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-1.035	0.2	0.207	u	25.6	Recalculated from original measurements; supercedes published results.	l	5.9	0.905	0.157	3.105e-05	30.8	9	4	3e-05	-1	3.4	0.739
This study	332	0332a071000	0332a	0332a0710002	0332a0710002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-1.015	0.292	0.296	u	46.2	Recalculated from original measurements; supercedes published results.	l	11.3	0.459	0.259	3.044e-05	17.6	5	2	3e-05	-1	1.2	0.7612
This study	332	0332a081p07	0332a	0332a081p072	0332a081p072 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-1.148	0.028	0.032	u	1.7	Recalculated from original measurements; supercedes published results.	l	20.1	0.955	0.861	3.444e-05	5.7	11	5	3e-05	-1	29.8	0.9929
This study	332	0332a151p02	0332a	0332a151p021	0332a151p021 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	573	K	-0.552	0.101	0.056	u	10.3	Recalculated from original measurements; supercedes published results.	l	9.8	0.38	0.378	1.656e-05	7.7	7	5	3e-05	-1	3	0.9495
This study	332	0332a151p02	0332a	0332a151p022	0332a151p022 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-1.631	0.116	0.189	u	8	Recalculated from original measurements; supercedes published results.	l	19.1	0.663	0.587	4.894e-05	9.7	9	4	3e-05	-1	4.8	0.908
This study	332	0332a181000	0332a	0332a1810001	0332a1810001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	573	K	-0.323	0.086	0.028	u	21.7	Recalculated from original measurements; supercedes published results.	l	11.3	0.597	0.2	9.681e-06	10.3	10	6	3e-05	-1	6	0.9412
This study	332	0332a181000	0332a	0332a1810002	0332a1810002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	623	K	-0.271	0.069	0.019	u	10.4	Recalculated from original measurements; supercedes published results.	l	6.3	0.564	0.284	8.13e-06	5.4	7	6	3e-05	-1	6.7	0.9764
This study	332	0332a181000	0332a	0332a1810003	0332a1810003 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.625	0.064	0.04	u	10.4	Recalculated from original measurements; supercedes published results.	l	37.7	0.57	0.596	1.875e-05	10.3	9	4	3e-05	-1	7.2	0.9715
This study	332	0332a221p02	0332a	0332a221p021	0332a221p021 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.559	0.01	0.006	u	4.5	Recalculated from original measurements; supercedes published results.	l	4.7	0.796	0.695	1.677e-05	4.4	9	5	3e-05	-1	65.6	0.9993
This study	332	0332a261p05	0332a	0332a261p051	0332a261p051 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	573	K	-0.173	0.112	0.019	u	14.4	Recalculated from original measurements; supercedes published results.	l	13.3	0.705	0.233	5.176e-06	8.9	9	6	3e-05	-1	5.4	0.9138
This study	332	0332a261p05	0332a	0332a261p052	0332a261p052 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.512	0.028	0.015	u	4.2	Recalculated from original measurements; supercedes published results.	l	7.7	0.829	0.382	1.535e-05	11.8	11	5	3e-05	-1	23.8	0.9927
This study	332	0332a262p03	0332a	0332a262p032	0332a262p032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	523	K	-0.386	0.217	0.084	u	19	Recalculated from original measurements; supercedes published results.	l	4.9	0.425	0.068	1.159e-05	15.4	6	4	3e-05	-1	1.5	0.8202
This study	332	0332a262p04	0332a	0332a262p042	0332a262p042 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.234	0.177	0.041	u	21.7	Recalculated from original measurements; supercedes published results.	l	3.2	0.462	0.261	7.021e-06	19.2	7	3	3e-05	-1	2.2	0.8501
This study	332	0332a291p15	0332a	0332a291p151	0332a291p151 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.516	0.158	0.082	u	6.8	Recalculated from original measurements; supercedes published results.	l	39.7	0.757	0.386	1.549e-05	5.6	11	5	3e-05	-1	4	0.787
This study	332	0332a291p15	0332a	0332a291p152	0332a291p152 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.448	0.224	0.1	u	11	Recalculated from original measurements; supercedes published results.	l	28.3	0.772	0.622	1.343e-05	7.5	9	4	3e-05	-1	2.8	0.6802
This study	332	0332a401p05	0332a	0332a401p051	0332a401p051 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	473	K	-0.517	0.184	0.095	u	28.5	Recalculated from original measurements; supercedes published results.	l	33.2	0.726	0.165	1.551e-05	23	7	4	3e-05	-1	3.2	0.8376
This study	332	0332b262p04	0332b	0332b262p041	0332b262p041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.216	0.167	0.036	u	23.4	Recalculated from original measurements; supercedes published results.	l	6.7	0.687	0.37	6.491e-06	17.6	9	4	3e-05	-1	3.4	0.8145
This study	332	0332b353p03	0332b	0332b353p031	0332b353p031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-1.797	0.089	0.16	u	36.6	Recalculated from original measurements; supercedes published results.	l	24.9	0.284	0.406	5.39e-05	9.8	8	5	3e-05	-1	2.6	0.9531
This study	332	0332b432p02	0332b	0332b432p021	0332b432p021 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-0.619	0.536	0.332	u	80.7	Recalculated from original measurements; supercedes published results.	l	39.5	0.09	0.117	1.857e-05	16.4	7	4	3e-05	-1	0.1	0.0791
This study	332	0332b481p06	0332b	0332b481p061	0332b481p061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	473	K	-0.197	0.07	0.014	u	19.3	Recalculated from original measurements; supercedes published results.	l	10.9	0.763	0.242	5.914e-06	21.1	11	6	3e-05	-1	9	0.9564
This study	332	0332b481p06	0332b	0332b481p062	0332b481p062 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.731	0.038	0.028	u	1.6	Recalculated from original measurements; supercedes published results.	l	16.7	0.873	0.714	2.194e-05	7.4	11	5	3e-05	-1	20.4	0.9873
This study	334	0334x171p01	0334x	0334x171p011	0334x171p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	598	K	-1.351	0.096	0.13	u	9.9	Recalculated from original measurements; supercedes published results.	l	2.1	0.335	0.594	4.054e-05	9.2	6	5	3e-05	-1	2.7	0.9635
This study	334	0334x171p01	0334x	0334x171p012	0334x171p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.558	0.042	0.023	u	5.2	Recalculated from original measurements; supercedes published results.	l	14.7	0.96	0.63	1.675e-05	9.1	14	7	3e-05	-1	19.8	0.9789
This study	334	0334x181p04	0334x	0334x181p041	0334x181p041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	623	K	-2.903	0.127	0.368	u	15.6	Recalculated from original measurements; supercedes published results.	l	24.9	0.195	0.49	8.709e-05	8	5	5	3e-05	-1	0.9	0.9523
This study	335	0335x052129	0335x	0335x0521291	0335x0521291 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	273	K	-0.65	0.054	0.035	u	1.7	Recalculated from original measurements; supercedes published results.	l	9.3	0.986	0.902	3.251e-05	6	14	5	5e-05	-1	16	0.9652
This study	335	0335x052129	0335x	0335x0521293	0335x0521293 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	623	K	-0.637	0.06	0.038	u	11.4	Recalculated from original measurements; supercedes published results.	l	16.7	0.518	0.302	3.187e-05	5.3	5	5	5e-05	-1	5.3	0.9893
This study	335	0335x061042	0335x	0335x0610421	0335x0610421 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	573	K	-0.356	0.118	0.042	u	7	Recalculated from original measurements; supercedes published results.	l	13.8	0.547	0.384	1.78e-05	28.6	7	5	5e-05	-1	3.2	0.9315
This study	335	0335x062097	0335x	0335x0620972	0335x0620972 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	573	K	-0.404	0.486	0.196	u	40.4	Recalculated from original measurements; supercedes published results.	l	11.8	0.218	0.137	2.022e-05	27	5	4	5e-05	-1	0.2	0.4171
This study	335	0335x063021	0335x	0335x0630211	0335x0630211 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	573	K	-0.253	0.29	0.073	u	15.9	Recalculated from original measurements; supercedes published results.	l	16.2	0.278	0.238	1.265e-05	31.4	6	5	5e-05	-1	0.6	0.6925
