tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
3.1	0.2	Ma	1.898e-05	6	5.325e-06	28.06	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a463000 : 0474a481p13 : 0474a483p01 : 0474a484p09 : 0474a491000 : 0474a492p04	0474a	0474a4630001 : 0474a4630002 : 0474a481p132 : 0474a483p011 : 0474a483p012 : 0474a484p091 : 0474a484p092 : 0474a4910001 : 0474a4910002 : 0474a492p041 : 0474a492p042	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	23	IE-SITE	V[A]DM: Site 0474a	Site V [A] DM.	ND	ND		4.057e+22	6	1.138e+22
20.7	0.2	Ma	1.692e-05	4	1.788e-06	10.57	12.5		269		ND	ND	i	This study : Tauxe & Yamazaki 2007	495	0495x471p05 : 0495x481p10 : 0495x482p06 : 0495x483p03	0495x	0495x471p051 : 0495x481p101 : 0495x482p061 : 0495x483p031 : 0495x483p032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	2.5	IE-SITE	V[A]DM: Site 0495x	Site V [A] DM.	ND	ND		4.355e+22	4	4.602e+21
72	1	Ma	6.474e-05	3	4.255e-06	6.573	-29		3		ND	ND	i	This study : Tauxe & Yamazaki 2007	525	0525a005p6b : 0525a592p3h : 0525a594p1r	0525a	0525a005p6b1 : 0525a005p6b4 : 0525a592p3h2 : 0525a592p3h3 : 0525a594p1r1 : 0525a594p1r3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-39	IE-SITE	V[A]DM: Site 0525a	Site V [A] DM.	ND	ND		1.13e+23	3	7.425e+21
84	1	Ma	8.545e-06	2	1.301e-07	1.523	16		301		ND	ND	i	This study : Tauxe & Yamazaki 2007	543	0543a132p03 : 0543a152p3a	0543a	0543a132p031 : 0543a132p034 : 0543a152p3a1 : 0543a152p3a4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	18	IE-SITE	V[A]DM: Site 0543a	Site V [A] DM.	ND	ND		1.945e+22	2	2.961e+20
17.4	0.2	Ma	1.459e-05	10	3.202e-06	21.95	33		318		ND	ND	i	This study : Tauxe & Yamazaki 2007	562	0562x011p05 : 0562x012114 : 0562x013p3f : 0562x021p05 : 0562x021p3c : 0562x032003 : 0562x033113 : 0562x043p4b : 0562x043p6a : 0562x044003	0562x	0562x011p051 : 0562x011p052 : 0562x0121141 : 0562x0121142 : 0562x0121143 : 0562x013p3f2 : 0562x013p3f3 : 0562x021p051 : 0562x021p3c3 : 0562x0320032 : 0562x0331132 : 0562x0331133 : 0562x043p4b2 : 0562x043p4b3 : 0562x043p6a1 : 0562x0440031	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT:IE-MLAT-PR	24	IE-SITE	V[A]DM: Site 0562x	Site V [A] DM.	ND	ND		3.079e+22	10	6.757e+21
33.2	0.1	Ma	1.386e-05	12	2.586e-06	18.66	34		316		ND	ND	i	This study : Tauxe & Yamazaki 2007	564	0564x012117 : 0564x021042 : 0564x022092 : 0564x033063 : 0564x041129 : 0564x042085 : 0564x043075 : 0564x054002 : 0564x061142 : 0564x071076 : 0564x081101 : 0564x093p02	0564x	0564x0121171 : 0564x0121173 : 0564x0210421 : 0564x0220921 : 0564x0330631 : 0564x0411292 : 0564x0420853 : 0564x0430751 : 0564x0430753 : 0564x0430756 : 0564x0430758 : 0564x0430759 : 0564x0540021 : 0564x0611424 : 0564x0611425 : 0564x0710761 : 0564x0710763 : 0564x0811011 : 0564x0811012 : 0564x093p021 : 0564x093p022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	26	IE-SITE	V[A]DM: Site 0564x	Site V [A] DM.	ND	ND		2.849e+22	12	5.316e+21
32	2	Ma	6.51e-06	9	1.992e-06	30.6	-13		61		ND	ND	i	This study : Tauxe & Yamazaki 2007	706	0706c021009 : 0706c021071 : 0706c021093 : 0706c022039 : 0706c022095 : 0706c052074 : 0706c052103 : 0706c053044 : 0706c077010	0706c	0706c0210093 : 0706c0210713 : 0706c0210933 : 0706c0210934 : 0706c0220392 : 0706c0220395 : 0706c0220952 : 0706c0220953 : 0706c0220954 : 0706c0220955 : 0706c0520741 : 0706c0521031 : 0706c0521032 : 0706c0521033 : 0706c0530441 : 0706c0530442 : 0706c0770102 : 0706c0770103	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-35	IE-SITE	V[A]DM: Site 0706c	Site V [A] DM.	ND	ND		1.192e+22	9	3.648e+21
6	0.2	Ma	1.025e-05	12	2.684e-06	26.18	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b141032 : 0834b152056 : 0834b161047 : 0834b162022 : 0834b181003 : 0834b181020 : 0834b201041 : 0834b261036 : 0834b312047 : 0834b331003 : 0834b351003 : 0834b361010	0834b	0834b1410323 : 0834b1410325 : 0834b1410326 : 0834b1410327 : 0834b1520562 : 0834b1520563 : 0834b1520564 : 0834b1520565 : 0834b1520566 : 0834b1610472 : 0834b1610473 : 0834b1620221 : 0834b1620222 : 0834b1620223 : 0834b1620224 : 0834b1810032 : 0834b1810033 : 0834b1810202 : 0834b1810203 : 0834b2010412 : 0834b2010413 : 0834b2010414 : 0834b2010415 : 0834b2610362 : 0834b2610363 : 0834b3120471 : 0834b3120472 : 0834b3120473 : 0834b3120474 : 0834b3120475 : 0834b3310032 : 0834b3310033 : 0834b3510032 : 0834b3510033 : 0834b3610101 : 0834b3610102 : 0834b3610103 : 0834b3610105	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT:IE-MLAT-PR	-19	IE-SITE	V[A]DM: Site 0834b	Site V [A] DM.	ND	ND		2.304e+22	12	6.035e+21
2.8	1	Ma	1.704e-05	2	1.259e-06	7.386	-47		284		ND	ND	i	This study : Tauxe & Yamazaki 2007	862	0862a031011 : 0862a031098	0862a	0862a0310111 : 0862a0310112 : 0862a0310981 : 0862a0310982	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	-47	IE-SITE	V[A]DM: Site 0862a	Site V [A] DM.	ND	ND		2.725e+22	2	2.013e+21
0	0.1	Ma	3.802e-05	7	3.741e-06	9.839	10		256		ND	ND	i	This study : Tauxe & Yamazaki 2007	864	0864a012015 : 0864a012050 : 0864a013015 : 0864a013048 : 0864a015015 : 0864a016030 : 0864a016143	0864a	0864a0120151 : 0864a0120152 : 0864a0120153 : 0864a0120154 : 0864a0120155 : 0864a0120501 : 0864a0120502 : 0864a0120503 : 0864a0120504 : 0864a0120505 : 0864a0130151 : 0864a0130152 : 0864a0130153 : 0864a0130154 : 0864a0130155 : 0864a0130482 : 0864a0150151 : 0864a0150152 : 0864a0150153 : 0864a0150154 : 0864a0150155 : 0864a0160301 : 0864a0160302 : 0864a0161431 : 0864a0161432 : 0864a0161434 : 0864a0161435	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT:IE-MLAT-PR	10	IE-SITE	V[A]DM: Site 0864a	Site V [A] DM.	ND	ND		9.397e+22	7	9.246e+21
19.5	1	Ma	1.423e-05	8	3.881e-06	27.27	69		347		ND	ND	i	This study : Tauxe & Yamazaki 2007	907	0907a251028 : 0907a252049 : 0907a254049 : 0907a261053 : 0907a261139 : 0907a261143 : 0907a262014 : 0907a262019	0907a	0907a2510281 : 0907a2510282 : 0907a2520491 : 0907a2520492 : 0907a2540491 : 0907a2540492 : 0907a2540493 : 0907a2610531 : 0907a2610532 : 0907a2610533 : 0907a2610534 : 0907a2611391 : 0907a2611392 : 0907a2611393 : 0907a2611394 : 0907a2611395 : 0907a2611431 : 0907a2611432 : 0907a2611433 : 0907a2611434 : 0907a2611435 : 0907a2620141 : 0907a2620142 : 0907a2620143 : 0907a2620144 : 0907a2620191 : 0907a2620192	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:IE-MLAT-PR	69	IE-SITE	V[A]DM: Site 0907a	Site V [A] DM.	ND	ND		1.932e+22	8	5.269e+21
39.614	43.916	Ma	1.919e-05	21	1.349e-05	70.3	11.2381	33.3251	251.2619	88.4468	ND	ND	a	This study : Tauxe & Yamazaki 2007	169 : 205 : 322 : 396 : 407 : 410 : 417 : 418 : 420 : 470 : 474 : 495 : 525 : 543 : 562 : 564 : 706 : 834 : 862 : 864 : 907		0169x : 0205x : 0322x : 0396b : 0407x : 0410a : 0417d : 0418a : 0420x : 0470a : 0474a : 0495x : 0525a : 0543a : 0562x : 0564x : 0706c : 0834b : 0862a : 0864a : 0907a		ND			IE-SITE	Average V[A]DM	Average of all V [A] DMs.	ND	ND		3.759e+22	21	2.543e+22
148	2	Ma	1.214e-05	2	5.657e-07	4.66	11		174		ND	ND	i	This study : Tauxe & Yamazaki 2007	169	0169x171111	0169x	0169x1711112 : 0169x1711113	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-27.9	IE-SPEC	V[A]DM: Sample 0169x171111	V [A] DM of sample.	ND	ND	-1	2.434e+22	2	1.134e+21
148	2	Ma	8.895e-06	2	3.74e-06	42.04	11		174		ND	ND	i	This study : Tauxe & Yamazaki 2007	169	0169x171121	0169x	0169x1711211 : 0169x1711214	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-27.9	IE-SPEC	V[A]DM: Sample 0169x171121	V [A] DM of sample.	ND	ND	-1	1.784e+22	2	7.499e+21
30.7	0.5	Ma	1.661e-05	2	2.227e-06	13.41	-25		178		ND	ND	i	This study : Tauxe & Yamazaki 2007	205	0205x311p01	0205x	0205x311p011 : 0205x311p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-36	IE-SPEC	V[A]DM: Sample 0205x311p01	V [A] DM of sample.	ND	ND	-1	3.004e+22	2	4.028e+21
30.7	0.5	Ma	1.551e-05	2	2.942e-06	18.97	-25		178		ND	ND	i	This study : Tauxe & Yamazaki 2007	205	0205x311p02	0205x	0205x311p021 : 0205x311p022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-36	IE-SPEC	V[A]DM: Sample 0205x311p02	V [A] DM of sample.	ND	ND	-1	2.805e+22	2	5.321e+21
32	2	Ma	4.304e-05	2	2.496e-06	5.799	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x551xxx	0238x	0238x551xxx1 : 0238x551xxx3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x551xxx	V [A] DM of sample.	ND	ND	-1	8.964e+22	2	5.199e+21
32	2	Ma	2.223e-05	2	7.99e-07	3.594	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x552xxx	0238x	0238x552xxx1 : 0238x552xxx2	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x552xxx	V [A] DM of sample.	ND	ND	-1	4.63e+22	2	1.664e+21
32	2	Ma	2.066e-05	2	2.305e-06	11.16	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x562049	0238x	0238x5620492 : 0238x5620493	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x562049	V [A] DM of sample.	ND	ND	-1	4.303e+22	2	4.801e+21
32	2	Ma	9.052e-06	1	0		-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x563026	0238x	0238x5630261	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x563026	V [A] DM of sample.	ND	ND	-1	1.885e+22	1	0
32	2	Ma	9.093e-06	3	1.957e-07	2.152	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x572106	0238x	0238x5721061 : 0238x5721062 : 0238x5721063	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x572106	V [A] DM of sample.	ND	ND	-1	1.894e+22	3	4.076e+20
32	2	Ma	7.92e-06	4	5.825e-07	7.355	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x582104	0238x	0238x5821041 : 0238x5821044 : 0238x5821045 : 0238x5821046	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x582104	V [A] DM of sample.	ND	ND	-1	1.65e+22	4	1.213e+21
32	2	Ma	1.042e-05	1	0		-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x592077	0238x	0238x5920771	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x592077	V [A] DM of sample.	ND	ND	-1	2.17e+22	1	0
32	2	Ma	9.245e-06	4	1.123e-06	12.14	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x601104	0238x	0238x6011041 : 0238x6011042 : 0238x6011043 : 0238x6011044	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x601104	V [A] DM of sample.	ND	ND	-1	1.925e+22	4	2.339e+21
32	2	Ma	1.008e-05	2	7.948e-07	7.886	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x602131	0238x	0238x6021311 : 0238x6021312	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x602131	V [A] DM of sample.	ND	ND	-1	2.099e+22	2	1.655e+21
32	2	Ma	8.17e-06	3	9.953e-07	12.18	-11		71		ND	ND	i	This study : Tauxe & Yamazaki 2007	238	0238x604057	0238x	0238x6040573 : 0238x6040574 : 0238x6040575	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-25	IE-SPEC	V[A]DM: Sample 0238x604057	V [A] DM of sample.	ND	ND	-1	1.702e+22	3	2.073e+21
48	2	Ma	2.458e-05	2	5.02e-07	2.043	-60		281		ND	ND	i	This study : Tauxe & Yamazaki 2007	322	0322x12c000	0322x	0322x12c0001 : 0322x12c0002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-62	IE-SPEC	V[A]DM: Sample 0322x12c000	V [A] DM of sample.	ND	ND	-1	3.472e+22	2	7.091e+20
48	2	Ma	2.988e-05	2	4.511e-06	15.1	-60		281		ND	ND	i	This study : Tauxe & Yamazaki 2007	322	0322x13c000	0322x	0322x13c0001 : 0322x13c0002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-62	IE-SPEC	V[A]DM: Sample 0322x13c000	V [A] DM of sample.	ND	ND	-1	4.221e+22	2	6.372e+21
3.6	0.1	Ma	3.444e-05	1	0		37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	332	0332a081p07	0332a	0332a081p072	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	37	IE-SPEC	V[A]DM: Sample 0332a081p07	V [A] DM of sample.	ND	ND	-1	6.154e+22	1	0
3.6	0.1	Ma	8.13e-06	1	0		37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	332	0332a181000	0332a	0332a1810002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	37	IE-SPEC	V[A]DM: Sample 0332a181000	V [A] DM of sample.	ND	ND	-1	1.453e+22	1	0
3.6	0.1	Ma	1.677e-05	1	0		37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	332	0332a221p02	0332a	0332a221p021	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	37	IE-SPEC	V[A]DM: Sample 0332a221p02	V [A] DM of sample.	ND	ND	-1	2.997e+22	1	0
3.6	0.1	Ma	1.535e-05	1	0		37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	332	0332a261p05	0332a	0332a261p052	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	37	IE-SPEC	V[A]DM: Sample 0332a261p05	V [A] DM of sample.	ND	ND	-1	2.743e+22	1	0
3.6	0.1	Ma	2.194e-05	1	0		37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	332	0332b481p06	0332b	0332b481p062	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	37	IE-SPEC	V[A]DM: Sample 0332b481p06	V [A] DM of sample.	ND	ND	-1	3.92e+22	1	0
9.8	0.5	Ma	2.865e-05	2	1.682e-05	58.73	37		326		ND	ND	i	This study : Tauxe & Yamazaki 2007	334	0334x171p01	0334x	0334x171p011 : 0334x171p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	32	IE-SPEC	V[A]DM: Sample 0334x171p01	V [A] DM of sample.	ND	ND	-1	5.448e+22	2	3.198e+22
13.8	2	Ma	3.219e-05	2	4.525e-07	1.406	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x052129	0335x	0335x0521291 : 0335x0521293	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x052129	V [A] DM of sample.	ND	ND	-1	6.2e+22	2	8.716e+20
13.8	2	Ma	1.402e-05	2	5.148e-06	36.72	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x063021	0335x	0335x0630212 : 0335x0630214	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x063021	V [A] DM of sample.	ND	ND	-1	2.7e+22	2	9.916e+21
13.8	2	Ma	5.66e-06	2	1.507e-06	26.62	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x063060	0335x	0335x0630601 : 0335x0630602	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x063060	V [A] DM of sample.	ND	ND	-1	1.09e+22	2	2.903e+21
13.8	2	Ma	1.98e-05	2	1.662e-06	8.395	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x064091	0335x	0335x0640911 : 0335x0640915	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x064091	V [A] DM of sample.	ND	ND	-1	3.814e+22	2	3.201e+21
13.8	2	Ma	7.401e-06	1	0		37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x072002	0335x	0335x0720021	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x072002	V [A] DM of sample.	ND	ND	-1	1.425e+22	1	0
13.8	2	Ma	2.049e-05	2	4.172e-07	2.036	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x091058	0335x	0335x0910584 : 0335x0910585	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x091058	V [A] DM of sample.	ND	ND	-1	3.947e+22	2	8.036e+20
13.8	2	Ma	1.801e-05	3	4.821e-06	26.77	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x094127	0335x	0335x0941271 : 0335x0941272 : 0335x0941273	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x094127	V [A] DM of sample.	ND	ND	-1	3.469e+22	3	9.286e+21
13.8	2	Ma	2.052e-05	1	0		37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x094129	0335x	0335x0941291	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x094129	V [A] DM of sample.	ND	ND	-1	3.952e+22	1	0
13.8	2	Ma	2.214e-05	2	4.285e-06	19.35	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x101145	0335x	0335x1011452 : 0335x1011453	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x101145	V [A] DM of sample.	ND	ND	-1	4.264e+22	2	8.253e+21
13.8	2	Ma	1.787e-05	1	0		37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x102095	0335x	0335x1020952	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x102095	V [A] DM of sample.	ND	ND	-1	3.442e+22	1	0
