tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:38:00.00	0.6		g	-0.9	1.981e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:39:00.00	91.5		g	-0.5	1.891e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:49:00.00	182.3		g	-1.1	2.038e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:04:00.00	270.4		g	-1.8	1.946e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk100702	mk100702	mk100702f		mk100702f:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:13:00.00	353.0		g	-88.3	2.138e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:39:00.00	357.7		g	-77.4	4.788e-08	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:46:00.00	175.9		g	79.8	5.127e-08	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.3	2012:07:03:13:37:00.00	356.9		g	-11.3	4.936e-08	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:38:00.00	94.0		g	-0.8	5.793e-08	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.3	2012:07:03:17:48:00.00	180.0		g	8.0	5.375e-08	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:04:00.00	273.8		g	-0.9	6.345e-08	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk102201	mk102201	mk102201a		mk102201a:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:12:00.00	15.7		g	-79.5	6.518e-08	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:40:00.00	42.3		g	-88.0	8.217e-08	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:47:00.00	224.5		g	88.5	8.197e-08	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:38:00.00	358.0		g	-0.9	7.719e-08	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:40:00.00	90.6		g	-1.8	7.611e-08	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:49:00.00	181.9		g	-0.9	7.695e-08	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:05:00.00	271.0		g	-0.1	7.610e-08	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk103501	mk103501	mk103501g		mk103501g:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:13:00.00	38.0		g	-88.7	8.208e-08	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:46:00.00	281.2		g	-88.5	5.638e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:53:00.00	92.5		g	88.3	5.612e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:49:00.00	0.7		g	0.2	5.748e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.6	2012:07:03:15:50:00.00	92.6		g	0.4	5.303e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:56:00.00	179.7		g	-2.6	5.765e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:12:00.00	266.4		g	-3.5	5.354e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105201	mk105201	mk105201l		mk105201l:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:18:00.00	274.5		g	-87.9	5.564e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	1.4	2012:06:30:11:40:00.00	184.8		g	-83.2	6.479e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.5	2012:06:30:13:47:00.00	291.9		g	86.8	6.559e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	1.7	2012:07:03:13:40:00.00	24.6		g	3.1	5.884e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	3.1	2012:07:03:15:40:00.00	90.4		g	2.4	6.454e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	4.5	2012:07:03:17:50:00.00	211.0		g	-4.4	6.195e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	5.7	2012:07:04:10:06:00.00	297.2		g	-3.6	6.449e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk105202	mk105202	mk105202c		mk105202c:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	1.9	2012:07:05:12:14:00.00	160.6		g	-86.3	6.865e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:40:00.00	335.1		g	-87.2	2.970e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:48:00.00	152.9		g	87.6	2.988e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:40:00.00	2.2		g	-1.1	2.938e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:41:00.00	93.2		g	-0.6	2.926e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:51:00.00	184.2		g	-0.5	3.004e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:06:00.00	270.4		g	-0.9	2.964e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101d		mk107101d:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:14:00.00	326.8		g	-87.5	3.143e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:46:00.00	5.2		g	-87.7	1.004e-06	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:53:00.00	181.0		g	87.9	1.010e-06	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:13:49:00.00	1.7		g	-1.8	1.016e-06	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:50:00.00	92.5		g	-1.0	1.021e-06	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:57:00.00	179.8		g	-0.9	1.033e-06	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.6	2012:07:04:10:12:00.00	270.8		g	-1.5	1.038e-06	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101h		mk107101h:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:19:00.00	15.7		g	-87.8	1.052e-06	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:47:00.00	344.4		g	-88.4	8.843e-08	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:53:00.00	160.0		g	88.5	8.906e-08	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.3	2012:07:03:13:49:00.00	1.2		g	-1.8	8.997e-08	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:03:15:51:00.00	89.5		g	-0.9	9.226e-08	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:57:00.00	180.6		g	-0.8	9.157e-08	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:13:00.00	269.7		g	-1.4	9.447e-08	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101j		mk107101j:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:19:00.00	344.0		g	-88.5	9.494e-08	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:48:00.00	325.1		g	-88.5	2.338e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:06:30:13:54:00.00	144.4		g	86.9	2.344e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	2.3	2012:07:03:13:50:00.00	8.6		g	0.1	2.385e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	4.3	2012:07:03:15:52:00.00	127.0		g	-1.1	2.369e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	3.7	2012:07:03:17:58:00.00	207.0		g	-3.3	2.399e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:13:00.00	273.1		g	-1.8	2.398e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107101	mk107101	mk107101k		mk107101k:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:19:00.00	349.8		g	-88.2	2.392e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:41:00.00	320.4		g	-83.2	2.566e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:13:48:00.00	133.8		g	82.8	2.570e-07	2	4	u	2.730e+02	SAN	0	6.000e-05	0.0	90.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.3	2012:07:03:13:41:00.00	17.9		g	-4.7	2.156e-07	3	4	u	2.730e+02	SAN	0	6.000e-05	0.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.6	2012:07:03:15:44:00.00	72.3		g	5.1	2.024e-07	4	4	u	2.730e+02	SAN	0	6.000e-05	90.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.4	2012:07:03:17:51:00.00	199.2		g	2.1	2.188e-07	5	4	u	2.730e+02	SAN	0	6.000e-05	180.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.7	2012:07:04:10:07:00.00	250.4		g	-7.2	2.125e-07	6	4	u	2.730e+02	SAN	0	6.000e-05	270.0	0.0	8.530e+02
rshaar	This study	Cyprus	mk107501	mk107501	mk107501d		mk107501d:LP-AN-TRM	SIO-flo	LT-PTRM-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:07:05:12:14:00.00	311.7		g	-83.8	2.653e-07	7	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
rshaar	This study	Cyprus	mk107502	mk107502	mk107502d		mk107502d:LP-AN-TRM	SIO-flo	LT-T-I:LP-AN-TRM	pmagpy-2.206	0.2	2012:06:30:11:48:00.00	300.6		g	-85.2	3.693e-07	1	4	u	2.730e+02	SAN	0	6.000e-05	0.0	-90.0	8.530e+02
