tab	pmag_sites
er_site_name	er_location_name	er_specimen_names	er_sample_names	er_analyst_mail_names	er_citation_names	magic_instrument_codes	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
mc109	McMurdo	mc109e1:mc109c1:mc109a1:mc109a2:mc109d1:mc109i1	mc109e:mc109c:mc109a:mc109f:mc109g:mc109d:mc109j:mc109k:mc109h:mc109i:mc109l:mc109m	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.261	0.02	Ma	0.0000348	3	0.000001152	3.309							
mc11	McMurdo	mc11g:mc11f:mc11e:mc11d:mc11c:mc11b:mc11a:mc11h	mc11g:mc11f:mc11e:mc11d:mc11c:mc11b:mc11a:mc11h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00004328	3	0.00001135	26.23							
mc110	McMurdo	mc110a2:mc110a1:mc110b1:mc110b2:mc110d1:mc110g1:mc110i1	mc110a:mc110b:mc110c:mc110d:mc110f:mc110g:mc110h:mc110i:mc110j:mc110k	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2	A	253.5	Direction included in Pmag_Results.	79.6	7.94	0.12	Ma					218.2	5	5	0	r	4.9817	0
mc111	McMurdo	mc111l1:mc111f1:mc111e2:mc111e1:mc111d1:mc111d2:mc111b1:mc111a2	mc111m:mc111l:mc111k:mc111j:mc111i:mc111h:mc111g:mc111f:mc111e:mc111d:mc111c:mc111b:mc111a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.99	0.02	Ma	0.0000279	2	0.0000004299	1.541							
mc112	McMurdo	mc112g1:mc112d1:mc112c2:mc112c1:mc112a1:mc112j1:mc112h3:mc112b2	mc112f:mc112g:mc112d:mc112c:mc112a:mc112j:mc112h:mc112e:mc112b:mc112i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2	A	232.9	Direction included in Pmag_Results.	75.7	7.63	0.16	Ma					220.9	5	5	0	r	4.9819	0
mc113	McMurdo	mc113e1:mc113g1:mc113f1:mc113a1-1:mc113a2:mc113a1:mc113m1:mc113h1:mc113j1:mc113c1:mc113b1	mc113e:mc113d:mc113g:mc113f:mc113a:mc113m:mc113l:mc113n:mc113i:mc113h:mc113k:mc113j:mc113c:mc113b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		6.73	0.085	Ma	0.00001182	2	0.000000454	3.842							
mc114	McMurdo	mc114d2:mc114e1:mc114a1:mc114b2:mc114c1:mc114i1	mc114d:mc114e:mc114f:mc114g:mc114a:mc114b:mc114c:mc114h:mc114i:mc114j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	52.4	Direction included in Pmag_Results.	-69.7	1.62	0.14	Ma					614	5	5	0	n	4.9935	0
mc115	McMurdo	mc115b1:mc115a2:mc115a1:mc115g2:mc115e1:mc115h1	mc115r:mc115q:mc115p:mc115c:mc115b:mc115a:mc115g:mc115f:mc115e:mc115d:mc115k:mc115j:mc115i:mc115h:mc115n:mc115m	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		2.46	0.155	Ma	0.00002461	2	0.0000004299	1.747							
mc116	McMurdo	mc116i2:mc116b1:mc116j2:mc116c1:mc116a1	mc116h:mc116k:mc116i:mc116b:mc116g:mc116d:mc116e:mc116j:mc116c:mc116a:mc116f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.14	0.055	Ma	0.00003977	2	0.000001761	4.427							
mc117	McMurdo	mc117h1:mc117a2-1:mc117a1:mc117a2:mc117b1:mc117e2:mc117d2	mc117i:mc117h:mc117j:mc117l:mc117a:mc117c:mc117b:mc117e:mc117d:mc117g:mc117f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		2.28	0.12	Ma	0.00002641	4	0.0000007253	2.747							
mc118	McMurdo	mc118i1:mc118l2:mc118a1:mc118c1:mc118d1:mc118e1:mc118f1	mc118h:mc118i:mc118j:mc118k:mc118l:mc118a:mc118b:mc118c:mc118d:mc118e:mc118f:mc118g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.1	A	58.9	Direction included in Pmag_Results.	-53.1	0.31	0.02	Ma					99	7	7	0	n	6.9394	0
mc119	McMurdo	mc119f2:mc119e2:mc119d2:mc119b2:mc119b1:mc119a1	mc119g:mc119f:mc119e:mc119d:mc119c:mc119b:mc119a:mc119l:mc119k:mc119j:mc119i:mc119h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.08	0.11	Ma	0.00004097	5	0.000001947	4.753							
mc120	McMurdo	mc120j2:mc120m2:mc120l1:mc120c1:mc120b2:mc120b1:mc120a2-1:mc120a2:mc120a1:mc120f1	mc120k:mc120j:mc120i:mc120h:mc120m:mc120l:mc120c:mc120b:mc120a:mc120g:mc120f:mc120e:mc120d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.756	0.025	Ma	0.00002432	5	0.0000007249	2.981							
mc121	McMurdo	mc121i1:mc121k1:mc121k2:mc121d1:mc121d2:mc121e2:mc121e1:mc121f2:mc121g1:mc121a1:mc121c1:mc121c3	mc121h:mc121i:mc121j:mc121k:mc121d:mc121e:mc121f:mc121g:mc121a:mc121b:mc121c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC						2.505	0.03	Ma	0.00002466	7	0.000007086	28.73							
mc122	McMurdo	mc122a1:mc122c1:mc122b1:mc122d1:mc122g1:mc122f1:mc122k2:mc122l1	mc122a:mc122c:mc122b:mc122e:mc122d:mc122g:mc122f:mc122i:mc122h:mc122k:mc122l	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8	A	12.2	Direction included in Pmag_Results.	-72.4	12.699	0.045	Ma					177.8	5	5	0	n	4.9775	0
mc123	McMurdo	mc123b1:mc123b2:mc123c2:mc123c3:mc123a1:mc123a2:mc123f1:mc123j1	mc123b:mc123c:mc123a:mc123f:mc123g:mc123d:mc123e:mc123j:mc123k:mc123h:mc123i:mc123l	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.93	0.025	Ma	0.00003004	4	0.000002256	7.511							
mc124	McMurdo	mc124g1:mc124f1:mc124d1:mc124d2:mc124a1:mc124l1:mc124j1:mc124h1	mc124g:mc124f:mc124e:mc124d:mc124c:mc124b:mc124a:mc124l:mc124k:mc124j:mc124i:mc124h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.4	A	13.2	Direction included in Pmag_Results.	-73.4	12.61	0.055	Ma					654.8	7	7	0	n	6.9908	0
mc125	McMurdo	mc125i1:mc125m1:mc125a1:mc125b1:mc125c1:mc125d1:mc125e3:mc125e1:mc125g1	mc125i:mc125j:mc125k:mc125l:mc125m:mc125a:mc125b:mc125c:mc125d:mc125e:mc125f:mc125g:mc125h:mc125n:mc125o	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						4.26	0.09	Ma	0.00002592	1	0	0							
mc126	McMurdo	mc126e1:mc126d1:mc126g1:mc126f1:mc126i1:mc126a2:mc126c2:mc126c1	mc126e:mc126d:mc126g:mc126f:mc126i:mc126h:mc126j:mc126a:mc126c:mc126b	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.5	A	359.4	Direction included in Pmag_Results.	-79.6	4	4	Ma					103.2	8	8	0	n	7.9321	0
mc127	McMurdo	mc127i1:mc127f1:mc127g2:mc127d1:mc127b1:mc127c1:mc127a1:mc127a2	mc127j:mc127h:mc127i:mc127f:mc127g:mc127d:mc127e:mc127b:mc127c:mc127a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.942	0.034	Ma	0.00003849	2	0.000001522	3.954							
mc128	McMurdo	mc128c2:mc128b2:mc128b1:mc128f1:mc128e2:mc128e1:mc128d1:mc128j1:mc128h1	mc128c:mc128b:mc128a:mc128g:mc128f:mc128e:mc128d:mc128k:mc128j:mc128i:mc128h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.00003429	3	0.000002688	7.839							
mc129	McMurdo	mc129f1:mc129a1-1:mc129a1:mc129a2:mc129b1:mc129c1:mc129c2:mc129l1:mc129h2:mc129j1	mc129d:mc129e:mc129f:mc129a:mc129b:mc129c:mc129l:mc129m:mc129h:mc129i:mc129j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	22.1	Direction included in Pmag_Results.	-54.5	4	4	Ma					490.9	9	9	0	n	8.9837	0
mc13	McMurdo	mc13h:mc13a:mc13c:mc13b:mc13e:mc13d:mc13g:mc13f	mc13h:mc13a:mc13c:mc13b:mc13e:mc13d:mc13g:mc13f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.055	0.005	Ma	0.00003041	3	0.000002177	7.158							
mc130	McMurdo	mc130e1:mc130b1:mc130a1:mc130a2:mc130g2:mc130d1:mc130j2:mc130h1:mc130i2	mc130e:mc130b:mc130c:mc130a:mc130f:mc130g:mc130d:mc130j:mc130h:mc130i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.3	A	150.5	Direction included in Pmag_Results.	46.1	7.251	0.035	Ma					405.9	6	6	0	r	5.9877	0
mc131	McMurdo	mc131a3:mc131c2:mc131b1:mc131e1:mc131d2:mc131g1:mc131f1:mc131k1	mc131a:mc131c:mc131b:mc131e:mc131d:mc131g:mc131f:mc131i:mc131h:mc131k:mc131j:mc131m:mc131l	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.00001679	5	0.0000008907	5.304							
mc132	McMurdo	mc132l1:mc132h2:mc132i2:mc132j1:mc132j2:mc132k1:mc132d1:mc132e2:mc132e1:mc132f2:mc132g2:mc132a1:mc132c1	mc132l:mc132h:mc132i:mc132j:mc132k:mc132d:mc132e:mc132f:mc132g:mc132a:mc132b:mc132c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.000003294	7	0.0000001438	4.365							
mc133	McMurdo	mc133j1:mc133h1:mc133l1:mc133b2:mc133g1:mc133f2:mc133f1:mc133d1	mc133j:mc133i:mc133h:mc133m:mc133l:mc133c:mc133b:mc133a:mc133g:mc133f:mc133e:mc133d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.0000463	2	0.000003454	7.46							
mc134	McMurdo	mc134k1:mc134f1:mc134e1:mc134c2:mc134c1:mc134a1	mc134j:mc134k:mc134h:mc134i:mc134f:mc134g:mc134d:mc134e:mc134b:mc134c:mc134a	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	12.5	Direction included in Pmag_Results.	-84.3	9.02	0.025	Ma					886.4	5	5	0	n	4.9955	0
mc135	McMurdo	mc135i2:mc135h2:mc135e2:mc135e1:mc135d2:mc135a1:mc135c2:mc135b1	mc135i:mc135h:mc135j:mc135e:mc135d:mc135g:mc135f:mc135a:mc135c:mc135b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00004108	1	0	0							
mc136	McMurdo	mc136h2:mc136i2:mc136i1:mc136a1:mc136a2:mc136c1:mc136d1:mc136d2:mc136e1:mc136g1	mc136h:mc136i:mc136j:mc136k:mc136a:mc136b:mc136c:mc136d:mc136e:mc136f:mc136g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5	A	103.4	Direction included in Pmag_Results.	18.5	1.99	0.3	Ma					513.7	5	4	1	t	4.9932	0
mc137	McMurdo	mc137d1:mc137a1:mc137l1:mc137j2:mc137h1	mc137g:mc137f:mc137e:mc137d:mc137c:mc137b:mc137a:mc137l:mc137k:mc137j:mc137i:mc137h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	8.7	A	71.2		34.2	4	4	Ma					120.4	5	1	4	t	4.9834	0
mc138	McMurdo	mc138h1:mc138b1:mc138a1:mc138g1:mc138d1	mc138j:mc138k:mc138h:mc138i:mc138b:mc138c:mc138a:mc138f:mc138g:mc138d:mc138e	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.4	A	83.0		12.1	1.21	0.09	Ma					473.2	5	1	4	t	4.9958	0
mc139	McMurdo	mc139h1:mc139j2:mc139a1:mc139a2:mc139c1:mc139e1:mc139d1	mc139i:mc139h:mc139k:mc139j:mc139a:mc139c:mc139b:mc139e:mc139d:mc139g:mc139f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						0.882	0.04	Ma	0.00001976	1	0	0							
mc14	McMurdo	mc14h:mc14d:mc14e:mc14f:mc14g:mc14a:mc14b:mc14c	mc14h:mc14d:mc14e:mc14f:mc14g:mc14a:mc14b:mc14c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00006945	3	0.00001431	20.61							
mc140	McMurdo	mc140h1:mc140j1:mc140e1:mc140d1:mc140g1:mc140a1:mc140c1:mc140b1	mc140i:mc140h:mc140j:mc140e:mc140d:mc140g:mc140f:mc140a:mc140c:mc140b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						2.043	0.045	Ma	0.00001746	4	0.000002706	15.5							
mc141	McMurdo	mc141l1:mc141k2:mc141h3:mc141g1:mc141b1:mc141b2:mc141c1	mc141l:mc141j:mc141k:mc141h:mc141i:mc141f:mc141g:mc141d:mc141e:mc141b:mc141c	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	133.0	Direction included in Pmag_Results.	83.5	1.31	0.01	Ma					549.9	7	7	0	r	6.9891	0
mc142	McMurdo	mc142f2:mc142e1:mc142e2:mc142d1:mc142c1:mc142c2:mc142b2:mc142k1:mc142k2:mc142i2	mc142g:mc142f:mc142e:mc142d:mc142c:mc142b:mc142a:mc142k:mc142j:mc142i:mc142h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC						1.225	0.01	Ma	0.00001563	3	0.00000274	17.54							
mc143	McMurdo	mc143h1:mc143i1:mc143a1:mc143b1:mc143c1:mc143d2:mc143g1	mc143h:mc143i:mc143j:mc143k:mc143a:mc143b:mc143c:mc143d:mc143e:mc143f:mc143g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.1	A	29.7	Direction included in Pmag_Results.	-48.6	2.08	0.329	Ma					172.2	6	6	0	n	5.971	0
mc144	McMurdo	mc144a1:mc144b1:mc144e1:mc144d1:mc144f1:mc144h1:mc144h2:mc144k1:mc144j1:mc144j2	mc144a:mc144c:mc144b:mc144e:mc144d:mc144g:mc144f:mc144i:mc144h:mc144k:mc144j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						1.25	0.5	Ma	0.00001425	4	0.000005946	41.73							
mc145	McMurdo	mc145b1:mc145c1:mc145c2:mc145f1:mc145j1:mc145k2:mc145i1:mc145l1	mc145b:mc145c:mc145a:mc145f:mc145g:mc145d:mc145e:mc145j:mc145k:mc145i:mc145n:mc145l:mc145m	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.9	0.06	Ma	0.000006942	4	0.0000002155	3.105							
mc146	McMurdo	mc146k1:mc146j2:mc146j1:mc146i2:mc146h1:mc146a1:mc146f1:mc146e1:mc146d1	mc146k:mc146j:mc146i:mc146h:mc146c:mc146b:mc146a:mc146g:mc146f:mc146e:mc146d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.37	0.21	Ma	0.00001721	2	0.0000007085	4.118							
mc147	McMurdo	mc147i1:mc147j2:mc147k2:mc147a1:mc147c1	mc147l:mc147m:mc147n:mc147h:mc147i:mc147j:mc147k:mc147d:mc147e:mc147f:mc147g:mc147a:mc147b:mc147c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.63	0.16	Ma	0.00002277	4	0.000002539	11.15							
mc148	McMurdo	mc148d1:mc148f1:mc148a1:mc148c1:mc148b1:mc148i1:mc148k1:mc148j1	mc148e:mc148d:mc148g:mc148f:mc148a:mc148c:mc148b:mc148i:mc148h:mc148k:mc148j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.718	0.33	Ma	0.00005156	3	0.000001558	3.021							
