tab	pmag_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_analyst_mail_names	er_citation_names	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
mc03a	mc03a	mc03	McMurdo	Lisa Tauxe	This study	mc03a-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		335.0	l					-85.2						1.9		8			0
mc03b	mc03b	mc03	McMurdo	Lisa Tauxe	This study	mc03b-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		340.4	l					-83.9						0.4		11			0
mc03c	mc03c	mc03	McMurdo	Lisa Tauxe	This study	mc03c-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		0.9	l					-81.1						1.6		10			0
mc03d	mc03d	mc03	McMurdo	Lisa Tauxe	This study	mc03d-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		335.1	l					-81.9						0.9		15			0
mc03f	mc03f	mc03	McMurdo	Lisa Tauxe	This study	mc03f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		17.3	l					-82.2						2.4		8			0
mc03h	mc03h	mc03	McMurdo	Lisa Tauxe	This study	mc03h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	523	373	K					A	u		353.9	l					-80.6						0.7		4			0
mc04a	mc04a	mc04	McMurdo	Lisa Tauxe	This study	mc04a-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		288.9	l					-83.8						0.7		15			0
mc04b	mc04b	mc04	McMurdo	Lisa Tauxe	This study	mc04b-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		70.6	l					-83.4						0.9		11			0
mc04e	mc04e	mc04	McMurdo	Lisa Tauxe	This study	mc04e-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	673	373	K					A	u		349.6	l					-85.6						0.8		7			0
mc04f	mc04f	mc04	McMurdo	Lisa Tauxe	This study	mc04f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	673	373	K					A	u		340.3	l					-86.1						0.9		7			0
mc04g	mc04g	mc04	McMurdo	Lisa Tauxe	This study	mc04g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:SO-SIGHT:DE-BFP:DA-DIR-GEO	pmagpy-2.58	623	273	K					A	u		0.9	p					3.5						1.6		7			0
mc06a	mc06a	mc06	McMurdo	Lisa Tauxe	This study	mc06a-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		5.0	l					-82						0.5		9			0
mc06c	mc06c	mc06	McMurdo	Lisa Tauxe	This study	mc06c-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		15.3	l					-70						0.6		15			0
mc06d	mc06d	mc06	McMurdo	Lisa Tauxe	This study	mc06d-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		12.5	l					-80.4						0.6		10			0
mc06g	mc06g	mc06	McMurdo	Lisa Tauxe	This study	mc06g-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		23.0	l					-81.4						0.7		10			0
mc06h	mc06h	mc06	McMurdo	Lisa Tauxe	This study	mc06h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	773	373	K		-0.692	0.133	0.092		u	1	338.9	l	24.9	0.57	0.587	0.2	-63	0.000027673	2	8	4	0.00004		-1		3.2	0.8973	-1
mc07b	mc07b	mc07	McMurdo	Lisa Tauxe	This study	mc07b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		161.6	l					-68.1						1.6		10			0
mc07c	mc07c	mc07	McMurdo	Lisa Tauxe	This study	mc07c-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	773	423	K					A	u		160.1	l					-68.6						1.4		8			0
mc07d	mc07d	mc07	McMurdo	Lisa Tauxe	This study	mc07d-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		153.5	l					-72.4						3		9			0
mc07e	mc07e	mc07	McMurdo	Lisa Tauxe	This study	mc07e-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.0075	T					A	u		152.9	l					-71.6						1.7		14			0
mc07f	mc07f	mc07	McMurdo	Lisa Tauxe	This study	mc07f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		155.3	l					-64.5						2.9		8			0
mc08a	mc08a	mc08	McMurdo	Lisa Tauxe	This study	mc08a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	823	373	K		-1.122	0.046	0.051		u	1.3	16.4	l	0.3	0.87	0.849	0.8	-50.8	0.000044894	2.4	11	5	0.00004		-1		15.8	0.9812	-1
mc08b	mc08b	mc08	McMurdo	Lisa Tauxe	This study	mc08b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	798	373	K		-1.047	0.084	0.088		u	1.2	16.8	l	4.3	0.816	0.786	0.4	-47	0.000041879	2.4	10	5	0.00004		-1		7.8	0.944	-1
mc08c	mc08c	mc08	McMurdo	Lisa Tauxe	This study	mc08c-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		17.2	l					-79.6						0.3		9			0
mc08d	mc08d	mc08	McMurdo	Lisa Tauxe	This study	mc08d-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		50.7	l					-79.9						0.5		13			0
mc08e	mc08e	mc08	McMurdo	Lisa Tauxe	This study	mc08e-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		58.7	l					-78.9						1.2		9			0
mc08f	mc08f	mc08	McMurdo	Lisa Tauxe	This study	mc08f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		58.2	l					-78.6						1.5		11			0
mc08g	mc08g	mc08	McMurdo	Lisa Tauxe	This study	mc08g-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	773	373	K		-1.083	0.085	0.092		u	3.8	7.5	l	12	0.711	0.703	1.1	-42.7	0.000043302	3.2	9	5	0.00004		-1		6.6	0.9503	-1
mc08h	mc08h	mc08	McMurdo	Lisa Tauxe	This study	mc08h-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	723	373	K		-1.1	0.03	0.033		u	2.6	20.9	l	21.9	0.624	0.624	2.2	-57.6	0.000043998	1.8	8	4	0.00004		-1		17.5	0.9946	-1
mc09a	mc09a	mc09	McMurdo	Lisa Tauxe	This study	mc09a-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	723	373	K		-0.678	0.077	0.052		u	5.6	351.7	l	16.1	0.574	0.584	0.6	-46.7	0.000027135	4.1	8	5	0.00004		-1		6.1	0.9646	-1
mc09b	mc09b	mc09	McMurdo	Lisa Tauxe	This study	mc09b-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	773	373	K		-0.652	0.101	0.066		u	3.8	3.8	l	8.2	0.67	0.694	1.4	-50	0.000026079	3.1	9	5	0.00004		-1		5.6	0.9302	-1
mc09c	mc09c	mc09	McMurdo	Lisa Tauxe	This study	mc09c-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	373	K					A	u		245.2	l					-80.6						1.1		11			0
mc09d	mc09d	mc09	McMurdo	Lisa Tauxe	This study	mc09d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	773	373	K		-0.702	0.042	0.029		u	4.4	351.7	l	16.3	0.707	0.666	1.5	-19.4	0.000028092	3.7	9	5	0.00004		-1		14	0.9878	-1
mc09e	mc09e	mc09	McMurdo	Lisa Tauxe	This study	mc09e-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	798	623	K					A	u		265.7	l					-82.2						3.7		5			0
mc09f	mc09f	mc09	McMurdo	Lisa Tauxe	This study	mc09f-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	573	K					A	u		235.1	l					-78.5						1		7			0
mc09g	mc09g	mc09	McMurdo	Lisa Tauxe	This study	mc09g-LP-DIR-T		LP-DIR-T:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	473	K					A	u		297.2	l					-85						0.8		9			0
mc09h	mc09h	mc09	McMurdo	Lisa Tauxe	This study	mc09h-LP-DIR-AF		LP-DIR-AF:SO-SIGHT:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		8.5	l					-85.8						1.2		11			0
mc100a1	mc100a	mc100	McMurdo	Lisa Tauxe	This study	mc100a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		18.4	l					-71.6						2		14			0
mc100d1	mc100d	mc100	McMurdo	Lisa Tauxe	This study	mc100d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.01	T					A	u		1.8	l					-75.5						1.9		10			0
mc100e1	mc100e	mc100	McMurdo	Lisa Tauxe	This study	mc100e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		13.4	l					-77.1						1.6		13			0
mc100e2	mc100e	mc100	McMurdo	Lisa Tauxe	This study	mc100e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	673	K					A	u		87.5	p					4						2.7		11			0
mc100f2	mc100f	mc100	McMurdo	Lisa Tauxe	This study	mc100f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	573	K					A	u		71.8	p					5.7						3.3		13			0
mc100g1	mc100g	mc100	McMurdo	Lisa Tauxe	This study	mc100g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		3.9	l					-80.5						1.5		11			0
mc100g2	mc100g	mc100	McMurdo	Lisa Tauxe	This study	mc100g2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	273	K					A	u		137.6	p					-7						10.3		17			0
mc100h2	mc100h	mc100	McMurdo	Lisa Tauxe	This study	mc100h2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		5.8	l					-77.7						1.9		11			0
mc101a1	mc101a	mc101	McMurdo	Lisa Tauxe	This study	mc101a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		39.7	l					-79.3						1.6		11			0
mc101b1	mc101b	mc101	McMurdo	Lisa Tauxe	This study	mc101b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		69.9	l					-84.7						2		12			0
mc101c1	mc101c	mc101	McMurdo	Lisa Tauxe	This study	mc101c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		59.4	l					-82.5						2.1		11			0
mc101d1	mc101d	mc101	McMurdo	Lisa Tauxe	This study	mc101d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.1	0.005	T					A	u		30.1	l					-77.7						1.1		10			0
mc101f1	mc101f	mc101	McMurdo	Lisa Tauxe	This study	mc101f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		24.9	l					-79.8						1.4		8			0
mc101h1	mc101h	mc101	McMurdo	Lisa Tauxe	This study	mc101h1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		31.2	l					-78						1.9		8			0
mc102a1	mc102a	mc102	McMurdo	Lisa Tauxe	This study	mc102a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		139.4	l					75.5						1.3		13			0
mc102a2	mc102a	mc102	McMurdo	Lisa Tauxe	This study	mc102a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	573	K					A	u		330.7	p					14						3.1		9			0
mc102b1	mc102b	mc102	McMurdo	Lisa Tauxe	This study	mc102b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		149.6	l					75.1						3.6		8			0
mc102b2	mc102b	mc102	McMurdo	Lisa Tauxe	This study	mc102b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		131.5	l					73.9						1.7		13			0
mc102e1	mc102e	mc102	McMurdo	Lisa Tauxe	This study	mc102e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		178.5	l					75.6						1.7		13			0
mc102f1	mc102f	mc102	McMurdo	Lisa Tauxe	This study	mc102f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		157.1	l					78.9						1.3		11			0
mc102g1	mc102g	mc102	McMurdo	Lisa Tauxe	This study	mc102g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		150.5	l					71.8						2.1		13			0
mc103a1	mc103a	mc103	McMurdo	Lisa Tauxe	This study	mc103a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.1	l					74.9						1.5		13			0
mc103a2	mc103a	mc103	McMurdo	Lisa Tauxe	This study	mc103a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	473	K					A	u		136.3	l					72.6						2.4		11			0
mc103b1	mc103b	mc103	McMurdo	Lisa Tauxe	This study	mc103b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	673	K					A	u		140.4	l					68.3						5.2		7			0
mc103b2	mc103b	mc103	McMurdo	Lisa Tauxe	This study	mc103b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		150.1	l					74.5						1.6		13			0
mc103c1	mc103c	mc103	McMurdo	Lisa Tauxe	This study	mc103c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	813	423	K					A	u		137.9	l					76						7.8		11			0
mc103c2	mc103c	mc103	McMurdo	Lisa Tauxe	This study	mc103c2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.4	l					73.7						1		13			0
mc103d1	mc103d	mc103	McMurdo	Lisa Tauxe	This study	mc103d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	813	273	K					A	u		243.7	p					5.6						7.2		12			0
mc103d2	mc103d	mc103	McMurdo	Lisa Tauxe	This study	mc103d2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		134.0	l					74.4						1.3		13			0
mc103e1	mc103e	mc103	McMurdo	Lisa Tauxe	This study	mc103e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	723	423	K		-0.84	0.113	0.095		u	6.3	192.9	l	10.4	0.397	0.435	2.5	44	0.000021005	13.2	7	5	0.000025		-1		2.8	0.9375	-1
mc103e2	mc103e	mc103	McMurdo	Lisa Tauxe	This study	mc103e2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.8	l					71.3						1.2		13			0
mc104a1	mc104a	mc104	McMurdo	Lisa Tauxe	This study	mc104a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		67.6	l					-80.1						1.3		13			0
mc104b1	mc104b	mc104	McMurdo	Lisa Tauxe	This study	mc104b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		133.8	p					9.3						4.2		12			0
mc104b2	mc104b	mc104	McMurdo	Lisa Tauxe	This study	mc104b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		75.8	l					-77						1.4		13			0
mc104c1	mc104c	mc104	McMurdo	Lisa Tauxe	This study	mc104c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		60.6	l					-80.3						1.9		13			0
mc104c2	mc104c	mc104	McMurdo	Lisa Tauxe	This study	mc104c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		343.8	p					-1.9						2.6		12			0
mc104d1	mc104d	mc104	McMurdo	Lisa Tauxe	This study	mc104d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		64.0	l					-79.2						1.1		13			0
mc104f1	mc104f	mc104	McMurdo	Lisa Tauxe	This study	mc104f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		67.6	l					-70.7						1.6		13			0
mc105a1	mc105a	mc105	McMurdo	Lisa Tauxe	This study	mc105a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		199.7	l					67.2						2		13			0
mc105a2	mc105a	mc105	McMurdo	Lisa Tauxe	This study	mc105a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	803	423	K		-1.083	0.046	0.049		u	2.7	145.8	l	12.9	0.675	0.678	0.5	64.5	0.00002707	2.2	10	5	0.000025		-1		11.9	0.9834	-1
mc105c1	mc105c	mc105	McMurdo	Lisa Tauxe	This study	mc105c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	803	423	K		-1.136	0.033	0.037		u	3.5	228.7	l	14.4	0.676	0.64	0.9	57.8	0.0000284	2.8	10	5	0.000025		-1		17.3	0.9915	-1
