tab	sites
analysts	citations	location	samples	site	specimens	magic_instrument_codes	method_codes	software_packages	criteria	dir_alpha95	geologic_classes	dir_comp_name	dir_dec	site_definition	description	height	dir_inc	age	age_sigma	age_unit	int_abs	int_n_samples	int_abs_sigma	int_abs_sigma_perc	dir_k	lat	lithologies	lon	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_types
Lisa Tauxe	This study	McMurdo	mc101j:mc101h:mc101i:mc101b:mc101c:mc101a:mc101f:mc101g:mc101d:mc101e	mc101	mc101h1:mc101b1:mc101c1:mc101a1:mc101f1:mc101d1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1		A	38.5		Direction included in Pmag_Results.		-80.6	1.065	0.004	Ma					460.8				6	6	0	n	5.9891	0	
	This study	McMurdo		mc101							Not Specified			s												-78.30600	Not Specified	162.928							Not Specified
	This study	McMurdo		mc102							Not Specified			s												-78.23500	Not Specified	163.352							Not Specified
Lisa Tauxe	This study	McMurdo	mc102c:mc102b:mc102a:mc102g:mc102f:mc102e:mc102d:mc102k:mc102j:mc102i:mc102h:mc102m:mc102l	mc102	mc102b1:mc102b2:mc102a2:mc102a1:mc102g1:mc102f1:mc102e1:mc102m2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4		A	150.4		Direction included in Pmag_Results.		75.7	0.264	0.01	Ma					326.5				7	6	1	r	6.9832	0	
	This study	McMurdo		mc103							Not Specified			s												-78.23500	Not Specified	163.36							Not Specified
Lisa Tauxe	This study	McMurdo	mc103d:mc103e:mc103f:mc103g:mc103a:mc103b:mc103c:mc103l:mc103h:mc103i:mc103j:mc103k	mc103	mc103d2:mc103d1:mc103e2:mc103e1:mc103a2:mc103a1:mc103b1:mc103b2:mc103c1:mc103c2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									1.421	0.015	Ma	0.000021	1	0	0											
	This study	McMurdo		mc104							Not Specified			s												-78.23800	Not Specified	163.401							Not Specified
Lisa Tauxe	This study	McMurdo	mc104d:mc104g:mc104c:mc104b:mc104e:mc104f:mc104a:mc104i:mc104h:mc104k:mc104j	mc104	mc104d1:mc104c2:mc104c1:mc104b1:mc104b2:mc104f1:mc104a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2		A	72.1		Direction included in Pmag_Results.		-77.2	0.29	0.01	Ma					367.4				7	5	2	n	6.9864	0	
Lisa Tauxe	This study	McMurdo	mc105d:mc105e:mc105c:mc105a:mc105j:mc105k:mc105h:mc105f:mc105g:mc105b:mc105n:mc105l:mc105m:mc105i	mc105	mc105d1:mc105c1:mc105a1:mc105a2:mc105j1:mc105h1:mc105f1:mc105g1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.86	0.035	Ma	0.00002862	4	0.000001917	6.697											
	This study	McMurdo		mc105							Not Specified			s												-78.24500	Not Specified	163.231							Not Specified
Lisa Tauxe	This study	McMurdo	mc106l:mc106k:mc106j:mc106i:mc106h:mc106g:mc106f:mc106e:mc106d:mc106c:mc106b:mc106a	mc106	mc106e1:mc106d1:mc106c1:mc106b1:mc106a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8		A	19.5		Direction included in Pmag_Results.		-76.7	13.42	0.09	Ma					410.8				5	5	0	n	4.9903	0	
	This study	McMurdo		mc106							Not Specified			s												-78.21000	Not Specified	163.308							Not Specified
Lisa Tauxe	This study	McMurdo	mc107a:mc107b:mc107c:mc107d:mc107e:mc107f:mc107g:mc107h:mc107i:mc107j:mc107k:mc107l	mc107	mc107c1:mc107d2:mc107e2:mc107e1:mc107h1:mc107k1:mc107l1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									2.57	0.19	Ma	0.00001524	1	0	0											
	This study	McMurdo		mc107							Not Specified			s												-78.20400	Not Specified	163.347							Not Specified
Lisa Tauxe	This study	McMurdo	mc108a:mc108c:mc108b:mc108e:mc108d:mc108g:mc108f:mc108i:mc108h:mc108k:mc108j	mc108	mc108a2:mc108a1:mc108c1:mc108b1:mc108d1:mc108g2:mc108h1:mc108k1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8		A	69.8		Direction included in Pmag_Results.		-72.4	0.41	0.07	Ma					403.2				5	5	0	n	4.9901	0	
	This study	McMurdo		mc108							Not Specified			s												-78.24700	Not Specified	163.323							Not Specified
	This study	McMurdo		mc109							Not Specified			s												-78.28200	Not Specified	163.544							Not Specified
Lisa Tauxe	This study	McMurdo	mc109e:mc109c:mc109a:mc109f:mc109g:mc109d:mc109j:mc109k:mc109h:mc109i:mc109l:mc109m	mc109	mc109e1:mc109c1:mc109a1:mc109a2:mc109d1:mc109i1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.261	0.02	Ma	0.0000348	3	0.000001152	3.309											
	This study	McMurdo		mc11							Not Specified			s												-77.57000	Not Specified	166.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc11g:mc11f:mc11e:mc11d:mc11c:mc11b:mc11a:mc11h	mc11	mc11g:mc11f:mc11e:mc11d:mc11c:mc11b:mc11a:mc11h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00004328	3	0.00001135	26.23											
Lisa Tauxe	This study	McMurdo	mc110a:mc110b:mc110c:mc110d:mc110f:mc110g:mc110h:mc110i:mc110j:mc110k	mc110	mc110a2:mc110a1:mc110b1:mc110b2:mc110d1:mc110g1:mc110i1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2		A	253.5		Direction included in Pmag_Results.		79.6	7.94	0.12	Ma					218.2				5	5	0	r	4.9817	0	
	This study	McMurdo		mc110							Not Specified			s												-78.23800	Not Specified	163.443							Not Specified
Lisa Tauxe	This study	McMurdo	mc111m:mc111l:mc111k:mc111j:mc111i:mc111h:mc111g:mc111f:mc111e:mc111d:mc111c:mc111b:mc111a	mc111	mc111l1:mc111f1:mc111e2:mc111e1:mc111d1:mc111d2:mc111b1:mc111a2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.99	0.02	Ma	0.0000279	2	0.0000004299	1.541											
	This study	McMurdo		mc111							Not Specified			s												-78.22400	Not Specified	162.787							Not Specified
	This study	McMurdo		mc112							Not Specified			s												-78.23800	Not Specified	163.441							Not Specified
Lisa Tauxe	This study	McMurdo	mc112f:mc112g:mc112d:mc112c:mc112a:mc112j:mc112h:mc112e:mc112b:mc112i	mc112	mc112g1:mc112d1:mc112c2:mc112c1:mc112a1:mc112j1:mc112h3:mc112b2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2		A	232.9		Direction included in Pmag_Results.		75.7	7.63	0.16	Ma					220.9				5	5	0	r	4.9819	0	
Lisa Tauxe	This study	McMurdo	mc113e:mc113d:mc113g:mc113f:mc113a:mc113m:mc113l:mc113n:mc113i:mc113h:mc113k:mc113j:mc113c:mc113b	mc113	mc113e1:mc113g1:mc113f1:mc113a1-1:mc113a2:mc113a1:mc113m1:mc113h1:mc113j1:mc113c1:mc113b1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			6.73	0.085	Ma	0.00001182	2	0.000000454	3.842											
	This study	McMurdo		mc113							Not Specified			s												-78.22600	Not Specified	162.735							Not Specified
Lisa Tauxe	This study	McMurdo	mc114d:mc114e:mc114f:mc114g:mc114a:mc114b:mc114c:mc114h:mc114i:mc114j	mc114	mc114d2:mc114e1:mc114a1:mc114b2:mc114c1:mc114i1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1		A	52.4		Direction included in Pmag_Results.		-69.7	1.62	0.14	Ma					614				5	5	0	n	4.9935	0	
	This study	McMurdo		mc114							Not Specified			s												-78.22400	Not Specified	162.783							Not Specified
Lisa Tauxe	This study	McMurdo	mc115r:mc115q:mc115p:mc115c:mc115b:mc115a:mc115g:mc115f:mc115e:mc115d:mc115k:mc115j:mc115i:mc115h:mc115n:mc115m	mc115	mc115b1:mc115a2:mc115a1:mc115g2:mc115e1:mc115h1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			2.46	0.155	Ma	0.00002461	2	0.0000004299	1.747											
	This study	McMurdo		mc115							Not Specified			s												-78.24300	Not Specified	162.958							Not Specified
Lisa Tauxe	This study	McMurdo	mc116h:mc116k:mc116i:mc116b:mc116g:mc116d:mc116e:mc116j:mc116c:mc116a:mc116f	mc116	mc116i2:mc116b1:mc116j2:mc116c1:mc116a1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.14	0.055	Ma	0.00003977	2	0.000001761	4.427											
	This study	McMurdo		mc116							Not Specified			s												-78.22200	Not Specified	162.744							Not Specified
	This study	McMurdo		mc117							Not Specified			s												-78.23500	Not Specified	162.973							Not Specified
Lisa Tauxe	This study	McMurdo	mc117i:mc117h:mc117j:mc117l:mc117a:mc117c:mc117b:mc117e:mc117d:mc117g:mc117f	mc117	mc117h1:mc117a2-1:mc117a1:mc117a2:mc117b1:mc117e2:mc117d2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			2.28	0.12	Ma	0.00002641	4	0.0000007253	2.747											
Lisa Tauxe	This study	McMurdo	mc118h:mc118i:mc118j:mc118k:mc118l:mc118a:mc118b:mc118c:mc118d:mc118e:mc118f:mc118g	mc118	mc118i1:mc118l2:mc118a1:mc118c1:mc118d1:mc118e1:mc118f1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.1		A	58.9		Direction included in Pmag_Results.		-53.1	0.31	0.02	Ma					99				7	7	0	n	6.9394	0	
	This study	McMurdo		mc118							Not Specified			s												-78.24100	Not Specified	163.141							Not Specified
Lisa Tauxe	This study	McMurdo	mc119g:mc119f:mc119e:mc119d:mc119c:mc119b:mc119a:mc119l:mc119k:mc119j:mc119i:mc119h	mc119	mc119f2:mc119e2:mc119d2:mc119b2:mc119b1:mc119a1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.08	0.11	Ma	0.00004097	5	0.000001947	4.753											
	This study	McMurdo		mc119							Not Specified			s												-78.23900	Not Specified	162.957							Not Specified
	This study			mc12							Not Specified			s												-77.58000	Not Specified	166.23							Not Specified
	This study	McMurdo		mc120							Not Specified			s												-78.24100	Not Specified	163.092							Not Specified
Lisa Tauxe	This study	McMurdo	mc120k:mc120j:mc120i:mc120h:mc120m:mc120l:mc120c:mc120b:mc120a:mc120g:mc120f:mc120e:mc120d	mc120	mc120j2:mc120m2:mc120l1:mc120c1:mc120b2:mc120b1:mc120a2-1:mc120a2:mc120a1:mc120f1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.756	0.025	Ma	0.00002432	5	0.0000007249	2.981											
Lisa Tauxe	This study	McMurdo	mc121h:mc121i:mc121j:mc121k:mc121d:mc121e:mc121f:mc121g:mc121a:mc121b:mc121c	mc121	mc121i1:mc121k1:mc121k2:mc121d1:mc121d2:mc121e2:mc121e1:mc121f2:mc121g1:mc121a1:mc121c1:mc121c3		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC									2.505	0.03	Ma	0.00002466	7	0.000007086	28.73											
	This study	McMurdo		mc121							Not Specified			s												-78.23500	Not Specified	162.954							Not Specified
	This study	McMurdo		mc122							Not Specified			s												-78.18700	Not Specified	163.58							Not Specified
Lisa Tauxe	This study	McMurdo	mc122a:mc122c:mc122b:mc122e:mc122d:mc122g:mc122f:mc122i:mc122h:mc122k:mc122l	mc122	mc122a1:mc122c1:mc122b1:mc122d1:mc122g1:mc122f1:mc122k2:mc122l1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8		A	12.2		Direction included in Pmag_Results.		-72.4	12.699	0.045	Ma					177.8				5	5	0	n	4.9775	0	
	This study	McMurdo		mc123							Not Specified			s												-78.25400	Not Specified	163.729							Not Specified
Lisa Tauxe	This study	McMurdo	mc123b:mc123c:mc123a:mc123f:mc123g:mc123d:mc123e:mc123j:mc123k:mc123h:mc123i:mc123l	mc123	mc123b1:mc123b2:mc123c2:mc123c3:mc123a1:mc123a2:mc123f1:mc123j1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.93	0.025	Ma	0.00003004	4	0.000002256	7.511											
	This study	McMurdo		mc124							Not Specified			s												-78.18600	Not Specified	163.567							Not Specified
Lisa Tauxe	This study	McMurdo	mc124g:mc124f:mc124e:mc124d:mc124c:mc124b:mc124a:mc124l:mc124k:mc124j:mc124i:mc124h	mc124	mc124g1:mc124f1:mc124d1:mc124d2:mc124a1:mc124l1:mc124j1:mc124h1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.4		A	13.2		Direction included in Pmag_Results.		-73.4	12.61	0.055	Ma					654.8				7	7	0	n	6.9908	0	
	This study	McMurdo		mc125							Not Specified			s												-78.25400	Not Specified	163.73							Not Specified
Lisa Tauxe	This study	McMurdo	mc125i:mc125j:mc125k:mc125l:mc125m:mc125a:mc125b:mc125c:mc125d:mc125e:mc125f:mc125g:mc125h:mc125n:mc125o	mc125	mc125i1:mc125m1:mc125a1:mc125b1:mc125c1:mc125d1:mc125e3:mc125e1:mc125g1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									4.26	0.09	Ma	0.00002592	1	0	0											
	This study	McMurdo		mc126							Not Specified			s												-78.25300	Not Specified	163.737							Not Specified
Lisa Tauxe	This study	McMurdo	mc126e:mc126d:mc126g:mc126f:mc126i:mc126h:mc126j:mc126a:mc126c:mc126b	mc126	mc126e1:mc126d1:mc126g1:mc126f1:mc126i1:mc126a2:mc126c2:mc126c1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.5		A	359.4		Direction included in Pmag_Results.		-79.6	4	4	Ma					103.2				8	8	0	n	7.9321	0	
	This study	McMurdo		mc127							Not Specified			s												-78.25400	Not Specified	163.733							Not Specified
Lisa Tauxe	This study	McMurdo	mc127j:mc127h:mc127i:mc127f:mc127g:mc127d:mc127e:mc127b:mc127c:mc127a	mc127	mc127i1:mc127f1:mc127g2:mc127d1:mc127b1:mc127c1:mc127a1:mc127a2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.942	0.034	Ma	0.00003849	2	0.000001522	3.954											
	This study	McMurdo		mc128							Not Specified			s												-78.21000	Not Specified	166.571							Not Specified
Lisa Tauxe	This study	McMurdo	mc128c:mc128b:mc128a:mc128g:mc128f:mc128e:mc128d:mc128k:mc128j:mc128i:mc128h	mc128	mc128c2:mc128b2:mc128b1:mc128f1:mc128e2:mc128e1:mc128d1:mc128j1:mc128h1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.00003429	3	0.000002688	7.839											
	This study	McMurdo		mc129							Not Specified			s												-78.21400	Not Specified	166.577							Not Specified
Lisa Tauxe	This study	McMurdo	mc129d:mc129e:mc129f:mc129a:mc129b:mc129c:mc129l:mc129m:mc129h:mc129i:mc129j	mc129	mc129f1:mc129a1-1:mc129a1:mc129a2:mc129b1:mc129c1:mc129c2:mc129l1:mc129h2:mc129j1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3		A	22.1		Direction included in Pmag_Results.		-54.5	4	4	Ma					490.9				9	9	0	n	8.9837	0	
Lisa Tauxe	This study	McMurdo	mc13h:mc13a:mc13c:mc13b:mc13e:mc13d:mc13g:mc13f	mc13	mc13h:mc13a:mc13c:mc13b:mc13e:mc13d:mc13g:mc13f		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.055	0.005	Ma	0.00003041	3	0.000002177	7.158											
	This study	McMurdo		mc13							Not Specified			s												-77.64000	Not Specified	166.41							Not Specified
Lisa Tauxe	This study	McMurdo	mc130e:mc130b:mc130c:mc130a:mc130f:mc130g:mc130d:mc130j:mc130h:mc130i	mc130	mc130e1:mc130b1:mc130a1:mc130a2:mc130g2:mc130d1:mc130j2:mc130h1:mc130i2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.3		A	150.5		Direction included in Pmag_Results.		46.1	7.251	0.035	Ma					405.9				6	6	0	r	5.9877	0	
	This study	McMurdo		mc130							Not Specified			s												-78.21000	Not Specified	166.579							Not Specified
Lisa Tauxe	This study	McMurdo	mc131a:mc131c:mc131b:mc131e:mc131d:mc131g:mc131f:mc131i:mc131h:mc131k:mc131j:mc131m:mc131l	mc131	mc131a3:mc131c2:mc131b1:mc131e1:mc131d2:mc131g1:mc131f1:mc131k1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.00001679	5	0.0000008907	5.304											
	This study	McMurdo		mc131							Not Specified			s												-78.21400	Not Specified	166.573							Not Specified
	This study	McMurdo		mc132							Not Specified			s												-78.20600	Not Specified	166.552							Not Specified
Lisa Tauxe	This study	McMurdo	mc132l:mc132h:mc132i:mc132j:mc132k:mc132d:mc132e:mc132f:mc132g:mc132a:mc132b:mc132c	mc132	mc132l1:mc132h2:mc132i2:mc132j1:mc132j2:mc132k1:mc132d1:mc132e2:mc132e1:mc132f2:mc132g2:mc132a1:mc132c1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.000003294	7	0.0000001438	4.365											
Lisa Tauxe	This study	McMurdo	mc133j:mc133i:mc133h:mc133m:mc133l:mc133c:mc133b:mc133a:mc133g:mc133f:mc133e:mc133d	mc133	mc133j1:mc133h1:mc133l1:mc133b2:mc133g1:mc133f2:mc133f1:mc133d1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.0000463	2	0.000003454	7.46											
	This study	McMurdo		mc133							Not Specified			s												-78.19900	Not Specified	166.584							Not Specified
	This study	McMurdo		mc134							Not Specified			s												-78.21900	Not Specified	166.607							Not Specified
Lisa Tauxe	This study	McMurdo	mc134j:mc134k:mc134h:mc134i:mc134f:mc134g:mc134d:mc134e:mc134b:mc134c:mc134a	mc134	mc134k1:mc134f1:mc134e1:mc134c2:mc134c1:mc134a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6		A	12.5		Direction included in Pmag_Results.		-84.3	9.02	0.025	Ma					886.4				5	5	0	n	4.9955	0	
Lisa Tauxe	This study	McMurdo	mc135i:mc135h:mc135j:mc135e:mc135d:mc135g:mc135f:mc135a:mc135c:mc135b	mc135	mc135i2:mc135h2:mc135e2:mc135e1:mc135d2:mc135a1:mc135c2:mc135b1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00004108	1	0	0											
	This study	McMurdo		mc135							Not Specified			s												-78.23100	Not Specified	166.565							Not Specified
Lisa Tauxe	This study	McMurdo	mc136h:mc136i:mc136j:mc136k:mc136a:mc136b:mc136c:mc136d:mc136e:mc136f:mc136g	mc136	mc136h2:mc136i2:mc136i1:mc136a1:mc136a2:mc136c1:mc136d1:mc136d2:mc136e1:mc136g1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5		A	103.4		Direction included in Pmag_Results.		18.5	1.99	0.3	Ma					513.7				5	4	1	t	4.9932	0	
	This study	McMurdo		mc136							Not Specified			s												-78.28200	Not Specified	163.329							Not Specified
Lisa Tauxe	This study	McMurdo	mc137g:mc137f:mc137e:mc137d:mc137c:mc137b:mc137a:mc137l:mc137k:mc137j:mc137i:mc137h	mc137	mc137d1:mc137a1:mc137l1:mc137j2:mc137h1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	8.7		A	71.2				34.2	4	4	Ma					120.4				5	1	4	t	4.9834	0	
	This study	McMurdo		mc137							Not Specified			s												-78.26100	Not Specified	163.257							Not Specified
Lisa Tauxe	This study	McMurdo	mc138j:mc138k:mc138h:mc138i:mc138b:mc138c:mc138a:mc138f:mc138g:mc138d:mc138e	mc138	mc138h1:mc138b1:mc138a1:mc138g1:mc138d1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.4		A	83.0				12.1	1.21	0.09	Ma					473.2				5	1	4	t	4.9958	0	
	This study	McMurdo		mc138							Not Specified			s												-78.26000	Not Specified	163.24							Not Specified
	This study	McMurdo		mc139							Not Specified			s												-78.26000	Not Specified	163.08							Not Specified
Lisa Tauxe	This study	McMurdo	mc139i:mc139h:mc139k:mc139j:mc139a:mc139c:mc139b:mc139e:mc139d:mc139g:mc139f	mc139	mc139h1:mc139j2:mc139a1:mc139a2:mc139c1:mc139e1:mc139d1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									0.882	0.04	Ma	0.00001976	1	0	0											
