tab	er_samples
er_sample_name	er_site_name	er_location_name	cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_sample_alternatives	er_scientist_mail_names	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
mc03e	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03f	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03g	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc03h	mc03	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.76		Not Specified
mc04a	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04b	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04c	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04d	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04e	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04f	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04g	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc04h	mc04	McMurdo			This study			:SO-NO					Not Specified							-77.84000	Not Specified	166.7		Not Specified
mc06a	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06b	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06c	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06d	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06e	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06f	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06g	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc06h	mc06	McMurdo			This study			:SO-NO					Not Specified							-77.83000	Not Specified	166.67		Not Specified
mc07a	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07b	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07c	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07d	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07e	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07f	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07g	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc07h	mc07	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.72		Not Specified
mc08a	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08b	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08c	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08d	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08e	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08f	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08g	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc08h	mc08	McMurdo			This study			:SO-NO					Not Specified							-77.80000	Not Specified	166.83		Not Specified
mc09a	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09b	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09c	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09d	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09e	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09f	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09g	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc09h	mc09	McMurdo			This study			:SO-NO					Not Specified							-77.55000	Not Specified	166.2		Not Specified
mc100a	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100b	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100c	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100d	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100e	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100f	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100g	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100h	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100i	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc100j	mc100	McMurdo			This study			:SO-NO					Not Specified							-78.30200	Not Specified	162.9		Not Specified
mc101a	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101b	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101c	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101d	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101e	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101f	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101g	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101h	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101i	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc101j	mc101	McMurdo			This study			:SO-NO					Not Specified							-78.30600	Not Specified	162.928		Not Specified
mc102a	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102b	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102c	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102d	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102e	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102f	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102g	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102h	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102i	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102j	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102k	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102l	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc102m	mc102	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.352		Not Specified
mc103a	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103b	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103c	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103d	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103e	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103f	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103g	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103h	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103i	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103j	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103k	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc103l	mc103	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	163.36		Not Specified
mc104a	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104b	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104c	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104d	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104e	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104f	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104g	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104h	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104i	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104j	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc104k	mc104	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.401		Not Specified
mc105a	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105b	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105c	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105d	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105e	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105f	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105g	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105h	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105i	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105j	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105k	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105l	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105m	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc105n	mc105	McMurdo			This study			:SO-NO					Not Specified							-78.24500	Not Specified	163.231		Not Specified
mc106a	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106b	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106c	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106d	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106e	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106f	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106g	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106h	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106i	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106j	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106k	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc106l	mc106	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	163.308		Not Specified
mc107a	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107b	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107c	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107d	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107e	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107f	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107g	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107h	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107i	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107j	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107k	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc107l	mc107	McMurdo			This study			:SO-NO					Not Specified							-78.20400	Not Specified	163.347		Not Specified
mc108a	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108b	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108c	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108d	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108e	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108f	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108g	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108h	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108i	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108j	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc108k	mc108	McMurdo			This study			:SO-NO					Not Specified							-78.24700	Not Specified	163.323		Not Specified
mc109a	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109c	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109d	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109e	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109f	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109g	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109h	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109i	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109j	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109k	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109l	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc109m	mc109	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.544		Not Specified
mc10a	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10b	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10c	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10d	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10e	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10f	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10g	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc10h	mc10	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc110a	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110b	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110c	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110d	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110f	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110g	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110h	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110i	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110j	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc110k	mc110	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.443		Not Specified
mc111a	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111b	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111c	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111d	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111e	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111f	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111g	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111h	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111i	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111j	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111k	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111l	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc111m	mc111	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.787		Not Specified
mc112a	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112b	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112c	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112d	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112e	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112f	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112g	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112h	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112i	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc112j	mc112	McMurdo			This study			:SO-NO					Not Specified							-78.23800	Not Specified	163.441		Not Specified
mc113a	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113b	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113c	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113d	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113e	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113f	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113g	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113h	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113i	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113j	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113k	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113l	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113m	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc113n	mc113	McMurdo			This study			:SO-NO					Not Specified							-78.22600	Not Specified	162.735		Not Specified
mc114a	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114b	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114c	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114d	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114e	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114f	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114g	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114h	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114i	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc114j	mc114	McMurdo			This study			:SO-NO					Not Specified							-78.22400	Not Specified	162.783		Not Specified
mc115a	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115b	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115c	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115d	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115e	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115f	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115g	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115h	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115i	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115j	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
