tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_chi_mass	measurement_dec	measurement_flag	measurement_inc	measurement_magn_mass	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	DSDP Site 522	15-1-028	15-1-028	15-1-028	15-1-028:LP-ARM	LT-AF-I			g		1.794e-04	14	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-028	15-1-028	15-1-028	15-1-028:LP-IRM	LT-IRM			g		3.393e-03	15	u	300	0	1.0	300
This study	DSDP Site 522	15-1-028	15-1-028	15-1-028	15-1-028:LP-X	LP-X	2.279e-07					16		300	10e-3	0	300
This study	DSDP Site 522	15-1-031	15-1-031	15-1-031	15-1-031:LP-AF-DIR	LT-AF-Z		155.1	g	52.8	3.440e-06	17	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-031	15-1-031	15-1-031	15-1-031:LP-ARM	LT-AF-I			g		1.712e-04	18	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-031	15-1-031	15-1-031	15-1-031:LP-IRM	LT-IRM			g		3.311e-03	19	u	300	0	1.0	300
This study	DSDP Site 522	15-1-031	15-1-031	15-1-031	15-1-031:LP-X	LP-X	2.245e-07					20		300	10e-3	0	300
This study	DSDP Site 522	15-1-035	15-1-035	15-1-035	15-1-035:LP-AF-DIR	LT-AF-Z		144.2	g	72.3	4.080e-06	21	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-035	15-1-035	15-1-035	15-1-035:LP-ARM	LT-AF-I			g		2.216e-04	22	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-035	15-1-035	15-1-035	15-1-035:LP-IRM	LT-IRM			g		4.387e-03	23	u	300	0	1.0	300
This study	DSDP Site 522	15-1-035	15-1-035	15-1-035	15-1-035:LP-X	LP-X	3.083e-07					24		300	10e-3	0	300
This study	DSDP Site 522	15-1-039	15-1-039	15-1-039	15-1-039:LP-AF-DIR	LT-AF-Z		127.5	g	65.9	4.375e-06	25	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-039	15-1-039	15-1-039	15-1-039:LP-ARM	LT-AF-I			g		2.555e-04	26	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-039	15-1-039	15-1-039	15-1-039:LP-IRM	LT-IRM			g		5.039e-03	27	u	300	0	1.0	300
This study	DSDP Site 522	15-1-039	15-1-039	15-1-039	15-1-039:LP-X	LP-X	3.567e-07					28		300	10e-3	0	300
This study	DSDP Site 522	15-1-041	15-1-041	15-1-041	15-1-041:LP-AF-DIR	LT-AF-Z		355.0	g	-46.1	2.997e-06	29	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-041	15-1-041	15-1-041	15-1-041:LP-ARM	LT-AF-I			g		3.103e-04	30	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-041	15-1-041	15-1-041	15-1-041:LP-IRM	LT-IRM			g		6.057e-03	31	u	300	0	1.0	300
This study	DSDP Site 522	15-1-041	15-1-041	15-1-041	15-1-041:LP-X	LP-X	4.431e-07					32		300	10e-3	0	300
This study	DSDP Site 522	15-1-045	15-1-045	15-1-045	15-1-045:LP-AF-DIR	LT-AF-Z		2.4	g	-11.8	1.421e-06	33	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-045	15-1-045	15-1-045	15-1-045:LP-ARM	LT-AF-I			g		2.829e-04	34	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-045	15-1-045	15-1-045	15-1-045:LP-IRM	LT-IRM			g		5.483e-03	35	u	300	0	1.0	300
This study	DSDP Site 522	15-1-045	15-1-045	15-1-045	15-1-045:LP-X	LP-X	3.971e-07					36		300	10e-3	0	300
This study	DSDP Site 522	15-1-047	15-1-047	15-1-047	15-1-047:LP-AF-DIR	LT-AF-Z		357.0	g	-47.4	6.509e-06	37	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-047	15-1-047	15-1-047	15-1-047:LP-ARM	LT-AF-I			g		2.837e-04	38	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-047	15-1-047	15-1-047	15-1-047:LP-IRM	LT-IRM			g		5.658e-03	39	u	300	0	1.0	300
This study	DSDP Site 522	15-1-047	15-1-047	15-1-047	15-1-047:LP-X	LP-X	4.056e-07					40		300	10e-3	0	300
This study	DSDP Site 522	15-1-051	15-1-051	15-1-051	15-1-051:LP-AF-DIR	LT-AF-Z		348.7	g	-30.9	5.712e-06	41	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-051	15-1-051	15-1-051	15-1-051:LP-ARM	LT-AF-I			g		3.079e-04	42	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-051	15-1-051	15-1-051	15-1-051:LP-IRM	LT-IRM			g		5.960e-03	43	u	300	0	1.0	300
This study	DSDP Site 522	15-1-051	15-1-051	15-1-051	15-1-051:LP-X	LP-X	4.280e-07					44		300	10e-3	0	300
This study	DSDP Site 522	15-1-054	15-1-054	15-1-054	15-1-054:LP-AF-DIR	LT-AF-Z		14.2	g	-49.6	9.347e-06	45	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-054	15-1-054	15-1-054	15-1-054:LP-ARM	LT-AF-I			g		2.539e-04	46	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-054	15-1-054	15-1-054	15-1-054:LP-IRM	LT-IRM			g		5.051e-03	47	u	300	0	1.0	300
This study	DSDP Site 522	15-1-054	15-1-054	15-1-054	15-1-054:LP-X	LP-X	3.575e-07					48		300	10e-3	0	300
This study	DSDP Site 522	15-1-057	15-1-057	15-1-057	15-1-057:LP-AF-DIR	LT-AF-Z		0.9	g	-50.4	1.063e-05	49	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-057	15-1-057	15-1-057	15-1-057:LP-ARM	LT-AF-I			g		2.422e-04	50	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-057	15-1-057	15-1-057	15-1-057:LP-IRM	LT-IRM			g		5.122e-03	51	u	300	0	1.0	300
This study	DSDP Site 522	15-1-057	15-1-057	15-1-057	15-1-057:LP-X	LP-X	3.678e-07					52		300	10e-3	0	300
This study	DSDP Site 522	15-1-060	15-1-060	15-1-060	15-1-060:LP-AF-DIR	LT-AF-Z		6.4	g	-46.1	9.993e-06	53	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-060	15-1-060	15-1-060	15-1-060:LP-ARM	LT-AF-I			g		2.028e-04	54	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-060	15-1-060	15-1-060	15-1-060:LP-IRM	LT-IRM			g		4.241e-03	55	u	300	0	1.0	300
This study	DSDP Site 522	15-1-060	15-1-060	15-1-060	15-1-060:LP-X	LP-X	3.131e-07					56		300	10e-3	0	300
This study	DSDP Site 522	15-1-063	15-1-063	15-1-063	15-1-063:LP-AF-DIR	LT-AF-Z		347.6	g	-41.3	8.918e-06	57	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-063	15-1-063	15-1-063	15-1-063:LP-ARM	LT-AF-I			g		2.132e-04	58	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-063	15-1-063	15-1-063	15-1-063:LP-IRM	LT-IRM			g		4.478e-03	59	u	300	0	1.0	300
This study	DSDP Site 522	15-1-063	15-1-063	15-1-063	15-1-063:LP-X	LP-X	3.333e-07					60		300	10e-3	0	300
This study	DSDP Site 522	15-1-066	15-1-066	15-1-066	15-1-066:LP-AF-DIR	LT-AF-Z		359.7	g	-51.9	9.196e-06	61	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-066	15-1-066	15-1-066	15-1-066:LP-ARM	LT-AF-I			g		2.040e-04	62	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-066	15-1-066	15-1-066	15-1-066:LP-IRM	LT-IRM			g		4.306e-03	63	u	300	0	1.0	300
This study	DSDP Site 522	15-1-066	15-1-066	15-1-066	15-1-066:LP-X	LP-X	3.149e-07					64		300	10e-3	0	300
This study	DSDP Site 522	15-1-069	15-1-069	15-1-069	15-1-069:LP-AF-DIR	LT-AF-Z		359.1	g	-52	7.858e-06	65	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-069	15-1-069	15-1-069	15-1-069:LP-ARM	LT-AF-I			g		2.026e-04	66	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-069	15-1-069	15-1-069	15-1-069:LP-IRM	LT-IRM			g		4.191e-03	67	u	300	0	1.0	300
This study	DSDP Site 522	15-1-069	15-1-069	15-1-069	15-1-069:LP-X	LP-X	3.050e-07					68		300	10e-3	0	300
This study	DSDP Site 522	15-1-072	15-1-072	15-1-072	15-1-072:LP-AF-DIR	LT-AF-Z		347.5	g	-39.3	7.296e-06	69	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-072	15-1-072	15-1-072	15-1-072:LP-ARM	LT-AF-I			g		1.902e-04	70	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-072	15-1-072	15-1-072	15-1-072:LP-IRM	LT-IRM			g		3.967e-03	71	u	300	0	1.0	300
This study	DSDP Site 522	15-1-072	15-1-072	15-1-072	15-1-072:LP-X	LP-X	2.840e-07					72		300	10e-3	0	300
This study	DSDP Site 522	15-1-075	15-1-075	15-1-075	15-1-075:LP-AF-DIR	LT-AF-Z		347.3	g	-37	6.498e-06	73	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-075	15-1-075	15-1-075	15-1-075:LP-ARM	LT-AF-I			g		1.792e-04	74	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-075	15-1-075	15-1-075	15-1-075:LP-IRM	LT-IRM			g		3.710e-03	75	u	300	0	1.0	300
This study	DSDP Site 522	15-1-075	15-1-075	15-1-075	15-1-075:LP-X	LP-X	2.568e-07					76		300	10e-3	0	300
This study	DSDP Site 522	15-1-079	15-1-079	15-1-079	15-1-079:LP-AF-DIR	LT-AF-Z		359.5	g	-50.5	5.613e-06	77	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-079	15-1-079	15-1-079	15-1-079:LP-ARM	LT-AF-I			g		1.614e-04	78	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-079	15-1-079	15-1-079	15-1-079:LP-IRM	LT-IRM			g		3.483e-03	79	u	300	0	1.0	300
This study	DSDP Site 522	15-1-079	15-1-079	15-1-079	15-1-079:LP-X	LP-X	2.377e-07					80		300	10e-3	0	300
This study	DSDP Site 522	15-1-082	15-1-082	15-1-082	15-1-082:LP-AF-DIR	LT-AF-Z		13.7	g	-50.5	6.638e-06	81	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-082	15-1-082	15-1-082	15-1-082:LP-ARM	LT-AF-I			g		1.979e-04	82	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-082	15-1-082	15-1-082	15-1-082:LP-IRM	LT-IRM			g		4.106e-03	83	u	300	0	1.0	300
This study	DSDP Site 522	15-1-082	15-1-082	15-1-082	15-1-082:LP-X	LP-X	2.772e-07					84		300	10e-3	0	300
This study	DSDP Site 522	15-1-085	15-1-085	15-1-085	15-1-085:LP-AF-DIR	LT-AF-Z		1.8	g	-45.7	6.205e-06	85	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-085	15-1-085	15-1-085	15-1-085:LP-ARM	LT-AF-I			g		2.037e-04	86	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-085	15-1-085	15-1-085	15-1-085:LP-IRM	LT-IRM			g		3.868e-03	87	u	300	0	1.0	300
This study	DSDP Site 522	15-1-085	15-1-085	15-1-085	15-1-085:LP-X	LP-X	2.645e-07					88		300	10e-3	0	300
This study	DSDP Site 522	15-1-088	15-1-088	15-1-088	15-1-088:LP-AF-DIR	LT-AF-Z		9.7	g	-44.5	7.385e-06	89	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-088	15-1-088	15-1-088	15-1-088:LP-ARM	LT-AF-I			g		1.768e-04	90	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-088	15-1-088	15-1-088	15-1-088:LP-IRM	LT-IRM			g		3.523e-03	91	u	300	0	1.0	300
This study	DSDP Site 522	15-1-088	15-1-088	15-1-088	15-1-088:LP-X	LP-X	2.425e-07					92		300	10e-3	0	300
This study	DSDP Site 522	15-1-091	15-1-091	15-1-091	15-1-091:LP-AF-DIR	LT-AF-Z		4.8	g	-45	5.654e-06	93	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-091	15-1-091	15-1-091	15-1-091:LP-ARM	LT-AF-I			g		1.676e-04	94	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-091	15-1-091	15-1-091	15-1-091:LP-IRM	LT-IRM			g		3.100e-03	95	u	300	0	1.0	300
This study	DSDP Site 522	15-1-091	15-1-091	15-1-091	15-1-091:LP-X	LP-X	2.118e-07					96		300	10e-3	0	300
This study	DSDP Site 522	15-1-094	15-1-094	15-1-094	15-1-094:LP-AF-DIR	LT-AF-Z		11.9	g	-48.8	5.252e-06	97	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-094	15-1-094	15-1-094	15-1-094:LP-ARM	LT-AF-I			g		1.537e-04	98	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-094	15-1-094	15-1-094	15-1-094:LP-IRM	LT-IRM			g		2.837e-03	99	u	300	0	1.0	300
This study	DSDP Site 522	15-1-094	15-1-094	15-1-094	15-1-094:LP-X	LP-X	1.939e-07					100		300	10e-3	0	300
This study	DSDP Site 522	15-1-097	15-1-097	15-1-097	15-1-097:LP-AF-DIR	LT-AF-Z		357.1	g	-30.3	4.977e-06	101	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-097	15-1-097	15-1-097	15-1-097:LP-ARM	LT-AF-I			g		1.538e-04	102	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-097	15-1-097	15-1-097	15-1-097:LP-IRM	LT-IRM			g		2.901e-03	103	u	300	0	1.0	300
This study	DSDP Site 522	15-1-097	15-1-097	15-1-097	15-1-097:LP-X	LP-X	1.921e-07					104		300	10e-3	0	300
This study	DSDP Site 522	15-1-100	15-1-100	15-1-100	15-1-100:LP-AF-DIR	LT-AF-Z		16.4	g	-47.7	5.398e-06	105	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-100	15-1-100	15-1-100	15-1-100:LP-ARM	LT-AF-I			g		1.487e-04	106	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-100	15-1-100	15-1-100	15-1-100:LP-IRM	LT-IRM			g		2.777e-03	107	u	300	0	1.0	300
This study	DSDP Site 522	15-1-100	15-1-100	15-1-100	15-1-100:LP-X	LP-X	1.910e-07					108		300	10e-3	0	300
This study	DSDP Site 522	15-1-103	15-1-103	15-1-103	15-1-103:LP-AF-DIR	LT-AF-Z		17.6	g	-32.3	4.566e-06	109	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-103	15-1-103	15-1-103	15-1-103:LP-ARM	LT-AF-I			g		1.764e-04	110	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-103	15-1-103	15-1-103	15-1-103:LP-IRM	LT-IRM			g		3.295e-03	111	u	300	0	1.0	300
This study	DSDP Site 522	15-1-103	15-1-103	15-1-103	15-1-103:LP-X	LP-X	2.193e-07					112		300	10e-3	0	300
This study	DSDP Site 522	15-1-106	15-1-106	15-1-106	15-1-106:LP-AF-DIR	LT-AF-Z		7.6	g	-10.5	1.802e-06	113	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-106	15-1-106	15-1-106	15-1-106:LP-ARM	LT-AF-I			g		1.847e-04	114	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-106	15-1-106	15-1-106	15-1-106:LP-IRM	LT-IRM			g		3.438e-03	115	u	300	0	1.0	300
This study	DSDP Site 522	15-1-106	15-1-106	15-1-106	15-1-106:LP-X	LP-X	2.303e-07					116		300	10e-3	0	300
This study	DSDP Site 522	15-1-109	15-1-109	15-1-109	15-1-109:LP-AF-DIR	LT-AF-Z		15.7	g	22.6	1.461e-06	117	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-109	15-1-109	15-1-109	15-1-109:LP-ARM	LT-AF-I			g		1.713e-04	118	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-109	15-1-109	15-1-109	15-1-109:LP-IRM	LT-IRM			g		3.323e-03	119	u	300	0	1.0	300
This study	DSDP Site 522	15-1-109	15-1-109	15-1-109	15-1-109:LP-X	LP-X	2.212e-07					120		300	10e-3	0	300
This study	DSDP Site 522	15-1-113	15-1-113	15-1-113	15-1-113:LP-AF-DIR	LT-AF-Z		56.8	g	72.8	1.846e-06	121	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-113	15-1-113	15-1-113	15-1-113:LP-ARM	LT-AF-I			g		1.555e-04	122	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-113	15-1-113	15-1-113	15-1-113:LP-IRM	LT-IRM			g		3.098e-03	123	u	300	0	1.0	300
This study	DSDP Site 522	15-1-113	15-1-113	15-1-113	15-1-113:LP-X	LP-X	2.079e-07					124		300	10e-3	0	300
This study	DSDP Site 522	15-1-115	15-1-115	15-1-115	15-1-115:LP-AF-DIR	LT-AF-Z		344.2	g	-11.9	1.624e-06	125	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-115	15-1-115	15-1-115	15-1-115:LP-ARM	LT-AF-I			g		1.838e-04	126	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-115	15-1-115	15-1-115	15-1-115:LP-IRM	LT-IRM			g		3.296e-03	127	u	300	0	1.0	300
This study	DSDP Site 522	15-1-115	15-1-115	15-1-115	15-1-115:LP-X	LP-X	2.299e-07					128		300	10e-3	0	300
This study	DSDP Site 522	15-1-118	15-1-118	15-1-118	15-1-118:LP-AF-DIR	LT-AF-Z		3.2	g	66	1.428e-06	129	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-118	15-1-118	15-1-118	15-1-118:LP-ARM	LT-AF-I			g		1.689e-04	130	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-118	15-1-118	15-1-118	15-1-118:LP-IRM	LT-IRM			g		3.074e-03	131	u	300	0	1.0	300
This study	DSDP Site 522	15-1-118	15-1-118	15-1-118	15-1-118:LP-X	LP-X	2.056e-07					132		300	10e-3	0	300
This study	DSDP Site 522	15-1-122	15-1-122	15-1-122	15-1-122:LP-AF-DIR	LT-AF-Z		172.6	g	76.8	3.872e-06	133	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-122	15-1-122	15-1-122	15-1-122:LP-ARM	LT-AF-I			g		1.608e-04	134	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-122	15-1-122	15-1-122	15-1-122:LP-IRM	LT-IRM			g		3.061e-03	135	u	300	0	1.0	300
This study	DSDP Site 522	15-1-122	15-1-122	15-1-122	15-1-122:LP-X	LP-X	2.027e-07					136		300	10e-3	0	300
This study	DSDP Site 522	15-1-125	15-1-125	15-1-125	15-1-125:LP-AF-DIR	LT-AF-Z		179.0	g	58.9	6.481e-06	137	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-125	15-1-125	15-1-125	15-1-125:LP-ARM	LT-AF-I			g		1.639e-04	138	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-125	15-1-125	15-1-125	15-1-125:LP-IRM	LT-IRM			g		3.056e-03	139	u	300	0	1.0	300
This study	DSDP Site 522	15-1-125	15-1-125	15-1-125	15-1-125:LP-X	LP-X	2.048e-07					140		300	10e-3	0	300
This study	DSDP Site 522	15-1-128	15-1-128	15-1-128	15-1-128:LP-AF-DIR	LT-AF-Z		165.7	g	65.2	3.948e-06	141	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-128	15-1-128	15-1-128	15-1-128:LP-ARM	LT-AF-I			g		1.503e-04	142	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-128	15-1-128	15-1-128	15-1-128:LP-IRM	LT-IRM			g		2.754e-03	143	u	300	0	1.0	300
This study	DSDP Site 522	15-1-128	15-1-128	15-1-128	15-1-128:LP-X	LP-X	1.795e-07					144		300	10e-3	0	300
This study	DSDP Site 522	15-1-131	15-1-131	15-1-131	15-1-131:LP-AF-DIR	LT-AF-Z		114.4	g	72	2.781e-06	145	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-131	15-1-131	15-1-131	15-1-131:LP-ARM	LT-AF-I			g		1.359e-04	146	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-131	15-1-131	15-1-131	15-1-131:LP-IRM	LT-IRM			g		2.525e-03	147	u	300	0	1.0	300
This study	DSDP Site 522	15-1-131	15-1-131	15-1-131	15-1-131:LP-X	LP-X	1.702e-07					148		300	10e-3	0	300
This study	DSDP Site 522	15-1-134	15-1-134	15-1-134	15-1-134:LP-AF-DIR	LT-AF-Z		171.8	g	72.7	3.417e-06	149	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-134	15-1-134	15-1-134	15-1-134:LP-ARM	LT-AF-I			g		1.338e-04	150	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-134	15-1-134	15-1-134	15-1-134:LP-IRM	LT-IRM			g		2.514e-03	151	u	300	0	1.0	300
This study	DSDP Site 522	15-1-134	15-1-134	15-1-134	15-1-134:LP-X	LP-X	1.652e-07					152		300	10e-3	0	300
This study	DSDP Site 522	15-1-137	15-1-137	15-1-137	15-1-137:LP-AF-DIR	LT-AF-Z		189.5	g	73.2	3.300e-06	153	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-137	15-1-137	15-1-137	15-1-137:LP-ARM	LT-AF-I			g		1.473e-04	154	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-137	15-1-137	15-1-137	15-1-137:LP-IRM	LT-IRM			g		2.644e-03	155	u	300	0	1.0	300
This study	DSDP Site 522	15-1-137	15-1-137	15-1-137	15-1-137:LP-X	LP-X	1.747e-07					156		300	10e-3	0	300
This study	DSDP Site 522	15-1-140	15-1-140	15-1-140	15-1-140:LP-AF-DIR	LT-AF-Z		155.8	g	89.1	2.487e-06	157	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-140	15-1-140	15-1-140	15-1-140:LP-ARM	LT-AF-I			g		1.570e-04	158	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-140	15-1-140	15-1-140	15-1-140:LP-IRM	LT-IRM			g		2.883e-03	159	u	300	0	1.0	300
This study	DSDP Site 522	15-1-140	15-1-140	15-1-140	15-1-140:LP-X	LP-X	1.972e-07					160		300	10e-3	0	300
This study	DSDP Site 522	15-1-144	15-1-144	15-1-144	15-1-144:LP-AF-DIR	LT-AF-Z		198.6	g	72.3	2.520e-06	161	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-144	15-1-144	15-1-144	15-1-144:LP-ARM	LT-AF-I			g		1.471e-04	162	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-144	15-1-144	15-1-144	15-1-144:LP-IRM	LT-IRM			g		2.612e-03	163	u	300	0	1.0	300
This study	DSDP Site 522	15-1-144	15-1-144	15-1-144	15-1-144:LP-X	LP-X	1.754e-07					164		300	10e-3	0	300
This study	DSDP Site 522	15-1-147	15-1-147	15-1-147	15-1-147:LP-AF-DIR	LT-AF-Z		185.4	g	70	3.826e-06	165	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-147	15-1-147	15-1-147	15-1-147:LP-ARM	LT-AF-I			g		1.412e-04	166	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-147	15-1-147	15-1-147	15-1-147:LP-IRM	LT-IRM			g		2.639e-03	167	u	300	0	1.0	300
This study	DSDP Site 522	15-1-147	15-1-147	15-1-147	15-1-147:LP-X	LP-X	1.773e-07					168		300	10e-3	0	300
This study	DSDP Site 522	15-1-149	15-1-149	15-1-149	15-1-149:LP-AF-DIR	LT-AF-Z		313.1	g	78.8	3.481e-06	169	u	300	15e-3	0	300
This study	DSDP Site 522	15-1-149	15-1-149	15-1-149	15-1-149:LP-ARM	LT-AF-I			g		1.392e-04	170	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-1-149	15-1-149	15-1-149	15-1-149:LP-IRM	LT-IRM			g		2.640e-03	171	u	300	0	1.0	300
This study	DSDP Site 522	15-1-149	15-1-149	15-1-149	15-1-149:LP-X	LP-X	1.835e-07					172		300	10e-3	0	300
This study	DSDP Site 522	15-2-003	15-2-003	15-2-003	15-2-003:LP-AF-DIR	LT-AF-Z		152.8	g	46.9	5.823e-06	173	u	300	15e-3	0	300
This study	DSDP Site 522	15-2-003	15-2-003	15-2-003	15-2-003:LP-ARM	LT-AF-I			g		1.388e-04	174	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-2-003	15-2-003	15-2-003	15-2-003:LP-IRM	LT-IRM			g		2.701e-03	175	u	300	0	1.0	300
This study	DSDP Site 522	15-2-003	15-2-003	15-2-003	15-2-003:LP-X	LP-X	1.816e-07					176		300	10e-3	0	300
This study	DSDP Site 522	15-2-005	15-2-005	15-2-005	15-2-005:LP-AF-DIR	LT-AF-Z		149.9	g	50	8.244e-06	177	u	300	15e-3	0	300
This study	DSDP Site 522	15-2-005	15-2-005	15-2-005	15-2-005:LP-ARM	LT-AF-I			g		1.487e-04	178	u	300	80e-3	50e-6	300
This study	DSDP Site 522	15-2-005	15-2-005	15-2-005	15-2-005:LP-IRM	LT-IRM			g		3.094e-03	179	u	300	0	1.0	300
This study	DSDP Site 522	15-2-005	15-2-005	15-2-005	15-2-005:LP-X	LP-X	2.067e-07					180		300	10e-3	0	300
