tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_dec	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
This study	Snake River	sr21h	sr21	sr21h1	sr21h1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	423	K	-2.991	0.14	0.418	u	1.6	353.3	Recalculated from original measurements; supercedes published results.	l	20.3	0.244	0.248	-42.4	0.0001196	4.6	7	3	4e-05		-1		1.2	0.9048	-1
This study	Snake River	sr28b	sr28	sr28b1	sr28b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	623	K	-1.358	0.131	0.178	u	4.7	19.1	Recalculated from original measurements; supercedes published results.	l	1.1	0.685	0.517	12.3	5.434e-05	3.2	6	5	4e-05		-1		3.8	0.9322	-1
This study	Snake River	sr28c	sr28	sr28c1	sr28c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	848	723	K	-0.545	0.104	0.057	u	1.2	28.6	Recalculated from original measurements; supercedes published results.	l	1.1	0.788	0.524	22	2.181e-05	1.2	5	5	4e-05		3		5.4	0.9677	-1
This study	Snake River	sr28e	sr28	sr28e1	sr28e1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	673	K	-1.127	0.141	0.159	u	1.1	36.4	Recalculated from original measurements; supercedes published results.	l	10.5	0.665	0.493	28.7	4.509e-05	1.3	5	5	4e-05		-1		3.2	0.9412	-1
This study	Snake River	sr28f	sr28	sr28f1	sr28f1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	623	K	-1.035	0.122	0.126	u	1.4	30.3	Recalculated from original measurements; supercedes published results.	l	3	0.803	0.641	15.8	4.139e-05	1.5	6	5	4e-05		-1		4.9	0.9415	-1
This study	Snake River	sr28h	sr28	sr28h1	sr28h1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	848	723	K	-0.877	0.101	0.089	u	0.8	31.1	Recalculated from original measurements; supercedes published results.	l	7.9	0.805	0.54	26.7	3.509e-05	0.7	5	5	4e-05		3		5.7	0.9696	-1
This study	Snake River	sr29a	sr29	sr29a1	sr29a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-2.342	0.037	0.088	u	3.3	138.3	Recalculated from original measurements; supercedes published results.	l	30.1	0.215	0.208	48.9	9.368e-05	7.2	7	5	4e-05		-1		4.4	0.993	-1
This study	Snake River	sr29a	sr29	sr29a2	sr29a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	773	373	K	-2.474	0.049	0.12	u	1.8	132.9	Recalculated from original measurements; supercedes published results.	l	21.9	0.494	0.494	50.3	9.895e-05	3.8	9	5	4e-05		4		8.1	0.9836	-1
This study	Snake River	sr29b	sr29	sr29b1	sr29b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-2.012	0.021	0.042	u	2.6	155.8	Recalculated from original measurements; supercedes published results.	l	1.6	0.339	0.321	8.5	8.047e-05	4.7	6	5	4e-05		-1		10.4	0.9982	-1
This study	Snake River	sr29c	sr29	sr29c1	sr29c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-1.527	0.058	0.089	u	9.4	139.8	Recalculated from original measurements; supercedes published results.	l	8.3	0.197	0.199	17.3	6.107e-05	7.3	6	6	4e-05		-1		2.6	0.9865	-1
This study	Snake River	sr29g	sr29	sr29g1	sr29g1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	573	373	K	-1.963	0.11	0.217	u	0.9	150.8	Recalculated from original measurements; supercedes published results.	l	7	0.261	0.27	31.7	7.851e-05	3.7	5	5	4e-05		2		1.7	0.9638	-1
This study	Snake River	sr29h	sr29	sr29h1	sr29h1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-2.022	0.045	0.09	u	9.9	136.8	Recalculated from original measurements; supercedes published results.	l	20.6	0.186	0.187	39	8.088e-05	3.9	6	5	4e-05		-1		3.3	0.9921	-1
This study	Snake River	sr30a	sr30	sr30a1	sr30a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-1.238	0.046	0.057	u	0.4	184.4	Recalculated from original measurements; supercedes published results.	l	3.5	0.65	0.643	49.1	4.95e-05	1.4	5	5	4e-05		-1		10	0.9936	-1
This study	Snake River	sr30a	sr30	sr30a2	sr30a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	623	373	K	-1.211	0.034	0.041	u	1.3	189.7	Recalculated from original measurements; supercedes published results.	l	13.2	0.711	0.704	50.4	4.845e-05	1.4	6	5	4e-05		4		15.6	0.9954	-1
This study	Snake River	sr30c	sr30	sr30c1	sr30c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-1.417	0.066	0.093	u	4.6	198.4	Recalculated from original measurements; supercedes published results.	l	16.1	0.286	0.275	30.6	5.667e-05	5.9	7	5	4e-05		-1		3.5	0.9784	-1
This study	Snake River	sr30e	sr30	sr30e1	sr30e1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-1.64	0.036	0.058	u	7.5	198.5	Recalculated from original measurements; supercedes published results.	l	26.8	0.336	0.326	24.5	6.559e-05	4.4	6	5	4e-05		-1		7.5	0.9949	-1
This study	Snake River	sr30i	sr30	sr30i1	sr30i1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-1.81	0.102	0.184	u	5.7	216.5	Recalculated from original measurements; supercedes published results.	l	1.2	0.247	0.242	36.5	7.242e-05	7.6	7	5	4e-05		-1		2	0.9489	-1
This study	Snake River	sr31a	sr31	sr31a1	sr31a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-2.929	0.075	0.22	u	1	88.9	Recalculated from original measurements; supercedes published results.	l	9.7	0.209	0.213	85.7	0.0001172	2.2	7	5	4e-05		-1		2.2	0.9721	-1
This study	Snake River	sr31a	sr31	sr31a2	sr31a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	673	373	K	-2.908	0.066	0.191	u	2.7	96.8	Recalculated from original measurements; supercedes published results.	l	16.8	0.213	0.211	83.4	0.0001163	11	7	5	4e-05		2		2.5	0.9785	-1
This study	Snake River	sr31b	sr31	sr31b3	sr31b3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	673	373	K	-3	0.076	0.229	u	1.4	354.8	Recalculated from original measurements; supercedes published results.	l	4.9	0.209	0.209	70.3	0.00012	10.3	7	5	4e-05		2		2.1	0.9711	-1
This study	Snake River	sr31c	sr31	sr31c1	sr31c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	673	K	-2.414	0.078	0.188	u	0.8	73.1	Recalculated from original measurements; supercedes published results.	l	22.4	0.662	0.646	75.1	9.656e-05	1	5	4	4e-05		-1		6.2	0.982	-1
This study	Snake River	sr31d	sr31	sr31d1	sr31d1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-2.813	0.059	0.165	u	9.2	271.2	Recalculated from original measurements; supercedes published results.	l	3.3	0.234	0.242	75	0.0001125	4.8	7	4	4e-05		-1		3.1	0.9829	-1
This study	Snake River	sr31f	sr31	sr31f1	sr31f1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-2.634	0.097	0.254	u	23.5	109.2	Recalculated from original measurements; supercedes published results.	l	16.2	0.287	0.269	86.3	0.0001054	5.8	7	4	4e-05		-1		2.4	0.9539	-1
This study	Snake River	sr34b	sr34	sr34b1	sr34b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-1.92	0.05	0.096	u	2.6	34.5	Recalculated from original measurements; supercedes published results.	l	4.2	0.728	0.68	-33.4	7.681e-05	5.7	10	4	4e-05		-1		11.4	0.98	-1
This study	Snake River	sr34c	sr34	sr34c1	sr34c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-3.193	0.076	0.243	u	11.1	47.5	Recalculated from original measurements; supercedes published results.	l	30	0.207	0.209	-49.1	0.0001277	10.2	7	4	4e-05		-1		2	0.9713	-1
This study	Snake River	sr34f	sr34	sr34f3	sr34f3 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	848	773	K	-0.487	0.129	0.063	u	1.5	82.1	Recalculated from original measurements; supercedes published results.	l	7.7	0.449	0.226	-48.3	1.946e-05	2	4	5	4e-05		8		2.1	0.9671	-1
This study	Snake River	sr34j	sr34	sr34j1	sr34j1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-1.909	0.048	0.092	u	2.5	321.7	Recalculated from original measurements; supercedes published results.	l	11.3	0.708	0.683	-42.8	7.636e-05	3.9	10	4	4e-05		-1		11.9	0.9814	-1
This study	Snake River	sr34k	sr34	sr34k1	sr34k1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-2.128	0.051	0.109	u	2.7	296.4	Recalculated from original measurements; supercedes published results.	l	3.1	0.73	0.721	-45.3	8.51e-05	2.2	10	4	4e-05		-1		11.6	0.9791	-1
This study	Snake River	sr37a	sr37	sr37a2	sr37a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	673	K	-1.603	0.06	0.097	u	2.9	38.1	Recalculated from original measurements; supercedes published results.	l	4.5	0.351	0.29	-10.7	6.413e-05	3.3	5	4	4e-05		-1		3.9	0.9891	-1
This study	Snake River	sr37b	sr37	sr37b1	sr37b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	623	K	-0.27	0.078	0.021	u	8.3	41.3	Recalculated from original measurements; supercedes published results.	l	3.2	0.125	0.095	-15.2	1.081e-05	8	5	4	4e-05		-1		1.1	0.9817	-1
This study	Snake River	sr37e	sr37	sr37e1	sr37e1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	673	K	-0.186	0.304	0.057	u	11.2	40	Recalculated from original measurements; supercedes published results.	l	25	0.165	0.082	-7.8	7.455e-06	7.4	4	4	4e-05		-1		0.4	0.8238	-1
This study	Snake River	sr37j	sr37	sr37j1	sr37j1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	873	373	K	-0.989	0.017	0.017	u	0.7	45.3	Recalculated from original measurements; supercedes published results.	l	6.2	0.967	0.917	-38.5	3.957e-05	1.5	13	6	4e-05		-1		46.7	0.9967	-1
This study	Snake River	sr39a	sr39	sr39a1	sr39a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	673	K	-1.286	0.065	0.084	u	3.4	40.4	Recalculated from original measurements; supercedes published results.	l	5.5	0.394	0.385	-47.8	5.143e-05	1.9	4	4	4e-05		-1		3.9	0.9915	-1
This study	Snake River	sr39b	sr39	sr39b1	sr39b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	673	K	-2.869	0.05	0.144	u	9.1	54	Recalculated from original measurements; supercedes published results.	l	19.8	0.369	0.324	-0.9	0.0001148	6.7	4	4	4e-05		-1		4.9	0.9949	-1
This study	Snake River	sr39c	sr39	sr39c1	sr39c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	473	K	-2.194	0.085	0.187	u	8.9	53.4	Recalculated from original measurements; supercedes published results.	l	14	0.39	0.351	-13.5	8.777e-05	12.3	8	4	4e-05		-1		3.4	0.9568	-1
This study	Snake River	sr39i	sr39	sr39i1	sr39i1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-1.239	0.035	0.043	u	3	46.1	Recalculated from original measurements; supercedes published results.	l	14.9	0.642	0.62	15	4.954e-05	3	10	6	4e-05		-1		13.6	0.9902	-1
This study	Snake River	sr40a	sr40	sr40a1	sr40a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-1.73	0.033	0.058	u	3	32	Recalculated from original measurements; supercedes published results.	l	6.5	0.254	0.243	-29.2	6.92e-05	9.6	8	4	4e-05		-1		6.1	0.9933	-1
This study	Snake River	sr40c	sr40	sr40c2	sr40c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-2.01	0.06	0.12	u	5.7	51	Recalculated from original measurements; supercedes published results.	l	3.1	0.319	0.316	-57.5	8.04e-05	8	8	4	4e-05		-1		4.3	0.9788	-1
This study	Snake River	sr40d	sr40	sr40d1	sr40d1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	673	K	-0.81	0.184	0.149	u	22.6	6.6	Recalculated from original measurements; supercedes published results.	l	0.8	0.28	0.223	-38.9	3.241e-05	11	4	4	4e-05		-1		1	0.9332	-1
This study	Snake River	sr40g	sr40	sr40g1	sr40g1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-2.047	0.066	0.135	u	6.5	69.7	Recalculated from original measurements; supercedes published results.	l	21	0.24	0.242	-56.6	8.188e-05	6.2	7	4	4e-05		-1		2.9	0.9783	-1
This study	Snake River	sr01a	sr01	sr01a1	sr01a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	823	473	K				u		331	Recalculated from original measurements; supercedes published results.	l				64.4						1.8		9			0
This study	Snake River	sr01a	sr01	sr01a2	sr01a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-ZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	848	473	K				u		325.9	Recalculated from original measurements; supercedes published results.	l				62.1						0.9		10			0
This study	Snake River	sr01c	sr01	sr01c2	sr01c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	823	473	K				u		345	Recalculated from original measurements; supercedes published results.	l				64.3						3		9			0
This study	Snake River	sr01d	sr01	sr01d1	sr01d1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	798	373	K				u		326.9	Recalculated from original measurements; supercedes published results.	l				65.2						1.9		10			0
This study	Snake River	sr01e	sr01	sr01e2	sr01e2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		333	Recalculated from original measurements; supercedes published results.	l				67.1						1.9		10			0
This study	Snake River	sr01f	sr01	sr01f2	sr01f2 : LP-DIR-T	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	923	423	K				u		325.9	Recalculated from original measurements; supercedes published results.	l				66.1						1.6		15			0
This study	Snake River	sr01g	sr01	sr01g2	sr01g2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		324.4	Recalculated from original measurements; supercedes published results.	l				66.7						2.6		10			0
This study	Snake River	sr01i	sr01	sr01i1	sr01i1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	823	473	K				u		328.5	Recalculated from original measurements; supercedes published results.	l				62.5						2.8		9			0
This study	Snake River	sr03a	sr03	sr03a1	sr03a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-IZZI	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	823	473	K				u		146.5	Recalculated from original measurements; supercedes published results.	l				-54.2						3.8		8			0
This study	Snake River	sr03b	sr03	sr03b1	sr03b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	823	673	K				u		121.4	Recalculated from original measurements; supercedes published results.	l				-65.3						13.1		5			0
This study	Snake River	sr03c	sr03	sr03c1	sr03c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	823	723	K				u		159.8	Recalculated from original measurements; supercedes published results.	l				-60.3						0.6		4			0
This study	Snake River	sr03e	sr03	sr03e1	sr03e1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	823	473	K				u		150.9	Recalculated from original measurements; supercedes published results.	l				-61.2						2.9		9			0
This study	Snake River	sr03f	sr03	sr03f1	sr03f1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		147.2	Recalculated from original measurements; supercedes published results.	l				-55.8						0.7		9			0
This study	Snake River	sr03g	sr03	sr03g1	sr03g1 : LP-DIR-T	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	923	823	K				u		147.2	Recalculated from original measurements; supercedes published results.	l				-57.3						0.1		5			0
This study	Snake River	sr03h	sr03	sr03h2	sr03h2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.03	T				u		152.1	Recalculated from original measurements; supercedes published results.	l				-57						1.7		9			0
This study	Snake River	sr03k	sr03	sr03k1	sr03k1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.01	T				u		159.8	Recalculated from original measurements; supercedes published results.	l				-55.8						1.1		11			0
This study	Snake River	sr04d	sr04	sr04d2	sr04d2 : LP-DIR-T	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	798	473	K				u		10.8	Recalculated from original measurements; supercedes published results.	l				55.9						3.1		9			0
This study	Snake River	sr04e	sr04	sr04e1	sr04e1 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		27.9	Recalculated from original measurements; supercedes published results.	l				53.2						1.6		10			0
This study	Snake River	sr04f	sr04	sr04f2	sr04f2 : LP-DIR-AF	LP-DIR-AF:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	0.18	0.02	T				u		20.5	Recalculated from original measurements; supercedes published results.	l				54.8						2.6		9			0
This study	Snake River	sr04g	sr04	sr04g1	sr04g1 : LP-DIR-T	LP-DIR-T:SO-CMD-NORTH:DE-BFL:DA-DIR-GEO	798	473	K				u		11.4	Recalculated from original measurements; supercedes published results.	l				54.8						2.4		9			0
This study	Snake River	sr04h	sr04	sr04h3	sr04h3 : LP-DIR-T	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	848	523	K				u		11.5	Recalculated from original measurements; supercedes published results.	l				53.2						1.5		10			0
This study	Snake River	sr09b	sr09	sr09b2	sr09b2 : LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	0.16	0.01	T				u		18.3	Recalculated from original measurements; supercedes published results.	l				81.7						1.9		10			0
