tab 	er_ages
age	age_description	age_sigma	er_citation_names	er_expedition_name	er_location_name	er_timescale_citation_names	magic_method_codes	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type
35.2	95R-3, 82-85 to 95R-3, 106-109 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	894.8	0.12	Deflandrea sp. A sensu Brinkhuis et al., 2003 FO	Dinocyst event
44.8	95R-3, 82-85 to 95R-3, 106-109 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	894.8	0.12	Enneadocysta dictyostila FCO	Dinocyst event
45.8	95R-3, 82-85 to 95R-3, 106-109 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	894.8	0.12	Reticulatosphaera actinocoronata FO	Dinocyst event
45.8	95R-3, 82-85 to 95R-3, 106-109 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	894.8	0.12	Enneadocysta multicornuta FCO	Dinocyst event
45.35	95R-3, 82-85 to 95R-4, 4-7 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	894.87	0.15	Membranophoridium perforatum LO	Dinocyst event
48.4	98R-1, 80-83 to 98R-1, 100-103 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	920.73	0.1	Damassadinium crassimurata LO	Dinocyst event
49	98R-4, 60-63 to 98R-5, 0-3 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	924.36	0.02	Charlesdowniea edwardsii FO	Dinocyst event
49.5	98R-5, 0-3 to 99R-1, 2-5 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	926.9	2.52	Charlesdowniea coleothrypta FO	Dinocyst event
49.427	100R-1, 82 to 102R-1, 60 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-PMAG-POL	949.22	9.3	C22n (o)	magnetic reversal boundary
49.5	99R-2, 40-43 to 99R-2, 120-123 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	931.68	0.4	Cleistosphaeridium diversispinosum FO	Dinocyst event
50.4	99R-3, 40-43 to 99R-3, 80-83 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	932.68	0.2	Wilsonidium ornatum FO	Dinocyst event
48.6	100R-1, 24-27 to 100R-1, 84-87 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	939.64	0.3	Arachnodinium antarcticum FO	Dinocyst event
51.9	100R-1, 24-27 to 100R-1, 84-87 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	939.64	0.3	Membranophoridium perforatum FO	Dinocyst event
48.6	99R-3, 80-83 to 101R-1, 10-12 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	940.92	8	Apectodinium homomorphum LO	Dinocyst event
51.1	101R-1, 10-12 to 101R-1, 40-42 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	949.07	0.15	Palaeocystodinium golzowense LCO	Dinocyst event
51.1	101R-1, 10-12 to 101R-1, 40-42 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	949.07	0.15	Charlesdowniea columna FO	Dinocyst event
51.9	101R-1, 40-42 to 101R-1, 60-62 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	949.3	0.1	Charlesdowniea cf. clathrata FO	Dinocyst event
49.5	101R-1, 80-82 to 101R-1, 100-101 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	949.7	0.1	Damassadinium crassimurata FO	Dinocyst event
51.5	101R-2, 10-12 to 101R-2, 30-32 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	950.5	0.1	Homotryblium tasmaniense FO	Dinocyst event
52.3	101R-2, 70-78 to 101R-2, 90-92 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	951.1	0.1	Wetzeliella samlandica FO	Dinocyst event
52.648	102R-1, 60 to 103R-1, 65 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-PMAG-POL	963.83	4.83	C24n.1n (y)	magnetic reversal boundary
53.004	104R-1, 95 to 104R-1, 100 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-PMAG-POL	978.58	0.02	C24n.1n (o)	magnetic reversal boundary
53.286	104R-6, 65 to 105R-1, 10 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-PMAG-POL	986.33	0.97	C24n.3n (y)	magnetic reversal boundary
53.29	104R-6, 70-72 to 105R-1, 5-7 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	986.33	0.92	Dracodinium waipawaense FO	Dinocyst event
53.29	105R-3, 120-121 to 105R-4, 0-2 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	991.42	0.09	Eisenackia circumtabulata LO	Dinocyst event
53.55	105R-6, 5-7 to 105R-6, 25-27 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	994.15	0.1	Schematophora obscura FO	Dinocyst event
53.808	106R-1, 95 to 106R-1, 100 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-PMAG-POL	997.78	0.02	C24n.3n (o)	magnetic reversal boundary
54.74	106R-3, 45-48 to 106R-3, 55-58 ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	999.79	0.05	Samlandia delicata FO	Dinocyst event
51.7	106R-CC to 106R-CC ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	999.98	0	Acarinina wilcoxensis LO	Foraminiferal event
53.9	106R-CC to Base of Hole ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	999.98	0.11	Impagidinium cassiculum FO	Dinocyst event
55.55	106R-CC to 106R-CC ; Depth scale in mbsf.		This study	318	U1356A	Gradstein et al. 2004 : This study	GM-FOSSIL	999.98	0	Acarinina wilcoxensis FO	Foraminiferal event
