tab 	pmag_results
antipodal	average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_int	average_int_n	average_int_sigma	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	percent_reversed	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
	0.591	0.015	Ma	4.2	163.3	-62.2				325.7	42.4556		245.636		5	5	4.9877	ND	ND	i	This study	Snake River	sr24	sr24a1 : sr24b3 : sr24c2 : sr24d1 : sr24i2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr24	Site VGP.	ND	ND	0				6.6	5	-77.8	346.1	5
	0.291	0.016	Ma	2.6	2.9	61.9				872.4	42.4892		245.6		5	5	4.9954	ND	ND	i	This study	Snake River	sr25	sr25b2 : sr25d2 : sr25e2 : sr25f3 : sr25h1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr25	Site VGP.	ND	ND	0				4.1	3.1	87.8	318.1	5
	1.73	0.01	Ma	4.9	358.6	62.5				153.9	42.4619		245.615		7	7	6.9643	ND	ND	i	This study	Snake River	sr26	sr26a3 : sr26b2 : sr26c3 : sr26e2 : sr26e3 : sr26f1 : sr26i1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr26	Site VGP.	ND	ND	0				7.8	5.8	88.3	209.7	7
	2.94	0.025	Ma	3.2	197.4	-51.2				296.1	42.6529		246.988		8	8	7.9764	ND	ND	i	This study	Snake River	sr28	sr28a1 : sr28b1 : sr28c1 : sr28c2 : sr28e1 : sr28f1 : sr28g2 : sr28h1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr28	Site VGP.	ND	ND	0				3.8	3.8	-72.5	189.3	8
	1	1	Ma	1.6	9.5	62.8				1253.3	43.305		247.732		8	8	7.9944	ND	ND	i	This study	Snake River	sr29	sr29a1 : sr29a2 : sr29b1 : sr29c1 : sr29e3 : sr29g1 : sr29g2 : sr29h1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr29	Site VGP.	ND	ND	0				2.5	1.9	83.1	326.9	8
	5.75	0.125	Ma	2.7	7.5	66.7	4.88e-05	2	1.7e-06	488.7	43.3682		247.345		7	7	6.9877	ND	ND	i	This study	Snake River	sr30	sr30a1 : sr30a2 : sr30b2 : sr30c1 : sr30d2 : sr30e1 : sr30i1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI		DE-SITE	sr30	Site VGP.	ND	ND	0	8.11e+23	1.33e+23		5	3.3	82.2	286	7
	0.184	0.014	Ma	1.3	23.2	54				1820.7	43.4213		247.256		8	8	7.9962	ND	ND	i	This study	Snake River	sr31	sr31a1 : sr31a2 : sr31b1 : sr31b3 : sr31c1 : sr31d1 : sr31f1 : sr31h2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr31	Site VGP.	ND	ND	0				1.6	1.6	70	355.8	8
	0.191	0.008	Ma	2.4	205.8	-49.4	7.85e-05	3	4.7e-06	642.1	43.8859		247.199		7	7	6.9914	ND	ND	i	This study	Snake River	sr34	sr34a1 : sr34c1 : sr34f2 : sr34f3 : sr34i3 : sr34j1 : sr34k1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI		DE-SITE	sr34	Site VGP.	ND	ND	0	1.3e+24	7.8e+22		2.7	2.9	-65.5	182.3	7
	0.124	0.039	Ma	5.7	197.6	-65.5				138.9	43.8427		247.376		6	6	5.964	ND	ND	i	This study	Snake River	sr36	sr36a2 : sr36b1 : sr36c1 : sr36d1 : sr36e1 : sr36i2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr36	Site VGP.	ND	ND	0				9.9	7	-77.2	133.9	6
	1	1	Ma	5.2	188.1	-47.2	5.02e-05	2	2.7e-06	168.2	43.5749		248.266		6	6	5.9703	ND	ND	i	This study	Snake River	sr39	sr39a1 : sr39b1 : sr39g3 : sr39h3 : sr39i1 : sr39j2	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T:LP-PI-ALT-PTRM:LP-PI-TRM-ZI		DE-SITE	sr39	Site VGP.	ND	ND	0	8.32e+23	2.2e+22		5.5	6.3	-73.5	222.4	6
	1	1	Ma	4.2	192.9	-60.7				335	44.1566		248.574		5	5	4.9881	ND	ND	i	This study	Snake River	sr40	sr40a1 : sr40c2 : sr40e1 : sr40f3 : sr40g1	ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T		DE-SITE	sr40	Site VGP.	ND	ND	0				6.2	5.2	-80.3	168.7	5
	1.5055	1.6253	Ma	7.7	6.1	59.6				30.2	42.8154	0.346	245.9077	0.9269	13		12.602	ND	ND	a	This study	Snake River	sr01 : sr04 : sr09 : sr11 : sr12 : sr16 : sr22 : sr23 : sr25 : sr26 : sr29 : sr30 : sr31		ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	0	DE-SITE : NPOLE	Normal Pole	Mean of normal directions.	ND	ND				9.1			86.2	340.8	13
	1.0757	0.91686	Ma	8.7	185.1	-58.8				41.9	43.225	0.7166	246.95	1.1686	8		7.833	ND	ND	a	This study	Snake River	sr03 : sr21 : sr24 : sr28 : sr34 : sr36 : sr39 : sr40		ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	100	DE-SITE : RPOLE	Reverse pole	Mean of reverse directions.	ND	ND				11.7			-85.5	199.3	8
177.2	1.3418	1.3874	Ma	5.4	5.7	59.3				35.4	42.9714	0.5414	246.3048	1.1236	21		20.4344	ND	ND	a	This study	Snake River	sr01 : sr03 : sr04 : sr09 : sr11 : sr12 : sr16 : sr21 : sr22 : sr23 : sr24 : sr25 : sr26 : sr28 : sr29 : sr30 : sr31 : sr34 : sr36 : sr39 : sr40		ND	GM-ARAR-AP:LP-DC5:LP-DIR-AF:LP-DIR-T	38	DE-SITE	Grand Mean pole	Grand Mean of all directions.	+	ND				6.7			86.1	357	21
