tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	measurement_flag	magic_method_codes	measurement_sd_y	measurement_sd_x	er_citation_names	treatment_dc_field_theta	magic_software_packages	measurement_dec	er_analyst_mail_names	treatment_dc_field_phi	treatment_temp	measurement_standard	measurement_temp	measurement_csd	treatment_ac_field	magic_instrument_codes	measurement_magn_moment	treatment_dc_field	measurement_description	measurement_positions	measurement_inc	measurement_sd_z
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	19	g	LT-T-Z:LP-DIR-T	8.36e-10	1.26e-09	This study		pmagpy-3.2.1	072.8			833.0		273	0.7	0	hargrave 2014-12-06 11:57:52	1.14e-07	0		1	-66.7	2.61e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	20	g	LT-T-Z:LP-DIR-T	6.62e-10	1.12e-09	This study		pmagpy-3.2.1	080.1			838.0		273	0.6	0	hargrave 2014-12-08 15:18:37	1.10e-07	0		1	-66.9	5.56e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	21	g	LT-T-Z:LP-DIR-T	7.31e-10	1.35e-09	This study		pmagpy-3.2.1	078.7			843.0		273	0.8	0	hargrave 2014-12-08 22:11:29	1.08e-07	0		1	-66.2	7.95e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	22	g	LT-T-Z:LP-DIR-T	1.00e-09	2.28e-09	This study		pmagpy-3.2.1	084.0			846.0		273	1.4	0	hargrave 2015-01-12 11:02:24	1.05e-07	0		1	-67.5	5.65e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	23	g	LT-T-Z:LP-DIR-T	1.08e-09	2.54e-09	This study		pmagpy-3.2.1	081.2			849.0		273	1.5	0	hargrave 2015-01-14 14:20:25	1.03e-07	0		1	-66.7	5.64e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	24	g	LT-T-Z:LP-DIR-T	1.24e-09	2.21e-09	This study		pmagpy-3.2.1	085.7			852.0		273	1.4	0	hargrave 2015-01-15 14:35:19	1.01e-07	0		1	-67.4	7.59e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	25	g	LT-T-Z:LP-DIR-T	6.58e-10	2.74e-09	This study		pmagpy-3.2.1	089.6			855.0		273	1.6	0	hargrave 2015-01-18 12:57:56	1.02e-07	0		1	-67.5	7.00e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	26	g	LT-T-Z:LP-DIR-T	7.64e-10	1.06e-09	This study		pmagpy-3.2.1	087.5			858.0		273	0.7	0	hargrave 2015-01-20 12:16:30	9.91e-08	0		1	-66.4	6.51e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	27	g	LT-T-Z:LP-DIR-T	1.22e-09	1.42e-09	This study		pmagpy-3.2.1	088.4			863.0		273	1.0	0	hargrave 2015-02-10 17:23:31	9.79e-08	0		1	-67.4	5.05e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	28	g	LT-T-Z:LP-DIR-T	1.22e-09	1.19e-09	This study		pmagpy-3.2.1	094.8			883.0		273	1.0	0	hargrave 2015-02-11 17:21:10	9.37e-08	0		1	-67.9	4.10e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	29	g	LT-T-Z:LP-DIR-T	1.15e-09	9.09e-10	This study		pmagpy-3.2.1	102.3			903.0		273	0.9	0	hargrave 2015-02-12 15:33:34	8.44e-08	0		1	-67.2	5.94e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	30	g	LT-T-Z:LP-DIR-T	6.64e-10	1.16e-09	This study		pmagpy-3.2.1	108.1			923.0		273	1.0	0	hargrave 2015-02-13 17:49:53	7.68e-08	0		1	-66.6	5.27e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	31	g	LT-T-Z:LP-DIR-T	5.40e-10	7.58e-10	This study		pmagpy-3.2.1	106.8			933.0		273	0.8	0	hargrave 2015-02-17 11:25:45	6.02e-08	0		1	-65.7	3.30e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	32	g	LT-T-Z:LP-DIR-T	3.79e-10	5.19e-10	This study		pmagpy-3.2.1	104.4			943.0		273	1.3	0	hargrave 2015-02-18 09:43:40	2.82e-08	0		1	-66.1	2.09e-10
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	33	g	LT-T-Z:LP-DIR-T	6.41e-11	9.64e-11	This study		pmagpy-3.2.1	113.9			953.0		273	1.4	0	hargrave 2015-02-19 12:52:13	4.99e-09	0		1	-55.4	6.39e-11
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	1	g	LT-NO:LP-DIR-T	4.00e-08	3.14e-08	This study		pmagpy-3.2.1	46.5			273		273	2.6	0		1.12e-06	0		1	-50.4	9.82e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	2	g	LT-LT-Z:LP-DIR-T	3.25e-08	2.20e-08	This study		pmagpy-3.2.1	46.3			77		273	2.0	0		1.16e-06	0		1	-50.9	1.09e-08
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	3	g	LT-T-Z:LP-DIR-T	1.88e-08	8.96e-09	This study		pmagpy-3.2.1	44.8			373.0		273	1.0	0		1.33e-06	0		1	-51.6	1.11e-08
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	4	g	LT-T-Z:LP-DIR-T	4.26e-08	2.83e-08	This study		pmagpy-3.2.1	043.8			423.0		273	2.6	0	hargrave 2014-10-22 15:54:56	1.16e-06	0		1	-51.8	9.49e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	5	g	LT-T-Z:LP-DIR-T	2.78e-08	1.89e-08	This study		pmagpy-3.2.1	043.6			473.0		273	1.9	0	hargrave 2014-10-27 16:21:23	1.05e-06	0		1	-51.0	7.43e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	6	g	LT-T-Z:LP-DIR-T	3.76e-08	3.14e-08	This study		pmagpy-3.2.1	045.6			523.0		273	3.7	0	hargrave 2014-10-28 13:44:04	7.52e-07	0		1	-51.0	6.48e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	7	g	LT-T-Z:LP-DIR-T	1.47e-08	1.28e-08	This study		pmagpy-3.2.1	050.3			573.0		273	2.5	0	hargrave 2014-10-28 20:41:45	4.57e-07	0		1	-50.2	3.34e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	8	g	LT-T-Z:LP-DIR-T	6.53e-09	6.51e-09	This study		pmagpy-3.2.1	051.3			623.0		273	2.4	0	hargrave 2014-10-29 20:54:34	2.19e-07	0		1	-48.8	1.26e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	9	g	LT-T-Z:LP-DIR-T	4.98e-09	5.32e-09	This study		pmagpy-3.2.1	053.2			673.0		273	2.5	0	hargrave 2014-11-03 17:14:38	1.67e-07	0		1	-48.1	1.13e-09
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	10	g	LT-T-Z:LP-DIR-T	1.53e-09	1.25e-09	This study		pmagpy-3.2.1	053.9			698.0		273	0.8	0	hargrave 2014-11-04 12:05:10	1.38e-07	0		1	-47.3	7.89e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	11	g	LT-T-Z:LP-DIR-T	2.76e-09	2.22e-09	This study		pmagpy-3.2.1	057.1			723.0		273	1.7	0	hargrave 2014-11-10 12:54:47	1.18e-07	0		1	-45.6	7.35e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	12	g	LT-T-Z:LP-DIR-T	2.36e-09	2.09e-09	This study		pmagpy-3.2.1	059.6			748.0		273	1.9	0	hargrave 2014-11-10 22:13:28	9.94e-08	0		1	-42.6	9.36e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	13	g	LT-T-Z:LP-DIR-T	2.99e-09	3.95e-09	This study		pmagpy-3.2.1	065.7			773.0		273	3.4	0	hargrave 2014-11-13 11:47:43	8.35e-08	0		1	-40.9	8.86e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	14	g	LT-T-Z:LP-DIR-T	1.73e-09	3.33e-09	This study		pmagpy-3.2.1	067.1			788.0		273	3.0	0	hargrave 2014-11-17 17:28:20	7.25e-08	0		1	-38.7	5.83e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	15	g	LT-T-Z:LP-DIR-T	3.52e-10	6.35e-10	This study		pmagpy-3.2.1	068.7			803.0		273	0.7	0	hargrave 2014-11-24 18:19:01	6.70e-08	0		1	-37.4	5.21e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	16	g	LT-T-Z:LP-DIR-T	3.27e-10	4.17e-10	This study		pmagpy-3.2.1	069.2			818.0		273	0.5	0	hargrave 2014-12-01 17:00:52	6.56e-08	0		1	-36.7	4.84e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	17	g	LT-T-Z:LP-DIR-T	3.20e-10	1.61e-09	This study		pmagpy-3.2.1	070.3			823.0		273	1.5	0	hargrave 2014-12-02 00:46:50	6.27e-08	0		1	-35.7	4.23e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	18	g	LT-T-Z:LP-DIR-T	6.07e-10	6.98e-10	This study		pmagpy-3.2.1	073.5			828.0		273	0.9	0	hargrave 2014-12-05 13:42:16	5.59e-08	0		1	-33.0	4.07e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	19	g	LT-T-Z:LP-DIR-T	2.40e-10	1.15e-09	This study		pmagpy-3.2.1	075.5			833.0		273	1.3	0	hargrave 2014-12-06 11:59:31	5.14e-08	0		1	-33.1	3.89e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	20	g	LT-T-Z:LP-DIR-T	1.65e-10	5.60e-10	This study		pmagpy-3.2.1	072.8			838.0		273	0.7	0	hargrave 2014-12-08 15:20:12	4.91e-08	0		1	-32.9	3.15e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	21	g	LT-T-Z:LP-DIR-T	2.71e-10	7.54e-10	This study		pmagpy-3.2.1	074.5			843.0		273	1.0	0	hargrave 2014-12-08 22:13:06	4.54e-08	0		1	-34.0	2.57e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	22	g	LT-T-Z:LP-DIR-T	3.39e-10	1.14e-09	This study		pmagpy-3.2.1	078.8			846.0		273	1.5	0	hargrave 2015-01-12 11:03:59	4.43e-08	0		1	-32.9	3.74e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	23	g	LT-T-Z:LP-DIR-T	2.38e-10	5.72e-10	This study		pmagpy-3.2.1	076.7			849.0		273	0.8	0	hargrave 2015-01-14 14:21:59	4.29e-08	0		1	-32.8	2.92e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	24	g	LT-T-Z:LP-DIR-T	2.78e-10	1.05e-09	This study		pmagpy-3.2.1	077.3			852.0		273	1.5	0	hargrave 2015-01-15 14:36:53	4.17e-08	0		1	-32.4	2.36e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	25	g	LT-T-Z:LP-DIR-T	5.23e-10	2.34e-09	This study		pmagpy-3.2.1	080.0			855.0		273	3.4	0	hargrave 2015-01-18 12:59:19	4.07e-08	0		1	-31.8	3.76e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	26	g	LT-T-Z:LP-DIR-T	4.01e-10	5.81e-10	This study		pmagpy-3.2.1	079.6			858.0		273	1.0	0	hargrave 2015-01-20 12:17:56	3.86e-08	0		1	-31.2	3.20e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	27	g	LT-T-Z:LP-DIR-T	7.32e-10	2.90e-09	This study		pmagpy-3.2.1	078.9			863.0		273	4.5	0	hargrave 2015-02-10 17:25:23	3.77e-08	0		1	-30.8	1.58e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	28	g	LT-T-Z:LP-DIR-T	3.69e-10	5.51e-10	This study		pmagpy-3.2.1	084.8			883.0		273	1.1	0	hargrave 2015-02-11 17:23:32	3.17e-08	0		1	-27.2	2.06e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	29	g	LT-T-Z:LP-DIR-T	2.18e-10	5.27e-10	This study		pmagpy-3.2.1	089.5			903.0		273	1.3	0	hargrave 2015-02-12 15:35:25	2.74e-08	0		1	-20.5	2.97e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	30	g	LT-T-Z:LP-DIR-T	5.53e-10	4.37e-10	This study		pmagpy-3.2.1	091.4			923.0		273	1.4	0	hargrave 2015-02-13 17:51:30	2.51e-08	0		1	-19.7	3.72e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	31	g	LT-T-Z:LP-DIR-T	3.33e-10	6.58e-10	This study		pmagpy-3.2.1	094.7			933.0		273	1.8	0	hargrave 2015-02-17 11:27:15	2.19e-08	0		1	-18.5	2.26e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	32	g	LT-T-Z:LP-DIR-T	2.31e-10	3.92e-10	This study		pmagpy-3.2.1	088.9			943.0		273	1.9	0	hargrave 2015-02-18 09:45:10	1.42e-08	0		1	-20.2	2.69e-10
Z35.2a	Z35.2	Z35.	locale	Z35.2a:LP-DIR-T	33	g	LT-T-Z:LP-DIR-T	7.04e-11	1.27e-10	This study		pmagpy-3.2.1	086.8			953.0		273	2.0	0	hargrave 2015-02-19 12:53:47	3.86e-09	0		1	-28.3	2.48e-11
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	1	g	LT-NO:LP-DIR-T	1.04e-08	1.31e-08	This study		pmagpy-3.2.1	200.8			273		273	0.8	0		1.20e-06	0		1	-72.0	6.25e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	2	g	LT-LT-Z:LP-DIR-T	6.09e-09	1.64e-08	This study		pmagpy-3.2.1	204.4			77		273	0.8	0		1.24e-06	0		1	-71.7	7.00e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	3	g	LT-T-Z:LP-DIR-T	1.53e-08	2.89e-08	This study		pmagpy-3.2.1	204.2			373.0		273	1.4	0		1.41e-06	0		1	-71.4	9.78e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	4	g	LT-T-Z:LP-DIR-T	6.67e-09	1.59e-08	This study		pmagpy-3.2.1	203.4			423.0		273	0.8	0	hargrave 2014-10-22 15:56:39	1.20e-06	0		1	-71.2	4.70e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	5	g	LT-T-Z:LP-DIR-T	6.07e-09	1.43e-08	This study		pmagpy-3.2.1	204.3			473.0		273	0.8	0	hargrave 2014-10-27 16:23:12	1.09e-06	0		1	-71.6	5.22e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	6	g	LT-T-Z:LP-DIR-T	2.68e-08	3.76e-09	This study		pmagpy-3.2.1	206.4			523.0		273	1.9	0	hargrave 2014-10-28 13:46:02	8.29e-07	0		1	-70.9	4.05e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	7	g	LT-T-Z:LP-DIR-T	4.95e-09	1.91e-09	This study		pmagpy-3.2.1	216.7			573.0		273	0.6	0	hargrave 2014-10-28 20:43:28	4.91e-07	0		1	-71.1	1.42e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	8	g	LT-T-Z:LP-DIR-T	1.44e-09	1.74e-09	This study		pmagpy-3.2.1	220.4			623.0		273	0.5	0	hargrave 2014-10-29 20:56:10	2.37e-07	0		1	-70.3	6.53e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	9	g	LT-T-Z:LP-DIR-T	9.03e-10	1.13e-09	This study		pmagpy-3.2.1	223.1			673.0		273	0.4	0	hargrave 2014-11-03 17:16:16	1.75e-07	0		1	-69.3	4.59e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	10	g	LT-T-Z:LP-DIR-T	1.14e-09	6.97e-10	This study		pmagpy-3.2.1	226.1			698.0		273	0.5	0	hargrave 2014-11-04 12:06:45	1.47e-07	0		1	-67.9	4.77e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	11	g	LT-T-Z:LP-DIR-T	6.21e-10	6.41e-10	This study		pmagpy-3.2.1	232.2			723.0		273	0.4	0	hargrave 2014-11-10 12:56:31	1.27e-07	0		1	-67.4	6.52e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	12	g	LT-T-Z:LP-DIR-T	5.24e-10	2.75e-09	This study		pmagpy-3.2.1	237.0			748.0		273	1.6	0	hargrave 2014-11-10 22:15:06	1.08e-07	0		1	-66.4	9.05e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	13	g	LT-T-Z:LP-DIR-T	7.52e-10	4.51e-09	This study		pmagpy-3.2.1	239.9			773.0		273	2.9	0	hargrave 2014-11-13 11:49:17	9.09e-08	0		1	-66.3	1.10e-09
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	14	g	LT-T-Z:LP-DIR-T	5.09e-10	2.47e-09	This study		pmagpy-3.2.1	241.3			788.0		273	1.9	0	hargrave 2014-11-17 17:29:58	7.92e-08	0		1	-63.3	5.60e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	15	g	LT-T-Z:LP-DIR-T	1.38e-09	7.70e-10	This study		pmagpy-3.2.1	243.8			803.0		273	1.3	0	hargrave 2014-11-24 18:20:46	7.32e-08	0		1	-62.2	4.71e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	16	g	LT-T-Z:LP-DIR-T	1.03e-09	6.63e-10	This study		pmagpy-3.2.1	246.2			818.0		273	1.2	0	hargrave 2014-12-01 17:02:30	7.02e-08	0		1	-60.5	7.77e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	17	g	LT-T-Z:LP-DIR-T	6.15e-10	1.21e-09	This study		pmagpy-3.2.1	243.9			823.0		273	1.3	0	hargrave 2014-12-02 00:48:29	6.62e-08	0		1	-60.8	7.28e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	18	g	LT-T-Z:LP-DIR-T	4.57e-10	1.46e-09	This study		pmagpy-3.2.1	249.4			828.0		273	1.6	0	hargrave 2014-12-05 13:44:45	5.84e-08	0		1	-59.4	5.85e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	19	g	LT-T-Z:LP-DIR-T	7.19e-10	3.22e-10	This study		pmagpy-3.2.1	250.2			833.0		273	1.0	0	hargrave 2014-12-06 12:02:05	5.23e-08	0		1	-58.2	5.62e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	20	g	LT-T-Z:LP-DIR-T	7.20e-10	4.54e-10	This study		pmagpy-3.2.1	253.2			838.0		273	1.3	0	hargrave 2014-12-08 15:22:41	4.87e-08	0		1	-57.9	7.35e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	21	g	LT-T-Z:LP-DIR-T	7.83e-10	3.61e-10	This study		pmagpy-3.2.1	254.6			843.0		273	1.4	0	hargrave 2014-12-08 22:14:48	4.64e-08	0		1	-57.3	7.55e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	22	g	LT-T-Z:LP-DIR-T	4.78e-10	2.27e-09	This study		pmagpy-3.2.1	256.1			846.0		273	3.2	0	hargrave 2015-01-12 11:05:30	4.28e-08	0		1	-55.6	6.24e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	23	g	LT-T-Z:LP-DIR-T	5.21e-10	7.39e-10	This study		pmagpy-3.2.1	254.4			849.0		273	1.4	0	hargrave 2015-01-14 14:23:37	4.12e-08	0		1	-56.1	5.87e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	24	g	LT-T-Z:LP-DIR-T	5.00e-10	1.04e-09	This study		pmagpy-3.2.1	252.7			852.0		273	2.0	0	hargrave 2015-01-15 14:38:32	3.81e-08	0		1	-56.3	6.97e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	25	g	LT-T-Z:LP-DIR-T	7.83e-10	1.22e-09	This study		pmagpy-3.2.1	258.8			855.0		273	2.2	0	hargrave 2015-01-18 13:00:44	3.78e-08	0		1	-55.3	3.84e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	26	g	LT-T-Z:LP-DIR-T	5.92e-10	1.36e-09	This study		pmagpy-3.2.1	260.1			858.0		273	2.5	0	hargrave 2015-01-20 12:19:24	3.42e-08	0		1	-56.0	2.67e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	27	g	LT-T-Z:LP-DIR-T	6.74e-10	5.62e-10	This study		pmagpy-3.2.1	257.0			863.0		273	1.7	0	hargrave 2015-02-10 17:27:18	3.33e-08	0		1	-56.2	5.78e-10
Z35.3a	Z35.3	Z35.	locale	Z35.3a:LP-DIR-T	28	g	LT-T-Z:LP-DIR-T	6.02e-10	2.98e-10	This study		pmagpy-3.2.1	264.3			883.0		273	1.9	0	hargrave 2015-02-11 17:25:27	2.76e-08	0		1	-49.2	6.94e-10
