tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
Lisa Tauxe	This study	McMurdo	mc100d	mc100	mc100d1	mc100d1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.01	T					A	u		1.8	l					-75.5						1.9		10			0
Lisa Tauxe	This study	McMurdo	mc100e	mc100	mc100e1	mc100e1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		13.4	l					-77.1						1.6		13			0
Lisa Tauxe	This study	McMurdo	mc100e	mc100	mc100e2	mc100e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	673	K					A	u		87.5	p					4						2.7		11			0
Lisa Tauxe	This study	McMurdo	mc100f	mc100	mc100f2	mc100f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	573	K					A	u		71.8	p					5.7						3.3		13			0
Lisa Tauxe	This study	McMurdo	mc100g	mc100	mc100g1	mc100g1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		3.9	l					-80.5						1.5		11			0
Lisa Tauxe	This study	McMurdo	mc100g	mc100	mc100g2	mc100g2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	843	273	K					A	u		137.6	p					-7						10.3		17			0
Lisa Tauxe	This study	McMurdo	mc100h	mc100	mc100h2	mc100h2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		5.8	l					-77.7						1.9		11			0
Lisa Tauxe	This study	McMurdo	mc101a	mc101	mc101a1	mc101a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		39.7	l					-79.3						1.6		11			0
Lisa Tauxe	This study	McMurdo	mc101b	mc101	mc101b1	mc101b1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		69.9	l					-84.7						2		12			0
Lisa Tauxe	This study	McMurdo	mc101c	mc101	mc101c1	mc101c1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.01	T					A	u		59.4	l					-82.5						2.1		11			0
Lisa Tauxe	This study	McMurdo	mc101d	mc101	mc101d1	mc101d1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.1	0.005	T					A	u		30.1	l					-77.7						1.1		10			0
Lisa Tauxe	This study	McMurdo	mc101f	mc101	mc101f1	mc101f1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		24.9	l					-79.8						1.4		8			0
Lisa Tauxe	This study	McMurdo	mc101h	mc101	mc101h1	mc101h1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		31.2	l					-78						1.9		8			0
Lisa Tauxe	This study	McMurdo	mc102a	mc102	mc102a1	mc102a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		139.4	l					75.5						1.3		13			0
Lisa Tauxe	This study	McMurdo	mc102a	mc102	mc102a2	mc102a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	573	K					A	u		330.7	p					14						3.1		9			0
Lisa Tauxe	This study	McMurdo	mc102b	mc102	mc102b1	mc102b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	623	K					A	u		149.6	l					75.1						3.6		8			0
Lisa Tauxe	This study	McMurdo	mc102b	mc102	mc102b2	mc102b2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		131.5	l					73.9						1.7		13			0
Lisa Tauxe	This study	McMurdo	mc102e	mc102	mc102e1	mc102e1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		178.5	l					75.6						1.7		13			0
Lisa Tauxe	This study	McMurdo	mc102f	mc102	mc102f1	mc102f1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		157.1	l					78.9						1.3		11			0
Lisa Tauxe	This study	McMurdo	mc102g	mc102	mc102g1	mc102g1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		150.5	l					71.8						2.1		13			0
Lisa Tauxe	This study	McMurdo	mc103a	mc103	mc103a1	mc103a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.1	l					74.9						1.5		13			0
Lisa Tauxe	This study	McMurdo	mc103a	mc103	mc103a2	mc103a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	473	K					A	u		136.3	l					72.6						2.4		11			0
Lisa Tauxe	This study	McMurdo	mc103b	mc103	mc103b1	mc103b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	673	K					A	u		140.4	l					68.3						5.2		7			0
Lisa Tauxe	This study	McMurdo	mc103b	mc103	mc103b2	mc103b2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		150.1	l					74.5						1.6		13			0
Lisa Tauxe	This study	McMurdo	mc103c	mc103	mc103c1	mc103c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	813	423	K					A	u		137.9	l					76						7.8		11			0
Lisa Tauxe	This study	McMurdo	mc103c	mc103	mc103c2	mc103c2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.4	l					73.7						1		13			0
Lisa Tauxe	This study	McMurdo	mc103d	mc103	mc103d1	mc103d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	813	273	K					A	u		243.7	p					5.6						7.2		12			0
Lisa Tauxe	This study	McMurdo	mc103d	mc103	mc103d2	mc103d2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		134	l					74.4						1.3		13			0
Lisa Tauxe	This study	McMurdo	mc103e	mc103	mc103e1	mc103e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	813	423	K					A	u		136	l					76.7						7.6		11			0
Lisa Tauxe	This study	McMurdo	mc103e	mc103	mc103e2	mc103e2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		136.8	l					71.3						1.2		13			0
Lisa Tauxe	This study	McMurdo	mc104a	mc104	mc104a1	mc104a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		67.6	l					-80.1						1.3		13			0
Lisa Tauxe	This study	McMurdo	mc104b	mc104	mc104b1	mc104b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		133.8	p					9.3						4.2		12			0
Lisa Tauxe	This study	McMurdo	mc104b	mc104	mc104b2	mc104b2-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		75.8	l					-77						1.4		13			0
Lisa Tauxe	This study	McMurdo	mc104c	mc104	mc104c1	mc104c1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		60.6	l					-80.3						1.9		13			0
Lisa Tauxe	This study	McMurdo	mc104c	mc104	mc104c2	mc104c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		343.8	p					-1.9						2.6		12			0
Lisa Tauxe	This study	McMurdo	mc104d	mc104	mc104d1	mc104d1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		64	l					-79.2						1.1		13			0
Lisa Tauxe	This study	McMurdo	mc104f	mc104	mc104f1	mc104f1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		67.6	l					-70.7						1.6		13			0
Lisa Tauxe	This study	McMurdo	mc105a	mc105	mc105a1	mc105a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		199.7	l					67.2						2		13			0
Lisa Tauxe	This study	McMurdo	mc105a	mc105	mc105a2	mc105a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	423	K					A	u		199.8	l					67.9						1.8		12			0
Lisa Tauxe	This study	McMurdo	mc105c	mc105	mc105c1	mc105c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	523	K					A	u		188.1	l					66.9						1.9		10			0
Lisa Tauxe	This study	McMurdo	mc105d	mc105	mc105d1	mc105d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	813	573	K					A	u		200.5	l					68.8						1.9		8			0
Lisa Tauxe	This study	McMurdo	mc105f	mc105	mc105f1	mc105f1-LP-DIR-AF	LP-DIR-AF:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		188.4	l					70.6						1.5		13			0
Lisa Tauxe	This study	McMurdo	mc105g	mc105	mc105g1	mc105g1-LP-DIR-AF	LP-DIR-AF:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		183.5	l					70.6						1.3		13			0
Lisa Tauxe	This study	McMurdo	mc105h	mc105	mc105h1	mc105h1-LP-DIR-AF	LP-DIR-AF:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		197.3	l					72						1.4		13			0
Lisa Tauxe	This study	McMurdo	mc105j	mc105	mc105j1	mc105j1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI	LP-DIR-T:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	813	523	K					A	u		187	l					71.3						2.9		9			0
Lisa Tauxe	This study	McMurdo	mc106a	mc106	mc106a1	mc106a1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		23.8	l					-80.2						0.9		13			0
Lisa Tauxe	This study	McMurdo	mc106b	mc106	mc106b1	mc106b1-LP-DIR-AF	LP-DIR-AF:SO-GPS-DIFF:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		32.2	l					-80.4						0.9		12			0
Lisa Tauxe	This study	McMurdo	mc106c	mc106	mc106c1	mc106c1-LP-DIR-AF	LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		14.5	l					-74.9						1.2		12			0
