tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_names	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
Lisa Tauxe	This study	McMurdo		mc101	mc101a1 : mc101b1 : mc101c1 : mc101d1 : mc101f1 : mc101h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	38.5	Direction included in Pmag_Results.	-80.6	1.065	0.004	Ma					460.8	6	6	0	n	5.9891	0
Lisa Tauxe	This study	McMurdo		mc102	mc102a1 : mc102a2 : mc102b1 : mc102b2 : mc102e1 : mc102f1 : mc102g1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4	A	150.4	Direction included in Pmag_Results.	75.7	0.264	0.01	Ma					326.5	7	6	1	r	6.9832	0
Lisa Tauxe	This study	McMurdo		mc103	mc103a1 : mc103a2 : mc103b2 : mc103c2 : mc103d2 : mc103e2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.8	A	138.2	Direction included in Pmag_Results.	73.6	1.421	0.015	Ma					1460.2	6	6	0	r	5.9966	0
Lisa Tauxe	This study	McMurdo		mc104	mc104a1 : mc104b1 : mc104b2 : mc104c1 : mc104c2 : mc104d1 : mc104f1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	72.1	Direction included in Pmag_Results.	-77.2	0.29	0.01	Ma					367.4	7	5	2	n	6.9864	0
Lisa Tauxe	This study	McMurdo		mc105	mc105a1 : mc105a2 : mc105c1 : mc105d1 : mc105f1 : mc105g1 : mc105h1 : mc105j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1	A	193.2	Direction included in Pmag_Results.	69.5	0.86	0.035	Ma					671	8	8	0	r	7.9896	0
Lisa Tauxe	This study	McMurdo		mc106	mc106a1 : mc106b1 : mc106c1 : mc106d1 : mc106e1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	19.5	Direction included in Pmag_Results.	-76.7	13.42	0.09	Ma					410.8	5	5	0	n	4.9903	0
Lisa Tauxe	This study	McMurdo		mc107	mc107c1 : mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2	A	96	Direction included in Pmag_Results.	-84.8	2.57	0.19	Ma					1007.6	7	5	2	n	6.995	0
Lisa Tauxe	This study	McMurdo		mc108	mc108a1 : mc108b1 : mc108d1 : mc108g2 : mc108k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	69.8	Direction included in Pmag_Results.	-72.4	0.41	0.07	Ma					403.2	5	5	0	n	4.9901	0
Lisa Tauxe	This study	McMurdo		mc109	mc109a1 : mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	174.6	Direction included in Pmag_Results.	75.4	1.261	0.02	Ma					477.4	6	6	0	r	5.9895	0
Lisa Tauxe	This study	McMurdo		mc11	mc11a : mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2	A	327.1	Direction included in Pmag_Results.	-77.1	4	4	Ma					621.8	8	8	0	n	7.9887	0
Lisa Tauxe	This study	McMurdo		mc110	mc110a2 : mc110b2 : mc110d1 : mc110g1 : mc110i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2	A	253.5	Direction included in Pmag_Results.	79.6	7.94	0.12	Ma					218.2	5	5	0	r	4.9817	0
Lisa Tauxe	This study	McMurdo		mc111	mc111a2 : mc111b1 : mc111d1 : mc111d2 : mc111e1 : mc111e2 : mc111f1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.7	A	47.9	Direction included in Pmag_Results.	-67.6	1.99	0.02	Ma					1243.3	7	7	0	n	6.9952	0
Lisa Tauxe	This study	McMurdo		mc112	mc112a1 : mc112d1 : mc112g1 : mc112h3 : mc112j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.2	A	232.9	Direction included in Pmag_Results.	75.7	7.63	0.16	Ma					220.9	5	5	0	r	4.9819	0
Lisa Tauxe	This study	McMurdo		mc113	mc113a1 : mc113b1 : mc113c1 : mc113h1 : mc113j1 : mc113m1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3	A	264.4	Direction included in Pmag_Results.	75.4	6.73	0.085	Ma					504.1	6	6	0	r	5.9901	0
Lisa Tauxe	This study	McMurdo		mc114	mc114a1 : mc114b2 : mc114c1 : mc114d2 : mc114i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	52.4	Direction included in Pmag_Results.	-69.7	1.62	0.14	Ma					614	5	5	0	n	4.9935	0
Lisa Tauxe	This study	McMurdo		mc115	mc115a1 : mc115a2 : mc115b1 : mc115e1 : mc115g2 : mc115h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5	A	77.7	Direction included in Pmag_Results.	68.1	2.46	0.155	Ma					359.2	6	6	0	r	5.9861	0
Lisa Tauxe	This study	McMurdo		mc116	mc116a1 : mc116b1 : mc116c1 : mc116i2 : mc116j2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.5	A	274.6	Direction included in Pmag_Results.	-81.2	1.14	0.055	Ma					139.7	5	5	0	n	4.9714	0
Lisa Tauxe	This study	McMurdo		mc117	mc117a1 : mc117a2 : mc117b1 : mc117d2 : mc117e2 : mc117h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.2	A	164.5	Direction included in Pmag_Results.	70	2.28	0.12	Ma					3152.4	6	6	0	r	5.9984	0
Lisa Tauxe	This study	McMurdo		mc118	mc118a1 : mc118c1 : mc118d1 : mc118e1 : mc118f1 : mc118i1 : mc118l2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.1	A	58.9	Direction included in Pmag_Results.	-53.1	0.31	0.02	Ma					99	7	7	0	n	6.9394	0
Lisa Tauxe	This study	McMurdo		mc119	mc119a1 : mc119b1 : mc119b2 : mc119d2 : mc119e2 : mc119f2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	124.8	Direction included in Pmag_Results.	49	1.08	0.11	Ma					864.8	6	6	0	r	5.9942	0
Lisa Tauxe	This study	McMurdo		mc120	mc120a1 : mc120a2 : mc120b1 : mc120b2 : mc120c1 : mc120f1 : mc120j2 : mc120l1 : mc120m2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	73.6	Direction included in Pmag_Results.	-70.6	1.756	0.025	Ma					509.6	9	9	0	n	8.9843	0
Lisa Tauxe	This study	McMurdo		mc121	mc121a1 : mc121c1 : mc121c3 : mc121d1 : mc121d2 : mc121e2 : mc121f2 : mc121g1 : mc121i1 : mc121k1 : mc121k2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	117.4	Direction included in Pmag_Results.	78.4	2.505	0.03	Ma					389.2	11	11	0	r	10.9743	0
Lisa Tauxe	This study	McMurdo		mc122	mc122a1 : mc122b1 : mc122c1 : mc122d1 : mc122k2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8	A	12.2	Direction included in Pmag_Results.	-72.4	12.699	0.045	Ma					177.8	5	5	0	n	4.9775	0
Lisa Tauxe	This study	McMurdo		mc123	mc123a1 : mc123a2 : mc123b1 : mc123b2 : mc123c2 : mc123c3 : mc123f1 : mc123j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.1	A	76.1	Direction included in Pmag_Results.	-82.1	1.93	0.025	Ma					317.2	8	8	0	n	7.9779	0
Lisa Tauxe	This study	McMurdo		mc124	mc124a1 : mc124d1 : mc124d2 : mc124f1 : mc124g1 : mc124j1 : mc124l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.4	A	13.2	Direction included in Pmag_Results.	-73.4	12.61	0.055	Ma					654.8	7	7	0	n	6.9908	0
Lisa Tauxe	This study	McMurdo		mc125	mc125a1 : mc125b1 : mc125c1 : mc125d1 : mc125e1 : mc125e3 : mc125g1 : mc125i1 : mc125m1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.4	A	345	Direction included in Pmag_Results.	-67.7	4.26	0.09	Ma					92.4	9	9	0	n	8.9134	0
Lisa Tauxe	This study	McMurdo		mc126	mc126a2 : mc126c1 : mc126c2 : mc126d1 : mc126e1 : mc126f1 : mc126g1 : mc126i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.5	A	359.4	Direction included in Pmag_Results.	-79.6	4	4	Ma					103.2	8	8	0	n	7.9321	0
Lisa Tauxe	This study	McMurdo		mc127	mc127a1 : mc127a2 : mc127b1 : mc127c1 : mc127d1 : mc127f1 : mc127g2 : mc127i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1	A	326.2	Direction included in Pmag_Results.	-67.2	1.942	0.034	Ma					666.9	8	8	0	n	7.9895	0
Lisa Tauxe	This study	McMurdo		mc128	mc128b1 : mc128b2 : mc128c2 : mc128d1 : mc128e2 : mc128f1 : mc128h1 : mc128j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.8	A	36.9	Direction included in Pmag_Results.	-80.1	4	4	Ma					395.8	8	8	0	n	7.9823	0
Lisa Tauxe	This study	McMurdo		mc129	mc129a1 : mc129a2 : mc129b1 : mc129c1 : mc129c2 : mc129f1 : mc129h2 : mc129j1 : mc129l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	22.1	Direction included in Pmag_Results.	-54.5	4	4	Ma					490.9	9	9	0	n	8.9837	0
Lisa Tauxe	This study	McMurdo		mc13	mc13a : mc13b : mc13c : mc13d : mc13e : mc13f : mc13g : mc13h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5	A	110.5	Direction included in Pmag_Results.	-70.6	0.055	0.005	Ma					259.5	8	7	1	n	7.975	0
Lisa Tauxe	This study	McMurdo		mc130	mc130a1 : mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.3	A	150.5	Direction included in Pmag_Results.	46.1	7.251	0.035	Ma					405.9	6	6	0	r	5.9877	0
Lisa Tauxe	This study	McMurdo		mc131	mc131a3 : mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.4	A	22.3	Direction included in Pmag_Results.	-58.1	4	4	Ma					526.8	8	8	0	n	7.9867	0
Lisa Tauxe	This study	McMurdo		mc132	mc132a1 : mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5	A	6.3	Direction included in Pmag_Results.	38.3	4	4	Ma					195.4	6	4	2	t	5.9795	0
Lisa Tauxe	This study	McMurdo		mc133	mc133b2 : mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.4	A	36.3	Direction included in Pmag_Results.	-85.7	4	4	Ma					235	6	6	0	n	5.9787	0
Lisa Tauxe	This study	McMurdo		mc134	mc134a1 : mc134c1 : mc134e1 : mc134f1 : mc134k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	12.5	Direction included in Pmag_Results.	-84.3	9.02	0.025	Ma					886.4	5	5	0	n	4.9955	0
Lisa Tauxe	This study	McMurdo		mc135	mc135a1 : mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	264.1	Direction included in Pmag_Results.	-77.8	4	4	Ma					215.3	8	8	0	n	7.9675	0
Lisa Tauxe	This study	McMurdo		mc136	mc136a1 : mc136c1 : mc136d1 : mc136d2 : mc136e1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5	A	103.4	Direction included in Pmag_Results.	18.5	1.99	0.3	Ma					513.7	5	4	1	t	4.9932	0
Lisa Tauxe	This study	McMurdo		mc137	mc137a1 : mc137d1 : mc137h1 : mc137j2 : mc137l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	8.7	A	71.2		34.2	4	4	Ma					120.4	5	1	4	t	4.9834	0
Lisa Tauxe	This study	McMurdo		mc138	mc138a1 : mc138b1 : mc138d1 : mc138g1 : mc138h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.4	A	83		12.1	1.21	0.09	Ma					473.2	5	1	4	t	4.9958	0
Lisa Tauxe	This study	McMurdo		mc139	mc139a2 : mc139d1 : mc139e1 : mc139h1 : mc139j2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.3	A	168.6	Direction included in Pmag_Results.	79	0.882	0.04	Ma					1124.5	5	5	0	r	4.9964	0
Lisa Tauxe	This study	McMurdo		mc14	mc14a : mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	0.9	Direction included in Pmag_Results.	-80.8	4	4	Ma					439.5	8	8	0	n	7.9841	0
Lisa Tauxe	This study	McMurdo		mc140	mc140a1 : mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.4	A	343.7	Direction included in Pmag_Results.	-79.2	2.043	0.045	Ma					654.7	7	6	1	n	6.9916	0
Lisa Tauxe	This study	McMurdo		mc141	mc141b1 : mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6	A	133	Direction included in Pmag_Results.	83.5	1.31	0.01	Ma					549.9	7	7	0	r	6.9891	0
Lisa Tauxe	This study	McMurdo		mc142	mc142b2 : mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2	A	311.9	Direction included in Pmag_Results.	84.7	1.225	0.01	Ma					585	10	10	0	r	9.9846	0
Lisa Tauxe	This study	McMurdo		mc143	mc143a1 : mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.1	A	29.7	Direction included in Pmag_Results.	-48.6	2.08	0.329	Ma					172.2	6	6	0	n	5.971	0
Lisa Tauxe	This study	McMurdo		mc144	mc144a1 : mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4	A	194.4	Direction included in Pmag_Results.	79.9	1.25	0.5	Ma					195.5	8	7	1	r	7.9667	0
Lisa Tauxe	This study	McMurdo		mc145	mc145b1 : mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.5	A	28.6	Direction included in Pmag_Results.	2.7	1.9	0.06	Ma					378	6	6	0	t	5.9868	0
Lisa Tauxe	This study	McMurdo		mc146	mc146a1 : mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.6	A	236.3	Direction included in Pmag_Results.	62	1.37	0.21	Ma					117.8	7	7	0	r	6.9491	0
Lisa Tauxe	This study	McMurdo		mc147	mc147a1 : mc147c1 : mc147i1 : mc147j2 : mc147k2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.7	A	220.2	Direction included in Pmag_Results.	67.4	1.63	0.16	Ma					830.9	5	5	0	r	4.9952	0
Lisa Tauxe	This study	McMurdo		mc148	mc148a1 : mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.7	A	282.1	Direction included in Pmag_Results.	-80.2	0.718	0.33	Ma					140.6	6	6	0	n	5.9644	0
Lisa Tauxe	This study	McMurdo		mc15	mc15a : mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.8	A	166.3	Direction included in Pmag_Results.	84.2	1.33	0.01	Ma					819.9	9	9	0	r	8.9902	0
Lisa Tauxe	This study	McMurdo		mc150	mc150b1 : mc150c1 : mc150e1 : mc150f1 : mc150g1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9	A	253.5	Direction included in Pmag_Results.	84.3	3.57	0.07	Ma					125.5	5	5	0	r	4.9681	0
Lisa Tauxe	This study	McMurdo		mc152	mc152a1 : mc152b1 : mc152b2 : mc152c1 : mc152i1 : mc152k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.9	A	327.2	Direction included in Pmag_Results.	-85.3	3.87	0.075	Ma					1325.5	6	5	1	n	5.9966	0
Lisa Tauxe	This study	McMurdo		mc153	mc153a1 : mc153a2 : mc153c1 : mc153e1 : mc153i1 : mc153j1 : mc153m1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8	A	315.9	Direction included in Pmag_Results.	58.4	2.53	0.065	Ma					109.7	7	7	0	t	6.9453	0
Lisa Tauxe	This study	McMurdo		mc154	mc154a1 : mc154b1 : mc154e1 : mc154f1 : mc154h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.7	A	297.9	Direction included in Pmag_Results.	87.1	2.19	0.04	Ma					429.1	5	5	0	r	4.9907	0
Lisa Tauxe	This study	McMurdo		mc155	mc155a1 : mc155b1 : mc155c1 : mc155e2 : mc155g1 : mc155h1 : mc155i1 : mc155m1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.7	A	226.2	Direction included in Pmag_Results.	77.7	1.5	0.025	Ma					221.3	8	8	0	r	7.9684	0
Lisa Tauxe	This study	McMurdo		mc156	mc156a1 : mc156c1 : mc156f1 : mc156g1 : mc156h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	161.3	Direction included in Pmag_Results.	71.1	1.89	0.065	Ma					340.9	5	5	0	r	4.9883	0
Lisa Tauxe	This study	McMurdo		mc157	mc157a2 : mc157b2 : mc157c2 : mc157e2 : mc157f1 : mc157j1 : mc157k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9	A	262.7	Direction included in Pmag_Results.	70.7	4	4	Ma					76.6	7	7	0	r	6.9217	0
Lisa Tauxe	This study	McMurdo		mc158	mc158a1 : mc158b2 : mc158c1 : mc158d1 : mc158f1 : mc158h1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.9	A	46.9	Direction included in Pmag_Results.	43.2	3.74	0.125	Ma					555.8	6	5	1	t	5.9919	0
Lisa Tauxe	This study	McMurdo		mc160	mc160a1 : mc160a2 : mc160b1 : mc160c1 : mc160e1 : mc160e2 : mc160f2 : mc160h2 : mc160j1 : mc160j2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	227.9	Direction included in Pmag_Results.	76.2	3.47	0.025	Ma					227.7	10	8	2	r	9.9649	0
Lisa Tauxe	This study	McMurdo		mc161	mc161a1 : mc161b1 : mc161e1 : mc161f1 : mc161g1 : mc161k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.1	A	171.3	Direction included in Pmag_Results.	55.1	4	4	Ma					281	6	5	1	r	5.984	0
Lisa Tauxe	This study	McMurdo		mc162	mc162b1 : mc162b2 : mc162c1 : mc162f1 : mc162g1 : mc162i1 : mc162j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.8	A	174.6	Direction included in Pmag_Results.	58.1	2.56	0.065	Ma					270.7	7	5	2	r	6.9815	0
Lisa Tauxe	This study	McMurdo		mc163	mc163a1 : mc163b1 : mc163c1 : mc163d1 : mc163e1 : mc163f1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	175.6	Direction included in Pmag_Results.	51.5	1.5	0.75	Ma					261.2	6	5	1	r	5.9828	0
Lisa Tauxe	This study	McMurdo		mc164	mc164a1 : mc164a2 : mc164b1 : mc164c1 : mc164f1 : mc164g2 : mc164h1 : mc164i1 : mc164j1 : mc164l2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.1	A	199.9	Direction included in Pmag_Results.	86.1	1.364	0.05	Ma					1912.3	10	10	0	r	9.9953	0
Lisa Tauxe	This study	McMurdo		mc165	mc165a1 : mc165b1 : mc165b2 : mc165c1 : mc165c2 : mc165g1 : mc165h2 : mc165i2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	141.9	Direction included in Pmag_Results.	81.8	1.451	0.03	Ma					174.1	8	8	0	r	7.9598	0
Lisa Tauxe	This study	McMurdo		mc166	mc166a1 : mc166b1 : mc166b2 : mc166c1 : mc166c2 : mc166h2 : mc166i1 : mc166i2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2	A	224.9	Direction included in Pmag_Results.	73.8	1.334	0.06	Ma					634.1	8	8	0	r	7.989	0
Lisa Tauxe	This study	McMurdo		mc167	mc167a1 : mc167b1 : mc167d2 : mc167e1 : mc167e2 : mc167f2 : mc167h1 : mc167j1 : mc167k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.7	A	179.7	Direction included in Pmag_Results.	74.5	1.5	0.75	Ma					82.1	9	9	0	r	8.9026	0
Lisa Tauxe	This study	McMurdo		mc168	mc168c1 : mc168f1 : mc168h1 : mc168h2 : mc168i1 : mc168j1 : mc168k1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3	A	187.3	Direction included in Pmag_Results.	68.2	1.38	0.025	Ma					398.3	7	7	0	r	6.9849	0
Lisa Tauxe	This study	McMurdo		mc170	mc170a1 : mc170c2 : mc170d1 : mc170e2 : mc170f1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	0.9	A	2.7	Direction included in Pmag_Results.	-87.2	1.03	0.05	Ma					7835.9	5	5	0	n	4.9995	0
Lisa Tauxe	This study	McMurdo		mc19	mc19a : mc19b : mc19c : mc19d : mc19e : mc19f : mc19g	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.8	A	146.8	Direction included in Pmag_Results.	-78.4	4	4	Ma					474.8	7	6	1	n	6.9884	0
Lisa Tauxe	This study	McMurdo		mc20	mc20a : mc20b : mc20c : mc20d : mc20e : mc20f : mc20h	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9	A	138.7	Direction included in Pmag_Results.	-77.3	0.77	0.016	Ma					243.7	7	7	0	n	6.9754	0
Lisa Tauxe	This study	McMurdo		mc200	mc200a1 : mc200a2 : mc200b2 : mc200c2 : mc200d2	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9	A	296.8	Direction included in Pmag_Results.	-83.7	0.073	0.005	Ma					389.6	5	5	0	n	4.9897	0
Lisa Tauxe	This study	McMurdo		mc201	mc201a1 : mc201b2 : mc201c1 : mc201d1 : mc201e1 : mc201j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4	A	256.8	Direction included in Pmag_Results.	-79.6	0.089	0.005	Ma					385.7	6	6	0	n	5.987	0
Lisa Tauxe	This study	McMurdo		mc202	mc202c1 : mc202d1 : mc202f1 : mc202h1 : mc202j1	DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.3	A	341	Direction included in Pmag_Results.	-47.1	0.539	0.006	Ma					3519.1	5	5	0	n	4.9989	0
