tab 	pmag_specimens
specimen_description	specimen_correction	er_site_name	er_sample_name	specimen_dec	er_citation_names	specimen_inferred_age_unit	er_location_name	specimen_inferred_age	specimen_inc	er_specimen_name	magic_method_codes	specimen_int_rel
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-063	15-1-063	347.6	This study	Ma	DSDP Site 522	22.9215	-41.3	15-1-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001992
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-066	15-1-066	359.7	This study	Ma	DSDP Site 522	22.9312	-51.9	15-1-066	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002136
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-069	15-1-069	359.1	This study	Ma	DSDP Site 522	22.9377	-52	15-1-069	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001875
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-072	15-1-072	347.5	This study	Ma	DSDP Site 522	22.9475	-39.3	15-1-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001839
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-075	15-1-075	347.3	This study	Ma	DSDP Site 522	22.9605	-37	15-1-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001752
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-079	15-1-079	359.5	This study	Ma	DSDP Site 522	22.9703	-50.5	15-1-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001612
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-082	15-1-082	13.7	This study	Ma	DSDP Site 522	22.98	-50.5	15-1-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001617
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-085	15-1-085	1.8	This study	Ma	DSDP Site 522	22.9897	-45.7	15-1-085	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001604
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-088	15-1-088	9.7	This study	Ma	DSDP Site 522	22.9995	-44.5	15-1-088	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002096
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-091	15-1-091	4.8	This study	Ma	DSDP Site 522	23.0125	-45	15-1-091	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001824
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-094	15-1-094	11.9	This study	Ma	DSDP Site 522	23.0223	-48.8	15-1-094	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001851
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-097	15-1-097	357.1	This study	Ma	DSDP Site 522	23.032	-30.3	15-1-097	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001716
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-100	15-1-100	16.4	This study	Ma	DSDP Site 522	23.0417	-47.7	15-1-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001944
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-103	15-1-103	17.6	This study	Ma	DSDP Site 522	23.0483	-32.3	15-1-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001386
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-106	15-1-106	7.6	This study	Ma	DSDP Site 522	23.0613	-10.5	15-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000524
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-109	15-1-109	15.7	This study	Ma	DSDP Site 522	23.0678	22.6	15-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0004396
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-113	15-1-113	56.8	This study	Ma	DSDP Site 522	23.0808	72.8	15-1-113	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0005959
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-115	15-1-115	344.2	This study	Ma	DSDP Site 522	23.0905	-11.9	15-1-115	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0004927
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-118	15-1-118	3.2	This study	Ma	DSDP Site 522	23.1003	66	15-1-118	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0004645
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-122	15-1-122	172.6	This study	Ma	DSDP Site 522	23.11	76.8	15-1-122	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001265
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-125	15-1-125	179	This study	Ma	DSDP Site 522	23.1204	58.9	15-1-125	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002121
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-128	15-1-128	165.7	This study	Ma	DSDP Site 522	23.1308	65.2	15-1-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001434
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-131	15-1-131	114.4	This study	Ma	DSDP Site 522	23.1412	72	15-1-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001101
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-134	15-1-134	171.8	This study	Ma	DSDP Site 522	23.155	72.7	15-1-134	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001359
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-137	15-1-137	189.5	This study	Ma	DSDP Site 522	23.1654	73.2	15-1-137	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001248
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-140	15-1-140	155.8	This study	Ma	DSDP Site 522	23.1758	89.1	15-1-140	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008627
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-144	15-1-144	198.6	This study	Ma	DSDP Site 522	23.1862	72.3	15-1-144	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009648
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-147	15-1-147	185.4	This study	Ma	DSDP Site 522	23.1965	70	15-1-147	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001449
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-1-149	15-1-149	313.1	This study	Ma	DSDP Site 522	23.2069	78.8	15-1-149	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001318
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-003	15-2-003	152.8	This study	Ma	DSDP Site 522	23.2173	46.9	15-2-003	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002156
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-005	15-2-005	149.9	This study	Ma	DSDP Site 522	23.2277	50	15-2-005	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002664
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-008	15-2-008	157.8	This study	Ma	DSDP Site 522	23.2381	47.9	15-2-008	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003048
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-012	15-2-012	157.5	This study	Ma	DSDP Site 522	23.2485	47.1	15-2-012	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002664
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-014	15-2-014	155.3	This study	Ma	DSDP Site 522	23.2588	44.9	15-2-014	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002138
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-019	15-2-019	182.5	This study	Ma	DSDP Site 522	23.2727	33.6	15-2-019	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000732
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-021	15-2-021	168.8	This study	Ma	DSDP Site 522	23.2831	56	15-2-021	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002278
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-024	15-2-024	149.6	This study	Ma	DSDP Site 522	23.2935	57.5	15-2-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00219
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-027	15-2-027	150.4	This study	Ma	DSDP Site 522	23.3038	54.5	15-2-027	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002486
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-030	15-2-030	154.2	This study	Ma	DSDP Site 522	23.3142	48.3	15-2-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001582
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-034	15-2-034	148.7	This study	Ma	DSDP Site 522	23.3246	42.1	15-2-034	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001212
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-037	15-2-037	135.3	This study	Ma	DSDP Site 522	23.3385	49.1	15-2-037	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007224
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-040	15-2-040	156.3	This study	Ma	DSDP Site 522	23.3488	32.8	15-2-040	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008489
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-043	15-2-043	146.6	This study	Ma	DSDP Site 522	23.3592	22.7	15-2-043	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000779
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-046	15-2-046	161.7	This study	Ma	DSDP Site 522	23.3662	1.5	15-2-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0004308
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-050	15-2-050	33.5	This study	Ma	DSDP Site 522	23.38	-86.5	15-2-050	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0003878
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-055	15-2-055	344	This study	Ma	DSDP Site 522	23.3978	-45.7	15-2-055	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0006387
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-058	15-2-058	320.5	This study	Ma	DSDP Site 522	23.412	-71	15-2-058	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001795
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-061	15-2-061	340.5	This study	Ma	DSDP Site 522	23.4191	-69.1	15-2-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001121
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-064	15-2-064	328.1	This study	Ma	DSDP Site 522	23.4298	-66.1	15-2-064	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002579
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-067	15-2-067	309.9	This study	Ma	DSDP Site 522	23.4404	-63.5	15-2-067	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002744
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-070	15-2-070	315.5	This study	Ma	DSDP Site 522	23.4511	-59.5	15-2-070	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002471
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-073	15-2-073	309.1	This study	Ma	DSDP Site 522	23.4618	-54.7	15-2-073	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002383
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-076	15-2-076	304.7	This study	Ma	DSDP Site 522	23.476	-53	15-2-076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001985
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-079	15-2-079	301.8	This study	Ma	DSDP Site 522	23.4867	-55.4	15-2-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002061
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-082	15-2-082	314.3	This study	Ma	DSDP Site 522	23.4973	-59.2	15-2-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003083
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-085	15-2-085	322	This study	Ma	DSDP Site 522	23.508	-58.5	15-2-085	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002441
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-088	15-2-088	316.4	This study	Ma	DSDP Site 522	23.5187	-51.9	15-2-088	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001844
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-091	15-2-091	314	This study	Ma	DSDP Site 522	23.5293	-66.8	15-2-091	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001202
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-095	15-2-095	136.6	This study	Ma	DSDP Site 522	23.54	45.3	15-2-095	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0003925
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-098	15-2-098	149.6	This study	Ma	DSDP Site 522	23.5453	46.7	15-2-098	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001741
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-101	15-2-101	164	This study	Ma	DSDP Site 522	23.5507	48	15-2-101	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009594
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-104	15-2-104	170.4	This study	Ma	DSDP Site 522	23.556	54.3	15-2-104	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002361
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-107	15-2-107	166.8	This study	Ma	DSDP Site 522	23.5613	50.5	15-2-107	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001668
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-109	15-2-109	178.2	This study	Ma	DSDP Site 522	23.5649	44.9	15-2-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001563
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-113	15-2-113	172.9	This study	Ma	DSDP Site 522	23.5737	52.5	15-2-113	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00291
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-116	15-2-116	177.4	This study	Ma	DSDP Site 522	23.5791	48	15-2-116	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002358
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-119	15-2-119	178.4	This study	Ma	DSDP Site 522	23.5844	43.5	15-2-119	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002518
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-123	15-2-123	180.7	This study	Ma	DSDP Site 522	23.5897	48.1	15-2-123	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002036
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-126	15-2-126	181.3	This study	Ma	DSDP Site 522	23.595	45.7	15-2-126	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001779
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-128	15-2-128	182.6	This study	Ma	DSDP Site 522	23.6004	44	15-2-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002456
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-132	15-2-132	182.2	This study	Ma	DSDP Site 522	23.6057	47.9	15-2-132	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002357
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-135	15-2-135	185.2	This study	Ma	DSDP Site 522	23.611	47.8	15-2-135	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003138
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-138	15-2-138	188	This study	Ma	DSDP Site 522	23.6164	50.5	15-2-138	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003543
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-141	15-2-141	179	This study	Ma	DSDP Site 522	23.6217	50	15-2-141	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003008
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-143	15-2-143	184.8	This study	Ma	DSDP Site 522	23.627	55.4	15-2-143	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003722
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-147	15-2-147	192.4	This study	Ma	DSDP Site 522	23.6323	47.1	15-2-147	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004322
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-2-150	15-2-150	192.7	This study	Ma	DSDP Site 522	23.6377	44	15-2-150	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003161
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-001	15-3-001	201.3	This study	Ma	DSDP Site 522	23.6394	51.8	15-3-001	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003191
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-004	15-3-004	215.7	This study	Ma	DSDP Site 522	23.6465	55.9	15-3-004	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003113
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-007	15-3-007	222.7	This study	Ma	DSDP Site 522	23.6519	50.7	15-3-007	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003065
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-010	15-3-010	216.7	This study	Ma	DSDP Site 522	23.6572	53.1	15-3-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002626
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-013	15-3-013	216.1	This study	Ma	DSDP Site 522	23.6625	45.9	15-3-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002923
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-015	15-3-015	222.3	This study	Ma	DSDP Site 522	23.6661	41.8	15-3-015	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00156
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-019	15-3-019	224.3	This study	Ma	DSDP Site 522	23.6732	50.5	15-3-019	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001988
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-022	15-3-022	220.4	This study	Ma	DSDP Site 522	23.6785	46	15-3-022	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001626
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-025	15-3-025	220.9	This study	Ma	DSDP Site 522	23.6821	40	15-3-025	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002009
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-028	15-3-028	216.1	This study	Ma	DSDP Site 522	23.6892	46	15-3-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002515
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-031	15-3-031	218.8	This study	Ma	DSDP Site 522	23.6945	54	15-3-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002595
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-035	15-3-035	217.4	This study	Ma	DSDP Site 522	23.6998	48.5	15-3-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002506
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-038	15-3-038	202.1	This study	Ma	DSDP Site 522	23.7051	34	15-3-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001045
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-041	15-3-041	223.4	This study	Ma	DSDP Site 522	23.7105	37.8	15-3-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001225
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-044	15-3-044	237.3	This study	Ma	DSDP Site 522	23.7158	38.1	15-3-044	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0006189
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-047	15-3-047	227.5	This study	Ma	DSDP Site 522	23.7211	-3.9	15-3-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.000367
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-051	15-3-051	297.3	This study	Ma	DSDP Site 522	23.73	-68.5	15-3-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007481
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-054	15-3-054	346.5	This study	Ma	DSDP Site 522	23.7339	-66.5	15-3-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00126
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-057	15-3-057	3.5	This study	Ma	DSDP Site 522	23.7398	-63.4	15-3-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001766
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-061	15-3-061	16	This study	Ma	DSDP Site 522	23.7495	-70.1	15-3-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002176
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-064	15-3-064	0	This study	Ma	DSDP Site 522	23.7534	-54.9	15-3-064	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002118
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-067	15-3-067	7.9	This study	Ma	DSDP Site 522	23.7593	-56.7	15-3-067	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00263
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-071	15-3-071	343.7	This study	Ma	DSDP Site 522	23.7671	-60.3	15-3-071	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001665
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-075	15-3-075	347.9	This study	Ma	DSDP Site 522	23.7749	-62.2	15-3-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002046
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-078	15-3-078	9.3	This study	Ma	DSDP Site 522	23.7807	-64.4	15-3-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002074
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-080	15-3-080	16.7	This study	Ma	DSDP Site 522	23.7866	-70.2	15-3-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002525
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-083	15-3-083	359.2	This study	Ma	DSDP Site 522	23.7924	-60.5	15-3-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002356
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-086	15-3-086	318.5	This study	Ma	DSDP Site 522	23.7983	-60.7	15-3-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001035
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-089	15-3-089	2.8	This study	Ma	DSDP Site 522	23.8041	-62.9	15-3-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0002129
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-092	15-3-092	214.1	This study	Ma	DSDP Site 522	23.81	38	15-3-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009131
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-096	15-3-096	227.2	This study	Ma	DSDP Site 522	23.8162	57.3	15-3-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001267
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-098	15-3-098	207.6	This study	Ma	DSDP Site 522	23.8203	51.4	15-3-098	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002013
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-101	15-3-101	208.6	This study	Ma	DSDP Site 522	23.8285	47.9	15-3-101	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001754
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-104	15-3-104	216.5	This study	Ma	DSDP Site 522	23.8347	51	15-3-104	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001879
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	15-3-107	15-3-107	200.3	This study	Ma	DSDP Site 522	23.8388	52.4	15-3-107	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001954
