Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0006hdc,7,"Tuesday, November  1, 2011 07:40:05 UTC",-20.2245,-177.5900,4.6,524.10,90,"Fiji region"
ak,10345843,3,"Tuesday, November  1, 2011 07:19:15 UTC",53.8565,-160.2198,3.0,35.30,11,"south of Alaska"
ci,15071068,4,"Tuesday, November  1, 2011 07:01:59 UTC",32.0695,-115.0967,2.6,15.00,10,"Baja California, Mexico"
ak,10345823,3,"Tuesday, November  1, 2011 06:14:36 UTC",59.7588,-152.4245,3.4,81.10,97,"Southern Alaska"
ak,10345790,2,"Tuesday, November  1, 2011 03:59:16 UTC",59.7376,-152.6591,2.8,83.40,70,"Southern Alaska"
ak,10345767,2,"Tuesday, November  1, 2011 01:54:40 UTC",54.7613,-160.6665,3.2,13.30,24,"Alaska Peninsula"
us,b0006hbe,3,"Tuesday, November  1, 2011 01:52:13 UTC",-49.1885,124.6241,4.8,10.10,10,"western Indian-Antarctic Ridge"
us,b0006had,8,"Tuesday, November  1, 2011 01:03:52 UTC",-0.0041,123.3699,5.5,140.40,115,"Sulawesi, Indonesia"
us,b0006h8e,A,"Tuesday, November  1, 2011 00:21:28 UTC",43.6330,82.3830,5.4,27.90,417,"northern Xinjiang, China"
us,b0006h7f,6,"Tuesday, November  1, 2011 00:02:15 UTC",-35.5510,-72.7896,4.7,20.50,22,"offshore Maule, Chile"
us,b0006h29,6,"Monday, October 31, 2011 21:58:16 UTC",32.5593,105.3239,5.5,16.10,154,"Sichuan-Gansu border region, China"
us,b0006h0q,5,"Monday, October 31, 2011 20:59:49 UTC",42.8596,145.0862,4.8,55.30,57,"Hokkaido, Japan region"
ak,10346429,2,"Monday, October 31, 2011 17:16:22 UTC",52.5123,-173.0407,3.5,218.80,12,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10345412,2,"Monday, October 31, 2011 14:13:33 UTC",59.8815,-153.1956,3.3,127.10,81,"Southern Alaska"
us,2011ssay,2,"Monday, October 31, 2011 14:09:26 UTC",39.8711,143.6343,4.6,35.00, 8,"off the east coast of Honshu, Japan"
ak,10345403,2,"Monday, October 31, 2011 13:41:10 UTC",61.7673,-139.0205,2.8,5.00,39,"Southern Yukon Territory, Canada"
ak,10346419,2,"Monday, October 31, 2011 13:23:03 UTC",53.5215,-162.7956,2.6,32.90,11,"south of Alaska"
ci,11027613,4,"Monday, October 31, 2011 12:26:45 UTC",35.9312,-117.6228,2.9,3.70,49,"Central California"
us,b0006gs6,5,"Monday, October 31, 2011 11:41:46 UTC",-21.6978,-179.5185,4.7,601.40,26,"Fiji region"
ci,11027605,3,"Monday, October 31, 2011 11:31:49 UTC",34.2162,-117.5067,2.8,4.00,116,"Greater Los Angeles area, California"
nc,71673446,5,"Monday, October 31, 2011 09:42:30 UTC",37.8675,-122.2520,2.5,9.20,211,"San Francisco Bay area, California"
us,b0006grm,7,"Monday, October 31, 2011 09:02:30 UTC",35.0930,141.4237,4.8,31.90,48,"near the east coast of Honshu, Japan"
us,b0006gr6,B,"Monday, October 31, 2011 07:16:21 UTC",52.4089,177.9053,5.8,152.90,616,"Rat Islands, Aleutian Islands, Alaska"
us,b0006gr2,7,"Monday, October 31, 2011 06:54:43 UTC",45.7711,150.0020,4.8,43.10,72,"Kuril Islands"
ak,10345319,2,"Monday, October 31, 2011 06:31:21 UTC",63.0374,-150.6298,2.7,109.90,75,"Central Alaska"
us,b0006gqu,5,"Monday, October 31, 2011 06:28:31 UTC",14.3220,-92.1971,4.4,84.90,90,"offshore Guatemala"
nn,00353340,8,"Monday, October 31, 2011 05:52:40 UTC",38.7773,-119.5049,2.6,7.50,19,"Nevada"
us,b0006gq5,5,"Monday, October 31, 2011 04:48:44 UTC",-8.2231,106.7733,4.8,29.70,41,"south of Java, Indonesia"
us,b0006gqc,3,"Monday, October 31, 2011 04:45:43 UTC",-23.4109,-115.0063,5.1,10.00,164,"southern East Pacific Rise"
us,b0006gpr,6,"Monday, October 31, 2011 03:40:10 UTC",-25.6387,-71.6935,4.8,41.70,46,"off the coast of Antofagasta, Chile"
us,b0006gpi,5,"Monday, October 31, 2011 02:11:49 UTC",36.3832,70.7455,4.6,202.90,48,"Hindu Kush region, Afghanistan"
us,b0006gpe,5,"Monday, October 31, 2011 01:31:40 UTC",35.7955,140.2958,4.7,65.10,25,"near the east coast of Honshu, Japan"
us,b0006gpf,3,"Monday, October 31, 2011 01:22:05 UTC",12.4187,48.0663,5.0,10.00,29,"Gulf of Aden"
us,b0006gp4,5,"Sunday, October 30, 2011 23:08:29 UTC",38.7833,142.4219,4.9,33.70,64,"near the east coast of Honshu, Japan"
ak,10345251,2,"Sunday, October 30, 2011 21:45:05 UTC",53.4167,-163.5364,3.0,41.80,20,"Unimak Island region, Alaska"
ci,11027413,1,"Sunday, October 30, 2011 21:13:49 UTC",32.9127,-116.3645,2.6,9.10,122,"Southern California"
us,b0006glr,8,"Sunday, October 30, 2011 18:53:43 UTC",-25.8121,-70.5671,5.7,31.40,129,"Antofagasta, Chile"
nc,71673136,3,"Sunday, October 30, 2011 18:03:20 UTC",35.9352,-120.0280,2.7,9.90,85,"Central California"
us,b0006gkx,7,"Sunday, October 30, 2011 16:58:41 UTC",2.6162,128.6977,4.7,190.20,20,"Halmahera, Indonesia"
us,2011srbd,4,"Sunday, October 30, 2011 16:16:02 UTC",8.6984,58.2174,4.4,10.00,11,"Carlsberg Ridge"
us,2011srbb,5,"Sunday, October 30, 2011 15:34:05 UTC",-9.5234,158.6351,4.7,10.00,15,"Solomon Islands"
nc,71673001,7,"Sunday, October 30, 2011 13:26:43 UTC",35.9403,-120.0328,3.5,8.40,86,"Central California"
nc,71672996,9,"Sunday, October 30, 2011 13:25:19 UTC",39.6062,-120.4770,3.8,14.40,23,"Northern California"
us,b0006gju,9,"Sunday, October 30, 2011 11:52:27 UTC",-3.1111,101.4093,5.6,38.10,365,"southern Sumatra, Indonesia"
us,b0006gjp,C,"Sunday, October 30, 2011 10:57:58 UTC",-14.3591,-75.9483,4.8,20.60,29,"near the coast of central Peru"
ak,10345124,2,"Sunday, October 30, 2011 09:17:05 UTC",54.4577,-161.6212,2.6,38.70, 8,"Alaska Peninsula"
ak,10345313,2,"Sunday, October 30, 2011 09:02:23 UTC",52.3267,-164.8506,2.8,33.10,28,"south of Alaska"
us,b0006gia,6,"Sunday, October 30, 2011 07:34:33 UTC",-47.4027,100.1214,4.5,10.00,13,"southeast Indian Ridge"
us,b0006ghx,4,"Sunday, October 30, 2011 06:30:04 UTC",35.3138,142.8031,4.5,10.00,27,"off the east coast of Honshu, Japan"
us,b0006gi2,6,"Sunday, October 30, 2011 06:28:51 UTC",15.5294,-90.2929,4.4,303.00,87,"Guatemala"
us,b0006ghm,5,"Sunday, October 30, 2011 05:48:57 UTC",-17.0424,-178.3198,4.6,550.80,16,"Fiji region"
us,b0006ghd,9,"Sunday, October 30, 2011 05:24:07 UTC",37.6816,144.5306,5.2,9.90,253,"off the east coast of Honshu, Japan"
ak,10345076,2,"Sunday, October 30, 2011 05:15:08 UTC",66.2927,-146.6328,2.6,26.30,22,"northern Alaska"
us,b0006gh4,6,"Sunday, October 30, 2011 05:09:07 UTC",5.2279,125.4243,4.9,214.40,36,"Mindanao, Philippines"
us,b0006ggt,3,"Sunday, October 30, 2011 04:01:27 UTC",-5.4293,147.1880,4.8,185.70,24,"eastern New Guinea region, Papua New Guinea"
ak,10345062,3,"Sunday, October 30, 2011 03:41:25 UTC",52.3020,-169.9895,3.9,33.40,20,"Fox Islands, Aleutian Islands, Alaska"
us,b0006ggi,6,"Sunday, October 30, 2011 03:25:02 UTC",13.8054,-91.2416,4.4,60.30,43,"offshore Guatemala"
us,b0006ggh,6,"Sunday, October 30, 2011 03:23:45 UTC",25.3612,123.0040,5.5,215.70,287,"northeast of Taiwan"
us,b0006gg7,4,"Sunday, October 30, 2011 02:10:47 UTC",-9.4057,-75.3951,4.9,31.80,131,"central Peru"
us,b0006gg5,6,"Sunday, October 30, 2011 02:10:40 UTC",-4.3482,144.3407,5.3,62.00,80,"near the north coast of New Guinea, Papua New Guinea"
ak,10345025,2,"Sunday, October 30, 2011 02:06:43 UTC",64.7103,-147.4251,2.5,21.40,30,"Central Alaska"
us,b0006gg3,5,"Sunday, October 30, 2011 02:02:14 UTC",4.8918,96.1406,4.7,18.60,27,"northern Sumatra, Indonesia"
us,b0006gg1,5,"Sunday, October 30, 2011 01:55:05 UTC",38.4899,43.7112,4.5,6.60,40,"eastern Turkey"
us,b0006gfz,7,"Sunday, October 30, 2011 01:44:26 UTC",-16.3029,-175.5204,4.4,329.40,86,"Tonga"
ak,10346215,2,"Saturday, October 29, 2011 22:56:58 UTC",51.8755,-171.6018,2.8,20.00,10,"Fox Islands, Aleutian Islands, Alaska"
us,b0006gep,A,"Saturday, October 29, 2011 22:24:24 UTC",38.7502,43.5914,4.9,10.80,101,"eastern Turkey"
us,b0006gej,4,"Saturday, October 29, 2011 22:16:02 UTC",36.6434,142.4581,4.9,33.60,44,"off the east coast of Honshu, Japan"
us,b0006gdw,8,"Saturday, October 29, 2011 21:59:53 UTC",-6.5113,105.3183,4.7,9.40,48,"Sunda Strait, Indonesia"
us,b0006gcp,4,"Saturday, October 29, 2011 19:51:28 UTC",-0.8238,122.5008,4.5,25.10,19,"Sulawesi, Indonesia"
us,b0006gbl,4,"Saturday, October 29, 2011 18:45:51 UTC",38.5252,43.2840,4.4,16.90,35,"eastern Turkey"
nc,71672531,4,"Saturday, October 29, 2011 18:44:24 UTC",37.8393,-121.7730,2.5,14.40,122,"San Francisco Bay area, California"
ci,11027013,1,"Saturday, October 29, 2011 18:38:08 UTC",32.3562,-115.4932,2.5,1.90,25,"Baja California, Mexico"
us,b0006gb2,9,"Saturday, October 29, 2011 18:24:41 UTC",0.1326,-77.3997,4.3,23.80,24,"Colombia-Ecuador border region"
ak,10344940,3,"Saturday, October 29, 2011 17:11:53 UTC",51.6323,-177.6805,4.0,50.00,10,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006g7i,5,"Saturday, October 29, 2011 14:13:58 UTC",-2.9176,100.0163,4.8,26.30,33,"Kepulauan Mentawai region, Indonesia"
us,b0006g8r,4,"Saturday, October 29, 2011 13:50:49 UTC",-0.1300,-78.3700,4.0,3.00, 0,"Ecuador"
ak,10346190,2,"Saturday, October 29, 2011 09:45:02 UTC",51.9018,-175.9948,2.6,70.60, 5,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006g48,8,"Saturday, October 29, 2011 08:31:05 UTC",-14.7153,-75.9462,4.7,19.60,41,"near the coast of central Peru"
us,b0006g41,4,"Saturday, October 29, 2011 07:34:52 UTC",-14.5379,167.2083,4.9,128.40,39,"Vanuatu"
us,b0006g43,4,"Saturday, October 29, 2011 07:30:52 UTC",12.5667,142.4751,4.6,131.10,31,"Mariana Islands region"
ak,10344871,2,"Saturday, October 29, 2011 07:29:19 UTC",57.2394,-154.9253,2.7,51.10,26,"Kodiak Island region, Alaska"
us,b0006g3p,5,"Saturday, October 29, 2011 06:59:41 UTC",-23.6735,171.2786,4.7,50.10,26,"southeast of the Loyalty Islands"
us,b0006g3j,4,"Saturday, October 29, 2011 06:24:44 UTC",38.2308,141.9337,4.9,50.00,251,"near the east coast of Honshu, Japan"
us,b0006g3a,5,"Saturday, October 29, 2011 05:33:45 UTC",-14.5241,-76.1298,4.8,22.40,59,"near the coast of central Peru"
us,b0006g2x,6,"Saturday, October 29, 2011 04:23:36 UTC",-14.6679,-75.9201,4.8,19.10,28,"near the coast of central Peru"
us,b0006g2r,5,"Saturday, October 29, 2011 04:13:34 UTC",45.7361,10.9348,4.4,11.60,32,"northern Italy"
us,b0006g2q,6,"Saturday, October 29, 2011 03:52:44 UTC",38.5036,43.2663,4.3,4.90,24,"eastern Turkey"
ak,10344837,2,"Saturday, October 29, 2011 03:13:06 UTC",54.1689,-164.1601,3.0,41.60,22,"Unimak Island region, Alaska"
ak,10344830,2,"Saturday, October 29, 2011 02:30:25 UTC",52.5061,-169.7435,3.4,13.20,20,"Fox Islands, Aleutian Islands, Alaska"
us,b0006g1x,4,"Saturday, October 29, 2011 01:37:47 UTC",-14.7329,-75.8631,4.7,20.00,30,"near the coast of central Peru"
us,b0006g1l,6,"Saturday, October 29, 2011 00:57:21 UTC",-10.6532,165.0058,5.1,58.10,54,"Santa Cruz Islands"
us,b0006g1h,9,"Saturday, October 29, 2011 00:48:56 UTC",-14.3616,-75.9687,4.9,20.00,175,"near the coast of central Peru"
pr,11302000,0,"Saturday, October 29, 2011 00:17:02 UTC",18.5790,-66.7580,3.0,9.70,11,"Puerto Rico region"
pr,11301003,0,"Friday, October 28, 2011 23:58:35 UTC",19.3719,-68.3939,3.2,56.60, 7,"Dominican Republic region"
us,b0006g0u,7,"Friday, October 28, 2011 23:50:57 UTC",-3.0729,129.6375,5.4,32.20,136,"Seram, Indonesia"
us,b0006g0p,9,"Friday, October 28, 2011 23:46:03 UTC",-14.5280,-75.9272,5.5,19.70,348,"near the coast of central Peru"
us,b0006g0e,7,"Friday, October 28, 2011 22:48:03 UTC",32.5577,48.9572,4.7,40.00,106,"western Iran"
ak,10344647,3,"Friday, October 28, 2011 22:24:14 UTC",60.7381,-150.0306,3.0,41.60,67,"Kenai Peninsula, Alaska"
us,b0006g00,6,"Friday, October 28, 2011 22:00:01 UTC",-14.6839,-76.0385,5.0,5.90,133,"near the coast of central Peru"
us,b0006fzy,6,"Friday, October 28, 2011 21:51:58 UTC",-14.4922,-76.0399,4.9,21.70,110,"near the coast of central Peru"
us,b0006fxe,5,"Friday, October 28, 2011 20:26:49 UTC",-14.4247,-76.0458,4.7,22.70,32,"near the coast of central Peru"
