tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	method_codes	quality	sequence	standard	meas_temp	description	software_packages	magn_moment
is031f1:LP-DIR-AF7	is031f1:LP-DIR-AF	is031f1	1	168.5	-2.5	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	56	u	2.730e+02		pmagpy-4.0.0	 2.850e-05
is031f1:LP-DIR-AF8	is031f1:LP-DIR-AF	is031f1	1	168.4	-2.6	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	57	u	2.730e+02		pmagpy-4.0.0	 2.556e-05
is031f1:LP-DIR-AF9	is031f1:LP-DIR-AF	is031f1	1	168.1	-2.3	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	58	u	2.730e+02		pmagpy-4.0.0	 2.237e-05
is031f1:LP-DIR-AF10	is031f1:LP-DIR-AF	is031f1	0	167.8	-2.4	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	59	u	2.730e+02		pmagpy-4.0.0	 1.641e-05
is031f1:LP-DIR-AF11	is031f1:LP-DIR-AF	is031f1	0	167.6	-2.3	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	60	u	2.730e+02		pmagpy-4.0.0	 9.584e-06
is031f1:LP-DIR-AF12	is031f1:LP-DIR-AF	is031f1	1	167.5	-2.7	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	61	u	2.730e+02		pmagpy-4.0.0	 6.165e-06
is031f1:LP-DIR-AF13	is031f1:LP-DIR-AF	is031f1	1	168.2	-3.1	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	62	u	2.730e+02		pmagpy-4.0.0	 4.356e-06
is031f1:LP-DIR-AF14	is031f1:LP-DIR-AF	is031f1	0	168.4	-3.0	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	63	u	2.730e+02		pmagpy-4.0.0	 3.339e-06
is032c1:LP-DIR-AF0	is032c1:LP-DIR-AF	is032c1	1	164.8	-21.1	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	64	u	2.730e+02		pmagpy-4.0.0	 2.735e-05
is032c1:LP-DIR-AF1	is032c1:LP-DIR-AF	is032c1	1	165.3	-21.2	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	65	u	2.730e+02		pmagpy-4.0.0	 2.718e-05
is032c1:LP-DIR-AF2	is032c1:LP-DIR-AF	is032c1	1	164.5	-22.3	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	66	u	2.730e+02		pmagpy-4.0.0	 2.627e-05
is032c1:LP-DIR-AF3	is032c1:LP-DIR-AF	is032c1	1	164.6	-23.3	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	67	u	2.730e+02		pmagpy-4.0.0	 2.493e-05
is032c1:LP-DIR-AF4	is032c1:LP-DIR-AF	is032c1	1	164.2	-24.3	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	68	u	2.730e+02		pmagpy-4.0.0	 2.356e-05
is032c1:LP-DIR-AF5	is032c1:LP-DIR-AF	is032c1	1	164.8	-25.0	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	69	u	2.730e+02		pmagpy-4.0.0	 2.203e-05
is032c1:LP-DIR-AF6	is032c1:LP-DIR-AF	is032c1	1	164.1	-25.6	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	70	u	2.730e+02		pmagpy-4.0.0	 2.042e-05
is032c1:LP-DIR-AF7	is032c1:LP-DIR-AF	is032c1	1	163.6	-26.3	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	71	u	2.730e+02		pmagpy-4.0.0	 1.711e-05
is032c1:LP-DIR-AF8	is032c1:LP-DIR-AF	is032c1	1	163.5	-26.9	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	72	u	2.730e+02		pmagpy-4.0.0	 1.402e-05
is032c1:LP-DIR-AF9	is032c1:LP-DIR-AF	is032c1	1	163.2	-27.6	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	73	u	2.730e+02		pmagpy-4.0.0	 1.171e-05
is032c1:LP-DIR-AF10	is032c1:LP-DIR-AF	is032c1	0	161.1	-28.7	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	74	u	2.730e+02		pmagpy-4.0.0	 8.797e-06
is032c1:LP-DIR-AF11	is032c1:LP-DIR-AF	is032c1	0	158.6	-29.7	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	75	u	2.730e+02		pmagpy-4.0.0	 6.333e-06
is032c1:LP-DIR-AF12	is032c1:LP-DIR-AF	is032c1	2	154.4	-30.3	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	76	u	2.730e+02		pmagpy-4.0.0	 5.019e-06
is032c1:LP-DIR-AF13	is032c1:LP-DIR-AF	is032c1	2	150.8	-30.5	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	77	u	2.730e+02		pmagpy-4.0.0	 4.171e-06
is032c1:LP-DIR-AF14	is032c1:LP-DIR-AF	is032c1	1	146.1	-32.0	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	78	u	2.730e+02		pmagpy-4.0.0	 3.643e-06
is032c1:LP-DIR-AF15	is032c1:LP-DIR-AF	is032c1	0	141.0	-32.2	1.500e-01	0	0	0	15	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	79	u	2.730e+02		pmagpy-4.0.0	 3.103e-06
is032c1:LP-DIR-AF16	is032c1:LP-DIR-AF	is032c1	2	134.7	-30.8	1.800e-01	0	0	0	16	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	80	u	2.730e+02		pmagpy-4.0.0	 2.695e-06
is032d2:LP-DIR-AF0	is032d2:LP-DIR-AF	is032d2	1	184.6	-12.9	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	81	u	2.730e+02		pmagpy-4.0.0	 2.504e-05
is032d2:LP-DIR-AF1	is032d2:LP-DIR-AF	is032d2	1	184.6	-13.0	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	82	u	2.730e+02		pmagpy-4.0.0	 2.495e-05
is032d2:LP-DIR-AF2	is032d2:LP-DIR-AF	is032d2	1	184.9	-13.3	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	83	u	2.730e+02		pmagpy-4.0.0	 2.463e-05
is032d2:LP-DIR-AF3	is032d2:LP-DIR-AF	is032d2	0	184.5	-13.8	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	84	u	2.730e+02		pmagpy-4.0.0	 2.420e-05
is032d2:LP-DIR-AF4	is032d2:LP-DIR-AF	is032d2	1	184.4	-14.3	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	85	u	2.730e+02		pmagpy-4.0.0	 2.360e-05
is032d2:LP-DIR-AF5	is032d2:LP-DIR-AF	is032d2	0	185.2	-14.9	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	86	u	2.730e+02		pmagpy-4.0.0	 2.298e-05
is032d2:LP-DIR-AF6	is032d2:LP-DIR-AF	is032d2	0	185.5	-15.3	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	87	u	2.730e+02		pmagpy-4.0.0	 2.237e-05
is032d2:LP-DIR-AF7	is032d2:LP-DIR-AF	is032d2	0	183.7	-15.9	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	88	u	2.730e+02		pmagpy-4.0.0	 2.076e-05
is032d2:LP-DIR-AF8	is032d2:LP-DIR-AF	is032d2	0	183.2	-16.5	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	89	u	2.730e+02		pmagpy-4.0.0	 1.890e-05
is032d2:LP-DIR-AF9	is032d2:LP-DIR-AF	is032d2	0	184.1	-16.9	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	90	u	2.730e+02		pmagpy-4.0.0	 1.711e-05
is032d2:LP-DIR-AF10	is032d2:LP-DIR-AF	is032d2	0	183.0	-17.6	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	91	u	2.730e+02		pmagpy-4.0.0	 1.402e-05
is032d2:LP-DIR-AF11	is032d2:LP-DIR-AF	is032d2	0	181.9	-18.0	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	92	u	2.730e+02		pmagpy-4.0.0	 1.098e-05
is032d2:LP-DIR-AF12	is032d2:LP-DIR-AF	is032d2	1	181.0	-18.3	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	93	u	2.730e+02		pmagpy-4.0.0	 9.227e-06
is032d2:LP-DIR-AF13	is032d2:LP-DIR-AF	is032d2	0	178.2	-18.2	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	94	u	2.730e+02		pmagpy-4.0.0	 6.638e-06
is032d2:LP-DIR-AF14	is032d2:LP-DIR-AF	is032d2	0	176.6	-18.4	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	95	u	2.730e+02		pmagpy-4.0.0	 6.019e-06
is032d2:LP-DIR-AF15	is032d2:LP-DIR-AF	is032d2	0	174.3	-18.7	1.500e-01	0	0	0	15	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	96	u	2.730e+02		pmagpy-4.0.0	 5.139e-06
is032d2:LP-DIR-AF16	is032d2:LP-DIR-AF	is032d2	2	172.3	-18.5	1.800e-01	0	0	0	16	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	97	u	2.730e+02		pmagpy-4.0.0	 4.397e-06
is032f1:LP-DIR-AF0	is032f1:LP-DIR-AF	is032f1	0	204.2	-0.1	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	98	u	2.730e+02		pmagpy-4.0.0	 1.899e-05
is032f1:LP-DIR-AF1	is032f1:LP-DIR-AF	is032f1	0	203.5	-0.2	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	99	u	2.730e+02		pmagpy-4.0.0	 1.892e-05
is032f1:LP-DIR-AF2	is032f1:LP-DIR-AF	is032f1	1	205.7	-0.7	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	100	u	2.730e+02		pmagpy-4.0.0	 1.859e-05
is032f1:LP-DIR-AF3	is032f1:LP-DIR-AF	is032f1	0	202.6	-1.3	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	101	u	2.730e+02		pmagpy-4.0.0	 1.811e-05
is032f1:LP-DIR-AF4	is032f1:LP-DIR-AF	is032f1	1	204.3	-1.9	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	102	u	2.730e+02		pmagpy-4.0.0	 1.753e-05
is032f1:LP-DIR-AF5	is032f1:LP-DIR-AF	is032f1	0	204.3	-2.3	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	103	u	2.730e+02		pmagpy-4.0.0	 1.698e-05
is032f1:LP-DIR-AF6	is032f1:LP-DIR-AF	is032f1	1	204.9	-3.0	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	104	u	2.730e+02		pmagpy-4.0.0	 1.638e-05
is032f1:LP-DIR-AF7	is032f1:LP-DIR-AF	is032f1	1	203.9	-3.7	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	105	u	2.730e+02		pmagpy-4.0.0	 1.502e-05
is032f1:LP-DIR-AF8	is032f1:LP-DIR-AF	is032f1	1	206.0	-4.3	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	106	u	2.730e+02		pmagpy-4.0.0	 1.380e-05
is032f1:LP-DIR-AF9	is032f1:LP-DIR-AF	is032f1	1	205.7	-5.2	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	107	u	2.730e+02		pmagpy-4.0.0	 1.255e-05
is032f1:LP-DIR-AF10	is032f1:LP-DIR-AF	is032f1	0	204.7	-5.3	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	108	u	2.730e+02		pmagpy-4.0.0	 1.023e-05
is032f1:LP-DIR-AF11	is032f1:LP-DIR-AF	is032f1	0	204.6	-5.6	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	109	u	2.730e+02		pmagpy-4.0.0	 7.645e-06
is032f1:LP-DIR-AF12	is032f1:LP-DIR-AF	is032f1	1	205.0	-6.0	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	110	u	2.730e+02		pmagpy-4.0.0	 6.330e-06
