tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_scientist_mail_names	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_flag	measurement_lab_field_dc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_dc_field	treatment_temp
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.079e+01	12	u	273	-3.306e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.164e+01	13	u	273	-3.604e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.245e+01	14	u	273	-3.905e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.317e+01	15	u	273	-4.205e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.387e+01	16	u	273	-4.509e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.453e+01	17	u	273	-4.808e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.508e+01	18	u	273	-5.108e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.572e+01	19	u	273	-5.408e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.626e+01	20	u	273	-5.706e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.679e+01	21	u	273	-6.012e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.731e+01	22	u	273	-6.312e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.782e+01	23	u	273	-6.612e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.824e+01	24	u	273	-6.911e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.887e+01	25	u	273	-7.211e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.923e+01	26	u	273	-7.509e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-3.968e+01	27	u	273	-7.813e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.007e+01	28	u	273	-8.114e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.055e+01	29	u	273	-8.414e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.091e+01	30	u	273	-8.712e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.134e+01	31	u	273	-9.012e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.176e+01	32	u	273	-9.311e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.223e+01	33	u	273	-9.615e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.262e+01	34	u	273	-9.915e-01	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.288e+01	35	u	273	-1.022e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.355e+01	36	u	273	-1.051e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.377e+01	37	u	273	-1.081e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.420e+01	38	u	273	-1.111e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.459e+01	39	u	273	-1.142e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.498e+01	40	u	273	-1.172e+00	273
This study	unknown	myspec		myspe	myspec		myspec:LP-IRM-DCD		LP-IRM-DCD	pmagpy-2.143	g		-4.527e+01	41	u	273	-1.202e+00	273
