tab	measurements
analysts	citation	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
	This study	This study		    2.2	208.6	 33.8 	PI47-1a:LP-DIR-T	hargrave 2015-10-06 06:58:08	6.18e-08	1.12e-09	1.68e-09	1.44e-09	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  598.0	PI47-1a:LP-DIR-T13
	This study	This study		    1.7	208.6	 33.6 	PI47-1a:LP-DIR-T	hargrave 2015-10-06 12:44:02	5.74e-08	7.87e-10	1.82e-10	1.62e-09	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  623.0	PI47-1a:LP-DIR-T14
	This study	This study		    3.4	207.5	 33.0 	PI47-1a:LP-DIR-T	hargrave 2015-10-08 13:19:09	5.42e-08	1.49e-09	2.60e-09	1.40e-09	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  648.0	PI47-1a:LP-DIR-T15
	This study	This study		    1.6	209.2	 32.5 	PI47-1a:LP-DIR-T	hargrave 2015-10-10 16:22:00	4.96e-08	4.97e-10	4.92e-10	1.41e-09	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  673.0	PI47-1a:LP-DIR-T16
	This study	This study		    4.9	211.3	 32.5 	PI47-1a:LP-DIR-T	hargrave 2015-10-13 11:09:41	4.46e-08	2.08e-09	2.62e-09	1.93e-09	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  698.0	PI47-1a:LP-DIR-T17
	This study	This study		    2.8	211.4	 32.4 	PI47-1a:LP-DIR-T	hargrave 2015-10-13 16:50:54	3.99e-08	7.75e-10	4.02e-10	1.85e-09	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  723.0	PI47-1a:LP-DIR-T18
	This study	This study		    3.6	213.5	 32.4 	PI47-1a:LP-DIR-T	hargrave 2015-10-16 18:35:24	3.58e-08	1.05e-09	1.41e-09	1.62e-09	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  748.0	PI47-1a:LP-DIR-T19
	This study	This study		    5.0	215.4	 32.0 	PI47-1a:LP-DIR-T	hargrave 2015-10-19 18:27:28	3.11e-08	1.61e-09	1.78e-09	1.44e-09	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  773.0	PI47-1a:LP-DIR-T20
	This study	This study		    4.3	214.7	 31.3 	PI47-1a:LP-DIR-T	hargrave 2015-10-20 13:28:54	2.72e-08	9.58e-10	1.34e-09	1.40e-09	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  798.0	PI47-1a:LP-DIR-T21
	This study	This study		    2.8	221.1	 32.6 	PI47-1a:LP-DIR-T	hargrave 2015-10-26 14:25:36	2.19e-08	4.97e-10	3.02e-10	1.02e-09	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  823.0	PI47-1a:LP-DIR-T22
	This study	This study	average of multiple measurements	    2.1	  207.5	   26.6	PI47-1a:LP-DIR-T	hargrave 2015-10-29 10:50:37	1.744e-08	3.86e-10	4.70e-10	9.47e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  833.0	PI47-1a:LP-DIR-T23
	This study	This study		    1.9	204.3	 30.4 	PI47-1a:LP-DIR-T	hargrave 2015-10-29 16:49:29	8.75e-09	1.57e-10	1.41e-10	2.95e-10	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  843.0	PI47-1a:LP-DIR-T24
	This study	This study		    1.9	193.7	 45.0 	PI47-1a:LP-DIR-T	hargrave 2015-10-31 12:21:35	2.27e-09	5.32e-11	3.35e-11	6.73e-11	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  848.0	PI47-1a:LP-DIR-T25
	This study	This study		    5.0	181.2	 61.8 	PI47-1a:LP-DIR-T	hargrave 2015-10-31 19:25:57	1.12e-09	5.65e-11	9.30e-11	4.90e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  850.0	PI47-1a:LP-DIR-T26
	This study	This study		    6.6	236.9	 29.3 	PI47-1a:LP-DIR-T	hargrave 2015-11-05 12:06:34	7.25e-10	2.82e-11	6.95e-11	5.26e-11	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-1a	u	0	0	0.00	0.00	  852.0	PI47-1a:LP-DIR-T27
	This study	This study		    2.4	169.0	 36.9 	PI47-2a:LP-DIR-T	hargrave 2015-09-16 18:21:39	5.40e-08	1.25e-09	1.53e-09	1.30e-09	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	273	PI47-2a:LP-DIR-T1
	This study	This study		    2.4	167.8	 35.7 	PI47-2a:LP-DIR-T	hargrave 2015-09-19 18:30:25	5.37e-08	1.51e-09	4.02e-10	1.72e-09	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  323.0	PI47-2a:LP-DIR-T2
	This study	This study		    2.6	168.8	 35.5 	PI47-2a:LP-DIR-T	hargrave 2015-09-21 22:12:02	5.31e-08	4.19e-10	2.24e-09	8.30e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  348.0	PI47-2a:LP-DIR-T3
	This study	This study		    1.4	171.6	 33.9 	PI47-2a:LP-DIR-T	hargrave 2015-09-24 09:45:53	5.09e-08	5.15e-10	1.06e-09	5.48e-10	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  373.0	PI47-2a:LP-DIR-T4
	This study	This study		    1.7	171.5	 32.1 	PI47-2a:LP-DIR-T	hargrave 2015-09-24 15:42:39	4.70e-08	8.34e-10	6.16e-10	9.93e-10	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  398.0	PI47-2a:LP-DIR-T5
	This study	This study		    1.9	173.7	 29.3 	PI47-2a:LP-DIR-T	hargrave 2015-09-25 12:25:44	4.29e-08	7.50e-10	8.06e-10	1.01e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  423.0	PI47-2a:LP-DIR-T6
	This study	This study		    1.6	174.6	 26.8 	PI47-2a:LP-DIR-T	hargrave 2015-09-26 13:48:43	3.89e-08	3.03e-10	1.03e-09	4.43e-10	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  448.0	PI47-2a:LP-DIR-T7
	This study	This study		    1.6	174.5	 26.6 	PI47-2a:LP-DIR-T	hargrave 2015-09-26 19:47:28	3.78e-08	4.29e-10	7.96e-10	6.23e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  473.0	PI47-2a:LP-DIR-T8
	This study	This study		    2.3	176.6	 26.4 	PI47-2a:LP-DIR-T	hargrave 2015-09-28 19:38:33	3.59e-08	5.38e-10	1.24e-09	6.26e-10	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  498.0	PI47-2a:LP-DIR-T9
	This study	This study		    2.5	174.4	 26.4 	PI47-2a:LP-DIR-T	hargrave 2015-10-01 11:57:17	3.53e-08	7.78e-10	9.09e-10	1.04e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  523.0	PI47-2a:LP-DIR-T10
	This study	This study		    2.9	175.8	 26.0 	PI47-2a:LP-DIR-T	hargrave 2015-10-05 18:49:29	3.37e-08	8.82e-10	9.48e-10	1.15e-09	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  548.0	PI47-2a:LP-DIR-T11
	This study	This study		    3.1	177.5	 25.4 	PI47-2a:LP-DIR-T	hargrave 2015-10-06 02:24:39	3.14e-08	6.39e-10	1.16e-09	1.09e-09	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  573.0	PI47-2a:LP-DIR-T12
	This study	This study		    2.3	179.1	 24.4 	PI47-2a:LP-DIR-T	hargrave 2015-10-06 06:59:43	2.92e-08	5.83e-10	3.11e-10	9.86e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  598.0	PI47-2a:LP-DIR-T13
	This study	This study		    2.7	179.4	 24.9 	PI47-2a:LP-DIR-T	hargrave 2015-10-06 12:45:38	2.65e-08	3.61e-10	9.77e-10	6.86e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  623.0	PI47-2a:LP-DIR-T14
	This study	This study		    5.6	180.6	 23.8 	PI47-2a:LP-DIR-T	hargrave 2015-10-08 13:20:45	2.41e-08	5.87e-10	2.11e-09	1.02e-09	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  648.0	PI47-2a:LP-DIR-T15
	This study	This study		    2.6	179.3	 23.7 	PI47-2a:LP-DIR-T	hargrave 2015-10-10 16:23:36	2.11e-08	5.04e-10	4.03e-10	8.19e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  673.0	PI47-2a:LP-DIR-T16
	This study	This study		    2.6	176.0	 24.4 	PI47-2a:LP-DIR-T	hargrave 2015-10-13 11:11:17	1.78e-08	4.37e-10	3.19e-10	7.04e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  698.0	PI47-2a:LP-DIR-T17
	This study	This study		    2.7	176.9	 25.1 	PI47-2a:LP-DIR-T	hargrave 2015-10-13 16:52:29	1.47e-08	3.94e-10	2.37e-10	6.03e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  723.0	PI47-2a:LP-DIR-T18
	This study	This study		    3.1	174.2	 24.0 	PI47-2a:LP-DIR-T	hargrave 2015-10-16 18:37:03	1.21e-08	3.26e-10	3.47e-10	5.16e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  748.0	PI47-2a:LP-DIR-T19
	This study	This study		    4.3	176.1	 24.6 	PI47-2a:LP-DIR-T	hargrave 2015-10-19 18:29:07	9.28e-09	1.97e-10	6.82e-10	1.84e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  773.0	PI47-2a:LP-DIR-T20
	This study	This study		    2.8	171.2	 22.1 	PI47-2a:LP-DIR-T	hargrave 2015-10-20 13:30:29	6.35e-09	1.62e-10	1.51e-10	2.47e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  798.0	PI47-2a:LP-DIR-T21
	This study	This study		    3.0	171.4	 37.2 	PI47-2a:LP-DIR-T	hargrave 2015-10-26 14:27:12	3.79e-09	1.12e-10	1.01e-10	1.43e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  823.0	PI47-2a:LP-DIR-T22
	This study	This study	average of multiple measurements	    3.0	  157.7	   33.1	PI47-2a:LP-DIR-T	hargrave 2015-10-29 10:52:12	2.603e-09	1.49e-10	1.27e-10	9.14e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  833.0	PI47-2a:LP-DIR-T23
	This study	This study		    4.9	155.5	 64.6 	PI47-2a:LP-DIR-T	hargrave 2015-10-29 16:51:04	1.45e-09	8.02e-11	1.08e-10	1.08e-11	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  843.0	PI47-2a:LP-DIR-T24
	This study	This study		    3.3	207.5	 39.8 	PI47-2a:LP-DIR-T	hargrave 2015-10-31 12:23:11	9.54e-10	2.94e-11	5.02e-11	9.03e-12	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  848.0	PI47-2a:LP-DIR-T25
	This study	This study		    3.2	142.2	 51.4 	PI47-2a:LP-DIR-T	hargrave 2015-10-31 19:27:32	9.81e-10	7.12e-11	3.97e-11	1.97e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  850.0	PI47-2a:LP-DIR-T26
	This study	This study		    3.2	192.5	 23.6 	PI47-2a:LP-DIR-T	hargrave 2015-11-05 12:08:11	8.55e-10	2.40e-11	3.74e-11	2.72e-11	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-2a	u	0	0	0.00	0.00	  852.0	PI47-2a:LP-DIR-T27
	This study	This study		    2.1	207.8	 49.0 	PI47-3a:LP-DIR-T	hargrave 2015-09-16 18:23:13	7.36e-08	9.00e-10	2.33e-09	1.05e-09	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	273	PI47-3a:LP-DIR-T1
	This study	This study		    1.7	202.9	 48.4 	PI47-3a:LP-DIR-T	hargrave 2015-09-19 18:32:47	7.30e-08	8.61e-10	1.99e-09	5.92e-10	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  323.0	PI47-3a:LP-DIR-T2
	This study	This study		    0.9	205.0	 48.3 	PI47-3a:LP-DIR-T	hargrave 2015-09-21 22:13:54	7.17e-08	8.62e-10	8.34e-10	2.17e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  348.0	PI47-3a:LP-DIR-T3
	This study	This study		    1.6	206.4	 47.3 	PI47-3a:LP-DIR-T	hargrave 2015-09-24 09:47:45	6.82e-08	7.65e-10	1.87e-09	1.20e-10	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  373.0	PI47-3a:LP-DIR-T4
	This study	This study		    1.3	212.2	 45.0 	PI47-3a:LP-DIR-T	hargrave 2015-09-24 15:44:11	6.33e-08	1.09e-09	8.65e-10	6.40e-10	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  398.0	PI47-3a:LP-DIR-T5
	This study	This study		    1.2	213.6	 42.0 	PI47-3a:LP-DIR-T	hargrave 2015-09-25 12:27:15	5.80e-08	4.88e-10	9.91e-10	6.25e-10	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  423.0	PI47-3a:LP-DIR-T6
	This study	This study		    1.1	215.7	 39.4 	PI47-3a:LP-DIR-T	hargrave 2015-09-26 13:50:22	5.36e-08	6.83e-10	9.46e-10	2.97e-10	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  448.0	PI47-3a:LP-DIR-T7
	This study	This study		    1.7	216.3	 38.9 	PI47-3a:LP-DIR-T	hargrave 2015-09-26 19:48:57	5.18e-08	5.58e-10	1.43e-09	3.38e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  473.0	PI47-3a:LP-DIR-T8
	This study	This study		    0.7	219.8	 37.8 	PI47-3a:LP-DIR-T	hargrave 2015-09-28 19:40:05	4.91e-08	3.45e-10	5.62e-10	2.45e-10	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  498.0	PI47-3a:LP-DIR-T9
	This study	This study		    0.9	218.5	 37.9 	PI47-3a:LP-DIR-T	hargrave 2015-10-01 11:58:49	4.83e-08	7.34e-10	3.19e-10	3.04e-10	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  523.0	PI47-3a:LP-DIR-T10
	This study	This study		    1.2	218.9	 37.1 	PI47-3a:LP-DIR-T	hargrave 2015-10-05 18:51:01	4.62e-08	7.60e-10	5.28e-10	3.48e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  548.0	PI47-3a:LP-DIR-T11
	This study	This study		    1.1	217.8	 37.1 	PI47-3a:LP-DIR-T	hargrave 2015-10-06 02:26:11	4.32e-08	7.49e-10	2.82e-10	3.42e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  573.0	PI47-3a:LP-DIR-T12
	This study	This study		    2.4	218.4	 35.9 	PI47-3a:LP-DIR-T	hargrave 2015-10-06 07:01:15	4.00e-08	1.26e-09	1.07e-09	1.95e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  598.0	PI47-3a:LP-DIR-T13
	This study	This study		    3.4	222.2	 35.6 	PI47-3a:LP-DIR-T	hargrave 2015-10-06 12:47:10	3.57e-08	1.56e-09	1.44e-09	1.27e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  623.0	PI47-3a:LP-DIR-T14
	This study	This study		    5.2	216.0	 35.1 	PI47-3a:LP-DIR-T	hargrave 2015-10-08 13:22:17	3.17e-08	2.07e-09	2.00e-09	2.79e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  648.0	PI47-3a:LP-DIR-T15
	This study	This study		    3.9	219.2	 32.7 	PI47-3a:LP-DIR-T	hargrave 2015-10-10 16:25:07	2.76e-08	1.23e-09	1.45e-09	1.15e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  673.0	PI47-3a:LP-DIR-T16
	This study	This study		    2.4	215.5	 31.4 	PI47-3a:LP-DIR-T	hargrave 2015-10-13 11:12:49	2.32e-08	8.72e-10	5.11e-10	3.42e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  698.0	PI47-3a:LP-DIR-T17
	This study	This study		    1.9	215.5	 32.2 	PI47-3a:LP-DIR-T	hargrave 2015-10-13 16:54:00	1.92e-08	4.38e-10	3.91e-10	3.84e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  723.0	PI47-3a:LP-DIR-T18
	This study	This study		    3.4	214.5	 31.4 	PI47-3a:LP-DIR-T	hargrave 2015-10-16 18:38:38	1.57e-08	7.31e-10	3.79e-10	4.86e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  748.0	PI47-3a:LP-DIR-T19
	This study	This study		    4.1	208.8	 30.9 	PI47-3a:LP-DIR-T	hargrave 2015-10-19 18:30:42	1.19e-08	2.87e-10	7.95e-10	2.42e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  773.0	PI47-3a:LP-DIR-T20
	This study	This study		    2.3	209.0	 21.0 	PI47-3a:LP-DIR-T	hargrave 2015-10-20 13:32:02	6.61e-09	2.06e-10	1.69e-10	1.12e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  798.0	PI47-3a:LP-DIR-T21
	This study	This study		    2.6	201.0	 37.2 	PI47-3a:LP-DIR-T	hargrave 2015-10-26 14:28:45	4.27e-09	1.26e-10	1.65e-10	2.74e-11	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  823.0	PI47-3a:LP-DIR-T22
	This study	This study	average of multiple measurements	    1.3	  208.2	   30.0	PI47-3a:LP-DIR-T	hargrave 2015-10-29 10:53:43	3.630e-09	5.79e-11	1.08e-10	1.17e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  833.0	PI47-3a:LP-DIR-T23
	This study	This study		    5.4	246.0	 36.7 	PI47-3a:LP-DIR-T	hargrave 2015-10-29 16:52:36	1.55e-09	4.62e-11	1.16e-10	8.34e-11	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  843.0	PI47-3a:LP-DIR-T24
	This study	This study	average of multiple measurements	    5.7	  173.7	  -28.9	PI47-3a:LP-DIR-T	hargrave 2015-10-31 13:37:06	2.993e-10	1.83e-11	6.62e-11	5.04e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  848.0	PI47-3a:LP-DIR-T25
	This study	This study	average of multiple measurements	    8.5	  240.3	   52.9	PI47-3a:LP-DIR-T	hargrave 2015-11-03 10:31:41	9.266e-10	5.35e-11	8.56e-11	6.85e-11	    3.0	273	LT-T-Z:DE-VM:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  850.0	PI47-3a:LP-DIR-T26
	This study	This study	average of multiple measurements	    3.7	  243.1	   44.0	PI47-3a:LP-DIR-T	hargrave 2015-11-05 13:19:54	2.637e-10	1.58e-11	1.07e-10	5.27e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-3a	u	0	0	0.00	0.00	  852.0	PI47-3a:LP-DIR-T27
