tab	ages
age	location	site	age_unit	citations	description	method_codes
23.4191	DSDP Site 522	15-2-061	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4298	DSDP Site 522	15-2-064	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4404	DSDP Site 522	15-2-067	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4511	DSDP Site 522	15-2-070	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4618	DSDP Site 522	15-2-073	Ma	This study		GM-PMAG-POL:GM-INT-L
23.476	DSDP Site 522	15-2-076	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4867	DSDP Site 522	15-2-079	Ma	This study		GM-PMAG-POL:GM-INT-L
23.4973	DSDP Site 522	15-2-082	Ma	This study		GM-PMAG-POL:GM-INT-L
23.508000000000006	DSDP Site 522	15-2-085	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5187	DSDP Site 522	15-2-088	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5293	DSDP Site 522	15-2-091	Ma	This study		GM-PMAG-POL:GM-INT-L
23.54	DSDP Site 522	15-2-095	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5453	DSDP Site 522	15-2-098	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5507	DSDP Site 522	15-2-101	Ma	This study		GM-PMAG-POL:GM-INT-L
23.556	DSDP Site 522	15-2-104	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5613	DSDP Site 522	15-2-107	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5649	DSDP Site 522	15-2-109	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5737	DSDP Site 522	15-2-113	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5791	DSDP Site 522	15-2-116	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5844	DSDP Site 522	15-2-119	Ma	This study		GM-PMAG-POL:GM-INT-L
23.5897	DSDP Site 522	15-2-123	Ma	This study		GM-PMAG-POL:GM-INT-L
23.595	DSDP Site 522	15-2-126	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6004	DSDP Site 522	15-2-128	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6057	DSDP Site 522	15-2-132	Ma	This study		GM-PMAG-POL:GM-INT-L
23.611	DSDP Site 522	15-2-135	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6164	DSDP Site 522	15-2-138	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6217	DSDP Site 522	15-2-141	Ma	This study		GM-PMAG-POL:GM-INT-L
23.627	DSDP Site 522	15-2-143	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6323	DSDP Site 522	15-2-147	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6377	DSDP Site 522	15-2-150	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6394	DSDP Site 522	15-3-001	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6465	DSDP Site 522	15-3-004	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6519	DSDP Site 522	15-3-007	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6572	DSDP Site 522	15-3-010	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6625	DSDP Site 522	15-3-013	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6661	DSDP Site 522	15-3-015	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6732	DSDP Site 522	15-3-019	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6785	DSDP Site 522	15-3-022	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6821	DSDP Site 522	15-3-025	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6892	DSDP Site 522	15-3-028	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6945	DSDP Site 522	15-3-031	Ma	This study		GM-PMAG-POL:GM-INT-L
23.6998	DSDP Site 522	15-3-035	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7051	DSDP Site 522	15-3-038	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7105	DSDP Site 522	15-3-041	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7158	DSDP Site 522	15-3-044	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7211	DSDP Site 522	15-3-047	Ma	This study		GM-PMAG-POL:GM-INT-L
23.73	DSDP Site 522	15-3-051	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7339	DSDP Site 522	15-3-054	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7398	DSDP Site 522	15-3-057	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7495	DSDP Site 522	15-3-061	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7534	DSDP Site 522	15-3-064	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7593	DSDP Site 522	15-3-067	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7671	DSDP Site 522	15-3-071	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7749	DSDP Site 522	15-3-075	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7807	DSDP Site 522	15-3-078	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7866	DSDP Site 522	15-3-080	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7924	DSDP Site 522	15-3-083	Ma	This study		GM-PMAG-POL:GM-INT-L
23.7983	DSDP Site 522	15-3-086	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8041	DSDP Site 522	15-3-089	Ma	This study		GM-PMAG-POL:GM-INT-L
23.81	DSDP Site 522	15-3-092	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8162	DSDP Site 522	15-3-096	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8203	DSDP Site 522	15-3-098	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8285	DSDP Site 522	15-3-101	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8347	DSDP Site 522	15-3-104	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8388	DSDP Site 522	15-3-107	Ma	This study		GM-PMAG-POL:GM-INT-L
23.845	DSDP Site 522	15-3-109	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8511	DSDP Site 522	15-3-112	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8573	DSDP Site 522	15-3-115	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8635	DSDP Site 522	15-3-118	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8696	DSDP Site 522	15-3-122	Ma	This study		GM-PMAG-POL:GM-INT-L
23.8758	DSDP Site 522	15-3-125	Ma	This study		GM-PMAG-POL:GM-INT-L
23.884	DSDP Site 522	15-3-129	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1082	DSDP Site 522	16-1-098	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1164	DSDP Site 522	16-1-101	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1226	DSDP Site 522	16-1-104	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1287	DSDP Site 522	16-1-108	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1349	DSDP Site 522	16-1-110	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1431	DSDP Site 522	16-1-115	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1514	DSDP Site 522	16-1-119	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1596	DSDP Site 522	16-1-122	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1637	DSDP Site 522	16-1-125	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1699	DSDP Site 522	16-1-128	Ma	This study		GM-PMAG-POL:GM-INT-L
24.176	DSDP Site 522	16-1-131	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1822	DSDP Site 522	16-1-134	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1904	DSDP Site 522	16-1-137	Ma	This study		GM-PMAG-POL:GM-INT-L
24.1946	DSDP Site 522	16-1-140	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2007	DSDP Site 522	16-1-142	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2048	DSDP Site 522	16-1-145	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2131	DSDP Site 522	16-1-148	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2192	DSDP Site 522	16-2-001	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2275	DSDP Site 522	16-2-005	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2336	DSDP Site 522	16-2-008	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2419	DSDP Site 522	16-2-012	Ma	This study		GM-PMAG-POL:GM-INT-L
24.248	DSDP Site 522	16-2-015	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2521	DSDP Site 522	16-2-018	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2583	DSDP Site 522	16-2-021	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2645	DSDP Site 522	16-2-024	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2748	DSDP Site 522	16-2-029	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2809	DSDP Site 522	16-2-032	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2871	DSDP Site 522	16-2-034	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2953	DSDP Site 522	16-2-038	Ma	This study		GM-PMAG-POL:GM-INT-L
24.2994	DSDP Site 522	16-2-041	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3179	DSDP Site 522	16-2-050	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3241	DSDP Site 522	16-2-053	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3303	DSDP Site 522	16-2-056	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3365	DSDP Site 522	16-2-059	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3406	DSDP Site 522	16-2-061	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3467	DSDP Site 522	16-2-064	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3529	DSDP Site 522	16-2-066	Ma	This study		GM-PMAG-POL:GM-INT-L
24.357	DSDP Site 522	16-2-069	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3652	DSDP Site 522	16-2-073	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3714	DSDP Site 522	16-2-076	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3776	DSDP Site 522	16-2-079	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3837	DSDP Site 522	16-2-082	Ma	This study		GM-PMAG-POL:GM-INT-L
24.3899	DSDP Site 522	16-2-085	Ma	This study		GM-PMAG-POL:GM-INT-L
24.394	DSDP Site 522	16-2-087	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4023	DSDP Site 522	16-2-090	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4064	DSDP Site 522	16-2-093	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4125	DSDP Site 522	16-2-096	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4187	DSDP Site 522	16-2-098	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4249	DSDP Site 522	16-2-101	Ma	This study		GM-PMAG-POL:GM-INT-L
24.431	DSDP Site 522	16-2-104	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4352	DSDP Site 522	16-2-107	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4413	DSDP Site 522	16-2-110	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4475	DSDP Site 522	16-2-112	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4537	DSDP Site 522	16-2-116	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4681	DSDP Site 522	16-2-122	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4763	DSDP Site 522	16-2-127	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4825	DSDP Site 522	16-2-130	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4886	DSDP Site 522	16-2-132	Ma	This study		GM-PMAG-POL:GM-INT-L
24.4948	DSDP Site 522	16-2-135	Ma	This study		GM-PMAG-POL:GM-INT-L
24.501	DSDP Site 522	16-2-138	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5071	DSDP Site 522	16-2-141	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5133	DSDP Site 522	16-2-144	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5195	DSDP Site 522	16-2-147	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5256	DSDP Site 522	16-2-150	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5298	DSDP Site 522	16-3-002	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5339	DSDP Site 522	16-3-004	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5421	DSDP Site 522	16-3-008	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5462	DSDP Site 522	16-3-011	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5544	DSDP Site 522	16-3-014	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5585	DSDP Site 522	16-3-017	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5647	DSDP Site 522	16-3-020	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5709	DSDP Site 522	16-3-023	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5771	DSDP Site 522	16-3-026	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5832	DSDP Site 522	16-3-028	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5894	DSDP Site 522	16-3-031	Ma	This study		GM-PMAG-POL:GM-INT-L
24.5956	DSDP Site 522	16-3-034	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6017	DSDP Site 522	16-3-037	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6079	DSDP Site 522	16-3-040	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6141	DSDP Site 522	16-3-043	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6182	DSDP Site 522	16-3-045	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6244	DSDP Site 522	16-3-048	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6305	DSDP Site 522	16-3-051	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6367	DSDP Site 522	16-3-054	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6429	DSDP Site 522	16-3-057	Ma	This study		GM-PMAG-POL:GM-INT-L
24.647	DSDP Site 522	16-3-060	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6552	DSDP Site 522	16-3-063	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6614	DSDP Site 522	16-3-066	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6655	DSDP Site 522	16-3-069	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6737	DSDP Site 522	16-3-072	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6799	DSDP Site 522	16-3-075	Ma	This study		GM-PMAG-POL:GM-INT-L
24.686	DSDP Site 522	16-3-078	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6881	DSDP Site 522	16-3-080	Ma	This study		GM-PMAG-POL:GM-INT-L
24.6963	DSDP Site 522	16-3-083	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7025	DSDP Site 522	16-3-086	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7087	DSDP Site 522	16-3-089	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7148	DSDP Site 522	16-3-092	Ma	This study		GM-PMAG-POL:GM-INT-L
24.721	DSDP Site 522	16-3-095	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7251	DSDP Site 522	16-3-098	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7333	DSDP Site 522	16-3-102	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7395	DSDP Site 522	16-3-105	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7457	DSDP Site 522	16-3-108	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7519	DSDP Site 522	16-3-110	Ma	This study		GM-PMAG-POL:GM-INT-L
24.758000000000006	DSDP Site 522	16-3-114	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7642	DSDP Site 522	16-3-116	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7704	DSDP Site 522	16-3-119	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7765	DSDP Site 522	16-3-122	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7827	DSDP Site 522	16-3-125	Ma	This study		GM-PMAG-POL:GM-INT-L
24.7868	DSDP Site 522	16-3-127	Ma	This study		GM-PMAG-POL:GM-INT-L
24.8238	DSDP Site 522	17-1-005	Ma	This study		GM-PMAG-POL:GM-INT-L
24.83	DSDP Site 522	17-1-009	Ma	This study		GM-PMAG-POL:GM-INT-L
24.836	DSDP Site 522	17-1-012	Ma	This study		GM-PMAG-POL:GM-INT-L
24.842	DSDP Site 522	17-1-015	Ma	This study		GM-PMAG-POL:GM-INT-L
24.85	DSDP Site 522	17-1-018	Ma	This study		GM-PMAG-POL:GM-INT-L
24.856	DSDP Site 522	17-1-021	Ma	This study		GM-PMAG-POL:GM-INT-L
24.858	DSDP Site 522	17-1-022	Ma	This study		GM-PMAG-POL:GM-INT-L
24.86	DSDP Site 522	17-1-023	Ma	This study		GM-PMAG-POL:GM-INT-L
24.866	DSDP Site 522	17-1-026	Ma	This study		GM-PMAG-POL:GM-INT-L
24.872	DSDP Site 522	17-1-030	Ma	This study		GM-PMAG-POL:GM-INT-L
24.884	DSDP Site 522	17-1-035	Ma	This study		GM-PMAG-POL:GM-INT-L
24.892	DSDP Site 522	17-1-040	Ma	This study		GM-PMAG-POL:GM-INT-L
24.898000000000003	DSDP Site 522	17-1-042	Ma	This study		GM-PMAG-POL:GM-INT-L
24.904	DSDP Site 522	17-1-045	Ma	This study		GM-PMAG-POL:GM-INT-L
24.91	DSDP Site 522	17-1-048	Ma	This study		GM-PMAG-POL:GM-INT-L
24.916	DSDP Site 522	17-1-051	Ma	This study		GM-PMAG-POL:GM-INT-L
24.922	DSDP Site 522	17-1-054	Ma	This study		GM-PMAG-POL:GM-INT-L
24.93	DSDP Site 522	17-1-058	Ma	This study		GM-PMAG-POL:GM-INT-L
24.934	DSDP Site 522	17-1-061	Ma	This study		GM-PMAG-POL:GM-INT-L
24.94	DSDP Site 522	17-1-064	Ma	This study		GM-PMAG-POL:GM-INT-L
24.946	DSDP Site 522	17-1-066	Ma	This study		GM-PMAG-POL:GM-INT-L
24.952	DSDP Site 522	17-1-069	Ma	This study		GM-PMAG-POL:GM-INT-L
24.958	DSDP Site 522	17-1-072	Ma	This study		GM-PMAG-POL:GM-INT-L
24.964	DSDP Site 522	17-1-075	Ma	This study		GM-PMAG-POL:GM-INT-L
24.97	DSDP Site 522	17-1-079	Ma	This study		GM-PMAG-POL:GM-INT-L
24.974	DSDP Site 522	17-1-081	Ma	This study		GM-PMAG-POL:GM-INT-L
24.982	DSDP Site 522	17-1-085	Ma	This study		GM-PMAG-POL:GM-INT-L
24.988000000000003	DSDP Site 522	17-1-087	Ma	This study		GM-PMAG-POL:GM-INT-L
24.994	DSDP Site 522	17-1-091	Ma	This study		GM-PMAG-POL:GM-INT-L
25.002	DSDP Site 522	17-1-094	Ma	This study		GM-PMAG-POL:GM-INT-L
25.008000000000006	DSDP Site 522	17-1-097	Ma	This study		GM-PMAG-POL:GM-INT-L
25.014	DSDP Site 522	17-1-100	Ma	This study		GM-PMAG-POL:GM-INT-L
25.02	DSDP Site 522	17-1-103	Ma	This study		GM-PMAG-POL:GM-INT-L
25.026	DSDP Site 522	17-1-107	Ma	This study		GM-PMAG-POL:GM-INT-L
25.032	DSDP Site 522	17-1-110	Ma	This study		GM-PMAG-POL:GM-INT-L
25.04	DSDP Site 522	17-1-113	Ma	This study		GM-PMAG-POL:GM-INT-L
25.044	DSDP Site 522	17-1-116	Ma	This study		GM-PMAG-POL:GM-INT-L
25.05	DSDP Site 522	17-1-119	Ma	This study		GM-PMAG-POL:GM-INT-L
25.058000000000003	DSDP Site 522	17-1-123	Ma	This study		GM-PMAG-POL:GM-INT-L
25.064	DSDP Site 522	17-1-125	Ma	This study		GM-PMAG-POL:GM-INT-L
25.07	DSDP Site 522	17-1-128	Ma	This study		GM-PMAG-POL:GM-INT-L
25.076	DSDP Site 522	17-1-131	Ma	This study		GM-PMAG-POL:GM-INT-L
25.082	DSDP Site 522	17-1-134	Ma	This study		GM-PMAG-POL:GM-INT-L
25.086	DSDP Site 522	17-1-137	Ma	This study		GM-PMAG-POL:GM-INT-L
25.094	DSDP Site 522	17-1-141	Ma	This study		GM-PMAG-POL:GM-INT-L
25.1	DSDP Site 522	17-1-144	Ma	This study		GM-PMAG-POL:GM-INT-L
25.106	DSDP Site 522	17-1-147	Ma	This study		GM-PMAG-POL:GM-INT-L
25.112	DSDP Site 522	17-1-150	Ma	This study		GM-PMAG-POL:GM-INT-L
25.122	DSDP Site 522	17-2-004	Ma	This study		GM-PMAG-POL:GM-INT-L
25.128	DSDP Site 522	17-2-008	Ma	This study		GM-PMAG-POL:GM-INT-L
25.136	DSDP Site 522	17-2-011	Ma	This study		GM-PMAG-POL:GM-INT-L
25.138	DSDP Site 522	17-2-013	Ma	This study		GM-PMAG-POL:GM-INT-L
25.148000000000003	DSDP Site 522	17-2-017	Ma	This study		GM-PMAG-POL:GM-INT-L
25.152	DSDP Site 522	17-2-020	Ma	This study		GM-PMAG-POL:GM-INT-L
25.16	DSDP Site 522	17-2-024	Ma	This study		GM-PMAG-POL:GM-INT-L
25.166	DSDP Site 522	17-2-027	Ma	This study		GM-PMAG-POL:GM-INT-L
25.172	DSDP Site 522	17-2-030	Ma	This study		GM-PMAG-POL:GM-INT-L
25.18	DSDP Site 522	17-2-033	Ma	This study		GM-PMAG-POL:GM-INT-L
25.1841	DSDP Site 522	17-2-037	Ma	This study		GM-PMAG-POL:GM-INT-L
25.1895	DSDP Site 522	17-2-040	Ma	This study		GM-PMAG-POL:GM-INT-L
25.1936	DSDP Site 522	17-2-043	Ma	This study		GM-PMAG-POL:GM-INT-L
25.1963	DSDP Site 522	17-2-046	Ma	This study		GM-PMAG-POL:GM-INT-L
25.2017	DSDP Site 522	17-2-049	Ma	This study		GM-PMAG-POL:GM-INT-L
