tab	measurements
citations	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study			15-1-057:LP-X			300	15-1-057:LP-X52	LP-X			15-1-057		3.678e-07	0.01	0.0	52	300
This study	6.4	-46.1	15-1-060:LP-AF-DIR		9.992999999999999e-06	300	15-1-060:LP-AF-DIR53	LT-AF-Z	g		15-1-060	u		0.015	0.0	53	300
This study			15-1-060:LP-ARM		0.0002028	300	15-1-060:LP-ARM54	LT-AF-I	g		15-1-060	u		0.08	5e-05	54	300
This study			15-1-060:LP-IRM		0.004241	300	15-1-060:LP-IRM55	LT-IRM	g		15-1-060	u		0.0	1.0	55	300
This study			15-1-060:LP-X			300	15-1-060:LP-X56	LP-X			15-1-060		3.1309999999999996e-07	0.01	0.0	56	300
This study	347.6	-41.3	15-1-063:LP-AF-DIR		8.918e-06	300	15-1-063:LP-AF-DIR57	LT-AF-Z	g		15-1-063	u		0.015	0.0	57	300
This study			15-1-063:LP-ARM		0.00021319999999999998	300	15-1-063:LP-ARM58	LT-AF-I	g		15-1-063	u		0.08	5e-05	58	300
This study			15-1-063:LP-IRM		0.004478	300	15-1-063:LP-IRM59	LT-IRM	g		15-1-063	u		0.0	1.0	59	300
This study			15-1-063:LP-X			300	15-1-063:LP-X60	LP-X			15-1-063		3.333e-07	0.01	0.0	60	300
This study	359.7	-51.9	15-1-066:LP-AF-DIR		9.196e-06	300	15-1-066:LP-AF-DIR61	LT-AF-Z	g		15-1-066	u		0.015	0.0	61	300
This study			15-1-066:LP-ARM		0.000204	300	15-1-066:LP-ARM62	LT-AF-I	g		15-1-066	u		0.08	5e-05	62	300
This study			15-1-066:LP-IRM		0.004306	300	15-1-066:LP-IRM63	LT-IRM	g		15-1-066	u		0.0	1.0	63	300
This study			15-1-066:LP-X			300	15-1-066:LP-X64	LP-X			15-1-066		3.149e-07	0.01	0.0	64	300
This study	359.1	-52.0	15-1-069:LP-AF-DIR		7.858e-06	300	15-1-069:LP-AF-DIR65	LT-AF-Z	g		15-1-069	u		0.015	0.0	65	300
This study			15-1-069:LP-ARM		0.0002026	300	15-1-069:LP-ARM66	LT-AF-I	g		15-1-069	u		0.08	5e-05	66	300
This study			15-1-069:LP-IRM		0.004190999999999999	300	15-1-069:LP-IRM67	LT-IRM	g		15-1-069	u		0.0	1.0	67	300
This study			15-1-069:LP-X			300	15-1-069:LP-X68	LP-X			15-1-069		3.05e-07	0.01	0.0	68	300
This study	347.5	-39.3	15-1-072:LP-AF-DIR		7.296e-06	300	15-1-072:LP-AF-DIR69	LT-AF-Z	g		15-1-072	u		0.015	0.0	69	300
This study			15-1-072:LP-ARM		0.0001902	300	15-1-072:LP-ARM70	LT-AF-I	g		15-1-072	u		0.08	5e-05	70	300
This study			15-1-072:LP-IRM		0.003967	300	15-1-072:LP-IRM71	LT-IRM	g		15-1-072	u		0.0	1.0	71	300
This study			15-1-072:LP-X			300	15-1-072:LP-X72	LP-X			15-1-072		2.84e-07	0.01	0.0	72	300
This study	347.3	-37.0	15-1-075:LP-AF-DIR		6.4979999999999994e-06	300	15-1-075:LP-AF-DIR73	LT-AF-Z	g		15-1-075	u		0.015	0.0	73	300
This study			15-1-075:LP-ARM		0.0001792	300	15-1-075:LP-ARM74	LT-AF-I	g		15-1-075	u		0.08	5e-05	74	300
This study			15-1-075:LP-IRM		0.00371	300	15-1-075:LP-IRM75	LT-IRM	g		15-1-075	u		0.0	1.0	75	300
This study			15-1-075:LP-X			300	15-1-075:LP-X76	LP-X			15-1-075		2.568e-07	0.01	0.0	76	300
This study	359.5	-50.5	15-1-079:LP-AF-DIR		5.6129999999999995e-06	300	15-1-079:LP-AF-DIR77	LT-AF-Z	g		15-1-079	u		0.015	0.0	77	300
This study			15-1-079:LP-ARM		0.00016140000000000002	300	15-1-079:LP-ARM78	LT-AF-I	g		15-1-079	u		0.08	5e-05	78	300
This study			15-1-079:LP-IRM		0.003483	300	15-1-079:LP-IRM79	LT-IRM	g		15-1-079	u		0.0	1.0	79	300
This study			15-1-079:LP-X			300	15-1-079:LP-X80	LP-X			15-1-079		2.377e-07	0.01	0.0	80	300
This study	13.7	-50.5	15-1-082:LP-AF-DIR		6.638e-06	300	15-1-082:LP-AF-DIR81	LT-AF-Z	g		15-1-082	u		0.015	0.0	81	300
This study			15-1-082:LP-ARM		0.0001979	300	15-1-082:LP-ARM82	LT-AF-I	g		15-1-082	u		0.08	5e-05	82	300
This study			15-1-082:LP-IRM		0.004106	300	15-1-082:LP-IRM83	LT-IRM	g		15-1-082	u		0.0	1.0	83	300
This study			15-1-082:LP-X			300	15-1-082:LP-X84	LP-X			15-1-082		2.7719999999999997e-07	0.01	0.0	84	300
This study	1.8	-45.7	15-1-085:LP-AF-DIR		6.205e-06	300	15-1-085:LP-AF-DIR85	LT-AF-Z	g		15-1-085	u		0.015	0.0	85	300
This study			15-1-085:LP-ARM		0.0002037	300	15-1-085:LP-ARM86	LT-AF-I	g		15-1-085	u		0.08	5e-05	86	300
This study			15-1-085:LP-IRM		0.003868	300	15-1-085:LP-IRM87	LT-IRM	g		15-1-085	u		0.0	1.0	87	300
This study			15-1-085:LP-X			300	15-1-085:LP-X88	LP-X			15-1-085		2.645e-07	0.01	0.0	88	300
This study	9.7	-44.5	15-1-088:LP-AF-DIR		7.385e-06	300	15-1-088:LP-AF-DIR89	LT-AF-Z	g		15-1-088	u		0.015	0.0	89	300
This study			15-1-088:LP-ARM		0.00017680000000000001	300	15-1-088:LP-ARM90	LT-AF-I	g		15-1-088	u		0.08	5e-05	90	300
This study			15-1-088:LP-IRM		0.0035229999999999997	300	15-1-088:LP-IRM91	LT-IRM	g		15-1-088	u		0.0	1.0	91	300
This study			15-1-088:LP-X			300	15-1-088:LP-X92	LP-X			15-1-088		2.425e-07	0.01	0.0	92	300
This study	4.8	-45.0	15-1-091:LP-AF-DIR		5.6539999999999996e-06	300	15-1-091:LP-AF-DIR93	LT-AF-Z	g		15-1-091	u		0.015	0.0	93	300
This study			15-1-091:LP-ARM		0.00016759999999999998	300	15-1-091:LP-ARM94	LT-AF-I	g		15-1-091	u		0.08	5e-05	94	300
This study			15-1-091:LP-IRM		0.0031	300	15-1-091:LP-IRM95	LT-IRM	g		15-1-091	u		0.0	1.0	95	300
This study			15-1-091:LP-X			300	15-1-091:LP-X96	LP-X			15-1-091		2.118e-07	0.01	0.0	96	300
This study	11.9	-48.8	15-1-094:LP-AF-DIR		5.2520000000000016e-06	300	15-1-094:LP-AF-DIR97	LT-AF-Z	g		15-1-094	u		0.015	0.0	97	300
This study			15-1-094:LP-ARM		0.0001537	300	15-1-094:LP-ARM98	LT-AF-I	g		15-1-094	u		0.08	5e-05	98	300
This study			15-1-094:LP-IRM		0.002837	300	15-1-094:LP-IRM99	LT-IRM	g		15-1-094	u		0.0	1.0	99	300
This study			15-1-094:LP-X			300	15-1-094:LP-X100	LP-X			15-1-094		1.939e-07	0.01	0.0	100	300
This study	357.1	-30.3	15-1-097:LP-AF-DIR		4.977e-06	300	15-1-097:LP-AF-DIR101	LT-AF-Z	g		15-1-097	u		0.015	0.0	101	300
This study			15-1-097:LP-ARM		0.0001538	300	15-1-097:LP-ARM102	LT-AF-I	g		15-1-097	u		0.08	5e-05	102	300
This study			15-1-097:LP-IRM		0.0029010000000000004	300	15-1-097:LP-IRM103	LT-IRM	g		15-1-097	u		0.0	1.0	103	300
This study			15-1-097:LP-X			300	15-1-097:LP-X104	LP-X			15-1-097		1.921e-07	0.01	0.0	104	300
This study	16.4	-47.7	15-1-100:LP-AF-DIR		5.398e-06	300	15-1-100:LP-AF-DIR105	LT-AF-Z	g		15-1-100	u		0.015	0.0	105	300
This study			15-1-100:LP-ARM		0.00014869999999999998	300	15-1-100:LP-ARM106	LT-AF-I	g		15-1-100	u		0.08	5e-05	106	300
This study			15-1-100:LP-IRM		0.002777	300	15-1-100:LP-IRM107	LT-IRM	g		15-1-100	u		0.0	1.0	107	300
This study			15-1-100:LP-X			300	15-1-100:LP-X108	LP-X			15-1-100		1.91e-07	0.01	0.0	108	300
This study	17.6	-32.3	15-1-103:LP-AF-DIR		4.566e-06	300	15-1-103:LP-AF-DIR109	LT-AF-Z	g		15-1-103	u		0.015	0.0	109	300
This study			15-1-103:LP-ARM		0.0001764	300	15-1-103:LP-ARM110	LT-AF-I	g		15-1-103	u		0.08	5e-05	110	300
This study			15-1-103:LP-IRM		0.003295	300	15-1-103:LP-IRM111	LT-IRM	g		15-1-103	u		0.0	1.0	111	300
This study			15-1-103:LP-X			300	15-1-103:LP-X112	LP-X			15-1-103		2.1929999999999999e-07	0.01	0.0	112	300
This study	7.6	-10.5	15-1-106:LP-AF-DIR		1.8019999999999999e-06	300	15-1-106:LP-AF-DIR113	LT-AF-Z	g		15-1-106	u		0.015	0.0	113	300
This study			15-1-106:LP-ARM		0.0001847	300	15-1-106:LP-ARM114	LT-AF-I	g		15-1-106	u		0.08	5e-05	114	300
This study			15-1-106:LP-IRM		0.003438	300	15-1-106:LP-IRM115	LT-IRM	g		15-1-106	u		0.0	1.0	115	300
This study			15-1-106:LP-X			300	15-1-106:LP-X116	LP-X			15-1-106		2.3030000000000002e-07	0.01	0.0	116	300
This study	15.7	22.6	15-1-109:LP-AF-DIR		1.4609999999999999e-06	300	15-1-109:LP-AF-DIR117	LT-AF-Z	g		15-1-109	u		0.015	0.0	117	300
This study			15-1-109:LP-ARM		0.00017130000000000002	300	15-1-109:LP-ARM118	LT-AF-I	g		15-1-109	u		0.08	5e-05	118	300
This study			15-1-109:LP-IRM		0.0033229999999999996	300	15-1-109:LP-IRM119	LT-IRM	g		15-1-109	u		0.0	1.0	119	300
This study			15-1-109:LP-X			300	15-1-109:LP-X120	LP-X			15-1-109		2.2120000000000002e-07	0.01	0.0	120	300
This study	56.8	72.8	15-1-113:LP-AF-DIR		1.846e-06	300	15-1-113:LP-AF-DIR121	LT-AF-Z	g		15-1-113	u		0.015	0.0	121	300
This study			15-1-113:LP-ARM		0.00015549999999999999	300	15-1-113:LP-ARM122	LT-AF-I	g		15-1-113	u		0.08	5e-05	122	300
This study			15-1-113:LP-IRM		0.003098	300	15-1-113:LP-IRM123	LT-IRM	g		15-1-113	u		0.0	1.0	123	300
This study			15-1-113:LP-X			300	15-1-113:LP-X124	LP-X			15-1-113		2.079e-07	0.01	0.0	124	300
This study	344.2	-11.9	15-1-115:LP-AF-DIR		1.624e-06	300	15-1-115:LP-AF-DIR125	LT-AF-Z	g		15-1-115	u		0.015	0.0	125	300
This study			15-1-115:LP-ARM		0.0001838	300	15-1-115:LP-ARM126	LT-AF-I	g		15-1-115	u		0.08	5e-05	126	300
This study			15-1-115:LP-IRM		0.003296	300	15-1-115:LP-IRM127	LT-IRM	g		15-1-115	u		0.0	1.0	127	300
This study			15-1-115:LP-X			300	15-1-115:LP-X128	LP-X			15-1-115		2.299e-07	0.01	0.0	128	300
This study	3.2	66.0	15-1-118:LP-AF-DIR		1.4280000000000001e-06	300	15-1-118:LP-AF-DIR129	LT-AF-Z	g		15-1-118	u		0.015	0.0	129	300
This study			15-1-118:LP-ARM		0.0001689	300	15-1-118:LP-ARM130	LT-AF-I	g		15-1-118	u		0.08	5e-05	130	300
This study			15-1-118:LP-IRM		0.003074	300	15-1-118:LP-IRM131	LT-IRM	g		15-1-118	u		0.0	1.0	131	300
This study			15-1-118:LP-X			300	15-1-118:LP-X132	LP-X			15-1-118		2.056e-07	0.01	0.0	132	300
This study	172.6	76.8	15-1-122:LP-AF-DIR		3.8719999999999995e-06	300	15-1-122:LP-AF-DIR133	LT-AF-Z	g		15-1-122	u		0.015	0.0	133	300
This study			15-1-122:LP-ARM		0.0001608	300	15-1-122:LP-ARM134	LT-AF-I	g		15-1-122	u		0.08	5e-05	134	300
This study			15-1-122:LP-IRM		0.003061	300	15-1-122:LP-IRM135	LT-IRM	g		15-1-122	u		0.0	1.0	135	300
This study			15-1-122:LP-X			300	15-1-122:LP-X136	LP-X			15-1-122		2.027e-07	0.01	0.0	136	300
This study	179.0	58.9	15-1-125:LP-AF-DIR		6.481e-06	300	15-1-125:LP-AF-DIR137	LT-AF-Z	g		15-1-125	u		0.015	0.0	137	300
This study			15-1-125:LP-ARM		0.0001639	300	15-1-125:LP-ARM138	LT-AF-I	g		15-1-125	u		0.08	5e-05	138	300
This study			15-1-125:LP-IRM		0.0030559999999999997	300	15-1-125:LP-IRM139	LT-IRM	g		15-1-125	u		0.0	1.0	139	300
This study			15-1-125:LP-X			300	15-1-125:LP-X140	LP-X			15-1-125		2.048e-07	0.01	0.0	140	300
This study	165.7	65.2	15-1-128:LP-AF-DIR		3.948e-06	300	15-1-128:LP-AF-DIR141	LT-AF-Z	g		15-1-128	u		0.015	0.0	141	300
This study			15-1-128:LP-ARM		0.00015030000000000002	300	15-1-128:LP-ARM142	LT-AF-I	g		15-1-128	u		0.08	5e-05	142	300
This study			15-1-128:LP-IRM		0.002754	300	15-1-128:LP-IRM143	LT-IRM	g		15-1-128	u		0.0	1.0	143	300
This study			15-1-128:LP-X			300	15-1-128:LP-X144	LP-X			15-1-128		1.7949999999999999e-07	0.01	0.0	144	300
This study	114.4	72.0	15-1-131:LP-AF-DIR		2.781e-06	300	15-1-131:LP-AF-DIR145	LT-AF-Z	g		15-1-131	u		0.015	0.0	145	300
This study			15-1-131:LP-ARM		0.0001359	300	15-1-131:LP-ARM146	LT-AF-I	g		15-1-131	u		0.08	5e-05	146	300
This study			15-1-131:LP-IRM		0.002525	300	15-1-131:LP-IRM147	LT-IRM	g		15-1-131	u		0.0	1.0	147	300
This study			15-1-131:LP-X			300	15-1-131:LP-X148	LP-X			15-1-131		1.702e-07	0.01	0.0	148	300
This study	171.8	72.7	15-1-134:LP-AF-DIR		3.417e-06	300	15-1-134:LP-AF-DIR149	LT-AF-Z	g		15-1-134	u		0.015	0.0	149	300
This study			15-1-134:LP-ARM		0.0001338	300	15-1-134:LP-ARM150	LT-AF-I	g		15-1-134	u		0.08	5e-05	150	300
This study			15-1-134:LP-IRM		0.002514	300	15-1-134:LP-IRM151	LT-IRM	g		15-1-134	u		0.0	1.0	151	300
This study			15-1-134:LP-X			300	15-1-134:LP-X152	LP-X			15-1-134		1.652e-07	0.01	0.0	152	300
This study	189.5	73.2	15-1-137:LP-AF-DIR		3.3e-06	300	15-1-137:LP-AF-DIR153	LT-AF-Z	g		15-1-137	u		0.015	0.0	153	300
This study			15-1-137:LP-ARM		0.0001473	300	15-1-137:LP-ARM154	LT-AF-I	g		15-1-137	u		0.08	5e-05	154	300
This study			15-1-137:LP-IRM		0.002644	300	15-1-137:LP-IRM155	LT-IRM	g		15-1-137	u		0.0	1.0	155	300
This study			15-1-137:LP-X			300	15-1-137:LP-X156	LP-X			15-1-137		1.747e-07	0.01	0.0	156	300
This study	155.8	89.1	15-1-140:LP-AF-DIR		2.487e-06	300	15-1-140:LP-AF-DIR157	LT-AF-Z	g		15-1-140	u		0.015	0.0	157	300
This study			15-1-140:LP-ARM		0.000157	300	15-1-140:LP-ARM158	LT-AF-I	g		15-1-140	u		0.08	5e-05	158	300
This study			15-1-140:LP-IRM		0.0028829999999999997	300	15-1-140:LP-IRM159	LT-IRM	g		15-1-140	u		0.0	1.0	159	300
This study			15-1-140:LP-X			300	15-1-140:LP-X160	LP-X			15-1-140		1.972e-07	0.01	0.0	160	300
This study	198.6	72.3	15-1-144:LP-AF-DIR		2.52e-06	300	15-1-144:LP-AF-DIR161	LT-AF-Z	g		15-1-144	u		0.015	0.0	161	300
This study			15-1-144:LP-ARM		0.0001471	300	15-1-144:LP-ARM162	LT-AF-I	g		15-1-144	u		0.08	5e-05	162	300
This study			15-1-144:LP-IRM		0.002612	300	15-1-144:LP-IRM163	LT-IRM	g		15-1-144	u		0.0	1.0	163	300
This study			15-1-144:LP-X			300	15-1-144:LP-X164	LP-X			15-1-144		1.754e-07	0.01	0.0	164	300
This study	185.4	70.0	15-1-147:LP-AF-DIR		3.826e-06	300	15-1-147:LP-AF-DIR165	LT-AF-Z	g		15-1-147	u		0.015	0.0	165	300
This study			15-1-147:LP-ARM		0.0001412	300	15-1-147:LP-ARM166	LT-AF-I	g		15-1-147	u		0.08	5e-05	166	300
This study			15-1-147:LP-IRM		0.002639	300	15-1-147:LP-IRM167	LT-IRM	g		15-1-147	u		0.0	1.0	167	300
This study			15-1-147:LP-X			300	15-1-147:LP-X168	LP-X			15-1-147		1.773e-07	0.01	0.0	168	300
This study	313.1	78.8	15-1-149:LP-AF-DIR		3.4810000000000002e-06	300	15-1-149:LP-AF-DIR169	LT-AF-Z	g		15-1-149	u		0.015	0.0	169	300
This study			15-1-149:LP-ARM		0.0001392	300	15-1-149:LP-ARM170	LT-AF-I	g		15-1-149	u		0.08	5e-05	170	300
This study			15-1-149:LP-IRM		0.00264	300	15-1-149:LP-IRM171	LT-IRM	g		15-1-149	u		0.0	1.0	171	300
This study			15-1-149:LP-X			300	15-1-149:LP-X172	LP-X			15-1-149		1.8350000000000002e-07	0.01	0.0	172	300
This study	152.8	46.9	15-2-003:LP-AF-DIR		5.8229999999999974e-06	300	15-2-003:LP-AF-DIR173	LT-AF-Z	g		15-2-003	u		0.015	0.0	173	300
This study			15-2-003:LP-ARM		0.0001388	300	15-2-003:LP-ARM174	LT-AF-I	g		15-2-003	u		0.08	5e-05	174	300
This study			15-2-003:LP-IRM		0.0027010000000000003	300	15-2-003:LP-IRM175	LT-IRM	g		15-2-003	u		0.0	1.0	175	300
This study			15-2-003:LP-X			300	15-2-003:LP-X176	LP-X			15-2-003		1.816e-07	0.01	0.0	176	300
This study	149.9	50.0	15-2-005:LP-AF-DIR		8.244e-06	300	15-2-005:LP-AF-DIR177	LT-AF-Z	g		15-2-005	u		0.015	0.0	177	300
This study			15-2-005:LP-ARM		0.00014869999999999998	300	15-2-005:LP-ARM178	LT-AF-I	g		15-2-005	u		0.08	5e-05	178	300
This study			15-2-005:LP-IRM		0.003094	300	15-2-005:LP-IRM179	LT-IRM	g		15-2-005	u		0.0	1.0	179	300
This study			15-2-005:LP-X			300	15-2-005:LP-X180	LP-X			15-2-005		2.0670000000000002e-07	0.01	0.0	180	300
This study	157.8	47.9	15-2-008:LP-AF-DIR		1.242e-05	300	15-2-008:LP-AF-DIR181	LT-AF-Z	g		15-2-008	u		0.015	0.0	181	300
This study			15-2-008:LP-ARM		0.000192	300	15-2-008:LP-ARM182	LT-AF-I	g		15-2-008	u		0.08	5e-05	182	300
This study			15-2-008:LP-IRM		0.004072999999999999	300	15-2-008:LP-IRM183	LT-IRM	g		15-2-008	u		0.0	1.0	183	300
This study			15-2-008:LP-X			300	15-2-008:LP-X184	LP-X			15-2-008		2.716e-07	0.01	0.0	184	300
This study	157.5	47.1	15-2-012:LP-AF-DIR		1.253e-05	300	15-2-012:LP-AF-DIR185	LT-AF-Z	g		15-2-012	u		0.015	0.0	185	300
This study			15-2-012:LP-ARM		0.000215	300	15-2-012:LP-ARM186	LT-AF-I	g		15-2-012	u		0.08	5e-05	186	300
This study			15-2-012:LP-IRM		0.004703	300	15-2-012:LP-IRM187	LT-IRM	g		15-2-012	u		0.0	1.0	187	300
This study			15-2-012:LP-X			300	15-2-012:LP-X188	LP-X			15-2-012		3.177e-07	0.01	0.0	188	300
This study	155.3	44.9	15-2-014:LP-AF-DIR		1.111e-05	300	15-2-014:LP-AF-DIR189	LT-AF-Z	g		15-2-014	u		0.015	0.0	189	300
This study			15-2-014:LP-ARM		0.00023380000000000002	300	15-2-014:LP-ARM190	LT-AF-I	g		15-2-014	u		0.08	5e-05	190	300
This study			15-2-014:LP-IRM		0.005197	300	15-2-014:LP-IRM191	LT-IRM	g		15-2-014	u		0.0	1.0	191	300
This study			15-2-014:LP-X			300	15-2-014:LP-X192	LP-X			15-2-014		3.528000000000001e-07	0.01	0.0	192	300
This study	182.5	33.6	15-2-019:LP-AF-DIR		3.48e-06	300	15-2-019:LP-AF-DIR193	LT-AF-Z	g		15-2-019	u		0.015	0.0	193	300
This study			15-2-019:LP-ARM		0.0002194	300	15-2-019:LP-ARM194	LT-AF-I	g		15-2-019	u		0.08	5e-05	194	300
This study			15-2-019:LP-IRM		0.004755	300	15-2-019:LP-IRM195	LT-IRM	g		15-2-019	u		0.0	1.0	195	300
