tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_mass	meas_temp	measurement	method_codes	quality	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study			15-1-035:LP-ARM	2.22E-04	300	15-1-035:LP-ARM-22	LT-AF-I	g	15-1-035	u		8.00E-02	5.00E-05	22	300
This study			15-1-035:LP-IRM	4.39E-03	300	15-1-035:LP-IRM-23	LT-IRM	g	15-1-035	u		0	1	23	300
This study			15-1-035:LP-X		300	15-1-035:LP-X-24	LP-X		15-1-035		3.08E-07	1.00E-02	0	24	300
This study	127.5	65.9	15-1-039:LP-AF-DIR	4.38E-06	300	15-1-039:LP-AF-DIR-25	LT-AF-Z	g	15-1-039	u		1.50E-02	0	25	300
This study			15-1-039:LP-ARM	2.56E-04	300	15-1-039:LP-ARM-26	LT-AF-I	g	15-1-039	u		8.00E-02	5.00E-05	26	300
This study			15-1-039:LP-IRM	5.04E-03	300	15-1-039:LP-IRM-27	LT-IRM	g	15-1-039	u		0	1	27	300
This study			15-1-039:LP-X		300	15-1-039:LP-X-28	LP-X		15-1-039		3.57E-07	1.00E-02	0	28	300
This study	355	-46.1	15-1-041:LP-AF-DIR	3.00E-06	300	15-1-041:LP-AF-DIR-29	LT-AF-Z	g	15-1-041	u		1.50E-02	0	29	300
This study			15-1-041:LP-ARM	3.10E-04	300	15-1-041:LP-ARM-30	LT-AF-I	g	15-1-041	u		8.00E-02	5.00E-05	30	300
This study			15-1-041:LP-IRM	6.06E-03	300	15-1-041:LP-IRM-31	LT-IRM	g	15-1-041	u		0	1	31	300
This study			15-1-041:LP-X		300	15-1-041:LP-X-32	LP-X		15-1-041		4.43E-07	1.00E-02	0	32	300
This study	2.4	-11.8	15-1-045:LP-AF-DIR	1.42E-06	300	15-1-045:LP-AF-DIR-33	LT-AF-Z	g	15-1-045	u		1.50E-02	0	33	300
This study			15-1-045:LP-ARM	2.83E-04	300	15-1-045:LP-ARM-34	LT-AF-I	g	15-1-045	u		8.00E-02	5.00E-05	34	300
This study			15-1-045:LP-IRM	5.48E-03	300	15-1-045:LP-IRM-35	LT-IRM	g	15-1-045	u		0	1	35	300
This study			15-1-045:LP-X		300	15-1-045:LP-X-36	LP-X		15-1-045		3.97E-07	1.00E-02	0	36	300
This study	357	-47.4	15-1-047:LP-AF-DIR	6.51E-06	300	15-1-047:LP-AF-DIR-37	LT-AF-Z	g	15-1-047	u		1.50E-02	0	37	300
This study			15-1-047:LP-ARM	2.84E-04	300	15-1-047:LP-ARM-38	LT-AF-I	g	15-1-047	u		8.00E-02	5.00E-05	38	300
This study			15-1-047:LP-IRM	5.66E-03	300	15-1-047:LP-IRM-39	LT-IRM	g	15-1-047	u		0	1	39	300
This study			15-1-047:LP-X		300	15-1-047:LP-X-40	LP-X		15-1-047		4.06E-07	1.00E-02	0	40	300
This study	348.7	-30.9	15-1-051:LP-AF-DIR	5.71E-06	300	15-1-051:LP-AF-DIR-41	LT-AF-Z	g	15-1-051	u		1.50E-02	0	41	300
This study			15-1-051:LP-ARM	3.08E-04	300	15-1-051:LP-ARM-42	LT-AF-I	g	15-1-051	u		8.00E-02	5.00E-05	42	300
This study			15-1-051:LP-IRM	5.96E-03	300	15-1-051:LP-IRM-43	LT-IRM	g	15-1-051	u		0	1	43	300
This study			15-1-051:LP-X		300	15-1-051:LP-X-44	LP-X		15-1-051		4.28E-07	1.00E-02	0	44	300
This study	14.2	-49.6	15-1-054:LP-AF-DIR	9.35E-06	300	15-1-054:LP-AF-DIR-45	LT-AF-Z	g	15-1-054	u		1.50E-02	0	45	300
This study			15-1-054:LP-ARM	2.54E-04	300	15-1-054:LP-ARM-46	LT-AF-I	g	15-1-054	u		8.00E-02	5.00E-05	46	300
This study			15-1-054:LP-IRM	5.05E-03	300	15-1-054:LP-IRM-47	LT-IRM	g	15-1-054	u		0	1	47	300
This study			15-1-054:LP-X		300	15-1-054:LP-X-48	LP-X		15-1-054		3.58E-07	1.00E-02	0	48	300
This study	0.9	-50.4	15-1-057:LP-AF-DIR	1.06E-05	300	15-1-057:LP-AF-DIR-49	LT-AF-Z	g	15-1-057	u		1.50E-02	0	49	300
This study			15-1-057:LP-ARM	2.42E-04	300	15-1-057:LP-ARM-50	LT-AF-I	g	15-1-057	u		8.00E-02	5.00E-05	50	300
This study			15-1-057:LP-IRM	5.12E-03	300	15-1-057:LP-IRM-51	LT-IRM	g	15-1-057	u		0	1	51	300
This study			15-1-057:LP-X		300	15-1-057:LP-X-52	LP-X		15-1-057		3.68E-07	1.00E-02	0	52	300
This study	6.4	-46.1	15-1-060:LP-AF-DIR	9.99E-06	300	15-1-060:LP-AF-DIR-53	LT-AF-Z	g	15-1-060	u		1.50E-02	0	53	300
This study			15-1-060:LP-ARM	2.03E-04	300	15-1-060:LP-ARM-54	LT-AF-I	g	15-1-060	u		8.00E-02	5.00E-05	54	300
This study			15-1-060:LP-IRM	4.24E-03	300	15-1-060:LP-IRM-55	LT-IRM	g	15-1-060	u		0	1	55	300
This study			15-1-060:LP-X		300	15-1-060:LP-X-56	LP-X		15-1-060		3.13E-07	1.00E-02	0	56	300
This study	347.6	-41.3	15-1-063:LP-AF-DIR	8.92E-06	300	15-1-063:LP-AF-DIR-57	LT-AF-Z	g	15-1-063	u		1.50E-02	0	57	300
This study			15-1-063:LP-ARM	2.13E-04	300	15-1-063:LP-ARM-58	LT-AF-I	g	15-1-063	u		8.00E-02	5.00E-05	58	300
This study			15-1-063:LP-IRM	4.48E-03	300	15-1-063:LP-IRM-59	LT-IRM	g	15-1-063	u		0	1	59	300
This study			15-1-063:LP-X		300	15-1-063:LP-X-60	LP-X		15-1-063		3.33E-07	1.00E-02	0	60	300
This study	359.7	-51.9	15-1-066:LP-AF-DIR	9.20E-06	300	15-1-066:LP-AF-DIR-61	LT-AF-Z	g	15-1-066	u		1.50E-02	0	61	300
This study			15-1-066:LP-ARM	2.04E-04	300	15-1-066:LP-ARM-62	LT-AF-I	g	15-1-066	u		8.00E-02	5.00E-05	62	300
This study			15-1-066:LP-IRM	4.31E-03	300	15-1-066:LP-IRM-63	LT-IRM	g	15-1-066	u		0	1	63	300
This study			15-1-066:LP-X		300	15-1-066:LP-X-64	LP-X		15-1-066		3.15E-07	1.00E-02	0	64	300
This study	359.1	-52	15-1-069:LP-AF-DIR	7.86E-06	300	15-1-069:LP-AF-DIR-65	LT-AF-Z	g	15-1-069	u		1.50E-02	0	65	300
This study			15-1-069:LP-ARM	2.03E-04	300	15-1-069:LP-ARM-66	LT-AF-I	g	15-1-069	u		8.00E-02	5.00E-05	66	300
This study			15-1-069:LP-IRM	4.19E-03	300	15-1-069:LP-IRM-67	LT-IRM	g	15-1-069	u		0	1	67	300
This study			15-1-069:LP-X		300	15-1-069:LP-X-68	LP-X		15-1-069		3.05E-07	1.00E-02	0	68	300
This study	347.5	-39.3	15-1-072:LP-AF-DIR	7.30E-06	300	15-1-072:LP-AF-DIR-69	LT-AF-Z	g	15-1-072	u		1.50E-02	0	69	300
This study			15-1-072:LP-ARM	1.90E-04	300	15-1-072:LP-ARM-70	LT-AF-I	g	15-1-072	u		8.00E-02	5.00E-05	70	300
This study			15-1-072:LP-IRM	3.97E-03	300	15-1-072:LP-IRM-71	LT-IRM	g	15-1-072	u		0	1	71	300
This study			15-1-072:LP-X		300	15-1-072:LP-X-72	LP-X		15-1-072		2.84E-07	1.00E-02	0	72	300
This study	347.3	-37	15-1-075:LP-AF-DIR	6.50E-06	300	15-1-075:LP-AF-DIR-73	LT-AF-Z	g	15-1-075	u		1.50E-02	0	73	300
This study			15-1-075:LP-ARM	1.79E-04	300	15-1-075:LP-ARM-74	LT-AF-I	g	15-1-075	u		8.00E-02	5.00E-05	74	300
This study			15-1-075:LP-IRM	3.71E-03	300	15-1-075:LP-IRM-75	LT-IRM	g	15-1-075	u		0	1	75	300
This study			15-1-075:LP-X		300	15-1-075:LP-X-76	LP-X		15-1-075		2.57E-07	1.00E-02	0	76	300
This study	359.5	-50.5	15-1-079:LP-AF-DIR	5.61E-06	300	15-1-079:LP-AF-DIR-77	LT-AF-Z	g	15-1-079	u		1.50E-02	0	77	300
This study			15-1-079:LP-ARM	1.61E-04	300	15-1-079:LP-ARM-78	LT-AF-I	g	15-1-079	u		8.00E-02	5.00E-05	78	300
This study			15-1-079:LP-IRM	3.48E-03	300	15-1-079:LP-IRM-79	LT-IRM	g	15-1-079	u		0	1	79	300
This study			15-1-079:LP-X		300	15-1-079:LP-X-80	LP-X		15-1-079		2.38E-07	1.00E-02	0	80	300
This study	13.7	-50.5	15-1-082:LP-AF-DIR	6.64E-06	300	15-1-082:LP-AF-DIR-81	LT-AF-Z	g	15-1-082	u		1.50E-02	0	81	300
This study			15-1-082:LP-ARM	1.98E-04	300	15-1-082:LP-ARM-82	LT-AF-I	g	15-1-082	u		8.00E-02	5.00E-05	82	300
This study			15-1-082:LP-IRM	4.11E-03	300	15-1-082:LP-IRM-83	LT-IRM	g	15-1-082	u		0	1	83	300
This study			15-1-082:LP-X		300	15-1-082:LP-X-84	LP-X		15-1-082		2.77E-07	1.00E-02	0	84	300
This study	1.8	-45.7	15-1-085:LP-AF-DIR	6.21E-06	300	15-1-085:LP-AF-DIR-85	LT-AF-Z	g	15-1-085	u		1.50E-02	0	85	300
This study			15-1-085:LP-ARM	2.04E-04	300	15-1-085:LP-ARM-86	LT-AF-I	g	15-1-085	u		8.00E-02	5.00E-05	86	300
This study			15-1-085:LP-IRM	3.87E-03	300	15-1-085:LP-IRM-87	LT-IRM	g	15-1-085	u		0	1	87	300
This study			15-1-085:LP-X		300	15-1-085:LP-X-88	LP-X		15-1-085		2.65E-07	1.00E-02	0	88	300
This study	9.7	-44.5	15-1-088:LP-AF-DIR	7.39E-06	300	15-1-088:LP-AF-DIR-89	LT-AF-Z	g	15-1-088	u		1.50E-02	0	89	300
This study			15-1-088:LP-ARM	1.77E-04	300	15-1-088:LP-ARM-90	LT-AF-I	g	15-1-088	u		8.00E-02	5.00E-05	90	300
This study			15-1-088:LP-IRM	3.52E-03	300	15-1-088:LP-IRM-91	LT-IRM	g	15-1-088	u		0	1	91	300
This study			15-1-088:LP-X		300	15-1-088:LP-X-92	LP-X		15-1-088		2.43E-07	1.00E-02	0	92	300
This study	4.8	-45	15-1-091:LP-AF-DIR	5.65E-06	300	15-1-091:LP-AF-DIR-93	LT-AF-Z	g	15-1-091	u		1.50E-02	0	93	300
This study			15-1-091:LP-ARM	1.68E-04	300	15-1-091:LP-ARM-94	LT-AF-I	g	15-1-091	u		8.00E-02	5.00E-05	94	300
This study			15-1-091:LP-IRM	3.10E-03	300	15-1-091:LP-IRM-95	LT-IRM	g	15-1-091	u		0	1	95	300
This study			15-1-091:LP-X		300	15-1-091:LP-X-96	LP-X		15-1-091		2.12E-07	1.00E-02	0	96	300
This study	11.9	-48.8	15-1-094:LP-AF-DIR	5.25E-06	300	15-1-094:LP-AF-DIR-97	LT-AF-Z	g	15-1-094	u		1.50E-02	0	97	300
This study			15-1-094:LP-ARM	1.54E-04	300	15-1-094:LP-ARM-98	LT-AF-I	g	15-1-094	u		8.00E-02	5.00E-05	98	300
This study			15-1-094:LP-IRM	2.84E-03	300	15-1-094:LP-IRM-99	LT-IRM	g	15-1-094	u		0	1	99	300
This study			15-1-094:LP-X		300	15-1-094:LP-X-100	LP-X		15-1-094		1.94E-07	1.00E-02	0	100	300
This study	357.1	-30.3	15-1-097:LP-AF-DIR	4.98E-06	300	15-1-097:LP-AF-DIR-101	LT-AF-Z	g	15-1-097	u		1.50E-02	0	101	300
This study			15-1-097:LP-ARM	1.54E-04	300	15-1-097:LP-ARM-102	LT-AF-I	g	15-1-097	u		8.00E-02	5.00E-05	102	300
This study			15-1-097:LP-IRM	2.90E-03	300	15-1-097:LP-IRM-103	LT-IRM	g	15-1-097	u		0	1	103	300
This study			15-1-097:LP-X		300	15-1-097:LP-X-104	LP-X		15-1-097		1.92E-07	1.00E-02	0	104	300
This study	16.4	-47.7	15-1-100:LP-AF-DIR	5.40E-06	300	15-1-100:LP-AF-DIR-105	LT-AF-Z	g	15-1-100	u		1.50E-02	0	105	300
This study			15-1-100:LP-ARM	1.49E-04	300	15-1-100:LP-ARM-106	LT-AF-I	g	15-1-100	u		8.00E-02	5.00E-05	106	300
This study			15-1-100:LP-IRM	2.78E-03	300	15-1-100:LP-IRM-107	LT-IRM	g	15-1-100	u		0	1	107	300
This study			15-1-100:LP-X		300	15-1-100:LP-X-108	LP-X		15-1-100		1.91E-07	1.00E-02	0	108	300
This study	17.6	-32.3	15-1-103:LP-AF-DIR	4.57E-06	300	15-1-103:LP-AF-DIR-109	LT-AF-Z	g	15-1-103	u		1.50E-02	0	109	300
This study			15-1-103:LP-ARM	1.76E-04	300	15-1-103:LP-ARM-110	LT-AF-I	g	15-1-103	u		8.00E-02	5.00E-05	110	300
This study			15-1-103:LP-IRM	3.30E-03	300	15-1-103:LP-IRM-111	LT-IRM	g	15-1-103	u		0	1	111	300
This study			15-1-103:LP-X		300	15-1-103:LP-X-112	LP-X		15-1-103		2.19E-07	1.00E-02	0	112	300
This study	7.6	-10.5	15-1-106:LP-AF-DIR	1.80E-06	300	15-1-106:LP-AF-DIR-113	LT-AF-Z	g	15-1-106	u		1.50E-02	0	113	300
This study			15-1-106:LP-ARM	1.85E-04	300	15-1-106:LP-ARM-114	LT-AF-I	g	15-1-106	u		8.00E-02	5.00E-05	114	300
This study			15-1-106:LP-IRM	3.44E-03	300	15-1-106:LP-IRM-115	LT-IRM	g	15-1-106	u		0	1	115	300
This study			15-1-106:LP-X		300	15-1-106:LP-X-116	LP-X		15-1-106		2.30E-07	1.00E-02	0	116	300
This study	15.7	22.6	15-1-109:LP-AF-DIR	1.46E-06	300	15-1-109:LP-AF-DIR-117	LT-AF-Z	g	15-1-109	u		1.50E-02	0	117	300
This study			15-1-109:LP-ARM	1.71E-04	300	15-1-109:LP-ARM-118	LT-AF-I	g	15-1-109	u		8.00E-02	5.00E-05	118	300
This study			15-1-109:LP-IRM	3.32E-03	300	15-1-109:LP-IRM-119	LT-IRM	g	15-1-109	u		0	1	119	300
This study			15-1-109:LP-X		300	15-1-109:LP-X-120	LP-X		15-1-109		2.21E-07	1.00E-02	0	120	300
This study	56.8	72.8	15-1-113:LP-AF-DIR	1.85E-06	300	15-1-113:LP-AF-DIR-121	LT-AF-Z	g	15-1-113	u		1.50E-02	0	121	300
This study			15-1-113:LP-ARM	1.56E-04	300	15-1-113:LP-ARM-122	LT-AF-I	g	15-1-113	u		8.00E-02	5.00E-05	122	300
This study			15-1-113:LP-IRM	3.10E-03	300	15-1-113:LP-IRM-123	LT-IRM	g	15-1-113	u		0	1	123	300
This study			15-1-113:LP-X		300	15-1-113:LP-X-124	LP-X		15-1-113		2.08E-07	1.00E-02	0	124	300
This study	344.2	-11.9	15-1-115:LP-AF-DIR	1.62E-06	300	15-1-115:LP-AF-DIR-125	LT-AF-Z	g	15-1-115	u		1.50E-02	0	125	300
This study			15-1-115:LP-ARM	1.84E-04	300	15-1-115:LP-ARM-126	LT-AF-I	g	15-1-115	u		8.00E-02	5.00E-05	126	300
This study			15-1-115:LP-IRM	3.30E-03	300	15-1-115:LP-IRM-127	LT-IRM	g	15-1-115	u		0	1	127	300
This study			15-1-115:LP-X		300	15-1-115:LP-X-128	LP-X		15-1-115		2.30E-07	1.00E-02	0	128	300
This study	3.2	66	15-1-118:LP-AF-DIR	1.43E-06	300	15-1-118:LP-AF-DIR-129	LT-AF-Z	g	15-1-118	u		1.50E-02	0	129	300
This study			15-1-118:LP-ARM	1.69E-04	300	15-1-118:LP-ARM-130	LT-AF-I	g	15-1-118	u		8.00E-02	5.00E-05	130	300
This study			15-1-118:LP-IRM	3.07E-03	300	15-1-118:LP-IRM-131	LT-IRM	g	15-1-118	u		0	1	131	300
This study			15-1-118:LP-X		300	15-1-118:LP-X-132	LP-X		15-1-118		2.06E-07	1.00E-02	0	132	300
This study	172.6	76.8	15-1-122:LP-AF-DIR	3.87E-06	300	15-1-122:LP-AF-DIR-133	LT-AF-Z	g	15-1-122	u		1.50E-02	0	133	300
This study			15-1-122:LP-ARM	1.61E-04	300	15-1-122:LP-ARM-134	LT-AF-I	g	15-1-122	u		8.00E-02	5.00E-05	134	300
This study			15-1-122:LP-IRM	3.06E-03	300	15-1-122:LP-IRM-135	LT-IRM	g	15-1-122	u		0	1	135	300
This study			15-1-122:LP-X		300	15-1-122:LP-X-136	LP-X		15-1-122		2.03E-07	1.00E-02	0	136	300
This study	179	58.9	15-1-125:LP-AF-DIR	6.48E-06	300	15-1-125:LP-AF-DIR-137	LT-AF-Z	g	15-1-125	u		1.50E-02	0	137	300
This study			15-1-125:LP-ARM	1.64E-04	300	15-1-125:LP-ARM-138	LT-AF-I	g	15-1-125	u		8.00E-02	5.00E-05	138	300
This study			15-1-125:LP-IRM	3.06E-03	300	15-1-125:LP-IRM-139	LT-IRM	g	15-1-125	u		0	1	139	300
This study			15-1-125:LP-X		300	15-1-125:LP-X-140	LP-X		15-1-125		2.05E-07	1.00E-02	0	140	300
This study	165.7	65.2	15-1-128:LP-AF-DIR	3.95E-06	300	15-1-128:LP-AF-DIR-141	LT-AF-Z	g	15-1-128	u		1.50E-02	0	141	300
This study			15-1-128:LP-ARM	1.50E-04	300	15-1-128:LP-ARM-142	LT-AF-I	g	15-1-128	u		8.00E-02	5.00E-05	142	300
This study			15-1-128:LP-IRM	2.75E-03	300	15-1-128:LP-IRM-143	LT-IRM	g	15-1-128	u		0	1	143	300
This study			15-1-128:LP-X		300	15-1-128:LP-X-144	LP-X		15-1-128		1.80E-07	1.00E-02	0	144	300
This study	114.4	72	15-1-131:LP-AF-DIR	2.78E-06	300	15-1-131:LP-AF-DIR-145	LT-AF-Z	g	15-1-131	u		1.50E-02	0	145	300
This study			15-1-131:LP-ARM	1.36E-04	300	15-1-131:LP-ARM-146	LT-AF-I	g	15-1-131	u		8.00E-02	5.00E-05	146	300
This study			15-1-131:LP-IRM	2.53E-03	300	15-1-131:LP-IRM-147	LT-IRM	g	15-1-131	u		0	1	147	300
This study			15-1-131:LP-X		300	15-1-131:LP-X-148	LP-X		15-1-131		1.70E-07	1.00E-02	0	148	300
This study	171.8	72.7	15-1-134:LP-AF-DIR	3.42E-06	300	15-1-134:LP-AF-DIR-149	LT-AF-Z	g	15-1-134	u		1.50E-02	0	149	300
This study			15-1-134:LP-ARM	1.34E-04	300	15-1-134:LP-ARM-150	LT-AF-I	g	15-1-134	u		8.00E-02	5.00E-05	150	300
This study			15-1-134:LP-IRM	2.51E-03	300	15-1-134:LP-IRM-151	LT-IRM	g	15-1-134	u		0	1	151	300
This study			15-1-134:LP-X		300	15-1-134:LP-X-152	LP-X		15-1-134		1.65E-07	1.00E-02	0	152	300
This study	189.5	73.2	15-1-137:LP-AF-DIR	3.30E-06	300	15-1-137:LP-AF-DIR-153	LT-AF-Z	g	15-1-137	u		1.50E-02	0	153	300
This study			15-1-137:LP-ARM	1.47E-04	300	15-1-137:LP-ARM-154	LT-AF-I	g	15-1-137	u		8.00E-02	5.00E-05	154	300
This study			15-1-137:LP-IRM	2.64E-03	300	15-1-137:LP-IRM-155	LT-IRM	g	15-1-137	u		0	1	155	300
This study			15-1-137:LP-X		300	15-1-137:LP-X-156	LP-X		15-1-137		1.75E-07	1.00E-02	0	156	300
This study	155.8	89.1	15-1-140:LP-AF-DIR	2.49E-06	300	15-1-140:LP-AF-DIR-157	LT-AF-Z	g	15-1-140	u		1.50E-02	0	157	300
This study			15-1-140:LP-ARM	1.57E-04	300	15-1-140:LP-ARM-158	LT-AF-I	g	15-1-140	u		8.00E-02	5.00E-05	158	300
This study			15-1-140:LP-IRM	2.88E-03	300	15-1-140:LP-IRM-159	LT-IRM	g	15-1-140	u		0	1	159	300
This study			15-1-140:LP-X		300	15-1-140:LP-X-160	LP-X		15-1-140		1.97E-07	1.00E-02	0	160	300
This study	198.6	72.3	15-1-144:LP-AF-DIR	2.52E-06	300	15-1-144:LP-AF-DIR-161	LT-AF-Z	g	15-1-144	u		1.50E-02	0	161	300
This study			15-1-144:LP-ARM	1.47E-04	300	15-1-144:LP-ARM-162	LT-AF-I	g	15-1-144	u		8.00E-02	5.00E-05	162	300
This study			15-1-144:LP-IRM	2.61E-03	300	15-1-144:LP-IRM-163	LT-IRM	g	15-1-144	u		0	1	163	300
This study			15-1-144:LP-X		300	15-1-144:LP-X-164	LP-X		15-1-144		1.75E-07	1.00E-02	0	164	300
This study	185.4	70	15-1-147:LP-AF-DIR	3.83E-06	300	15-1-147:LP-AF-DIR-165	LT-AF-Z	g	15-1-147	u		1.50E-02	0	165	300
This study			15-1-147:LP-ARM	1.41E-04	300	15-1-147:LP-ARM-166	LT-AF-I	g	15-1-147	u		8.00E-02	5.00E-05	166	300
This study			15-1-147:LP-IRM	2.64E-03	300	15-1-147:LP-IRM-167	LT-IRM	g	15-1-147	u		0	1	167	300
This study			15-1-147:LP-X		300	15-1-147:LP-X-168	LP-X		15-1-147		1.77E-07	1.00E-02	0	168	300
This study	313.1	78.8	15-1-149:LP-AF-DIR	3.48E-06	300	15-1-149:LP-AF-DIR-169	LT-AF-Z	g	15-1-149	u		1.50E-02	0	169	300
This study			15-1-149:LP-ARM	1.39E-04	300	15-1-149:LP-ARM-170	LT-AF-I	g	15-1-149	u		8.00E-02	5.00E-05	170	300
This study			15-1-149:LP-IRM	2.64E-03	300	15-1-149:LP-IRM-171	LT-IRM	g	15-1-149	u		0	1	171	300
This study			15-1-149:LP-X		300	15-1-149:LP-X-172	LP-X		15-1-149		1.84E-07	1.00E-02	0	172	300
This study	152.8	46.9	15-2-003:LP-AF-DIR	5.82E-06	300	15-2-003:LP-AF-DIR-173	LT-AF-Z	g	15-2-003	u		1.50E-02	0	173	300
This study			15-2-003:LP-ARM	1.39E-04	300	15-2-003:LP-ARM-174	LT-AF-I	g	15-2-003	u		8.00E-02	5.00E-05	174	300
This study			15-2-003:LP-IRM	2.70E-03	300	15-2-003:LP-IRM-175	LT-IRM	g	15-2-003	u		0	1	175	300
This study			15-2-003:LP-X		300	15-2-003:LP-X-176	LP-X		15-2-003		1.82E-07	1.00E-02	0	176	300
This study	149.9	50	15-2-005:LP-AF-DIR	8.24E-06	300	15-2-005:LP-AF-DIR-177	LT-AF-Z	g	15-2-005	u		1.50E-02	0	177	300
This study			15-2-005:LP-ARM	1.49E-04	300	15-2-005:LP-ARM-178	LT-AF-I	g	15-2-005	u		8.00E-02	5.00E-05	178	300
This study			15-2-005:LP-IRM	3.09E-03	300	15-2-005:LP-IRM-179	LT-IRM	g	15-2-005	u		0	1	179	300
This study			15-2-005:LP-X		300	15-2-005:LP-X-180	LP-X		15-2-005		2.07E-07	1.00E-02	0	180	300
This study	157.8	47.9	15-2-008:LP-AF-DIR	1.24E-05	300	15-2-008:LP-AF-DIR-181	LT-AF-Z	g	15-2-008	u		1.50E-02	0	181	300
This study			15-2-008:LP-ARM	1.92E-04	300	15-2-008:LP-ARM-182	LT-AF-I	g	15-2-008	u		8.00E-02	5.00E-05	182	300
This study			15-2-008:LP-IRM	4.07E-03	300	15-2-008:LP-IRM-183	LT-IRM	g	15-2-008	u		0	1	183	300
This study			15-2-008:LP-X		300	15-2-008:LP-X-184	LP-X		15-2-008		2.72E-07	1.00E-02	0	184	300
This study	157.5	47.1	15-2-012:LP-AF-DIR	1.25E-05	300	15-2-012:LP-AF-DIR-185	LT-AF-Z	g	15-2-012	u		1.50E-02	0	185	300
This study			15-2-012:LP-ARM	2.15E-04	300	15-2-012:LP-ARM-186	LT-AF-I	g	15-2-012	u		8.00E-02	5.00E-05	186	300
This study			15-2-012:LP-IRM	4.70E-03	300	15-2-012:LP-IRM-187	LT-IRM	g	15-2-012	u		0	1	187	300
This study			15-2-012:LP-X		300	15-2-012:LP-X-188	LP-X		15-2-012		3.18E-07	1.00E-02	0	188	300
This study	155.3	44.9	15-2-014:LP-AF-DIR	1.11E-05	300	15-2-014:LP-AF-DIR-189	LT-AF-Z	g	15-2-014	u		1.50E-02	0	189	300
This study			15-2-014:LP-ARM	2.34E-04	300	15-2-014:LP-ARM-190	LT-AF-I	g	15-2-014	u		8.00E-02	5.00E-05	190	300
This study			15-2-014:LP-IRM	5.20E-03	300	15-2-014:LP-IRM-191	LT-IRM	g	15-2-014	u		0	1	191	300
This study			15-2-014:LP-X		300	15-2-014:LP-X-192	LP-X		15-2-014		3.53E-07	1.00E-02	0	192	300
