tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	magn_mass	magn_moment	magn_r2_det	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_energy	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study			191.6	-26.7	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000146										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-11	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					11	623			
	This study			194.4	-24.8	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000145										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-12	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					12	523			
	This study			197.5	14.5	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.00000013										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-13	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					13	623			
	This study			220.1	79.6	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000138										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-14	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					14	648			
	This study			188.4	-33.6	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.0000000342										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-15	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					15	648			
	This study			36.9	-27.6	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.0000000068										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-16	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					16	678			
	This study			340.9	82.5	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.0000000967										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-17	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					17	623			
	This study			327.4	83.4	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000177										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-18	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					18	678			
	This study			311.6	83.7	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000185										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-19	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0.00004				0	-90					19	703			
	This study			29.8	-12.9	s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.00000000293										1						273		s2s0-01-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-20	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-01	u						0				0				0	0					20	703			
	This study			251	31.4	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000435										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-1	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					1	273			
	This study			251.3	31.4	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000438										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-2	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					2	473			
	This study			251.2	31.9	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000436										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-3	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					3	473			
	This study			251.6	32.5	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000444										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-4	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					4	523			
	This study			251.8	34.2	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000451										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-5	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					5	523			
	This study			249.1	39.1	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000438										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-6	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					6	573			
	This study			252.6	34.2	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000414										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-7	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					7	573			
	This study			253.5	35.2	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000161										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-8	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					8	623			
	This study			255.2	38.3	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000168										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-9	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					9	523			
	This study			253.7	65.7	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000302										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-10	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					10	623			
	This study			260.4	84.8	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000276										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-11	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					11	648			
	This study			256.3	39.9	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.0000000365										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-12	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					12	648			
	This study			249.9	39.8	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.0000000103										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-13	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					13	678			
	This study			200.1	89.2	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000184										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-14	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					14	623			
	This study			294.5	89	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000267										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-15	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					15	678			
	This study			336.9	89.2	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000268										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-16	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0.00004				0	-90					16	703			
	This study			253.8	45.5	s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.00000000636										1						273		s2s0-03-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-17	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-03	u						0				0				0	0					17	703			
	This study			128.4	66.9	s2s0-04-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000558										1						273		s2s0-04-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-1	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-04	u						0				0				0	0					1	273			
	This study			129.1	67	s2s0-04-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI				HUJI-2G : SIO-FLO		0.000000555										1						273		s2s0-04-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI-2	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	pmagpy-2.110	s2s0-04	u						0				0				0	0					2	373			
