tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	er_analyst_mail_names	er_expedition_name	er_formation_name	er_fossil_name	er_member_name	er_mineral_name	er_synthetic_name	experiment	instrument_codes	location	magn_mass	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement_charging_mode	measurement_chi_mass	measurement_chi_qdr_mass	measurement_chi_qdr_volume	measurement_chi_volume	measurement_composite_depth	measurement_core_depth	measurement_date	measurement_demagn_code	measurement_elevation	measurement_freq	measurement_height	measurement_lab_field_ac	measurement_lab_field_dc	measurement_loop_n	measurement_loop_x	measurement_magnitude	measurement_orient_phi	measurement_orient_theta	measurement_pos_x	measurement_pos_y	measurement_pos_z	measurement_r2	measurement_sd	measurement_sweep_rate	measurement_temp_change	measurement_time_zone	method_codes	number	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	treatment_ac_field_dc_off	treatment_ac_field_dc_on	treatment_ac_field_decay_rate	treatment_dc_field_ac_off	treatment_dc_field_ac_on	treatment_dc_field_decay_rate	treatment_mw_energy	treatment_mw_integral	treatment_mw_power	treatment_mw_time	treatment_temp_dc_off	treatment_temp_dc_on	treatment_temp_decay_rate
This study		0.4	2.8	-20.5	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000252						273																												LT-AF-Z:LP-DIR-AF	4	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.01	0	0	0	273													
This study		0.5	3.3	-20.2	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000218						273																												LT-AF-Z:LP-DIR-AF	5	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.015	0	0	0	273													
This study		0.6	3.4	-20.4	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000181						273																												LT-AF-Z:LP-DIR-AF	6	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.02	0	0	0	273													
This study		0.6	3.8	-20.8	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000118						273																												LT-AF-Z:LP-DIR-AF	7	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.03	0	0	0	273													
This study		0.6	2.7	-21.2	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.0000752						273																												LT-AF-Z:LP-DIR-AF	8	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.04	0	0	0	273													
This study		0.5	0.5	-19.8	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.0000399						273																												LT-AF-Z:LP-DIR-AF	9	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.06	0	0	0	273													
This study		0.5	1.1	-21.3	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.00002065						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.08	0	0	0	273													
This study		0.5	1.9	-20.7	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.00001335						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.1	0	0	0	273													
This study		0.5	1.5	-19.8	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000009513						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.12	0	0	0	273													
This study		0.5	1.9	-18.6	Jason Steindorf							mc20f-LP-DIR-AF		McMurdo		0.000006709						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc20f	mc20	pmagpy-1.65b	mc20f	u	0.15	0	0	0	273													
This study		0.7	240.6	75.3	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.000044						273																												LT-NO:LP-DIR-AF	1	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0	0	0	0	273													
This study		0.7	237.9	77.3	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000478						273																												LT-AF-Z:LP-DIR-AF	2	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.005	0	0	0	273													
This study		0.7	236.8	76.7	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.000047						273																												LT-AF-Z:LP-DIR-AF	3	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.0075	0	0	0	273													
This study		0.7	233.7	78.1	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000455						273																												LT-AF-Z:LP-DIR-AF	4	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.01	0	0	0	273													
This study		0.7	239.6	78	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000413						273																												LT-AF-Z:LP-DIR-AF	5	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.015	0	0	0	273													
This study		0.7	234.8	77.8	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000365						273																												LT-AF-Z:LP-DIR-AF	6	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.02	0	0	0	273													
This study		0.8	234.8	78.9	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000276						273																												LT-AF-Z:LP-DIR-AF	7	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.03	0	0	0	273													
This study		0.7	235.3	78.4	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000206						273																												LT-AF-Z:LP-DIR-AF	8	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.04	0	0	0	273													
This study		0.7	231.4	79	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.0000124						273																												LT-AF-Z:LP-DIR-AF	9	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.06	0	0	0	273													
This study		0.8	227	79.3	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.000007864						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.08	0	0	0	273													
This study		0.7	226.2	78.9	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.00000562						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.1	0	0	0	273													
This study		0.8	230.8	79.5	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.000004339						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.12	0	0	0	273													
This study		0.9	231.9	78.9	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.00000334						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.15	0	0	0	273													
This study		0.9	230.2	79.1	Jason Steindorf							mc21d-LP-DIR-AF		McMurdo		0.000002784						273																												LT-AF-Z:DE-VM:LP-DIR-AF	14	g	mc21d	mc21	pmagpy-1.65b	mc21d	u	0.18	0	0	0	273													
This study		0.7	79	-55.1	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000366						273																												LT-NO:LP-DIR-AF	1	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0	0	0	0	273													
This study		0.7	79.7	-55.6	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000363						273																												LT-AF-Z:LP-DIR-AF	2	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.005	0	0	0	273													
This study		0.7	78.7	-54.8	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000361						273																												LT-AF-Z:LP-DIR-AF	3	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.0075	0	0	0	273													
This study		0.8	79.7	-55.5	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000359						273																												LT-AF-Z:LP-DIR-AF	4	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.01	0	0	0	273													
This study		0.8	80.1	-55.2	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000353						273																												LT-AF-Z:LP-DIR-AF	5	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.015	0	0	0	273													
This study		0.8	81.1	-55.4	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000345						273																												LT-AF-Z:LP-DIR-AF	6	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.02	0	0	0	273													
This study		0.8	81	-54.8	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000323						273																												LT-AF-Z:LP-DIR-AF	7	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.03	0	0	0	273													
This study		0.8	81.6	-55.1	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000305						273																												LT-AF-Z:LP-DIR-AF	8	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.04	0	0	0	273													
This study		0.8	79	-55.1	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000288						273																												LT-AF-Z:LP-DIR-AF	9	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.06	0	0	0	273													
This study		0.8	79.1	-55.1	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.00002685						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.08	0	0	0	273													
This study		0.7	79	-54.9	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000241						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.1	0	0	0	273													
This study		0.8	79.2	-55.1	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000208						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.12	0	0	0	273													
This study		0.8	78.8	-55.7	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000167						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.15	0	0	0	273													
This study		0.7	78.6	-55.8	Jason Steindorf							mc26h-LP-DIR-AF		McMurdo		0.0000137						273																												LT-AF-Z:DE-VM:LP-DIR-AF	14	g	mc26h	mc26	pmagpy-1.65b	mc26h	u	0.18	0	0	0	273													
This study		0.6	16.6	-50.6	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.000134						273																												LT-NO:LP-DIR-AF	1	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0	0	0	0	273													
This study		0.6	15.7	-50.8	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.000111						273																												LT-AF-Z:LP-DIR-AF	2	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.005	0	0	0	273													
This study		0.6	17.6	-50.2	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000909						273																												LT-AF-Z:LP-DIR-AF	3	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.0075	0	0	0	273													
This study		0.6	16.1	-51.4	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000759						273																												LT-AF-Z:LP-DIR-AF	4	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.01	0	0	0	273													
This study		0.6	14.9	-51.3	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000559						273																												LT-AF-Z:LP-DIR-AF	5	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.015	0	0	0	273													
This study		0.6	14.8	-51.3	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000431						273																												LT-AF-Z:LP-DIR-AF	6	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.02	0	0	0	273													
This study		0.6	16.3	-51.3	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000281						273																												LT-AF-Z:LP-DIR-AF	7	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.03	0	0	0	273													
This study		0.6	14.1	-51.8	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000194						273																												LT-AF-Z:LP-DIR-AF	8	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.04	0	0	0	273													
This study		0.6	12	-52.2	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.0000115						273																												LT-AF-Z:LP-DIR-AF	9	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.06	0	0	0	273													
This study		0.6	13.1	-51.6	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.000006919						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.08	0	0	0	273													
This study		0.5	13.9	-51.4	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.000004699						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.1	0	0	0	273													
This study		0.5	14.4	-50.9	Jason Steindorf							mc28d-LP-DIR-AF		McMurdo		0.00000331						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc28d	mc28	pmagpy-1.65b	mc28d	u	0.12	0	0	0	273													
This study		0.6	4.5	-54.3	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000926						273																												LT-NO:LP-DIR-AF	1	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0	0	0	0	273													
This study		0.6	2.7	-54.8	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000834						273																												LT-AF-Z:LP-DIR-AF	2	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.005	0	0	0	273													
This study		0.6	4	-55.3	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000702						273																												LT-AF-Z:LP-DIR-AF	3	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.0075	0	0	0	273													
This study		0.6	4	-55.4	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000577						273																												LT-AF-Z:LP-DIR-AF	4	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.01	0	0	0	273													
This study		0.5	3.7	-55.8	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000398						273																												LT-AF-Z:LP-DIR-AF	5	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.015	0	0	0	273													
This study		0.5	0.6	-55.4	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000292						273																												LT-AF-Z:LP-DIR-AF	6	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.02	0	0	0	273													
This study		0.5	3.4	-55	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000189						273																												LT-AF-Z:LP-DIR-AF	7	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.03	0	0	0	273													
This study		0.5	2.6	-54.2	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000148						273																												LT-AF-Z:LP-DIR-AF	8	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.04	0	0	0	273													
This study		0.5	1.8	-55.1	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000105						273																												LT-AF-Z:LP-DIR-AF	9	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.06	0	0	0	273													
This study		0.5	2	-54.1	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000083						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.08	0	0	0	273													
This study		0.5	3	-53.5	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.000006655						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.1	0	0	0	273													
This study		0.5	4	-53.6	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.000005945						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.12	0	0	0	273													
This study		0.5	3.7	-53.1	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.0000055						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.15	0	0	0	273													
This study		0.5	4.1	-52.4	Jason Steindorf							mc29a-LP-DIR-AF		McMurdo		0.000005475						273																												LT-AF-Z:DE-VM:LP-DIR-AF	14	g	mc29a	mc29	pmagpy-1.65b	mc29a	u	0.18	0	0	0	273													
This study		0.3	335.5	-70.5	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.000141						273																												LT-NO:LP-DIR-AF	1	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0	0	0	0	273													
This study		0.2	336.7	-70.6	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.000117						273																												LT-AF-Z:LP-DIR-AF	2	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.005	0	0	0	273													
This study		0.2	334.5	-70.3	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000887						273																												LT-AF-Z:LP-DIR-AF	3	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.0075	0	0	0	273													
This study		0.2	333.3	-70.4	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000664						273																												LT-AF-Z:LP-DIR-AF	4	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.01	0	0	0	273													
This study		0.3	334.3	-70.2	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000416						273																												LT-AF-Z:LP-DIR-AF	5	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.015	0	0	0	273													
This study		0.2	332.4	-70.3	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000304						273																												LT-AF-Z:LP-DIR-AF	6	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.02	0	0	0	273													
This study		0.1	331.2	-70.1	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000204						273																												LT-AF-Z:LP-DIR-AF	7	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.03	0	0	0	273													
This study		0.1	330.8	-70.3	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000157						273																												LT-AF-Z:LP-DIR-AF	8	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.04	0	0	0	273													
This study		0.1	331.3	-70.6	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.0000113						273																												LT-AF-Z:LP-DIR-AF	9	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.06	0	0	0	273													
This study		0.3	330.1	-70.6	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.00000875						273																												LT-AF-Z:DE-VM:LP-DIR-AF	10	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.08	0	0	0	273													
This study		0.1	331.8	-71.1	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.000007075						273																												LT-AF-Z:DE-VM:LP-DIR-AF	11	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.1	0	0	0	273													
This study		0.1	329.2	-70.3	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.00000569						273																												LT-AF-Z:DE-VM:LP-DIR-AF	12	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.12	0	0	0	273													
This study		0.2	329.9	-70.2	Jason Steindorf							mc29f-LP-DIR-AF		McMurdo		0.000004225						273																												LT-AF-Z:DE-VM:LP-DIR-AF	13	g	mc29f	mc29	pmagpy-1.65b	mc29f	u	0.15	0	0	0	273													
This study		2	357.1	-22.4	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000163						273																												LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	1	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0	0	0	273													
This study		2.3	356.4	-22.1	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000155						273																												LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	2	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0	0	0	373													
This study		2.5	354.8	-23.2	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000159						273																												LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	3	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0.00004	0	90	373													
This study		1.1	356.8	-21.8	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.00014						273																												LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	4	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0	0	0	423													
This study		1.4	356.3	-26.3	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000144						273																												LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	5	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0.00004	0	90	423													
This study		0.3	357.2	-21.2	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000107						273																												LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	6	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0	0	0	473													
This study		0.8	357.3	-24.1	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000112						273																												LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	7	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0.00004	0	90	373													
This study		0.5	356.9	-40.3	Jason Steindorf							mc20d-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-ZI		McMurdo		0.000133						273																												LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	8	g	mc20d	mc20	pmagpy-1.65b	mc20d	u	0	0.00004	0	90	473													
