tab	sites
age	age_high	age_low	age_unit	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_r	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	int_n_specimens	sample	cooling_rate	azimuth	dip
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj04a	pmagpy-3.4.1: thellier_gui.v.3.0								1.27e-06	3.80		4	mgj04a			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj04b	pmagpy-3.4.1: thellier_gui.v.3.0								7.99e-07	1.76		4	mgj04b			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj04d	pmagpy-3.4.1: thellier_gui.v.3.0								2.36e-06	6.33		8	mgj04d			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj06a	pmagpy-3.4.1: thellier_gui.v.3.0								1.64e-06	3.27		4	mgj06a			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj06b	pmagpy-3.4.1: thellier_gui.v.3.0								1.96e-06	4.44		3	mgj06b			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj06c	pmagpy-3.4.1: thellier_gui.v.3.0								1.50e-06	3.53		4	mgj06c			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgj06d	pmagpy-3.4.1: thellier_gui.v.3.0								1.43e-06	3.30		4	mgj06d			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-ARM:LP-AN-TRM:LP-TRM:IE-TT		mgk06a	pmagpy-3.4.1: thellier_gui.v.3.0								4.54e-06	6.42		5	mgk06a			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk06b	pmagpy-3.4.1: thellier_gui.v.3.0								3.70e-06	5.86		3	mgk06b			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk06c	pmagpy-3.4.1: thellier_gui.v.3.0								2.87e-06	4.30		4	mgk06c			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk06d	pmagpy-3.4.1: thellier_gui.v.3.0								1.03e-06	1.57		5	mgk06d			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk08a	pmagpy-3.4.1: thellier_gui.v.3.0								9.16e-07	1.51		3	mgk08a			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk08b	pmagpy-3.4.1: thellier_gui.v.3.0								3.40e-06	5.54		4	mgk08b			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk08c	pmagpy-3.4.1: thellier_gui.v.3.0								5.37e-07	0.81		4	mgk08c			
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk08e	pmagpy-3.4.1: thellier_gui.v.3.0								8.45e-07	1.39		5	mgk08e			
-1350			Years Cal AD (+/-)	This study	ACCEPT	VGP Site: mgk09t1, Site VGP, coord system = 0 component: Fit 1	2.8		351.5	53.0	395	8			7.9823	0			32.5850		Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgk09t1	pmagpy-3.3.2	mgk09t1a1:mgk09t1a2:mgk09t1b1:mgk09t1b2:mgk09t1c1:mgk09t1c2:mgk09t1d1:mgk09t1d2	3.9	2.6	82.8	315.3	8									
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgk09t1PI	pmagpy-3.4.1: thellier_gui.v.3.0								1.05e-05	16.33		3	mgk09t1PI			
-850			Years Cal AD (+/-)	This study	ACCEPT	VGP Site: mgq04t1, Site VGP, coord system = 0 component: Fit 1	6.3		357.6	61.8	54	11			10.8159	0			32.5850		Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq04t1	pmagpy-3.3.2	mgq04t101:mgq04t102:mgq04t103:mgq04t105:mgq04t106:mgq04t107:mgq04t108:mgq04t109:mgq04t110:mgq04t111:mgq04t112	11.2	5.9	79.4	25.6	11									
-900			Years Cal AD (+/-)	This study	ACCEPT	VGP Site: mgq05t1, Site VGP, coord system = 0 component: Fit 1	3.9		18.4	66.1	139	11			10.9283	0			32.5850		Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t1	pmagpy-3.3.2	mgq05t101:mgq05t102:mgq05t103:mgq05t104:mgq05t105:mgq05t106:mgq05t107:mgq05t108:mgq05t109:mgq05t111:mgq05t112	8.1	3.6	69.0	70.9	11									
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgq05t1PI	pmagpy-3.4.1: thellier_gui.v.3.0								4.43e-06	5.83		3	mgq05t1PI			
-900			Years Cal AD (+/-)	This study	ACCEPT	VGP Site: mgq05t2, Site VGP, coord system = 0 component: Fit 1	1.9		1.3	74.5	567	11			10.9824	0			32.5850		Tel Megiddo	35.185	DA-DIR-GEO:DE-BFL:DE-FM:LP-DC4:LP-DIR-AF	i	mgq05t2	pmagpy-3.3.2	mgq05t2a1:mgq05t2a2:mgq05t2b1:mgq05t2b2:mgq05t2c2:mgq05t2d1:mgq05t2d2:mgq05t2e1:mgq05t2e2:mgq05t2f1:mgq05t2f2	6.0	1.8	61.6	36.5	11									
				This study		paleointensity mean																	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:LP-AN-TRM:IE-TT		mgq05t2PI	pmagpy-3.4.1: thellier_gui.v.3.0								5.23e-06	6.82		6	mgq05t2PI			
