tab	measurements																		
citations	dir_dec	dir_inc	er_analyst_mail_names	experiment	flag	instrument_codes	location	magn_moment	meas_temp	method_codes	treat_step_num	sample	site	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	170.6	26.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.940e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	1	sr01a	sr01	sr01a1		0	0	0	373
This study	171.8	27.8		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.990e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	2	sr01a	sr01	sr01a1		4.000e-05	0	90	373
This study	173.4	26.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.910e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	3	sr01a	sr01	sr01a1		0	0	0	423
This study	170.3	28.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.960e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	4	sr01a	sr01	sr01a1		4.000e-05	0	90	423
This study	171.1	26.9		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.870e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	5	sr01a	sr01	sr01a1		0	0	0	473
This study	171.6	28		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.900e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	6	sr01a	sr01	sr01a1		4.000e-05	0	90	373
This study	170.9	29.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.930e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	7	sr01a	sr01	sr01a1		4.000e-05	0	90	473
This study	170.6	26.9		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.800e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	8	sr01a	sr01	sr01a1		0	0	0	523
This study	172.3	30.6		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.880e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	9	sr01a	sr01	sr01a1		4.000e-05	0	90	523
This study	170.5	27.4		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.630e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	10	sr01a	sr01	sr01a1		0	0	0	573
This study	171.5	29.8		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.710e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	11	sr01a	sr01	sr01a1		4.000e-05	0	90	473
This study	171	32.2		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.750e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	12	sr01a	sr01	sr01a1		4.000e-05	0	90	573
This study	172.1	27.5		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.400e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	13	sr01a	sr01	sr01a1		0	0	0	623
This study	170.7	35.1		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.600e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	14	sr01a	sr01	sr01a1		4.000e-05	0	90	623
This study	171.4	27.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.880e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	15	sr01a	sr01	sr01a1		0	0	0	673
This study	178.1	34.1		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.110e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	16	sr01a	sr01	sr01a1		4.000e-05	0	90	573
This study	171.4	43.3		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.350e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	17	sr01a	sr01	sr01a1		4.000e-05	0	90	673
This study	173.8	27.1		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.150e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	18	sr01a	sr01	sr01a1		0	0	0	723
This study	172.3	59.5		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.580e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	19	sr01a	sr01	sr01a1		4.000e-05	0	90	723
This study	172.4	28.06		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.705e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	20	sr01a	sr01	sr01a1		0	0	0	773
This study	172.4	53.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.520e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	21	sr01a	sr01	sr01a1		4.000e-05	0	90	673
This study	174.5	61.6		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.970e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	22	sr01a	sr01	sr01a1		4.000e-05	0	90	773
This study	172.1	28.2		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.200e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	23	sr01a	sr01	sr01a1		0	0	0	798
This study	171.1	72.8		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.190e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	24	sr01a	sr01	sr01a1		4.000e-05	0	90	798
This study	172.8	27.7		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	5.620e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	25	sr01a	sr01	sr01a1		0	0	0	823
This study	169.5	78.8		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.350e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26	sr01a	sr01	sr01a1		4.000e-05	0	90	773
This study	165.3	83.1		sr01a1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.640e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27	sr01a	sr01	sr01a1		4.000e-05	0	90	823
This study	172.1	29.9		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.230e-05	273	LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	0	sr01a	sr01	sr01a2		0	0	0	273
This study	172.2	29.6		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.170e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	1	sr01a	sr01	sr01a2		0	0	0	373
This study	173	30.5		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.190e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	2	sr01a	sr01	sr01a2		4.000e-05	0	90	373
This study	172.3	29.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.120e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	3	sr01a	sr01	sr01a2		0	0	0	423
This study	170.5	31.6		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.200e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	4	sr01a	sr01	sr01a2		4.000e-05	0	90	423
This study	171.9	29.7		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.100e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	5	sr01a	sr01	sr01a2		0	0	0	473
This study	171.1	30.6		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.140e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	6	sr01a	sr01	sr01a2		4.000e-05	0	90	373
This study	171.5	32.1		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.160e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	7	sr01a	sr01	sr01a2		4.000e-05	0	90	473
This study	171.4	30.3		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.090e-05	273	LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	8	sr01a	sr01	sr01a2		4.000e-05	0	90	473
This study	171.4	29.5		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.030e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	9	sr01a	sr01	sr01a2		0	0	0	523
This study	171.9	33.7		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.140e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	10	sr01a	sr01	sr01a2		4.000e-05	0	90	523
This study	172.2	30.1		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.920e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	11	sr01a	sr01	sr01a2		0	0	0	573
This study	171.3	32.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.000e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	12	sr01a	sr01	sr01a2		4.000e-05	0	90	473
This study	172	34.7		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.070e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	13	sr01a	sr01	sr01a2		4.000e-05	0	90	573
This study	171.8	30.7		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.890e-05	273	LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	14	sr01a	sr01	sr01a2		4.000e-05	0	90	573
This study	172.2	30.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.710e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	15	sr01a	sr01	sr01a2		0	0	0	623
This study	172.1	37.3		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.940e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	16	sr01a	sr01	sr01a2		4.000e-05	0	90	623
This study	172.8	30.2		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.350e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	17	sr01a	sr01	sr01a2		0	0	0	673
This study	173.1	37.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.530e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	18	sr01a	sr01	sr01a2		4.000e-05	0	90	573
This study	174.2	45.3		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.820e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	19	sr01a	sr01	sr01a2		4.000e-05	0	90	673
This study	172.9	31.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.230e-05	273	LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	20	sr01a	sr01	sr01a2		4.000e-05	0	90	673
This study	172.2	29.9		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	1.660e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	21	sr01a	sr01	sr01a2		0	0	0	723
This study	173.1	57.9		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.690e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	22	sr01a	sr01	sr01a2		4.000e-05	0	90	723
This study	172.6	30		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	1.280e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	23	sr01a	sr01	sr01a2		0	0	0	773
This study	174.4	55.5		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.010e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	24	sr01a	sr01	sr01a2		4.000e-05	0	90	673
This study	172.4	62.7		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.390e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	25	sr01a	sr01	sr01a2		4.000e-05	0	90	773
This study	172.4	31.4		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	1.210e-05	273	LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	26	sr01a	sr01	sr01a2		4.000e-05	0	90	773
This study	172.7	30.2		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	8.500e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	27	sr01a	sr01	sr01a2		0	0	0	798
This study	167.4	73.5		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	2.580e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	28	sr01a	sr01	sr01a2		4.000e-05	0	90	798
This study	172.4	30.9		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	4.060e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	29	sr01a	sr01	sr01a2		0	0	0	823
This study	160.7	79.5		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	1.950e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	30	sr01a	sr01	sr01a2		4.000e-05	0	90	773
This study	163.2	82.6		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.000e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	31	sr01a	sr01	sr01a2		4.000e-05	0	90	823
This study	173.5	36.9		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.660e-06	273	LT-PTRM-MD:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	32	sr01a	sr01	sr01a2		4.000e-05	0	90	823
This study	173	32.2		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	1.770e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	33	sr01a	sr01	sr01a2		0	0	0	848
This study	128.9	84.2		sr01a2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	g		Snake River	3.290e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD	34	sr01a	sr01	sr01a2		4.000e-05	0	90	848
This study	160	26.1		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.040e-04	273	LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	0	sr01c	sr01	sr01c2		0	0	0	273
This study	158.6	26.2		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.030e-04	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	1	sr01c	sr01	sr01c2		0	0	0	373
This study	157.6	26.7		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.030e-04	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	2	sr01c	sr01	sr01c2		4.000e-05	0	90	373
This study	161.5	26.3		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.020e-04	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	3	sr01c	sr01	sr01c2		0	0	0	423
This study	159.1	27.1		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.030e-04	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	4	sr01c	sr01	sr01c2		4.000e-05	0	90	423
This study	160.8	26.4		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.020e-04	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	5	sr01c	sr01	sr01c2		0	0	0	473
This study	160.1	26.9		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.020e-04	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	6	sr01c	sr01	sr01c2		4.000e-05	0	90	373
This study	159.6	27.8		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.020e-04	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	7	sr01c	sr01	sr01c2		4.000e-05	0	90	473
This study	159.6	26.5		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.000e-04	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	8	sr01c	sr01	sr01c2		0	0	0	523
This study	159.4	28.4		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.010e-04	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	9	sr01c	sr01	sr01c2		4.000e-05	0	90	523
This study	158.8	26.5		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.750e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	10	sr01c	sr01	sr01c2		0	0	0	573
This study	159	27.7		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.850e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	11	sr01c	sr01	sr01c2		4.000e-05	0	90	473
This study	159.9	29.2		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.930e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	12	sr01c	sr01	sr01c2		4.000e-05	0	90	573
This study	161.7	26.7		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.470e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	13	sr01c	sr01	sr01c2		0	0	0	623
This study	158.4	30.4		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.740e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	14	sr01c	sr01	sr01c2		4.000e-05	0	90	623
