tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_n	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	magic_method_codes	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
2.87	2.401189	2.802507	0.507296	6.000000	0.327047:0.324763:0.348190:0.001667:-0.010545:0.017499	6.000000	0.013985	ATRM				This study	Critical F: 3.1059									hz05b3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b3
	2.401189	2.802507	0.507296	6.000000	0.327047:0.324763:0.348190:0.001667:-0.010545:0.017499		0.013985					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b3			7.85e-05	0.03	c	1.03	0.98	2.57	4.30	0.81	0.88	0.90	4.23	12	5	21.08	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b3
2.01	0.420894	0.582323	0.045002	6.000000	0.329712:0.323798:0.346489:0.001474:0.008516:0.006894	6.000000	0.022263	ATRM				This study	Critical F: 3.1059									hz05b4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b4
	0.420894	0.582323	0.045002	6.000000	0.329712:0.323798:0.346489:0.001474:0.008516:0.006894		0.022263					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b4			6.39e-05	0.06	c	1.06	1.00	0.78	6.40	0.85	0.84	0.89	2.22	12	6	12.56	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b4
1.27	2.747861	1.418650	2.034583	6.000000	0.312526:0.335458:0.352015:-0.000942:-0.003543:0.016097	6.000000	0.013923	ATRM				This study	Critical F: 3.1059									hz05b5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b5
	2.747861	1.418650	2.034583	6.000000	0.312526:0.335458:0.352015:-0.000942:-0.003543:0.016097		0.013923					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b5			6.85e-05	0.05	c	1.05	0.99	2.20	7.24	0.90	0.88	0.90	4.38	13	6	16.51	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b5
6.13	25.428449	14.386189	17.448585	6.000000	0.307029:0.347900:0.345071:-0.009560:0.012877:-0.002383	6.000000	0.004966	ATRM				This study	Critical F: 3.1059									hz05b6;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b6
	25.428449	14.386189	17.448585	6.000000	0.307029:0.347900:0.345071:-0.009560:0.012877:-0.002383		0.004966					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b6			7.95e-05	0.03	c	1.00	0.98	1.51	2.39	0.85	0.96	0.91	3.53	13	6	26.68	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	373	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b6
2.75	17.549169	17.082489	5.837202	6.000000	0.320030:0.342800:0.337169:-0.011796:0.014025:-0.000445	6.000000	0.004662	ATRM				This study	Critical F: 3.1059									hz05b7;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05b		hz05b7
	17.549169	17.082489	5.837202	6.000000	0.320030:0.342800:0.337169:-0.011796:0.014025:-0.000445		0.004662					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05b7			8.09e-05	0.02	c	1.00	0.98	1.59	1.25	0.75	0.80	0.90	3.19	12	6	33.52	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05b		hz05b7
1.06	1.295841	1.459568	0.304165	6.000000	0.341203:0.331542:0.327255:-0.002397:0.000262:0.004132	6.000000	0.006756	ATRM				This study	Critical F: 3.1059									hz05c1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c1
	1.295841	1.459568	0.304165	6.000000	0.341203:0.331542:0.327255:-0.002397:0.000262:0.004132		0.006756					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c1			8.81e-05	0.02	c	1.00	0.95	0.77	2.17	0.79	0.79	0.88	2.42	10	6	29.38	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	523	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c1
1.48	3.987221	0.554942	5.219226	6.000000	0.337347:0.323227:0.339427:-0.014194:0.003368:-0.000743	6.000000	0.007642	ATRM				This study	Critical F: 3.1059									hz05c2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c2
	3.987221	0.554942	5.219226	6.000000	0.337347:0.323227:0.339427:-0.014194:0.003368:-0.000743		0.007642					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c2			8.61e-05	0.02	c	1.00	0.96	0.83	2.37	0.80	0.82	0.89	1.57	11	5	31.02	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c2
2.46	3.937268	2.524062	2.397924	6.000000	0.318136:0.346635:0.335229:-0.010237:-0.005275:0.004472	6.000000	0.008533	ATRM				This study	Critical F: 3.1059									hz05c3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c3
	3.937268	2.524062	2.397924	6.000000	0.318136:0.346635:0.335229:-0.010237:-0.005275:0.004472		0.008533					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c3			8.60e-05	0.02	c	1.02	0.95	1.59	2.88	0.82	0.77	0.89	3.70	13	5	29.84	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c3
0.84	3.375713	2.089359	2.130349	6.000000	0.340808:0.325203:0.333989:-0.018114:-0.004216:0.002122	6.000000	0.009876	ATRM				This study	Critical F: 3.1059									hz05c4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c4
	3.375713	2.089359	2.130349	6.000000	0.340808:0.325203:0.333989:-0.018114:-0.004216:0.002122		0.009876					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c4			8.68e-05	0.02	c	1.00	0.96	0.22	2.85	0.81	0.84	0.89	0.92	11	6	30.99	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c4
1.38	4.049385	4.712055	0.863548	6.000000	0.339079:0.317826:0.343095:-0.001442:0.002373:0.013251	6.000000	0.008523	ATRM				This study	Critical F: 3.1059									hz05c5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c5
	4.049385	4.712055	0.863548	6.000000	0.339079:0.317826:0.343095:-0.001442:0.002373:0.013251		0.008523					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c5			8.41e-05	0.03	c	1.03	0.96	1.09	2.12	0.82	0.83	0.89	2.48	13	5	28.76	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c5
1.23	6.866207	2.592421	6.254633	6.000000	0.341792:0.316275:0.341933:-0.007914:0.003357:0.008875	6.000000	0.006574	ATRM				This study	Critical F: 3.1059									hz05c6;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05c		hz05c6
	6.866207	2.592421	6.254633	6.000000	0.341792:0.316275:0.341933:-0.007914:0.003357:0.008875		0.006574					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05c6			8.48e-05	0.01	c	1.02	0.96	0.91	0.05	0.77	0.78	0.89	2.18	11	5	87.01	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05c		hz05c6
5.09	3.297613	5.069691	0.174003	6.000000	0.337004:0.321979:0.341017:-0.003989:0.000292:-0.021473	6.000000	0.011840	ATRM				This study	Critical F: 3.1059									hz05e1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e1
1.40	0.238988	0.302253	0.038282	6.000000	0.331240:0.326898:0.341861:-0.000523:-0.004660:0.003337	6.000000	0.017586	ATRM				This study	Critical F: 3.1059									hz05e2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e2
	0.238988	0.302253	0.038282	6.000000	0.331240:0.326898:0.341861:-0.000523:-0.004660:0.003337		0.017586					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e2			7.00e-05	0.02	c	1.03	0.93	0.83	6.17	0.80	0.78	0.82	2.66	10	6	32.03	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	523	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e		hz05e2
2.30	0.728668	0.570503	0.349327	6.000000	0.343013:0.324793:0.332194:-0.016881:-0.001264:0.002842	6.000000	0.020388	ATRM				This study	Critical F: 3.1059									hz05e3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e3
	0.728668	0.570503	0.349327	6.000000	0.343013:0.324793:0.332194:-0.016881:-0.001264:0.002842		0.020388					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e3			6.94e-05	0.02	c	1.04	0.93	0.70	3.37	0.77	0.76	0.85	2.78	11	5	31.07	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e		hz05e3
3.42	11.464363	12.667577	2.835353	6.000000	0.340318:0.321947:0.337736:0.012899:-0.015376:-0.011908	6.000000	0.006701	ATRM				This study	Critical F: 3.1059									hz05e4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e4
	11.464363	12.667577	2.835353	6.000000	0.340318:0.321947:0.337736:0.012899:-0.015376:-0.011908		0.006701					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e4			7.03e-05	0.04	c	1.03	0.94	1.93	0.80	0.72	0.74	0.86	5.00	11	5	16.52	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e		hz05e4
1.55	1.516720	2.449097	0.048835	6.000000	0.328384:0.347950:0.323666:0.011349:-0.006727:-0.000779	6.000000	0.013401	ATRM				This study	Critical F: 3.1059									hz05e5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e5
	1.516720	2.449097	0.048835	6.000000	0.328384:0.347950:0.323666:0.011349:-0.006727:-0.000779		0.013401					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e5			7.30e-05	0.03	c	0.98	0.94	1.27	0.38	0.83	0.84	0.90	2.94	12	6	28.42	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e		hz05e5
2.62	0.924115	0.021201	1.531331	6.000000	0.324949:0.336112:0.338939:0.008675:-0.000955:0.000535	6.000000	0.010656	ATRM				This study	Critical F: 3.1059									hz05e6;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05e		hz05e6
	0.924115	0.021201	1.531331	6.000000	0.324949:0.336112:0.338939:0.008675:-0.000955:0.000535		0.010656					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05e6			7.19e-05	0.02	c	0.99	0.95	0.76	0.34	0.87	0.82	0.73	2.85	8	6	31.37	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	623	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05e		hz05e6
1.41	1.799987	2.090846	0.385938	6.000000	0.327014:0.332162:0.340824:0.009206:-0.013132:-0.003506	6.000000	0.011892	ATRM				This study	Critical F: 3.1059									hz05f1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05f		hz05f1
	1.799987	2.090846	0.385938	6.000000	0.327014:0.332162:0.340824:0.009206:-0.013132:-0.003506		0.011892					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f1			7.70e-05	0.01	c	1.05	0.97	1.05	0.95	0.75	0.77	0.88	2.83	10	5	53.59	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f		hz05f1
2.83	7.584101	8.017921	2.099236	6.000000	0.341519:0.330030:0.328451:0.024522:-0.005263:-0.003048	6.000000	0.008527	ATRM				This study	Critical F: 3.1059									hz05f2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05f		hz05f2
	7.584101	8.017921	2.099236	6.000000	0.341519:0.330030:0.328451:0.024522:-0.005263:-0.003048		0.008527					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f2			8.25e-05	0.02	c	1.03	0.97	0.75	3.07	0.89	0.90	0.91	3.05	14	6	32.58	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f		hz05f2
0.77	20.051192	21.523087	5.346092	6.000000	0.331400:0.319360:0.349240:-0.009992:-0.008811:0.010649	6.000000	0.004541	ATRM				This study	Critical F: 3.1059									hz05f3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05f		hz05f3
	20.051192	21.523087	5.346092	6.000000	0.331400:0.319360:0.349240:-0.009992:-0.008811:0.010649		0.004541					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f3			7.84e-05	0.01	c	1.09	0.96	0.76	0.33	0.79	0.81	0.89	2.36	11	6	52.04	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f		hz05f3
3.44	0.362295	0.450477	0.061832	6.000000	0.327740:0.343062:0.329198:0.011343:0.001463:0.001859	6.000000	0.021318	ATRM				This study	Critical F: 3.1059									hz05f4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05f		hz05f4
	0.362295	0.450477	0.061832	6.000000	0.327740:0.343062:0.329198:0.011343:0.001463:0.001859		0.021318					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz05f4			8.35e-05	0.01	c	1.01	0.96	0.84	3.05	0.82	0.82	0.90	2.92	12	6	53.26	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz05f		hz05f4
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz05f		hz05f5
1.33	2.525852	1.232945	1.951634	6.000000	0.341350:0.321389:0.337260:0.023369:0.010183:0.003352	6.000000	0.015639	ATRM				This study	Critical F: 3.1059									hz05f6;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz05f		hz05f6
