tab	measurements
measurement	experiment	specimen	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_temp	description	software_packages	timestamp	magn_moment
BR15:LP-DIR-AF5	BR15:LP-DIR-AF	BR15	309	-73	3.000e-02	5	2.730e+02	1.367E+00	This study	LT-AF-Z:LP-DIR-AF	g	27	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.6404e-05
BR15:LP-DIR-AF6	BR15:LP-DIR-AF	BR15	309	-74	4.000e-02	6	2.730e+02	1.036E+00	This study	LT-AF-Z:LP-DIR-AF	g	28	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.2432e-05
BR15:LP-DIR-AF7	BR15:LP-DIR-AF	BR15	307	-75	5.000e-02	7	2.730e+02	694.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	29	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	8.3376e-06
BR15:LP-DIR-AF8	BR15:LP-DIR-AF	BR15	315	-76	6.000e-02	8	2.730e+02	462.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	30	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	5.5536e-06
BR15:LP-DIR-AF9	BR15:LP-DIR-AF	BR15	311	-77	7.000e-02	9	2.730e+02	293.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	31	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	3.5208e-06
BR15:LP-DIR-AF10	BR15:LP-DIR-AF	BR15	315	-78	8.000e-02	10	2.730e+02	224.0E-03	This study	LT-AF-Z:LP-DIR-AF	g	32	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	2.688e-06
BR15:LP-DIR-AF11	BR15:LP-DIR-AF	BR15	293	-79	9.000e-02	11	2.730e+02	181.7E-03	This study	LT-AF-Z:LP-DIR-AF	g	33	u	2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	2.1804e-06
BR16:LP-DIR-AF0	BR16:LP-DIR-AF	BR16	203	-34	0	0	2.730e+02	1.852E+00	This study	LT-NO:LP-DIR-AF	g	34	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.2224000000000003e-05
BR16:LP-DIR-AF1	BR16:LP-DIR-AF	BR16	283	-48	1.000e-02	1	2.730e+02	2.046E+00	This study	LT-AF-Z:LP-DIR-AF	g	35	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.4551999999999998e-05
BR16:LP-DIR-AF2	BR16:LP-DIR-AF	BR16	282	-47	1.500e-02	2	2.730e+02	1.959E+00	This study	LT-AF-Z:LP-DIR-AF	g	36	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.3508000000000003e-05
BR16:LP-DIR-AF3	BR16:LP-DIR-AF	BR16	280	-50	2.000e-02	3	2.730e+02	1.769E+00	This study	LT-AF-Z:LP-DIR-AF	g	37	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.1228e-05
BR16:LP-DIR-AF4	BR16:LP-DIR-AF	BR16	283	-49	2.500e-02	4	2.730e+02	1.600E+00	This study	LT-AF-Z:LP-DIR-AF	g	38	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.9200000000000003e-05
BR16:LP-DIR-AF5	BR16:LP-DIR-AF	BR16	282	-50	3.000e-02	5	2.730e+02	1.423E+00	This study	LT-AF-Z:LP-DIR-AF	g	39	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.7076e-05
BR16:LP-DIR-AF6	BR16:LP-DIR-AF	BR16	277	-52	4.000e-02	6	2.730e+02	1.019E+00	This study	LT-AF-Z:LP-DIR-AF	g	40	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.2227999999999999e-05
BR16:LP-DIR-AF7	BR16:LP-DIR-AF	BR16	277	-53	5.000e-02	7	2.730e+02	640.0E-03	This study	LT-AF-Z:LP-DIR-AF	g	41	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	7.680000000000001e-06
BR16:LP-DIR-AF8	BR16:LP-DIR-AF	BR16	274	-53	6.000e-02	8	2.730e+02	382.3E-03	This study	LT-AF-Z:LP-DIR-AF	g	42	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.5876e-06
BR16:LP-DIR-AF9	BR16:LP-DIR-AF	BR16	269	-55	7.000e-02	9	2.730e+02	239.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	43	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.8728000000000003e-06
BR16:LP-DIR-AF10	BR16:LP-DIR-AF	BR16	266	-55	8.000e-02	10	2.730e+02	158.7E-03	This study	LT-AF-Z:LP-DIR-AF	g	44	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.9044000000000001e-06
BR17:LP-DIR-AF0	BR17:LP-DIR-AF	BR17	17	-34	0	0	2.730e+02	1.021E+00	This study	LT-NO:LP-DIR-AF	g	45	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.2251999999999999e-05
BR17:LP-DIR-AF1	BR17:LP-DIR-AF	BR17	260	-74	1.000e-02	1	2.730e+02	1.966E+00	This study	LT-AF-Z:LP-DIR-AF	g	46	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.3592e-05
BR17:LP-DIR-AF2	BR17:LP-DIR-AF	BR17	267	-75	1.500e-02	2	2.730e+02	1.881E+00	This study	LT-AF-Z:LP-DIR-AF	g	47	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.2572e-05
BR17:LP-DIR-AF3	BR17:LP-DIR-AF	BR17	265	-75	2.000e-02	3	2.730e+02	1.757E+00	This study	LT-AF-Z:LP-DIR-AF	g	48	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.1084e-05
BR17:LP-DIR-AF4	BR17:LP-DIR-AF	BR17	266	-75	2.500e-02	4	2.730e+02	1.637E+00	This study	LT-AF-Z:LP-DIR-AF	g	49	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.9644e-05
BR17:LP-DIR-AF5	BR17:LP-DIR-AF	BR17	264	-75	3.000e-02	5	2.730e+02	1.494E+00	This study	LT-AF-Z:LP-DIR-AF	g	50	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.7928000000000002e-05
BR17:LP-DIR-AF6	BR17:LP-DIR-AF	BR17	263	-75	4.000e-02	6	2.730e+02	1.187E+00	This study	LT-AF-Z:LP-DIR-AF	g	51	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.4244000000000001e-05
BR17:LP-DIR-AF7	BR17:LP-DIR-AF	BR17	263	-76	5.000e-02	7	2.730e+02	843.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	52	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.0120800000000001e-05
BR17:LP-DIR-AF8	BR17:LP-DIR-AF	BR17	255	-75	6.000e-02	8	2.730e+02	547.3E-03	This study	LT-AF-Z:LP-DIR-AF	g	53	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	6.5676000000000004e-06
BR17:LP-DIR-AF9	BR17:LP-DIR-AF	BR17	251	-74	7.000e-02	9	2.730e+02	341.9E-03	This study	LT-AF-Z:LP-DIR-AF	g	54	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.1028e-06
BR17:LP-DIR-AF10	BR17:LP-DIR-AF	BR17	238	-73	8.000e-02	10	2.730e+02	214.0E-03	This study	LT-AF-Z:LP-DIR-AF	g	55	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.568e-06
BR18:LP-DIR-AF0	BR18:LP-DIR-AF	BR18	116	46	0	0	2.730e+02	1.382E+00	This study	LT-NO:LP-DIR-AF	g	56	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.6584e-05
BR18:LP-DIR-AF1	BR18:LP-DIR-AF	BR18	255	-80	1.000e-02	1	2.730e+02	1.904E+00	This study	LT-AF-Z:LP-DIR-AF	g	57	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	2.2848e-05
BR18:LP-DIR-AF2	BR18:LP-DIR-AF	BR18	265	-81	1.500e-02	2	2.730e+02	1.836E+00	This study	LT-AF-Z:LP-DIR-AF	g	58	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	2.2032000000000002e-05
BR18:LP-DIR-AF3	BR18:LP-DIR-AF	BR18	265	-81	2.000e-02	3	2.730e+02	1.721E+00	This study	LT-AF-Z:LP-DIR-AF	g	59	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	2.0652e-05
BR18:LP-DIR-AF4	BR18:LP-DIR-AF	BR18	262	-81	2.500e-02	4	2.730e+02	1.594E+00	This study	LT-AF-Z:LP-DIR-AF	g	60	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.9128e-05
BR18:LP-DIR-AF5	BR18:LP-DIR-AF	BR18	263	-82	3.000e-02	5	2.730e+02	1.449E+00	This study	LT-AF-Z:LP-DIR-AF	g	61	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.7388e-05
BR18:LP-DIR-AF6	BR18:LP-DIR-AF	BR18	258	-81	4.000e-02	6	2.730e+02	1.120E+00	This study	LT-AF-Z:LP-DIR-AF	g	62	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.3440000000000002e-05
BR18:LP-DIR-AF7	BR18:LP-DIR-AF	BR18	259	-83	5.000e-02	7	2.730e+02	781.7E-03	This study	LT-AF-Z:LP-DIR-AF	g	63	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	9.3804e-06
BR18:LP-DIR-AF8	BR18:LP-DIR-AF	BR18	255	-82	6.000e-02	8	2.730e+02	490.7E-03	This study	LT-AF-Z:LP-DIR-AF	g	64	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	5.8884e-06
BR18:LP-DIR-AF9	BR18:LP-DIR-AF	BR18	241	-81	7.000e-02	9	2.730e+02	304.0E-03	This study	LT-AF-Z:LP-DIR-AF	g	65	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	3.648e-06
BR18:LP-DIR-AF10	BR18:LP-DIR-AF	BR18	236	-77	8.000e-02	10	2.730e+02	189.5E-03	This study	LT-AF-Z:LP-DIR-AF	g	66	u	2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	2.274e-06
BR23:LP-DIR-AF0	BR23:LP-DIR-AF	BR23	258	31	0	0	2.730e+02	7.713E+00	This study	LT-NO:LP-DIR-AF	g	67	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	9.2556e-05
BR23:LP-DIR-AF1	BR23:LP-DIR-AF	BR23	256	29	1.000e-02	1	2.730e+02	7.673E+00	This study	LT-AF-Z:LP-DIR-AF	g	68	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	9.2076e-05
BR23:LP-DIR-AF2	BR23:LP-DIR-AF	BR23	257	28	1.500e-02	2	2.730e+02	7.289E+00	This study	LT-AF-Z:LP-DIR-AF	g	69	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	8.7468e-05
BR23:LP-DIR-AF3	BR23:LP-DIR-AF	BR23	258	28	2.000e-02	3	2.730e+02	6.633E+00	This study	LT-AF-Z:LP-DIR-AF	g	70	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	7.9596e-05
BR23:LP-DIR-AF4	BR23:LP-DIR-AF	BR23	258	28	2.500e-02	4	2.730e+02	5.783E+00	This study	LT-AF-Z:LP-DIR-AF	g	71	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	6.939600000000001e-05
BR23:LP-DIR-AF5	BR23:LP-DIR-AF	BR23	257	27	3.000e-02	5	2.730e+02	4.885E+00	This study	LT-AF-Z:LP-DIR-AF	g	72	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	5.862e-05
BR23:LP-DIR-AF6	BR23:LP-DIR-AF	BR23	257	26	4.000e-02	6	2.730e+02	3.350E+00	This study	LT-AF-Z:LP-DIR-AF	g	73	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.02e-05
BR23:LP-DIR-AF7	BR23:LP-DIR-AF	BR23	260	27	5.000e-02	7	2.730e+02	2.268E+00	This study	LT-AF-Z:LP-DIR-AF	g	74	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.7215999999999998e-05
BR23:LP-DIR-AF8	BR23:LP-DIR-AF	BR23	261	27	6.000e-02	8	2.730e+02	1.583E+00	This study	LT-AF-Z:LP-DIR-AF	g	75	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.8996e-05
BR23:LP-DIR-AF9	BR23:LP-DIR-AF	BR23	261	27	7.000e-02	9	2.730e+02	1.129E+00	This study	LT-AF-Z:LP-DIR-AF	g	76	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.3548e-05
BR23:LP-DIR-AF10	BR23:LP-DIR-AF	BR23	264	25	8.000e-02	10	2.730e+02	843.5E-03	This study	LT-AF-Z:LP-DIR-AF	g	77	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.0122e-05
BR24:LP-DIR-AF0	BR24:LP-DIR-AF	BR24	266	43	0	0	2.730e+02	8.230E+00	This study	LT-NO:LP-DIR-AF	g	78	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	9.876000000000001e-05
BR24:LP-DIR-AF1	BR24:LP-DIR-AF	BR24	266	44	1.000e-02	1	2.730e+02	8.372E+00	This study	LT-AF-Z:LP-DIR-AF	g	79	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	0.000100464
BR24:LP-DIR-AF2	BR24:LP-DIR-AF	BR24	269	44	1.500e-02	2	2.730e+02	7.952E+00	This study	LT-AF-Z:LP-DIR-AF	g	80	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	9.5424e-05
BR24:LP-DIR-AF3	BR24:LP-DIR-AF	BR24	269	43	2.000e-02	3	2.730e+02	7.197E+00	This study	LT-AF-Z:LP-DIR-AF	g	81	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	8.6364e-05
BR24:LP-DIR-AF4	BR24:LP-DIR-AF	BR24	267	43	2.500e-02	4	2.730e+02	6.224E+00	This study	LT-AF-Z:LP-DIR-AF	g	82	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	7.4688e-05
BR24:LP-DIR-AF5	BR24:LP-DIR-AF	BR24	269	43	3.000e-02	5	2.730e+02	5.219E+00	This study	LT-AF-Z:LP-DIR-AF	g	83	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	6.262800000000001e-05
BR24:LP-DIR-AF6	BR24:LP-DIR-AF	BR24	271	44	4.000e-02	6	2.730e+02	3.507E+00	This study	LT-AF-Z:LP-DIR-AF	g	84	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.2084000000000006e-05
BR24:LP-DIR-AF7	BR24:LP-DIR-AF	BR24	270	43	5.000e-02	7	2.730e+02	2.327E+00	This study	LT-AF-Z:LP-DIR-AF	g	85	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.7924e-05
BR24:LP-DIR-AF8	BR24:LP-DIR-AF	BR24	274	44	6.000e-02	8	2.730e+02	1.611E+00	This study	LT-AF-Z:LP-DIR-AF	g	86	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.9332e-05
BR24:LP-DIR-AF9	BR24:LP-DIR-AF	BR24	272	43	7.000e-02	9	2.730e+02	1.152E+00	This study	LT-AF-Z:LP-DIR-AF	g	87	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.3824e-05
BR24:LP-DIR-AF10	BR24:LP-DIR-AF	BR24	272	42	8.000e-02	10	2.730e+02	852.6E-03	This study	LT-AF-Z:LP-DIR-AF	g	88	u	2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.0231200000000001e-05
BR25:LP-DIR-AF0	BR25:LP-DIR-AF	BR25	281	47	0	0	2.730e+02	4.238E+00	This study	LT-NO:LP-DIR-AF	g	89	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	5.085600000000001e-05
BR25:LP-DIR-AF1	BR25:LP-DIR-AF	BR25	279	46	1.000e-02	1	2.730e+02	4.321E+00	This study	LT-AF-Z:LP-DIR-AF	g	90	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	5.1852e-05
BR25:LP-DIR-AF2	BR25:LP-DIR-AF	BR25	280	49	1.500e-02	2	2.730e+02	4.134E+00	This study	LT-AF-Z:LP-DIR-AF	g	91	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.9608000000000003e-05
BR25:LP-DIR-AF3	BR25:LP-DIR-AF	BR25	280	45	2.000e-02	3	2.730e+02	3.785E+00	This study	LT-AF-Z:LP-DIR-AF	g	92	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.542e-05
BR25:LP-DIR-AF4	BR25:LP-DIR-AF	BR25	284	47	2.500e-02	4	2.730e+02	3.344E+00	This study	LT-AF-Z:LP-DIR-AF	g	93	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.0128e-05
BR25:LP-DIR-AF5	BR25:LP-DIR-AF	BR25	278	48	3.000e-02	5	2.730e+02	2.814E+00	This study	LT-AF-Z:LP-DIR-AF	g	94	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	3.3768e-05
BR25:LP-DIR-AF6	BR25:LP-DIR-AF	BR25	277	47	4.000e-02	6	2.730e+02	2.026E+00	This study	LT-AF-Z:LP-DIR-AF	g	95	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.4311999999999997e-05
BR25:LP-DIR-AF7	BR25:LP-DIR-AF	BR25	279	48	5.000e-02	7	2.730e+02	1.481E+00	This study	LT-AF-Z:LP-DIR-AF	g	96	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.7772000000000002e-05
BR25:LP-DIR-AF8	BR25:LP-DIR-AF	BR25	285	46	6.000e-02	8	2.730e+02	1.118E+00	This study	LT-AF-Z:LP-DIR-AF	g	97	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.3416000000000002e-05
BR25:LP-DIR-AF9	BR25:LP-DIR-AF	BR25	281	48	7.000e-02	9	2.730e+02	878.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	98	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.0545600000000001e-05
BR25:LP-DIR-AF10	BR25:LP-DIR-AF	BR25	279	46	8.000e-02	10	2.730e+02	714.7E-03	This study	LT-AF-Z:LP-DIR-AF	g	99	u	2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	8.5764e-06
BR26:LP-DIR-AF0	BR26:LP-DIR-AF	BR26	209	17	0	0	2.730e+02	486.0E-03	This study	LT-NO:LP-DIR-AF	g	100	u	2.730e+02		pmagpy-4.1.5	2013-08-29T00:00:00Z	5.832e-06
BR26:LP-DIR-AF1	BR26:LP-DIR-AF	BR26	135	-35	1.000e-02	1	2.730e+02	423.6E-03	This study	LT-AF-Z:LP-DIR-AF	g	101	u	2.730e+02		pmagpy-4.1.5	2013-09-01T00:00:00Z	5.0832e-06
BR26:LP-DIR-AF2	BR26:LP-DIR-AF	BR26	135	-35	1.500e-02	2	2.730e+02	586.8E-03	This study	LT-AF-Z:LP-DIR-AF	g	102	u	2.730e+02		pmagpy-4.1.5	2013-09-01T00:00:00Z	7.0416e-06
BR26:LP-DIR-AF3	BR26:LP-DIR-AF	BR26	135	-35	2.000e-02	3	2.730e+02	634.4E-03	This study	LT-AF-Z:LP-DIR-AF	g	103	u	2.730e+02		pmagpy-4.1.5	2013-09-01T00:00:00Z	7.612799999999999e-06
BR26:LP-DIR-AF4	BR26:LP-DIR-AF	BR26	135	-35	2.500e-02	4	2.730e+02	561.2E-03	This study	LT-AF-Z:LP-DIR-AF	g	104	u	2.730e+02		pmagpy-4.1.5	2013-09-01T00:00:00Z	6.7344e-06
