tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_step_num	treat_temp	magn_volume	citations	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	description	software_packages	timestamp	magn_moment
BR12:LP-DIR-T10	BR12:LP-DIR-T	BR12		293	-74	0	10	7.480e+02	597.4E-03	This study	LT-T-Z:LP-DIR-T	g	10	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	7.168800000000001e-06
BR12:LP-DIR-T11	BR12:LP-DIR-T	BR12		239	-78	0	11	7.730e+02	405.6E-03	This study	LT-T-Z:LP-DIR-T	g	11	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.867200000000001e-06
BR12:LP-DIR-T12	BR12:LP-DIR-T	BR12		225	-66	0	12	7.980e+02	216.1E-03	This study	LT-T-Z:LP-DIR-T	g	12	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.5932e-06
BR12:LP-DIR-T13	BR12:LP-DIR-T	BR12		189	-43	0	13	8.230e+02	106.4E-03	This study	LT-T-Z:LP-DIR-T	g	13	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	1.2768e-06
BR12:LP-DIR-T14	BR12:LP-DIR-T	BR12		181	-28	0	14	8.480e+02	20.70E-03	This study	LT-T-Z:LP-DIR-T	g	14	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	2.4840000000000003e-07
BR13:LP-DIR-T0	BR13:LP-DIR-T	BR13		339	-74	0	0	2.730e+02	548.8E-03	This study	LT-NO:LP-DIR-T	g	15	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	6.585599999999999e-06
BR13:LP-DIR-T1	BR13:LP-DIR-T	BR13		313	-68	0	1	3.730e+02	1.134E+00	This study	LT-T-Z:LP-DIR-T	g	16	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.3607999999999999e-05
BR13:LP-DIR-T2	BR13:LP-DIR-T	BR13		284	-71	0	2	4.230e+02	901.0E-03	This study	LT-T-Z:LP-DIR-T	g	17	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	1.0812e-05
BR13:LP-DIR-T3	BR13:LP-DIR-T	BR13		331	-75	0	3	4.730e+02	788.6E-03	This study	LT-T-Z:LP-DIR-T	g	18	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	9.4632e-06
BR13:LP-DIR-T4	BR13:LP-DIR-T	BR13		313	-71	0	4	5.230e+02	888.4E-03	This study	LT-T-Z:LP-DIR-T	g	19	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.06608e-05
BR13:LP-DIR-T5	BR13:LP-DIR-T	BR13		306	-73	0	5	5.730e+02	857.0E-03	This study	LT-T-Z:LP-DIR-T	g	20	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.0284e-05
BR13:LP-DIR-T6	BR13:LP-DIR-T	BR13		323	-69	0	6	6.230e+02	828.5E-03	This study	LT-T-Z:LP-DIR-T	g	21	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	9.942e-06
BR13:LP-DIR-T7	BR13:LP-DIR-T	BR13		303	-66	0	7	6.730e+02	873.5E-03	This study	LT-T-Z:LP-DIR-T	g	22	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.0482e-05
BR13:LP-DIR-T8	BR13:LP-DIR-T	BR13		308	-63	0	8	6.980e+02	774.7E-03	This study	LT-T-Z:LP-DIR-T	g	23	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	9.296400000000001e-06
BR13:LP-DIR-T9	BR13:LP-DIR-T	BR13		308	-65	0	9	7.230e+02	645.5E-03	This study	LT-T-Z:LP-DIR-T	g	24	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	7.746e-06
BR13:LP-DIR-T10	BR13:LP-DIR-T	BR13		313	-72	0	10	7.480e+02	507.9E-03	This study	LT-T-Z:LP-DIR-T	g	25	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	6.0948000000000005e-06
BR13:LP-DIR-T11	BR13:LP-DIR-T	BR13		290	-67	0	11	7.730e+02	367.8E-03	This study	LT-T-Z:LP-DIR-T	g	26	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.4136e-06
BR13:LP-DIR-T12	BR13:LP-DIR-T	BR13		268	-56	0	12	7.980e+02	174.9E-03	This study	LT-T-Z:LP-DIR-T	g	27	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.0988e-06
BR13:LP-DIR-T13	BR13:LP-DIR-T	BR13		230	-43	0	13	8.230e+02	74.55E-03	This study	LT-T-Z:LP-DIR-T	g	28	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	8.946000000000001e-07
BR14A:LP-DIR-T0	BR14A:LP-DIR-T	BR14A		243	-60	0	0	2.730e+02	799.0E-03	This study	LT-NO:LP-DIR-T	g	29	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	9.588e-06
BR14A:LP-DIR-T1	BR14A:LP-DIR-T	BR14A		285	-68	0	1	3.730e+02	1.074E+00	This study	LT-T-Z:LP-DIR-T	g	30	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.2888000000000001e-05
BR14A:LP-DIR-T2	BR14A:LP-DIR-T	BR14A		266	-73	0	2	4.230e+02	684.9E-03	This study	LT-T-Z:LP-DIR-T	g	31	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	8.2188e-06
BR14A:LP-DIR-T3	BR14A:LP-DIR-T	BR14A		284	-78	0	3	4.730e+02	690.0E-03	This study	LT-T-Z:LP-DIR-T	g	32	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	8.28e-06
BR14A:LP-DIR-T4	BR14A:LP-DIR-T	BR14A		310	-74	0	4	5.230e+02	823.3E-03	This study	LT-T-Z:LP-DIR-T	g	33	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	9.879600000000001e-06
BR14A:LP-DIR-T5	BR14A:LP-DIR-T	BR14A		302	-68	0	5	5.730e+02	812.9E-03	This study	LT-T-Z:LP-DIR-T	g	34	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	9.7548e-06
BR14A:LP-DIR-T6	BR14A:LP-DIR-T	BR14A		299	-74	0	6	6.230e+02	826.0E-03	This study	LT-T-Z:LP-DIR-T	g	35	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	9.912e-06
BR14A:LP-DIR-T7	BR14A:LP-DIR-T	BR14A		305	-68	0	7	6.730e+02	862.2E-03	This study	LT-T-Z:LP-DIR-T	g	36	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.03464e-05
BR14A:LP-DIR-T8	BR14A:LP-DIR-T	BR14A		305	-69	0	8	6.980e+02	709.7E-03	This study	LT-T-Z:LP-DIR-T	g	37	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	8.5164e-06
BR14A:LP-DIR-T9	BR14A:LP-DIR-T	BR14A		302	-69	0	9	7.230e+02	624.6E-03	This study	LT-T-Z:LP-DIR-T	g	38	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	7.495200000000001e-06
BR14A:LP-DIR-T10	BR14A:LP-DIR-T	BR14A		288	-68	0	10	7.480e+02	492.8E-03	This study	LT-T-Z:LP-DIR-T	g	39	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	5.9136000000000004e-06
BR14A:LP-DIR-T11	BR14A:LP-DIR-T	BR14A		280	-67	0	11	7.730e+02	303.8E-03	This study	LT-T-Z:LP-DIR-T	g	40	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	3.6456000000000003e-06
BR14A:LP-DIR-T12	BR14A:LP-DIR-T	BR14A		208	-63	0	12	7.980e+02	158.9E-03	This study	LT-T-Z:LP-DIR-T	g	41	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.9068000000000001e-06
BR14A:LP-DIR-T13	BR14A:LP-DIR-T	BR14A		222	-36	0	13	8.230e+02	67.72E-03	This study	LT-T-Z:LP-DIR-T	g	42	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	8.1264e-07
BR211:LP-DIR-T0	BR211:LP-DIR-T	BR211		205	2	0	0	2.730e+02	855.9E-03	This study	LT-NO:LP-DIR-T	g	43	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.02708e-05
BR211:LP-DIR-T1	BR211:LP-DIR-T	BR211		212	-6	0	1	3.730e+02	738.0E-03	This study	LT-T-Z:LP-DIR-T	g	44	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	8.856e-06
BR211:LP-DIR-T2	BR211:LP-DIR-T	BR211		253	-30	0	2	4.230e+02	808.2E-03	This study	LT-T-Z:LP-DIR-T	g	45	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	9.6984e-06
BR211:LP-DIR-T3	BR211:LP-DIR-T	BR211		288	-34	0	3	4.730e+02	946.1E-03	This study	LT-T-Z:LP-DIR-T	g	46	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	1.1353200000000002e-05
BR211:LP-DIR-T4	BR211:LP-DIR-T	BR211		295	-34	0	4	5.230e+02	530.2E-03	This study	LT-T-Z:LP-DIR-T	g	47	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	6.3624e-06
BR211:LP-DIR-T5	BR211:LP-DIR-T	BR211		285	-38	0	5	5.730e+02	421.9E-03	This study	LT-T-Z:LP-DIR-T	g	48	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	5.0628e-06
BR211:LP-DIR-T6	BR211:LP-DIR-T	BR211		288	-37	0	6	6.230e+02	436.5E-03	This study	LT-T-Z:LP-DIR-T	g	49	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	5.2380000000000005e-06
BR211:LP-DIR-T7	BR211:LP-DIR-T	BR211		274	-37	0	7	6.730e+02	360.9E-03	This study	LT-T-Z:LP-DIR-T	g	50	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	4.3308e-06
BR211:LP-DIR-T8	BR211:LP-DIR-T	BR211		292	-33	0	8	6.980e+02	342.1E-03	This study	LT-T-Z:LP-DIR-T	g	51	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	4.1052e-06
BR211:LP-DIR-T9	BR211:LP-DIR-T	BR211		283	-38	0	9	7.230e+02	237.4E-03	This study	LT-T-Z:LP-DIR-T	g	52	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.8488e-06
BR211:LP-DIR-T10	BR211:LP-DIR-T	BR211		277	-36	0	10	7.480e+02	176.7E-03	This study	LT-T-Z:LP-DIR-T	g	53	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.1204e-06
BR211:LP-DIR-T11	BR211:LP-DIR-T	BR211		287	-36	0	11	7.730e+02	65.71E-03	This study	LT-T-Z:LP-DIR-T	g	54	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	7.885200000000001e-07
BR211:LP-DIR-T12	BR211:LP-DIR-T	BR211		217	-30	0	12	7.980e+02	34.06E-03	This study	LT-T-Z:LP-DIR-T	g	55	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.0872e-07
BR29A:LP-DIR-T0	BR29A:LP-DIR-T	BR29A		162	40	0	0	2.730e+02	1.890E+00	This study	LT-NO:LP-DIR-T	g	56	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	2.268e-05
BR29A:LP-DIR-T1	BR29A:LP-DIR-T	BR29A		165	43	0	1	3.730e+02	1.289E+00	This study	LT-T-Z:LP-DIR-T	g	57	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	1.5467999999999998e-05
BR29A:LP-DIR-T2	BR29A:LP-DIR-T	BR29A		232	-2	0	2	4.230e+02	520.8E-03	This study	LT-T-Z:LP-DIR-T	g	58	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	6.2496e-06
BR29A:LP-DIR-T3	BR29A:LP-DIR-T	BR29A		280	-36	0	3	4.730e+02	1.033E+00	This study	LT-T-Z:LP-DIR-T	g	59	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	1.2396e-05
BR29A:LP-DIR-T4	BR29A:LP-DIR-T	BR29A		285	-36	0	4	5.230e+02	1.035E+00	This study	LT-T-Z:LP-DIR-T	g	60	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.242e-05
BR29A:LP-DIR-T5	BR29A:LP-DIR-T	BR29A		281	-38	0	5	5.730e+02	808.1E-03	This study	LT-T-Z:LP-DIR-T	g	61	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	9.697200000000001e-06
BR29A:LP-DIR-T6	BR29A:LP-DIR-T	BR29A		287	-43	0	6	6.230e+02	716.6E-03	This study	LT-T-Z:LP-DIR-T	g	62	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	8.5992e-06
BR29A:LP-DIR-T7	BR29A:LP-DIR-T	BR29A		281	-41	0	7	6.730e+02	604.3E-03	This study	LT-T-Z:LP-DIR-T	g	63	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	7.251599999999999e-06
BR29A:LP-DIR-T8	BR29A:LP-DIR-T	BR29A		272	-43	0	8	6.980e+02	457.2E-03	This study	LT-T-Z:LP-DIR-T	g	64	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	5.4864e-06
BR29A:LP-DIR-T9	BR29A:LP-DIR-T	BR29A		281	-41	0	9	7.230e+02	339.0E-03	This study	LT-T-Z:LP-DIR-T	g	65	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	4.068000000000001e-06
BR29A:LP-DIR-T10	BR29A:LP-DIR-T	BR29A		264	-33	0	10	7.480e+02	215.0E-03	This study	LT-T-Z:LP-DIR-T	g	66	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	2.58e-06
BR29A:LP-DIR-T11	BR29A:LP-DIR-T	BR29A		209	-43	0	11	7.730e+02	39.82E-03	This study	LT-T-Z:LP-DIR-T	g	67	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.7784e-07
MF15A:LP-DIR-T0	MF15A:LP-DIR-T	MF15A		65	-57	0	0	2.730e+02	2.220E+00	This study	LT-NO:LP-DIR-T	g	68	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	2.6640000000000002e-05
MF15A:LP-DIR-T1	MF15A:LP-DIR-T	MF15A		65	-55	0	1	3.730e+02	2.430E+00	This study	LT-T-Z:LP-DIR-T	g	69	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	2.9160000000000002e-05
MF15A:LP-DIR-T2	MF15A:LP-DIR-T	MF15A		67	-52	0	2	4.230e+02	2.496E+00	This study	LT-T-Z:LP-DIR-T	g	70	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	2.9952e-05
MF15A:LP-DIR-T3	MF15A:LP-DIR-T	MF15A		69	-54	0	3	4.730e+02	1.866E+00	This study	LT-T-Z:LP-DIR-T	g	71	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	2.2392000000000002e-05
MF15A:LP-DIR-T4	MF15A:LP-DIR-T	MF15A		71	-55	0	4	5.230e+02	1.556E+00	This study	LT-T-Z:LP-DIR-T	g	72	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.8672e-05
MF15A:LP-DIR-T5	MF15A:LP-DIR-T	MF15A		70	-55	0	5	5.730e+02	1.252E+00	This study	LT-T-Z:LP-DIR-T	g	73	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	1.5024e-05
MF15A:LP-DIR-T6	MF15A:LP-DIR-T	MF15A		75	-55	0	6	6.230e+02	1.256E+00	This study	LT-T-Z:LP-DIR-T	g	74	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	1.5072e-05
MF15A:LP-DIR-T7	MF15A:LP-DIR-T	MF15A		74	-55	0	7	6.730e+02	1.159E+00	This study	LT-T-Z:LP-DIR-T	g	75	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.3908000000000001e-05
MF15A:LP-DIR-T8	MF15A:LP-DIR-T	MF15A		74	-53	0	8	6.980e+02	1.124E+00	This study	LT-T-Z:LP-DIR-T	g	76	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.3488000000000002e-05
MF15A:LP-DIR-T9	MF15A:LP-DIR-T	MF15A		75	-52	0	9	7.230e+02	1.106E+00	This study	LT-T-Z:LP-DIR-T	g	77	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.3272000000000001e-05
MF15A:LP-DIR-T10	MF15A:LP-DIR-T	MF15A		73	-52	0	10	7.480e+02	1.033E+00	This study	LT-T-Z:LP-DIR-T	g	78	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	1.2396e-05
MF15A:LP-DIR-T11	MF15A:LP-DIR-T	MF15A		73	-50	0	11	7.730e+02	803.0E-03	This study	LT-T-Z:LP-DIR-T	g	79	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	9.636e-06
MF15A:LP-DIR-T12	MF15A:LP-DIR-T	MF15A		75	-52	0	12	7.980e+02	384.9E-03	This study	LT-T-Z:LP-DIR-T	g	80	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	4.6188000000000006e-06
MF15A:LP-DIR-T13	MF15A:LP-DIR-T	MF15A		82	-48	0	13	8.230e+02	88.59E-03	This study	LT-T-Z:LP-DIR-T	g	81	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	1.0630800000000001e-06
MF17:LP-DIR-T0	MF17:LP-DIR-T	MF17		58	-41	0	0	2.730e+02	5.714E+00	This study	LT-NO:LP-DIR-T	g	82	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	6.856800000000001e-05
MF17:LP-DIR-T1	MF17:LP-DIR-T	MF17		58	-41	0	1	3.730e+02	5.770E+00	This study	LT-T-Z:LP-DIR-T	g	83	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	6.924e-05
MF17:LP-DIR-T2	MF17:LP-DIR-T	MF17		58	-40	0	2	4.230e+02	5.699E+00	This study	LT-T-Z:LP-DIR-T	g	84	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	6.8388e-05
MF17:LP-DIR-T3	MF17:LP-DIR-T	MF17		64	-41	0	3	4.730e+02	4.513E+00	This study	LT-T-Z:LP-DIR-T	g	85	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	5.4156e-05
MF17:LP-DIR-T4	MF17:LP-DIR-T	MF17		58	-42	0	4	5.230e+02	4.072E+00	This study	LT-T-Z:LP-DIR-T	g	86	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	4.8864000000000005e-05
MF17:LP-DIR-T5	MF17:LP-DIR-T	MF17		55	-42	0	5	5.730e+02	3.627E+00	This study	LT-T-Z:LP-DIR-T	g	87	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	4.3524e-05
MF17:LP-DIR-T6	MF17:LP-DIR-T	MF17		62	-42	0	6	6.230e+02	3.559E+00	This study	LT-T-Z:LP-DIR-T	g	88	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	4.2708000000000005e-05
MF17:LP-DIR-T7	MF17:LP-DIR-T	MF17		56	-43	0	7	6.730e+02	3.374E+00	This study	LT-T-Z:LP-DIR-T	g	89	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	4.0488e-05
MF17:LP-DIR-T8	MF17:LP-DIR-T	MF17		60	-42	0	8	6.980e+02	3.347E+00	This study	LT-T-Z:LP-DIR-T	g	90	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	4.0164000000000004e-05
MF17:LP-DIR-T9	MF17:LP-DIR-T	MF17		58	-42	0	9	7.230e+02	3.242E+00	This study	LT-T-Z:LP-DIR-T	g	91	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	3.8904e-05
MF17:LP-DIR-T10	MF17:LP-DIR-T	MF17		60	-42	0	10	7.480e+02	2.949E+00	This study	LT-T-Z:LP-DIR-T	g	92	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	3.5388e-05
MF17:LP-DIR-T11	MF17:LP-DIR-T	MF17		57	-42	0	11	7.730e+02	2.146E+00	This study	LT-T-Z:LP-DIR-T	g	93	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.5752e-05
MF17:LP-DIR-T12	MF17:LP-DIR-T	MF17		61	-44	0	12	7.980e+02	1.043E+00	This study	LT-T-Z:LP-DIR-T	g	94	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	1.2516e-05
MF17:LP-DIR-T13	MF17:LP-DIR-T	MF17		57	-42	0	13	8.230e+02	219.3E-03	This study	LT-T-Z:LP-DIR-T	g	95	u		2.730e+02		pmagpy-4.1.5	2013-08-28T00:00:00Z	2.6316e-06
MF18:LP-DIR-T0	MF18:LP-DIR-T	MF18		276	-11	0	0	2.730e+02	6.510E+00	This study	LT-NO:LP-DIR-T	g	96	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	7.812e-05
MF18:LP-DIR-T1	MF18:LP-DIR-T	MF18		284	-16	0	1	3.730e+02	4.756E+00	This study	LT-T-Z:LP-DIR-T	g	97	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	5.7072000000000005e-05
MF18:LP-DIR-T2	MF18:LP-DIR-T	MF18		267	2	0	2	4.230e+02	1.936E+00	This study	LT-T-Z:LP-DIR-T	g	98	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	2.3232e-05
MF18:LP-DIR-T3	MF18:LP-DIR-T	MF18		257	18	0	3	4.730e+02	2.114E+00	This study	LT-T-Z:LP-DIR-T	g	99	u		2.730e+02		pmagpy-4.1.5	2013-08-19T00:00:00Z	2.5368e-05
MF18:LP-DIR-T4	MF18:LP-DIR-T	MF18		305	-18	0	4	5.230e+02	620.1E-03	This study	LT-T-Z:LP-DIR-T	g	100	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	7.4412e-06
MF18:LP-DIR-T5	MF18:LP-DIR-T	MF18		46	-69	0	5	5.730e+02	506.3E-03	This study	LT-T-Z:LP-DIR-T	g	101	u		2.730e+02		pmagpy-4.1.5	2013-08-20T00:00:00Z	6.0756e-06
MF18:LP-DIR-T6	MF18:LP-DIR-T	MF18		57	-44	0	6	6.230e+02	833.6E-03	This study	LT-T-Z:LP-DIR-T	g	102	u		2.730e+02		pmagpy-4.1.5	2013-08-21T00:00:00Z	1.0003200000000001e-05
MF18:LP-DIR-T7	MF18:LP-DIR-T	MF18		53	-48	0	7	6.730e+02	842.6E-03	This study	LT-T-Z:LP-DIR-T	g	103	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.01112e-05
MF18:LP-DIR-T8	MF18:LP-DIR-T	MF18		62	-50	0	8	6.980e+02	868.2E-03	This study	LT-T-Z:LP-DIR-T	g	104	u		2.730e+02		pmagpy-4.1.5	2013-08-25T00:00:00Z	1.04184e-05
MF18:LP-DIR-T9	MF18:LP-DIR-T	MF18		45	-53	0	9	7.230e+02	797.7E-03	This study	LT-T-Z:LP-DIR-T	g	105	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	9.5724e-06
MF18:LP-DIR-T10	MF18:LP-DIR-T	MF18		53	-50	0	10	7.480e+02	693.2E-03	This study	LT-T-Z:LP-DIR-T	g	106	u		2.730e+02		pmagpy-4.1.5	2013-08-26T00:00:00Z	8.3184e-06
MF18:LP-DIR-T11	MF18:LP-DIR-T	MF18		56	-40	0	11	7.730e+02	486.6E-03	This study	LT-T-Z:LP-DIR-T	g	107	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	5.8392e-06
MF18:LP-DIR-T12	MF18:LP-DIR-T	MF18		56	-62	0	12	7.980e+02	182.3E-03	This study	LT-T-Z:LP-DIR-T	g	108	u		2.730e+02		pmagpy-4.1.5	2013-08-27T00:00:00Z	2.1876e-06
MF22:LP-DIR-T0	MF22:LP-DIR-T	MF22		276	-50	0	0	2.730e+02	6.464E+00	This study	LT-NO:LP-DIR-T	g	109	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	7.756800000000001e-05
MF22:LP-DIR-T1	MF22:LP-DIR-T	MF22		276	-51	0	1	3.730e+02	6.454E+00	This study	LT-T-Z:LP-DIR-T	g	110	u		2.730e+02		pmagpy-4.1.5	2013-08-18T00:00:00Z	7.7448e-05
