tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_step_num	treat_temp
This study			304.0	-71.0	BR15_LP-DIR-AF	2.37e-05	1.975		273.0	BR15_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.01	1	273.0
This study			310.0	-72.0	BR15_LP-DIR-AF	2.2272000000000006e-05	1.8559999999999999		273.0	BR15_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.015	2	273.0
This study			308.0	-71.0	BR15_LP-DIR-AF	2.0328e-05	1.694		273.0	BR15_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.02	3	273.0
This study			307.0	-73.0	BR15_LP-DIR-AF	1.8468e-05	1.5390000000000001		273.0	BR15_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.025	4	273.0
This study			309.0	-73.0	BR15_LP-DIR-AF	1.6404e-05	1.367		273.0	BR15_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.03	5	273.0
This study			309.0	-74.0	BR15_LP-DIR-AF	1.2432e-05	1.036		273.0	BR15_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.04	6	273.0
This study			307.0	-75.0	BR15_LP-DIR-AF	8.3376e-06	0.6948		273.0	BR15_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.05	7	273.0
This study			315.0	-76.0	BR15_LP-DIR-AF	5.5536000000000005e-06	0.4628		273.0	BR15_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.06	8	273.0
This study			311.0	-77.0	BR15_LP-DIR-AF	3.5208e-06	0.2934		273.0	BR15_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.07	9	273.0
This study			315.0	-78.0	BR15_LP-DIR-AF	2.688e-06	0.224		273.0	BR15_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.08	10	273.0
This study			293.0	-79.0	BR15_LP-DIR-AF	2.1804e-06	0.1817		273.0	BR15_LP-DIR-AF11	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.2.19	BR15	u	2013-08-20T00:00:00Z	0.09	11	273.0
This study			203.0	-34.0	BR16_LP-DIR-AF	2.2224000000000006e-05	1.8519999999999999		273.0	BR16_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	35	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.0	0	273.0
This study			283.0	-48.0	BR16_LP-DIR-AF	2.4552e-05	2.046		273.0	BR16_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	36	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.01	1	273.0
This study			282.0	-47.0	BR16_LP-DIR-AF	2.3508000000000006e-05	1.959		273.0	BR16_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.015	2	273.0
This study			280.0	-50.0	BR16_LP-DIR-AF	2.1228e-05	1.7690000000000001		273.0	BR16_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.02	3	273.0
This study			283.0	-49.0	BR16_LP-DIR-AF	1.9200000000000006e-05	1.6		273.0	BR16_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	39	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.025	4	273.0
This study			282.0	-50.0	BR16_LP-DIR-AF	1.7076e-05	1.423		273.0	BR16_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.03	5	273.0
This study			277.0	-52.0	BR16_LP-DIR-AF	1.2228e-05	1.0190000000000001		273.0	BR16_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.04	6	273.0
This study			277.0	-53.0	BR16_LP-DIR-AF	7.680000000000001e-06	0.64		273.0	BR16_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.05	7	273.0
This study			274.0	-53.0	BR16_LP-DIR-AF	4.5876e-06	0.3823		273.0	BR16_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.06	8	273.0
This study			269.0	-55.0	BR16_LP-DIR-AF	2.8728000000000007e-06	0.2394		273.0	BR16_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.07	9	273.0
This study			266.0	-55.0	BR16_LP-DIR-AF	1.9044e-06	0.1587		273.0	BR16_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	45	pmagpy-4.2.19	BR16	u	2013-08-26T00:00:00Z	0.08	10	273.0
This study			17.0	-34.0	BR17_LP-DIR-AF	1.2252e-05	1.021		273.0	BR17_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	46	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.0	0	273.0
This study			260.0	-74.0	BR17_LP-DIR-AF	2.3591999999999997e-05	1.966		273.0	BR17_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.01	1	273.0
This study			267.0	-75.0	BR17_LP-DIR-AF	2.2571999999999997e-05	1.881		273.0	BR17_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.015	2	273.0
This study			265.0	-75.0	BR17_LP-DIR-AF	2.1084e-05	1.757		273.0	BR17_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.02	3	273.0
This study			266.0	-75.0	BR17_LP-DIR-AF	1.9644e-05	1.6369999999999998		273.0	BR17_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.025	4	273.0
This study			264.0	-75.0	BR17_LP-DIR-AF	1.7928000000000002e-05	1.494		273.0	BR17_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	51	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.03	5	273.0
This study			263.0	-75.0	BR17_LP-DIR-AF	1.4244e-05	1.187		273.0	BR17_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.04	6	273.0
This study			263.0	-76.0	BR17_LP-DIR-AF	1.01208e-05	0.8434		273.0	BR17_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.05	7	273.0
This study			255.0	-75.0	BR17_LP-DIR-AF	6.5676e-06	0.5473		273.0	BR17_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	54	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.06	8	273.0
This study			251.0	-74.0	BR17_LP-DIR-AF	4.1028e-06	0.3419		273.0	BR17_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.07	9	273.0
This study			238.0	-73.0	BR17_LP-DIR-AF	2.5680000000000002e-06	0.214		273.0	BR17_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.2.19	BR17	u	2013-08-26T00:00:00Z	0.08	10	273.0
This study			116.0	46.0	BR18_LP-DIR-AF	1.6584000000000002e-05	1.382		273.0	BR18_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	57	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.0	0	273.0
This study			255.0	-80.0	BR18_LP-DIR-AF	2.2848000000000002e-05	1.9040000000000001		273.0	BR18_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.01	1	273.0
This study			265.0	-81.0	BR18_LP-DIR-AF	2.2032e-05	1.8359999999999999		273.0	BR18_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.015	2	273.0
This study			265.0	-81.0	BR18_LP-DIR-AF	2.0651999999999998e-05	1.7209999999999999		273.0	BR18_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	60	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.02	3	273.0
This study			262.0	-81.0	BR18_LP-DIR-AF	1.9128e-05	1.594		273.0	BR18_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	61	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.025	4	273.0
This study			263.0	-82.0	BR18_LP-DIR-AF	1.7388e-05	1.449		273.0	BR18_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	62	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.03	5	273.0
This study			258.0	-81.0	BR18_LP-DIR-AF	1.3440000000000003e-05	1.12		273.0	BR18_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	63	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.04	6	273.0
This study			259.0	-83.0	BR18_LP-DIR-AF	9.3804e-06	0.7817		273.0	BR18_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.05	7	273.0
This study			255.0	-82.0	BR18_LP-DIR-AF	5.8884e-06	0.4907		273.0	BR18_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.06	8	273.0
This study			241.0	-81.0	BR18_LP-DIR-AF	3.648e-06	0.304		273.0	BR18_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	66	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.07	9	273.0
This study			236.0	-77.0	BR18_LP-DIR-AF	2.274e-06	0.1895		273.0	BR18_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	67	pmagpy-4.2.19	BR18	u	2013-08-25T00:00:00Z	0.08	10	273.0
This study			258.0	31.0	BR23_LP-DIR-AF	9.2556e-05	7.712999999999999		273.0	BR23_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	68	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.0	0	273.0
This study			256.0	29.0	BR23_LP-DIR-AF	9.2076e-05	7.672999999999999		273.0	BR23_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	69	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.01	1	273.0
This study			257.0	28.0	BR23_LP-DIR-AF	8.7468e-05	7.289		273.0	BR23_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	70	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.015	2	273.0
This study			258.0	28.0	BR23_LP-DIR-AF	7.9596e-05	6.632999999999999		273.0	BR23_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	71	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.02	3	273.0
This study			258.0	28.0	BR23_LP-DIR-AF	6.939600000000001e-05	5.7829999999999995		273.0	BR23_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	72	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.025	4	273.0
This study			257.0	27.0	BR23_LP-DIR-AF	5.862e-05	4.885		273.0	BR23_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	73	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.03	5	273.0
This study			257.0	26.0	BR23_LP-DIR-AF	4.02e-05	3.35		273.0	BR23_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	74	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.04	6	273.0
This study			260.0	27.0	BR23_LP-DIR-AF	2.7216e-05	2.2680000000000002		273.0	BR23_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	75	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.05	7	273.0
This study			261.0	27.0	BR23_LP-DIR-AF	1.8996e-05	1.5830000000000002		273.0	BR23_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	76	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.06	8	273.0
This study			261.0	27.0	BR23_LP-DIR-AF	1.3548e-05	1.129		273.0	BR23_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	77	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.07	9	273.0
This study			264.0	25.0	BR23_LP-DIR-AF	1.0122e-05	0.8435		273.0	BR23_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	78	pmagpy-4.2.19	BR23	u	2013-08-26T00:00:00Z	0.08	10	273.0
This study			266.0	43.0	BR24_LP-DIR-AF	9.876e-05	8.23		273.0	BR24_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	79	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.0	0	273.0
This study			266.0	44.0	BR24_LP-DIR-AF	0.00010046399999999999	8.372		273.0	BR24_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	80	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.01	1	273.0
This study			269.0	44.0	BR24_LP-DIR-AF	9.5424e-05	7.952000000000001		273.0	BR24_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	81	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.015	2	273.0
This study			269.0	43.0	BR24_LP-DIR-AF	8.6364e-05	7.197		273.0	BR24_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	82	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.02	3	273.0
This study			267.0	43.0	BR24_LP-DIR-AF	7.4688e-05	6.224		273.0	BR24_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	83	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.025	4	273.0
This study			269.0	43.0	BR24_LP-DIR-AF	6.262800000000001e-05	5.218999999999999		273.0	BR24_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	84	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.03	5	273.0
This study			271.0	44.0	BR24_LP-DIR-AF	4.208400000000001e-05	3.5069999999999997		273.0	BR24_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	85	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.04	6	273.0
This study			270.0	43.0	BR24_LP-DIR-AF	2.7924000000000002e-05	2.327		273.0	BR24_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	86	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.05	7	273.0
This study			274.0	44.0	BR24_LP-DIR-AF	1.9332e-05	1.611		273.0	BR24_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	87	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.06	8	273.0
This study			272.0	43.0	BR24_LP-DIR-AF	1.3824e-05	1.1520000000000001		273.0	BR24_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	88	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.07	9	273.0
This study			272.0	42.0	BR24_LP-DIR-AF	1.02312e-05	0.8526		273.0	BR24_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	89	pmagpy-4.2.19	BR24	u	2013-08-27T00:00:00Z	0.08	10	273.0
This study			281.0	47.0	BR25_LP-DIR-AF	5.085600000000001e-05	4.238		273.0	BR25_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	90	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.0	0	273.0
This study			279.0	46.0	BR25_LP-DIR-AF	5.1852e-05	4.321000000000001		273.0	BR25_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	91	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.01	1	273.0
This study			280.0	49.0	BR25_LP-DIR-AF	4.9608e-05	4.1339999999999995		273.0	BR25_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	92	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.015	2	273.0
This study			280.0	45.0	BR25_LP-DIR-AF	4.542e-05	3.785		273.0	BR25_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	93	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.02	3	273.0
This study			284.0	47.0	BR25_LP-DIR-AF	4.0128e-05	3.344		273.0	BR25_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	94	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.025	4	273.0
This study			278.0	48.0	BR25_LP-DIR-AF	3.3768e-05	2.8139999999999996		273.0	BR25_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	95	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.03	5	273.0
This study			277.0	47.0	BR25_LP-DIR-AF	2.4312e-05	2.026		273.0	BR25_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	96	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.04	6	273.0
This study			279.0	48.0	BR25_LP-DIR-AF	1.7772000000000002e-05	1.4809999999999999		273.0	BR25_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	97	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.05	7	273.0
This study			285.0	46.0	BR25_LP-DIR-AF	1.3416000000000003e-05	1.1179999999999999		273.0	BR25_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	98	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.06	8	273.0
This study			281.0	48.0	BR25_LP-DIR-AF	1.05456e-05	0.8788		273.0	BR25_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	99	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.07	9	273.0
This study			279.0	46.0	BR25_LP-DIR-AF	8.5764e-06	0.7147		273.0	BR25_LP-DIR-AF10	LT-AF-Z:LP-DIR-AF	g	100	pmagpy-4.2.19	BR25	u	2013-08-26T00:00:00Z	0.08	10	273.0
This study			209.0	17.0	BR26_LP-DIR-AF	5.832e-06	0.486		273.0	BR26_LP-DIR-AF0	LT-NO:LP-DIR-AF	g	101	pmagpy-4.2.19	BR26	u	2013-08-29T00:00:00Z	0.0	0	273.0
This study			135.0	-35.0	BR26_LP-DIR-AF	5.0832e-06	0.4236		273.0	BR26_LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	102	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.01	1	273.0
This study			135.0	-35.0	BR26_LP-DIR-AF	7.0416e-06	0.5868		273.0	BR26_LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	103	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.015	2	273.0
This study			135.0	-35.0	BR26_LP-DIR-AF	7.6127999999999985e-06	0.6344		273.0	BR26_LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	104	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.02	3	273.0
This study			135.0	-35.0	BR26_LP-DIR-AF	6.7344e-06	0.5612		273.0	BR26_LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	105	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.025	4	273.0
This study			295.0	-33.0	BR26_LP-DIR-AF	7.908000000000001e-06	0.659		273.0	BR26_LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	106	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.03	5	273.0
This study			294.0	-34.0	BR26_LP-DIR-AF	6.1104e-06	0.5092		273.0	BR26_LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	107	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.04	6	273.0
This study			292.0	-35.0	BR26_LP-DIR-AF	4.3236e-06	0.3603		273.0	BR26_LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	108	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.05	7	273.0
This study			290.0	-34.0	BR26_LP-DIR-AF	3.0684e-06	0.2557		273.0	BR26_LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	109	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.06	8	273.0
This study			286.0	-31.0	BR26_LP-DIR-AF	2.2692e-06	0.1891		273.0	BR26_LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	110	pmagpy-4.2.19	BR26	u	2013-09-01T00:00:00Z	0.07	9	273.0
