tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x_sigma	magn_xyz_sigma	magn_y_sigma	magn_z_sigma	meas_field_ac	meas_field_dc	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
	This study			35.6	-71.5	318-U1361A-001H-2A-1-2-LT-AF-Z						3.38e-07																	273		318-U1361A-001H-2A-1-2-LT-AF-Z-1	LT-AF-Z	g	23	pmagpy-2.93	318-U1361A-001H_2A-1.2	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			35.8	-72.4	318-U1361A-001H-2A-1-25-LT-AF-Z						3.2229999999999997e-07																	273		318-U1361A-001H-2A-1-25-LT-AF-Z-1	LT-AF-Z	g	24	pmagpy-2.93	318-U1361A-001H_2A-1.25	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			39.7	-74.6	318-U1361A-001H-2A-1-3-LT-AF-Z						3.0480000000000003e-07																	273		318-U1361A-001H-2A-1-3-LT-AF-Z-1	LT-AF-Z	g	25	pmagpy-2.93	318-U1361A-001H_2A-1.3	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			37.4	-73.2	318-U1361A-001H-2A-1-35-LT-AF-Z						3.0469999999999997e-07																	273		318-U1361A-001H-2A-1-35-LT-AF-Z-1	LT-AF-Z	g	26	pmagpy-2.93	318-U1361A-001H_2A-1.35	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			30.4	-74.4	318-U1361A-001H-2A-1-4-LT-AF-Z						3.323e-07																	273		318-U1361A-001H-2A-1-4-LT-AF-Z-1	LT-AF-Z	g	27	pmagpy-2.93	318-U1361A-001H_2A-1.4	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			31.0	-75.3	318-U1361A-001H-2A-1-45-LT-AF-Z						3.622e-07																	273		318-U1361A-001H-2A-1-45-LT-AF-Z-1	LT-AF-Z	g	28	pmagpy-2.93	318-U1361A-001H_2A-1.45	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			32.3	-63.7	318-U1361A-001H-3A-0-1-LT-AF-Z						3.7909999999999995e-07																	273		318-U1361A-001H-3A-0-1-LT-AF-Z-1	LT-AF-Z	g	29	pmagpy-2.93	318-U1361A-001H_3A-0.1	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			29.2	-65.2	318-U1361A-001H-3A-0-15-LT-AF-Z						3.191e-07																	273		318-U1361A-001H-3A-0-15-LT-AF-Z-1	LT-AF-Z	g	30	pmagpy-2.93	318-U1361A-001H_3A-0.15	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			30.2	-68.1	318-U1361A-001H-3A-0-2-LT-AF-Z						2.748e-07																	273		318-U1361A-001H-3A-0-2-LT-AF-Z-1	LT-AF-Z	g	31	pmagpy-2.93	318-U1361A-001H_3A-0.2	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			31.1	-69.7	318-U1361A-001H-3A-0-25-LT-AF-Z						2.795e-07																	273		318-U1361A-001H-3A-0-25-LT-AF-Z-1	LT-AF-Z	g	32	pmagpy-2.93	318-U1361A-001H_3A-0.25	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			31.2	-70.1	318-U1361A-001H-3A-0-3-LT-AF-Z						3.03e-07																	273		318-U1361A-001H-3A-0-3-LT-AF-Z-1	LT-AF-Z	g	33	pmagpy-2.93	318-U1361A-001H_3A-0.3	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			29.1	-69.5	318-U1361A-001H-3A-0-35-LT-AF-Z						3.144e-07																	273		318-U1361A-001H-3A-0-35-LT-AF-Z-1	LT-AF-Z	g	34	pmagpy-2.93	318-U1361A-001H_3A-0.35	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			36.1	-70	318-U1361A-001H-3A-0-4-LT-AF-Z						3.307e-07																	273		318-U1361A-001H-3A-0-4-LT-AF-Z-1	LT-AF-Z	g	35	pmagpy-2.93	318-U1361A-001H_3A-0.4	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			41.0	-70.2	318-U1361A-001H-3A-0-45-LT-AF-Z						3.539e-07																	273		318-U1361A-001H-3A-0-45-LT-AF-Z-1	LT-AF-Z	g	36	pmagpy-2.93	318-U1361A-001H_3A-0.45	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			46.8	-64.3	318-U1361A-001H-3A-0-5-LT-AF-Z						3.7950000000000003e-07																	273		318-U1361A-001H-3A-0-5-LT-AF-Z-1	LT-AF-Z	g	37	pmagpy-2.93	318-U1361A-001H_3A-0.5	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			41.5	-65.1	318-U1361A-001H-3A-0-55-LT-AF-Z						4.0020000000000005e-07																	273		318-U1361A-001H-3A-0-55-LT-AF-Z-1	LT-AF-Z	g	38	pmagpy-2.93	318-U1361A-001H_3A-0.55	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			37.6	-67.7	318-U1361A-001H-3A-0-6-LT-AF-Z						3.954e-07																	273		318-U1361A-001H-3A-0-6-LT-AF-Z-1	LT-AF-Z	g	39	pmagpy-2.93	318-U1361A-001H_3A-0.6	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			48.2	-66.7	318-U1361A-001H-3A-0-65-LT-AF-Z						3.916e-07																	273		318-U1361A-001H-3A-0-65-LT-AF-Z-1	LT-AF-Z	g	40	pmagpy-2.93	318-U1361A-001H_3A-0.65	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			54.1	-64.5	318-U1361A-001H-3A-0-7-LT-AF-Z						4.1159999999999995e-07																	273		318-U1361A-001H-3A-0-7-LT-AF-Z-1	LT-AF-Z	g	41	pmagpy-2.93	318-U1361A-001H_3A-0.7	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			48.8	-74.9	318-U1361A-001H-3A-0-75-LT-AF-Z						4.1700000000000004e-07																	273		318-U1361A-001H-3A-0-75-LT-AF-Z-1	LT-AF-Z	g	42	pmagpy-2.93	318-U1361A-001H_3A-0.75	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			28.8	-79.4	318-U1361A-001H-3A-0-8-LT-AF-Z						4.851e-07																	273		318-U1361A-001H-3A-0-8-LT-AF-Z-1	LT-AF-Z	g	43	pmagpy-2.93	318-U1361A-001H_3A-0.8	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			41.6	-62	318-U1361A-001H-3A-0-85-LT-AF-Z						5.172e-07																	273		318-U1361A-001H-3A-0-85-LT-AF-Z-1	LT-AF-Z	g	44	pmagpy-2.93	318-U1361A-001H_3A-0.85	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			41.1	-45.2	318-U1361A-001H-3A-0-9-LT-AF-Z						4.145e-07																	273		318-U1361A-001H-3A-0-9-LT-AF-Z-1	LT-AF-Z	g	45	pmagpy-2.93	318-U1361A-001H_3A-0.9	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			63.0	-39.1	318-U1361A-001H-3A-0-95-LT-AF-Z						2.868e-07																	273		318-U1361A-001H-3A-0-95-LT-AF-Z-1	LT-AF-Z	g	46	pmagpy-2.93	318-U1361A-001H_3A-0.95	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			70.6	-59.5	318-U1361A-001H-3A-1-LT-AF-Z						2.595e-07																	273		318-U1361A-001H-3A-1-LT-AF-Z-1	LT-AF-Z	g	47	pmagpy-2.93	318-U1361A-001H_3A-1	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			59.2	-61	318-U1361A-001H-3A-1-05-LT-AF-Z						2.9140000000000003e-07																	273		318-U1361A-001H-3A-1-05-LT-AF-Z-1	LT-AF-Z	g	48	pmagpy-2.93	318-U1361A-001H_3A-1.05	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			58.9	-58.3	318-U1361A-001H-3A-1-1-LT-AF-Z						3.146e-07																	273		318-U1361A-001H-3A-1-1-LT-AF-Z-1	LT-AF-Z	g	49	pmagpy-2.93	318-U1361A-001H_3A-1.1	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			57.2	-62.6	318-U1361A-001H-3A-1-15-LT-AF-Z						3.3079999999999997e-07																	273		318-U1361A-001H-3A-1-15-LT-AF-Z-1	LT-AF-Z	g	50	pmagpy-2.93	318-U1361A-001H_3A-1.15	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			57.4	-67.9	318-U1361A-001H-3A-1-2-LT-AF-Z						3.4990000000000003e-07																	273		318-U1361A-001H-3A-1-2-LT-AF-Z-1	LT-AF-Z	g	51	pmagpy-2.93	318-U1361A-001H_3A-1.2	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			55.4	-68.2	318-U1361A-001H-3A-1-25-LT-AF-Z						3.5130000000000003e-07																	273		318-U1361A-001H-3A-1-25-LT-AF-Z-1	LT-AF-Z	g	52	pmagpy-2.93	318-U1361A-001H_3A-1.25	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			49.5	-66.4	318-U1361A-001H-3A-1-3-LT-AF-Z						3.255e-07																	273		318-U1361A-001H-3A-1-3-LT-AF-Z-1	LT-AF-Z	g	53	pmagpy-2.93	318-U1361A-001H_3A-1.3	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			44.3	-63.6	318-U1361A-001H-3A-1-35-LT-AF-Z						3.089e-07																	273		318-U1361A-001H-3A-1-35-LT-AF-Z-1	LT-AF-Z	g	54	pmagpy-2.93	318-U1361A-001H_3A-1.35	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			40.9	-62.8	318-U1361A-001H-3A-1-4-LT-AF-Z						2.866e-07																	273		318-U1361A-001H-3A-1-4-LT-AF-Z-1	LT-AF-Z	g	55	pmagpy-2.93	318-U1361A-001H_3A-1.4	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			35.7	-63.1	318-U1361A-001H-3A-1-45-LT-AF-Z						2.763e-07																	273		318-U1361A-001H-3A-1-45-LT-AF-Z-1	LT-AF-Z	g	56	pmagpy-2.93	318-U1361A-001H_3A-1.45	u					2010-02-26T13:49:00Z	0.02				0				0	0				1	273			
	This study			18.9	-57.9	318-U1361A-001H-4A-0-1-LT-AF-Z						3.664e-07																	273		318-U1361A-001H-4A-0-1-LT-AF-Z-1	LT-AF-Z	g	57	pmagpy-2.93	318-U1361A-001H_4A-0.1	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			21.8	-60.1	318-U1361A-001H-4A-0-15-LT-AF-Z						3.436e-07																	273		318-U1361A-001H-4A-0-15-LT-AF-Z-1	LT-AF-Z	g	58	pmagpy-2.93	318-U1361A-001H_4A-0.15	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			25.5	-63.6	318-U1361A-001H-4A-0-2-LT-AF-Z						3.608e-07																	273		318-U1361A-001H-4A-0-2-LT-AF-Z-1	LT-AF-Z	g	59	pmagpy-2.93	318-U1361A-001H_4A-0.2	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			32.5	-66	318-U1361A-001H-4A-0-25-LT-AF-Z						4.4090000000000004e-07																	273		318-U1361A-001H-4A-0-25-LT-AF-Z-1	LT-AF-Z	g	60	pmagpy-2.93	318-U1361A-001H_4A-0.25	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			30.8	-68	318-U1361A-001H-4A-0-3-LT-AF-Z						5.189e-07																	273		318-U1361A-001H-4A-0-3-LT-AF-Z-1	LT-AF-Z	g	61	pmagpy-2.93	318-U1361A-001H_4A-0.3	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			35.1	-70.2	318-U1361A-001H-4A-0-35-LT-AF-Z						5.711999999999999e-07																	273		318-U1361A-001H-4A-0-35-LT-AF-Z-1	LT-AF-Z	g	62	pmagpy-2.93	318-U1361A-001H_4A-0.35	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			40.9	-72.8	318-U1361A-001H-4A-0-4-LT-AF-Z						6.541e-07																	273		318-U1361A-001H-4A-0-4-LT-AF-Z-1	LT-AF-Z	g	63	pmagpy-2.93	318-U1361A-001H_4A-0.4	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			37.9	-70.4	318-U1361A-001H-4A-0-45-LT-AF-Z						7.461e-07																	273		318-U1361A-001H-4A-0-45-LT-AF-Z-1	LT-AF-Z	g	64	pmagpy-2.93	318-U1361A-001H_4A-0.45	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			35.5	-69.3	318-U1361A-001H-4A-0-5-LT-AF-Z						7.158e-07																	273		318-U1361A-001H-4A-0-5-LT-AF-Z-1	LT-AF-Z	g	65	pmagpy-2.93	318-U1361A-001H_4A-0.5	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			38.7	-67.3	318-U1361A-001H-4A-0-55-LT-AF-Z						6.115e-07																	273		318-U1361A-001H-4A-0-55-LT-AF-Z-1	LT-AF-Z	g	66	pmagpy-2.93	318-U1361A-001H_4A-0.55	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			41.5	-71.2	318-U1361A-001H-4A-0-6-LT-AF-Z						4.762e-07																	273		318-U1361A-001H-4A-0-6-LT-AF-Z-1	LT-AF-Z	g	67	pmagpy-2.93	318-U1361A-001H_4A-0.6	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			42.1	-69.2	318-U1361A-001H-4A-0-65-LT-AF-Z						3.752e-07																	273		318-U1361A-001H-4A-0-65-LT-AF-Z-1	LT-AF-Z	g	68	pmagpy-2.93	318-U1361A-001H_4A-0.65	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			41.9	-60.6	318-U1361A-001H-4A-0-7-LT-AF-Z						3.425e-07																	273		318-U1361A-001H-4A-0-7-LT-AF-Z-1	LT-AF-Z	g	69	pmagpy-2.93	318-U1361A-001H_4A-0.7	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			51.4	-62.4	318-U1361A-001H-4A-0-75-LT-AF-Z						3.1179999999999997e-07																	273		318-U1361A-001H-4A-0-75-LT-AF-Z-1	LT-AF-Z	g	70	pmagpy-2.93	318-U1361A-001H_4A-0.75	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			56.2	-71	318-U1361A-001H-4A-0-8-LT-AF-Z						3.192e-07																	273		318-U1361A-001H-4A-0-8-LT-AF-Z-1	LT-AF-Z	g	71	pmagpy-2.93	318-U1361A-001H_4A-0.8	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			44.1	-70	318-U1361A-001H-4A-0-85-LT-AF-Z						3.401e-07																	273		318-U1361A-001H-4A-0-85-LT-AF-Z-1	LT-AF-Z	g	72	pmagpy-2.93	318-U1361A-001H_4A-0.85	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			36.0	-69.3	318-U1361A-001H-4A-0-9-LT-AF-Z						3.6060000000000004e-07																	273		318-U1361A-001H-4A-0-9-LT-AF-Z-1	LT-AF-Z	g	73	pmagpy-2.93	318-U1361A-001H_4A-0.9	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			20.3	-69.2	318-U1361A-001H-4A-0-95-LT-AF-Z						3.839e-07																	273		318-U1361A-001H-4A-0-95-LT-AF-Z-1	LT-AF-Z	g	74	pmagpy-2.93	318-U1361A-001H_4A-0.95	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			18.5	-72.8	318-U1361A-001H-4A-1-LT-AF-Z						4.1200000000000004e-07																	273		318-U1361A-001H-4A-1-LT-AF-Z-1	LT-AF-Z	g	75	pmagpy-2.93	318-U1361A-001H_4A-1	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			36.8	-72.9	318-U1361A-001H-4A-1-05-LT-AF-Z						4.944e-07																	273		318-U1361A-001H-4A-1-05-LT-AF-Z-1	LT-AF-Z	g	76	pmagpy-2.93	318-U1361A-001H_4A-1.05	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			36.3	-70.9	318-U1361A-001H-4A-1-1-LT-AF-Z						5.267e-07																	273		318-U1361A-001H-4A-1-1-LT-AF-Z-1	LT-AF-Z	g	77	pmagpy-2.93	318-U1361A-001H_4A-1.1	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			47.6	-66.6	318-U1361A-001H-4A-1-15-LT-AF-Z						5.295000000000001e-07																	273		318-U1361A-001H-4A-1-15-LT-AF-Z-1	LT-AF-Z	g	78	pmagpy-2.93	318-U1361A-001H_4A-1.15	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			58.5	-67.8	318-U1361A-001H-4A-1-2-LT-AF-Z						5.187e-07																	273		318-U1361A-001H-4A-1-2-LT-AF-Z-1	LT-AF-Z	g	79	pmagpy-2.93	318-U1361A-001H_4A-1.2	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			53.8	-73.3	318-U1361A-001H-4A-1-25-LT-AF-Z						5.033e-07																	273		318-U1361A-001H-4A-1-25-LT-AF-Z-1	LT-AF-Z	g	80	pmagpy-2.93	318-U1361A-001H_4A-1.25	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			38.4	-79.3	318-U1361A-001H-4A-1-3-LT-AF-Z						5.198e-07																	273		318-U1361A-001H-4A-1-3-LT-AF-Z-1	LT-AF-Z	g	81	pmagpy-2.93	318-U1361A-001H_4A-1.3	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			42.0	-79.2	318-U1361A-001H-4A-1-35-LT-AF-Z						5.874e-07																	273		318-U1361A-001H-4A-1-35-LT-AF-Z-1	LT-AF-Z	g	82	pmagpy-2.93	318-U1361A-001H_4A-1.35	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			41.4	-75.7	318-U1361A-001H-4A-1-4-LT-AF-Z						6.117e-07																	273		318-U1361A-001H-4A-1-4-LT-AF-Z-1	LT-AF-Z	g	83	pmagpy-2.93	318-U1361A-001H_4A-1.4	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			39.4	-73.2	318-U1361A-001H-4A-1-45-LT-AF-Z						5.572999999999999e-07																	273		318-U1361A-001H-4A-1-45-LT-AF-Z-1	LT-AF-Z	g	84	pmagpy-2.93	318-U1361A-001H_4A-1.45	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			30.9	-75	318-U1361A-001H-5A-0-1-LT-AF-Z						4.934e-07																	273		318-U1361A-001H-5A-0-1-LT-AF-Z-1	LT-AF-Z	g	85	pmagpy-2.93	318-U1361A-001H_5A-0.1	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
	This study			11.0	-78.4	318-U1361A-001H-5A-0-15-LT-AF-Z						5.756e-07																	273		318-U1361A-001H-5A-0-15-LT-AF-Z-1	LT-AF-Z	g	86	pmagpy-2.93	318-U1361A-001H_5A-0.15	u					2010-02-26T13:50:00Z	0.02				0				0	0				1	273			
