tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	meas_n_orient	meas_temp	measurement	method_codes	quality	sample	site	software_packages	specimen	standard	timestamp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
Saiko	This study		0.6	85.7	-33.9	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	1.130e-06	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.5	88.1	-32.4	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	6.009e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.5	85.4	-31.8	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	4.811e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.5	80.8	-31.1	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	4.153e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.4	87.5	-30.4	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	3.713e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.4	83.1	-29.5	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	3.362e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.5	83.2	-27.3	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	2.734e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		0.4	86.8	-25.3	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	2.133e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		0.7	84.5	-23.9	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	1.342e-07	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	8.230e+02
Saiko	This study		0.5	78.9	-23.7	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	8.395e-08	4	2.730e+02	12	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	8.480e+02
Saiko	This study		0.4	64.3	-23.9	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	3.620e-08	4	2.730e+02	13	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	8.730e+02
Saiko	This study		0.4	31.6	-15.7	318-U1359A-002H-4-W-65:LP-IRM-3D	SIO-flo	U1359A	1.540e-08	4	2.730e+02	14	LP-IRM-3D	g	318-U1359A-002H-4-W-65	318-U1359A-002H-4-W-6	pmagpy-2.135	318-U1359A-002H-4-W-65	u	SAN	0	0	0	0	8.980e+02
Saiko	This study		0.4	78.5	-53.8	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	9.130e-07	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.5	81.5	-51.5	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	8.251e-07	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	3.730e+02
Saiko	This study		0.9	77.7	-47.2	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	6.067e-07	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.5	76.0	-41.5	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	3.526e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.3	73.5	-39.2	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	2.789e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.5	70.2	-37.3	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	2.322e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.5	69.2	-36.2	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	1.982e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.4	66.8	-34.8	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	1.732e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.3	67.0	-32.3	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	1.368e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		0.6	66.0	-30.5	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	1.044e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		0.5	58.1	-28.2	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	6.729e-08	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	8.230e+02
Saiko	This study		0.3	49.2	-24.1	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	4.681e-08	4	2.730e+02	12	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	8.480e+02
Saiko	This study		0.4	44.9	-17.5	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	3.135e-08	4	2.730e+02	13	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	8.730e+02
Saiko	This study		0.3	26.5	-5.3	318-U1359A-002H-6-W-7:LP-IRM-3D	SIO-flo	U1359A	2.162e-08	4	2.730e+02	14	LP-IRM-3D	g	318-U1359A-002H-6-W-7	318-U1359A-002H-6-W-	pmagpy-2.135	318-U1359A-002H-6-W-7	u	SAN	0	0	0	0	8.980e+02
Saiko	This study		0.4	91.2	-49.2	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.212e-06	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.4	88.7	-47.2	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.096e-06	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	3.730e+02
Saiko	This study		0.4	85.6	-43.1	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	8.285e-07	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.4	79.5	-39.6	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	3.454e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.4	80.3	-39.2	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	2.583e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.6	79.0	-38.5	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	2.209e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.5	79.7	-38.4	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.958e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.6	76.8	-38.0	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.762e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.4	76.4	-36.1	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.443e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		0.4	78.6	-35.3	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.121e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		0.5	75.1	-35.5	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	7.249e-08	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	8.230e+02
Saiko	This study		0.5	69.7	-35.3	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	4.939e-08	4	2.730e+02	12	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	8.480e+02
Saiko	This study		0.4	50.9	-32.2	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	2.748e-08	4	2.730e+02	13	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	8.730e+02
Saiko	This study		0.3	13.2	-17.0	318-U1359A-003H-2-W-37:LP-IRM-3D	SIO-flo	U1359A	1.435e-08	4	2.730e+02	14	LP-IRM-3D	g	318-U1359A-003H-2-W-37	318-U1359A-003H-2-W-3	pmagpy-2.135	318-U1359A-003H-2-W-37	u	SAN	0	0	0	0	8.980e+02
Saiko	This study		0.4	92.8	-50.6	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	2.363e-06	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.5	92.6	-48.6	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	2.139e-06	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	3.730e+02
Saiko	This study		0.6	91.0	-45.3	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	1.625e-06	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.5	90.4	-42.5	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	7.480e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.5	91.9	-42.3	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	5.687e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.6	92.9	-42.3	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	4.795e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.3	86.6	-42.1	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	4.246e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.4	86.5	-41.6	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	3.890e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.5	90.7	-40.3	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	3.358e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		0.4	87.7	-39.1	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	2.836e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		1.1	87.4	-37.5	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	2.136e-07	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	8.230e+02
Saiko	This study		0.3	84.3	-36.9	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	1.567e-07	4	2.730e+02	12	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	8.480e+02
Saiko	This study		0.4	78.4	-36.9	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	7.644e-08	4	2.730e+02	13	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	8.730e+02
Saiko	This study		0.4	27.7	-16.8	318-U1359A-003H-6-W-66:LP-IRM-3D	SIO-flo	U1359A	2.336e-08	4	2.730e+02	14	LP-IRM-3D	g	318-U1359A-003H-6-W-66	318-U1359A-003H-6-W-6	pmagpy-2.135	318-U1359A-003H-6-W-66	u	SAN	0	0	0	0	8.980e+02
Saiko	This study		0.4	87.4	-51.2	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.336e-06	4	2.730e+02	1	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	2.730e+02
Saiko	This study		0.4	86.3	-49.5	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.217e-06	4	2.730e+02	2	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	3.730e+02
Saiko	This study		0.5	86.1	-46.0	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	9.654e-07	4	2.730e+02	3	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	4.730e+02
Saiko	This study		0.5	82.5	-41.8	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	4.159e-07	4	2.730e+02	4	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	5.730e+02
Saiko	This study		0.5	83.7	-41.1	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	2.951e-07	4	2.730e+02	5	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	5.980e+02
Saiko	This study		0.4	79.6	-40.9	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	2.323e-07	4	2.730e+02	6	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	6.230e+02
Saiko	This study		0.5	80.5	-41.0	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.930e-07	4	2.730e+02	7	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	6.480e+02
Saiko	This study		0.5	76.4	-40.7	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.702e-07	4	2.730e+02	8	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	6.730e+02
Saiko	This study		0.4	77.4	-39.8	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.393e-07	4	2.730e+02	9	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	7.230e+02
Saiko	This study		0.7	78.0	-38.5	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	1.139e-07	4	2.730e+02	10	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	7.730e+02
Saiko	This study		0.5	75.7	-38.3	318-U1359A-004H-2-W-130:LP-IRM-3D	SIO-flo	U1359A	7.844e-08	4	2.730e+02	11	LP-IRM-3D	g	318-U1359A-004H-2-W-130	318-U1359A-004H-2-W-13	pmagpy-2.135	318-U1359A-004H-2-W-130	u	SAN	0	0	0	0	8.230e+02
